Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Ich begrüße Sie recht herzlich zur ersten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"In dieser ersten Vorlesung werden wir uns mit den Grundlagen der Mengenlehre und der Aussagenlogik beschäftigen."
00:15;00:22;"Da geht es erstmal darum zu erklären, was verstehen wir unter einer Menge und wenn wir das wissen,"
00:22;00:32;"wie rechnen wir eigentlich mit Mengen, welche Operationen gibt es auf Mengen und ein spezielles Beispiel werden dann auch die Intervalle sein."
00:32;00:37;"Das wird Bestandteil des ersten Teils sein und im zweiten Teil werden wir uns dann der Frage bitten,"
00:37;00:42;"was wir unter einer Aussage verstehen und wie wir Aussagen geeignet verknüpfen können"
00:42;00:50;"und zu guter Letzt werden wir dann die neuen Grundlagen, die wir kennengelernt haben, anwenden,"
00:50;00:53;"um verschiedene Beweistechniken kennenzulernen."
00:53;01:01;"Wir starten im ersten Teil erstmal mit der Definition einer Menge und das schauen wir uns mal auf der ersten Folie an."
01:01;01:10;"Hier habe ich die Definition direkt von Georg Cantor übernommen, die ist also etwas minimal verschieden aus dem Vorlesungsskript"
01:10;01:11;"und das schauen wir uns jetzt mal an."
01:11;01:14;"Die erste Frage ist ja, was verstehen wir unter einer Menge?"
01:15;01:21;"Ja und Georg Cantor hat das so formuliert, unter einer Menge verstehen wir jede Zusammenfassung Groß M"
01:21;01:29;"von bestimmten wohlunterschiedenen Objekten Klein M unserer Anschauung oder unseres Denkens zu einem Ganzen."
01:29;01:32;"Das klingt jetzt erstmal etwas kompliziert."
01:32;01:38;"Grob kann man das so sagen, wir haben Objekte, die sind jetzt hier auf der Folie mit Klein M bezeichnet"
01:38;01:43;"und die können wir unterscheiden und dann fassen wir diese Objekte zusammen."
01:43;01:49;"Und diese Objekte Klein M, das nennen wir dann einfach die Elemente von Groß M."
01:49;01:54;"Wir schauen uns gleich Beispiele dazu an, dann wird es etwas klarer, was dieser Begriff bedeutet."
01:55;02:01;"Bevor wir das aber tun, nochmal kurz die ersten Formalitäten, die Sie einhalten sollten."
02:01;02:11;"Wenn wir sagen, dass ein Objekt Klein M Element von Groß M ist, dann schreiben wir einfach M Element Groß M und zwar dieses Zeichen hier."
02:11;02:19;"Und völlig analog, wenn wir sagen Klein M ist kein Element von Groß M, dann verwenden wir diese Notation."
02:19;02:26;"Das ist jetzt vielleicht am Anfang etwas gewöhnungsbedürftig, aber nach einer gewissen Zeit werden Sie sehen, werden Sie das automatisch tun."
02:26;02:31;"Ein erster wichtiger Hinweis bezüglich von Mengen."
02:31;02:37;"Wenn wir so eine Menge gegeben haben, dann ist es wichtig, die Reihenfolge spielt keine Rolle."
02:37;02:41;"Das heißt also, die Reihenfolge der Elemente in dieser Menge, das ist irrelevant."
02:41;02:43;"Sie können das auch umordnen."
02:43;02:45;"Es gibt also in gewisser Weise keine Ordnung."
02:46;02:53;"Und Sie können auch Elemente beliebig oft hinschreiben, trotzdem wird jedes Element nur einmal gezählt."
02:53;03:01;"Gut, schauen wir uns Beispiele dazu an."
03:01;03:06;"Also Folie 2, Beispiele für Mengen."
03:13;03:18;"So, das Erste, wir fangen mal mit etwas ganz Einfachem an."
03:18;03:24;"Ich nehme jetzt einfach mal die Menge aus den Zahlen 1, 2, 3 und 4."
03:24;03:29;"1, 2, 3 und 4."
03:31;03:35;"Und jetzt verwenden wir gleich mal den Hinweis, die Reihenfolge ist irrelevant."
03:35;03:43;"Das heißt also, diese Menge ist identisch mit der Menge 2, 1, 3, 4."
03:43;03:46;"Die Reihenfolge spielt keine Rolle."
03:46;03:51;"Und bei dem zweiten Hinweis steht noch dabei, jedes Element wird nur einmal gezählt."
03:51;04:04;"Das heißt also, hier könnten wir jetzt auch einfach das Ganze umschreiben, indem wir jetzt meinetwegen sagen, 1, 3, 1, 3, 2, 4."
04:05;04:10;"Es spielt also keine Rolle, dass die 1 jetzt hier doppelt vorkommt und die 3."
04:10;04:16;"Jedes Element wird einmal gezählt, also einmal die 1, einmal die 3, einmal die 2, einmal die 4."
04:16;04:20;"Und deswegen stimmt das auch mit der Ausgangsmenge überein."
04:21;04:23;"Und hier vielleicht noch etwas zur Notation."
04:23;04:30;"Wann immer Sie eine Menge aufschreiben, verwenden Sie bitte geschweifte Klammern."
04:30;04:36;"Das heißt also hier geschweifte Klammern verwenden."
04:36;04:48;"Und das tun Sie bitte die ganze Zeit in diesem Kurs."
04:49;04:54;"Wir werden noch viele Mengen kennenlernen und immer wenn Sie eine Menge haben, schreiben Sie geschweifte Klammern."
04:54;04:57;"So, vielleicht noch mal ein paar andere Beispiele."
04:57;05:03;"Das zweite Beispiel betrifft gleich eine wichtige Menge, die wir sehr oft verwenden werden, und zwar die Menge der natürlichen Zahlen."
05:03;05:08;"Da schreiben Sie ein n und machen hier einen Strich dran, das kennen Sie sicherlich schon."
05:08;05:11;"Und ja, wie sind die natürlichen Zahlen definiert?"
05:11;05:14;"In diesem Kurs fangen wir immer bei 0 an."
05:14;05:17;"In manchen Lehrbüchern werden Sie sehen, wird die 0 nicht dabei sein."
05:17;05:18;"Da beginnt man bei 1."
05:18;05:22;"Das ist aber einfach nur eine Definitionsfrage."
05:22;05:26;"Also 0, 1, 2, 3 und so weiter."
05:26;05:28;"Ja."
05:29;05:37;"Und jetzt sehen Sie noch diesen Doppelpunkt, das vielleicht noch als weiterer Kommentar."
05:37;05:40;"Das bedeutet einfach, dass wir die Menge so definiert haben."
05:40;05:45;"Das heißt also n ist gleich und dieser Doppelpunkt bedeutet, ist per Definition gleich."
05:49;05:51;"Also nicht irritiert sein, wenn Sie das irgendwo sehen."
05:51;06:01;"Also per Definition gleich, wann immer Sie das sehen."
06:01;06:10;"Ja und das ist im Endeffekt hier, wie ich das schon gesagt habe, Menge der natürlichen Zahlen."
06:10;06:19;"Gut, wir machen mal weiter."
06:19;06:24;"Es gibt natürlich noch andere Möglichkeiten, eine Menge aufzuschreiben."
06:25;06:28;"Schauen wir uns mal die folgende Menge Groß U an."
06:28;06:33;"Auch hier, wir definieren das und zwar folgendermaßen."
06:33;06:40;"1, 3, 5, 7 und so weiter."
06:40;06:42;"Und Sie haben wahrscheinlich schon eine Vorahnung, was das ist."
06:43;06:46;"Genau, das ist die Menge der ungeraden natürlichen Zahlen."
06:46;06:51;"Schreiben wir das mal dazu."
06:51;07:08;"Und jetzt ist natürlich mühselig, diese Mengen immer so aufzuschreiben."
07:08;07:11;"Das sind unendliche Mengen, das heißt unendlich viele Elemente."
07:11;07:13;"Deswegen kann man das auch umschreiben."
07:13;07:15;"Und zwar in der folgenden Form."
07:15;07:22;"Indem wir sagen, das ist die Menge aller natürlichen Zahlen mit der Eigenschaft."
07:22;07:24;"Und dafür machen Sie immer diesen Strich."
07:24;07:27;"n ist ungerade."
07:27;07:36;"Das heißt also, dieser Strich hier bedeutet einfach nur mit der Eigenschaft."
07:36;07:52;"Und jetzt kennen Sie wahrscheinlich auch schon die ungeraden natürlichen Zahlen."
07:52;07:54;"Wie kann man das noch aufschreiben?"
07:54;08:01;"Eine Möglichkeit ist eben, dass wir sagen, das sind alle natürlichen Zahlen mit der Eigenschaft n ist ungerade."
08:01;08:03;"Aber was bedeutet das jetzt eigentlich?"
08:03;08:11;"Ungerade bedeutet also, die Zahl hat die Gestalt 2k plus 1, wobei k eine natürliche Zahl ist."
08:11;08:15;"Das heißt, wir können das auch schreiben als 2k plus 1."
08:17;08:23;"Alle Elemente 2k plus 1 mit der Eigenschaft k ist aus den natürlichen Zahlen."
08:23;08:27;"So, und hier kann man natürlich noch schnell mal sagen,"
08:29;08:33;"Ja, wenn Sie jetzt zum Beispiel die Zahl 7 haben, gehört 7 zu der Menge U?"
08:33;08:34;"Ja."
08:34;08:38;"Sie können ja einfach mal auf diese Gestalt schauen."
08:38;08:43;"Wenn Sie 2 mal 3 nehmen, haben Sie 6 plus 1 ist 7."
08:43;08:46;"Also gehört 7 tatsächlich dazu."
08:46;08:49;"Und wenn Sie jetzt zum Beispiel 14 nehmen,"
08:49;08:53;"dann werden Sie diese Form nicht bekommen."
08:53;08:55;"Das heißt, die 14 ist nicht Element."
08:55;08:57;"Auch hier nochmal,"
08:57;09:02;"dass Sie hier nochmal diese Notation sehen."
09:02;09:06;"Also das Elementzeichen hier und nicht Element."
09:06;09:09;"So, und wenn wir jetzt schon bei dieser Menge sind,"
09:09;09:14;"dann gibt es natürlich neben den Ungeraden auch die Geraden."
09:15;09:18;"Und ja, die bezeichnen wir jetzt einfach mal mit Groß G."
09:18;09:26;"Und das sind dann einfach Elemente 2k,"
09:26;09:29;"wobei k aus n ist."
09:29;09:40;"Also Menge der Geraden natürlichen Zahlen."
09:40;09:50;"Und weil die Frage immer aufkommt bei dieser Menge,"
09:50;09:54;"die 0 gehört tatsächlich dazu."
09:54;09:56;"Das heißt also, 0 ist Element von G."
09:56;09:58;"Und wenn wir jetzt mal oben die 7 nehmen,"
09:58;10:03;"die 7 ist natürlich nicht Element von G."
10:04;10:07;"So, und eine letzte wichtige Menge,"
10:07;10:08;"die Sie kennen sollten,"
10:08;10:10;"ist die leere Menge."
10:10;10:18;"Ja, die leere Menge ist einfach die Menge,"
10:18;10:20;"die wirklich kein Element enthält."
10:20;10:22;"Und die Notation hierfür,"
10:22;10:23;"da gibt es zwei Möglichkeiten."
10:23;10:25;"Entweder Sie schreiben das so,"
10:25;10:26;"oder"
10:26;10:29;"die machen einfach geschweifte Klammern"
10:29;10:32;"und schreiben hier nichts rein."
10:32;10:34;"Deswegen die leere Menge."
10:34;10:38;"Gut, ich denke, wir haben jetzt grob ein Gefühl,"
10:38;10:41;"was wir unter einer Menge verstehen."
10:41;10:43;"Wir haben jetzt sehr schöne Beispiele gesehen."
10:43;10:44;"Und die Beispiele,"
10:44;10:47;"diese Beispielmengen werden wir jetzt auch öfters verwenden."
10:47;10:49;"Schauen wir uns jetzt mal an,"
10:49;10:51;"wie wir mit Mengen eigentlich rechnen."
10:51;10:53;"Und das schauen wir uns auf der Folie an."
10:53;10:56;"Operation mit Mengen."
10:56;10:57;"Wir nehmen mal an,"
10:57;11:00;"wir haben zwei Mengen A und B gegeben."
11:00;11:03;"Und dann ist der erste wichtige Begriff,"
11:03;11:06;"dass wir A eine Teilmenge von B nennen."
11:06;11:09;"Und hier die Schreibweise in dieser Form,"
11:09;11:14;"falls jedes Element der Menge A auch in B liegt."
11:14;11:17;"Das ist jetzt sozusagen in Worten formuliert."
11:17;11:18;"Wenn wir das formal aufschreiben,"
11:18;11:20;"bedeutet das also,"
11:20;11:23;"diese Schreibweise hier heißt jetzt was?"
11:23;11:25;"Auch hier wieder der Doppelpunkt."
11:26;11:27;"Das heißt, ist per Definition."
11:27;11:29;"Und dieser Pfeil,"
11:29;11:32;"das schreibe ich gleich nochmal auf die E-Kreide,"
11:32;11:33;"bedeutet genau dann, wenn."
11:33;11:34;"Das heißt also,"
11:34;11:36;"ist per Definition genau dann,"
11:36;11:37;"wenn der Fall,"
11:37;11:39;"wenn x aus A"
11:39;11:42;"impliziert,"
11:42;11:44;"x ist aus B."
11:44;11:47;"Auch das werde ich gleich nochmal aufschreiben."
11:47;11:49;"Ja, machen wir das gleich mal."
11:53;11:55;"Das werden wir auch später dann im zweiten Teil"
11:55;11:58;"noch in der Aussagenlogik etwas näher betrachten."
11:58;11:59;"Das heißt, das erste,"
11:59;12:02;"wenn Sie diesen Pfeil hier sehen,"
12:02;12:04;"das bedeutet dann immer"
12:04;12:08;"genau dann, wenn."
12:16;12:18;"Ja, der Grund für die ganzen Abkürzungen,"
12:18;12:23;"Mathematikerinnen und Mathematiker sind etwas faul"
12:23;12:24;"und wollen nicht zu viel schreiben,"
12:24;12:25;"deswegen"
12:25;12:27;"viele Abkürzungen"
12:27;12:29;"und dahinter"
12:29;12:32;"stehen dann eben solche Bedeutungen."
12:32;12:34;"Und hier habe ich jetzt gesagt,"
12:34;12:35;"also das heißt,"
12:35;12:37;"wir sind jetzt hier bei diesem Pfeil,"
12:37;12:37;"das heißt,"
12:38;12:38;"daraus folgt."
12:38;12:47;"So, und jetzt"
12:47;12:49;"sind wir immer noch bei Teilmenge."
12:49;12:51;"Schauen wir uns das nochmal ganz kurz an."
12:51;12:52;"x gehört zur Menge A,"
12:52;12:54;"daraus folgt,"
12:54;12:56;"x gehört zur Menge B."
12:56;12:57;"Und deswegen nennen wir dann"
12:57;13:00;"A Teilmenge von B."
13:00;13:02;"Und schauen wir uns dazu"
13:02;13:04;"auch mal Beispiele an."
13:04;13:12;"machen wir das mal grafisch."
13:12;13:15;"Also ich habe jetzt irgendwie so eine Menge"
13:15;13:19;"diese und meinetwegen etwas dieser Form."
13:19;13:22;"So, und wenn das jetzt hier"
13:22;13:23;"die Menge A ist"
13:23;13:26;"und das Außen jetzt hier das Große"
13:26;13:29;"ist dann quasi hier die Menge B,"
13:29;13:31;"dann ist natürlich klar,"
13:31;13:33;"dass A enthalten ist"
13:33;13:34;"in B."
13:34;13:37;"Ja, und wenn wir mal ein Beispiel nehmen"
13:37;13:38;"von den Mengen,"
13:38;13:38;"die wir eben"
13:38;13:40;"kennengelernt haben,"
13:40;13:41;"dann"
13:41;13:43;"wissen wir,"
13:43;13:44;"dass U,"
13:44;13:45;"die Menge der"
13:45;13:47;"ungeraden natürlichen Zahlen,"
13:47;13:48;"natürlich in N liegt."
13:48;13:51;"Und das Gleiche können wir natürlich"
13:51;13:52;"auch für die geraden"
13:52;13:54;"natürlichen Zahlen sagen."
13:54;13:58;"Also ich schreibe mal"
13:58;13:59;"sie oben."
13:59;14:01;"Gut."
14:02;14:04;"Wir nennen zwei Mengen"
14:04;14:05;"A, B gleich"
14:05;14:06;"und die Schreibweise"
14:06;14:08;"auch nicht überraschend."
14:08;14:09;"A ist gleich B,"
14:09;14:11;"wenn sie die gleichen Elemente"
14:11;14:12;"besitzen."
14:12;14:14;"Und das bedeutet also"
14:14;14:15;"A ist gleich B."
14:15;14:17;"Das ist per Definition"
14:17;14:18;"genau dann"
14:18;14:18;"der Fall,"
14:18;14:19;"wenn"
14:19;14:21;"x ist aus A,"
14:21;14:22;"genau dann,"
14:22;14:25;"wenn x ist aus B."
14:25;14:27;"Das ist erstmal einfach die Definition,"
14:27;14:28;"was wir unter Gleichheit"
14:28;14:30;"von zwei Mengen verstehen."
14:30;14:32;"Auch hier"
14:32;14:34;"hatten wir auch schon gesehen,"
14:34;14:37;"bei dem allerersten Beispiel,"
14:37;14:38;"wenn ich jetzt die Menge"
14:38;14:42;"1,2 nehme,"
14:42;14:43;"dann weiß ich,"
14:43;14:44;"das ist das Gleiche,"
