Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Herzlich willkommen zum zweiten Teil der ersten Vorlesung im Kurs Analyse 1 und Lineare Algebra"
00:07;00:12;"für Ingenieurwissenschaften. Wir hatten uns jetzt im ersten Teil mit Mengen beschäftigt und hatte"
00:12;00:17;"ja schon angekündigt, im zweiten Teil werden wir uns mit der Aussagenlogik beschäftigen und da geht"
00:17;00:23;"es darum, erst mal zu erklären, was ist eine Aussage, was verstehen wir darunter und wie können wir"
00:23;00:29;"verschiedene Aussagen miteinander verknüpfen. Und am Ende werden wir das Ganze dann noch anwenden,"
00:29;00:35;"um die wichtigsten Beweistechniken kennenzulernen, die wir auch in diesem Kurs dann häufiger verwenden"
00:35;00:41;"werden. Ja, die Definition einer Aussage, da ist ja immer die Frage, was heißt das überhaupt? Und das ist"
00:41;00:49;"relativ knapp formuliert und auch relativ einfach. Eine Aussage ist immer etwas, dem ich einem"
00:49;00:56;"Wahrheitswert zuordnen kann, also entweder wahr oder falsch. Und hier in der Definition steht es ja so,"
00:56;01:02;"eine Aussage ist also ein Satz, dem genau einer der beiden Wahrheitswerte wahr oder falsch"
01:02;01:10;"zugeordnet werden kann. Ja, das ist also relativ einfach, wenn Sie also einen Satz bekommen, ob das"
01:10;01:17;"jetzt eine Aussage ist oder nicht. Und bevor wir uns die einzelnen Verknüpfungen von Aussagen anschauen,"
01:18;01:24;"ein paar wenige Beispiele, damit Sie kurz ein Gefühl bekommen, was ist eine Aussage."
01:24;01:30;"Aber ich denke, die Definition ist relativ einfach zu verstehen."
01:33;01:43;"Formal machen wir das oft. Also wir machen das jetzt sehr ausführlich. Dann im Laufe des Semesters, ja,"
01:43;01:49;"kürzen wir das sicherlich auch mal ab. Also A ist jetzt eine Aussage. Doppelpunkt. Und jetzt schreibe ich dazu,"
01:49;01:55;"also ob es eine Aussage ist oder nicht, müssen wir erst noch klären. Ich schreibe jetzt einfach mal einen Satz auf und dann"
01:55;02:02;"müssen wir klären, ob das eine Aussage ist. Und jetzt sage ich einfach mal Berlin"
02:05;02:16;"ist eine Stadt. Ja. Jetzt die Frage, ist das eine Aussage? Nach der Definition muss man genau einen der beiden"
02:16;02:24;"Wahrheitswerte wahr oder falsch zuordnen. Und hier kann man also klar sagen, das ist eine wahre Aussage."
02:24;02:26;"Das heißt, das ist wahr."
02:29;02:31;"Ich schreibe das mal ein bisschen ordentlicher auf."
02:31;02:36;"So. Gut."
02:36;02:38;"Wenn ich jetzt zum Beispiel sage,"
02:38;02:40;"ich nehme mal jetzt hier B"
02:40;02:42;"und ich sage jetzt"
02:42;02:45;"ja, 4 plus"
02:45;02:47;"7"
02:47;02:49;"weiß ich nicht"
02:49;02:52;"ist gleich"
02:52;02:55;"ja, meinetwegen"
02:55;02:55;"14."
02:57;03:00;"Ja. Dann ist jetzt die Frage, ist das eine Aussage?"
03:00;03:04;"Das ist eine Aussage, aber die ist falsch."
03:04;03:12;"Ja. Das erste war eine wahre Aussage, das zweite war eine falsche Aussage."
03:12;03:14;"So."
03:14;03:17;"Machen wir doch mal ein drittes Beispiel."
03:17;03:20;"Wenn ich jetzt sage"
03:20;03:27;"Guten Tag."
03:27;03:30;"Ich habe jetzt die Frage, ist das eine Aussage?"
03:30;03:34;"Kann ich diesem Satz ein wahr oder falsch zuordnen?"
03:34;03:37;"Nein, das kann ich nicht und deswegen ist das keine Aussage."
03:44;03:45;"So."
03:45;03:48;"Machen wir nochmal etwas Komplizierteres."
03:48;03:51;"Das nenne ich jetzt mal D."
03:51;03:53;"Ich sage jetzt mal"
03:53;03:57;"x² minus 1"
03:57;03:59;"ist gleich 0."
03:59;04:02;"Das heißt, die Frage, ist das eine Aussage?"
04:04;04:06;"Also, nochmal kurz auf die Definition schauen."
04:06;04:07;"Können wir"
04:07;04:11;"ja, diesem Satz ein wahr oder falsch zuordnen?"
04:11;04:14;"Das können wir nicht, weil wir nicht wissen, was x ist."
04:14;04:18;"Das heißt, so wie wir es jetzt hier geschrieben haben, ist es keine Aussage."
04:24;04:27;"Die Frage ist dann, was ist x?"
04:27;04:28;"Ja."
04:28;04:33;"Aber wir können das Ganze durch Quantifizierung natürlich zu einer Aussage machen."
04:33;04:35;"Und zwar folgendermaßen."
04:35;04:43;"Wir müssen eigentlich nur kurz erklären, was wir eigentlich unter dem x verstehen."
04:51;04:52;"So."
04:52;04:53;"Zum Beispiel"
04:53;04:57;"ich jetzt sage, es gibt"
04:57;04:58;"ein x"
04:58;05:03;"aus den reellen Zahlen"
05:03;05:05;"mit"
05:05;05:07;"x² minus 1"
05:07;05:08;"ist gleich 0."
05:08;05:10;"Dann"
05:10;05:13;"ist jetzt die Frage, ist das eine Aussage?"
05:13;05:14;"Ja, das ist eine Aussage."
05:14;05:16;"Das ist eine wahre Aussage."
05:19;05:19;"So."
05:19;05:21;"Wenn ich jetzt aber sage,"
05:21;05:26;"hier habe ich geschrieben, es gibt ein x."
05:26;05:28;"Jetzt sage ich mal, für alle x"
05:28;05:32;"für alle x aus r gilt"
05:32;05:38;"x² minus 1"
05:38;05:39;"gleich 0."
05:39;05:43;"Dann ist das auch eine Aussage, aber eben eine falsche Aussage."
05:46;05:46;"So."
05:46;05:48;"Ich denke, das genügt an den Beispielen."
05:48;05:51;"Das heißt, wir wissen jetzt, was eine Aussage ist."
05:51;05:58;"Wenn Sie also etwas bekommen, einen Satz, überprüfen Sie, ob Sie diesem Satz ein wahr oder falsch zuordnen können."
05:58;06:00;"Nichts dazwischen."
06:00;06:07;"Wenn ich jetzt sage, Berlin ist eine schöne Stadt, ist das jetzt schon wieder etwas schwierig zu beantworten."
06:08;06:15;"Aber hier haben Sie sehr schöne Beispiele, woran Sie erkennen, ob wir eine Aussage haben, wahr oder falsch oder eben keine Aussage."
06:15;06:17;"Gut."
06:17;06:21;"Schauen wir uns jetzt Verknüpfungen von Aussagen an."
06:21;06:21;"Ja."
06:21;06:23;"Das war jetzt also relativ einfach."
06:23;06:26;"Die Frage ist, was ist passiert, wenn ich mehrere Aussagen habe?"
06:27;06:29;"Und das sehen wir jetzt hier auf der nächsten Folie."
06:29;06:31;"Da gibt es jetzt verschiedene Verknüpfungen."
06:31;06:36;"Wir nehmen mal an, wir haben zwei Aussagen A und B gegeben."
06:36;06:41;"Und das Erste, was von Interesse ist, ist die sogenannte Negation einer Aussage."
06:41;06:46;"Das heißt also, die Negation der Aussage A bedeutet dann nicht A."
06:47;06:52;"Und das heißt, als Schreibweise setzen Sie einfach dieses Zeichen hier davor."
06:52;06:55;"Das heißt sozusagen, das bedeutet nicht A."
06:55;07:00;"Und nochmal ganz kurz, Aussage heißt ja, wir haben ein wahr oder ein falsch."
07:00;07:04;"Und die Negation ist dann eben das Umgekehrte davon."
07:04;07:07;"Wenn es wahr ist, ist es falsch und umgekehrt."
07:07;07:12;"Und das Ganze kann man sehr schön an Wahrheitstafeln illustrieren."
07:12;07:13;"Und das sehen Sie jetzt hier."
07:13;07:16;"Das heißt also, die Aussage A steht hier."
07:16;07:18;"Hier steht die Negation von A."
07:18;07:22;"Das heißt also, wenn A wahr ist, dann ist die Negation falsch."
07:22;07:27;"Und wenn A falsch ist, dann ist die Negation wahr."
07:27;07:30;"So, das ist die erste wichtige Aussage."
07:30;07:35;"Wir schauen uns zu jeder Verknüpfung ein kleines Beispiel an."
07:35;07:40;"Wenn es zu viele Beispiele sind, einfach vorspulen."
07:42;07:44;"Zuerst machen wir mal zwei Beispiele."
07:44;07:52;"Wenn ich jetzt zum Beispiel sage, 4 plus 5 ist gleich 10."
07:52;07:59;"Dann ist das eine Aussage, die ist falsch."
07:59;08:00;"Klar."
08:00;08:03;"So, und was ist jetzt die Negation davon?"
08:05;08:07;"Ich mache das hier mit diesen Anführungszeichen."
08:07;08:13;"Die Negation wäre nach der Notation, die Sie hier nochmal sehen, das Zeichen davor setzen."
08:13;08:18;"4 plus 5 ist gleich 10."
08:19;08:21;"Beziehungsweise können wir das natürlich auch auflösen."
08:21;08:23;"Was wäre jetzt die Negation davon?"
08:23;08:31;"Ja, das wäre nichts anderes als 4 plus 5 ist ungleich 10."
