Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur zehnten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:17;"Wir haben uns jetzt in den ersten neun Vorlesungen ausschließlich mit der Analysis beschäftigt und werden uns jetzt der linearen Algebra zuwenden."
00:17;00:24;"Und da werden wir zu den nächsten sieben Vorlesungen die Grundlagen der linearen Algebra kennenlernen."
00:24;00:31;"Und da ist das große Ziel, dass wir am Ende lineare Gleichungssysteme effizient lösen können."
00:31;00:36;"Wir starten in diesem Video, in dieser zehnten Vorlesung mit dem Kapitel Vektorräume."
00:36;00:42;"Und da werden wir zum Anfang erstmal erklären, was ist ein Vektorraum, welche Struktur ist dort vorhanden."
00:42;00:48;"Dann schauen wir uns an, was machen Teilmengen von Vektorräumen, wann sind diese selbst wieder Vektorräume."
00:48;00:55;"Und dann tauchen halt Begriffe auf, die Sie hier schon sehen unter den Themen Linearkombination, lineare Hülle erzeugen dieses Thema."
00:55;00:57;"All das werden wir in dieser Folie so klären."
00:57;01:01;"Das sind relativ viele Definitionen, aber auch sehr intuitiv."
01:01;01:07;"Wir beginnen jetzt hier in diesem ersten Video erstmal formal mit der Definition eines Vektorraumes."
01:07;01:12;"Und das schauen wir uns gleich mal auf der ersten oder auf der zweiten Folie an."
01:14;01:19;"Sie fühlen sich jetzt wahrscheinlich etwas erschlagen davon, zu Recht, aber es ist gar nicht so kompliziert, was hier steht."
01:19;01:22;"Gehen wir mal zusammen durch."
01:22;01:24;"Was haben wir gegeben am Anfang?"
01:24;01:27;"Wir haben am Anfang erstmal eine beliebige Menge V."
01:27;01:38;"Und auf dieser Menge V ist eine Addition erklärt, ein Zeichen einfach Plus und eine Skalarmultiplikation oder eben auch Skalarmultiplikation genannt,"
01:38;01:40;"die wir einfach mit diesem Punkt bezeichnen."
01:40;01:49;"Und wir nennen diese Menge V einfach einen K-Vektorraum, wenn wir diese Addition und Skalarmultiplikation haben,"
01:49;01:55;"sodass die Addition von zwei Elementen aus V wieder in V liegt."
01:55;02:05;"Und die Skalarmultiplikation, das heißt also V, ein Element klein V aus Groß V, wird mit einem Skalarmultipliziert Lambda."
02:05;02:07;"Das soll dann wieder in dieser Menge liegen."
02:07;02:16;"Das bedeutet also umgangssprachlich, dass also ein Vektorraum abgeschlossen ist bezüglich Addition und Skalarmultiplikation."
02:16;02:22;"Und hier sind also V, W-Vektoren aus Groß V und Lambda ist aus K."
02:22;02:25;"K steht jetzt hier im Allgemeinen für einen Körper."
02:25;02:28;"Das hatten wir schon mal in der zweiten Vorlesung gesehen."
02:28;02:32;"Da hatte ich aber auch schon erwähnt, wir wollen nicht näher darauf eingehen, was ein Körper ist."
02:32;02:35;"Und im Folgenden wird K entweder R sein oder C."
02:35;02:37;"So, das brauchen wir."
02:37;02:44;"Und dann gibt es diverse Rechenregeln, die Sie jetzt hier sehen in den Punkten 1 bis 8."
02:45;02:52;"Und das sind sozusagen die Regeln, die wir eigentlich auch schon kennen von den Zahlenbereichen, die wir kennengelernt haben."
02:52;02:54;"Wir gehen mal kurz durch."
02:54;02:57;"Es ist jetzt nicht wichtig, dass Sie sich diese Regeln merken."
02:57;03:00;"Es ist wichtig, dass Sie auch mal nachschlagen können, wo sie stehen."
03:01;03:10;"Im Endeffekt werden wir bei den meisten Vektorräumen, die wir kennenlernen werden, die kennen wir entweder schon oder wenn wir sie jetzt neu kennenlernen, dann ist auch intuitiv klar, wie wir dort rechnen."
03:10;03:16;"Und das ist im Endeffekt einfach nur, was hier steht, die Regeln dazu, wie man in Vektorräumen rechnet."
03:16;03:19;"Ja, die Addition ist assoziativ."
03:19;03:20;"Ja, das wissen Sie."
03:20;03:26;"Das heißt also, hier können Sie die Klammern vertauschen, ohne dass sich das Resultat verändert."
03:26;03:30;"Das heißt, Sie können erst V plus W rechnen, dann plus X."
03:30;03:38;"Und das ist aber das Gleiche, als wenn Sie zuerst die Klammer W plus X rechnen und dann dieses mit V zusammen addieren."
03:38;03:42;"Völlig ähnlich ist die Addition kommutativ."
03:42;03:45;"Kommutativ heißt einfach, dass man die Elemente vertauscht."
03:45;03:49;"Das heißt also, V plus W ist gleich W plus V."
03:49;03:51;"So, dann gibt es noch eine interessante Sache."
03:51;03:53;"Es gibt einen Nullvektor."
03:55;04:05;"Ein Nullvektor, das heißt ein Element aus V, welches die Eigenschaft hat, dass ich Null plus V gleich V habe."
04:05;04:12;"Das heißt, auf jedes Element aus dem Vektorraum kann ich diesen Nullvektor dazu addieren und es kommt wieder das Element selbst heraus."
04:12;04:17;"Da werden wir sehen, da gibt es dann verschiedene Möglichkeiten, was dann eigentlich ein Nullvektor ist."
04:18;04:32;"Was es auch noch gibt zur Addition und zwar für jeden Vektor V aus Groß V finden wir ein Element Minus V aus Groß V, sodass eben V plus Minus V gleich Null ist."
04:32;04:35;"Jetzt werden Sie sagen, ja ist das nicht eigentlich trivial?"
04:35;04:40;"Ja, könnte man meinen, aber es gibt durchaus Mengen, die haben halt eine Addition, wo das eben nicht funktioniert."
04:40;04:45;"Und das sind sozusagen die Regeln dafür, dass wir wirklich eine Vektorraumstruktur haben."
04:45;04:52;"Dann haben wir noch ein paar Regeln bezüglich der, noch eine Regel bezüglich der Skalarenmultiplikation."
04:52;05:03;"Auch hier ist es also egal, ob wir jetzt die beiden Skalare Lambda µ zuerst multiplizieren und dann mit V oder zum Beispiel µ erst mit V und dann mit Lambda multiplizieren."
05:03;05:04;"Das ist egal."
05:04;05:09;"Und dann die Verträglichkeit von der Skalarenmultiplikation mit der Addition, die Distributivgesetze."
05:09;05:12;"Das sehen Sie nochmal in 6 und 7 auch hier."
05:13;05:21;"Also klar, das heißt, Sie können erst den Klammerausdruck ausrechnen, mit Lambda multiplizieren oder Sie können das eben auch so ausrechnen."
05:21;05:23;"Da kommt das Gleiche heraus."
05:23;05:27;"Analog das Ganze hier unten nochmal für Lambda plus µ mal V."
05:27;05:36;"So und zu guter Letzt haben wir jetzt hier stehen, 1 mal V ergibt V."
05:36;05:41;"Ja, auch das ist quasi eine Eigenschaft eines Vektorraumes."
05:41;05:44;"Und jetzt habe ich hier auch immer schon Vektoren genannt."
05:44;05:46;"Das heißt, hier steht ja schon zu jedem Vektor."
05:46;05:51;"Und deswegen nennen wir also ein Vektor sozusagen ein Element eines Vektorraums."
05:51;05:56;"Und wann immer Sie einen Vektorraum haben, nennen wir einfach ein Element daraus Vektor."
05:56;06:02;"Unabhängig, ob Sie jetzt, wenn Sie an einen Vektor denken, jetzt an einen Vektor aus dem R² denken."
06:02;06:05;"Sie können das Ganze auch einfach verwenden, wenn Sie ein Polynom haben."
06:05;06:10;"Da werden wir auch sehen, dass Polynomräume wiederum Vektorräume sind."
06:11;06:14;"So, das war jetzt grob ein bisschen ein Schnelldurchgang."
06:14;06:20;"Aber ich möchte gar nicht zu sehr darauf eingehen, weil wir uns diese Regeln so an sich nicht nochmal anschauen werden."
06:20;06:26;"Bevor wir uns Beispiele dazu anschauen, ein paar Bemerkungen, die Sie noch auf der nächsten Folie sehen."
06:28;06:38;"Ja, ich hatte oben schon angekündigt, K, ja, dieses Zeichen hier, dass sozusagen die Elemente aus K, die nennen wir Skalare."
06:38;06:41;"Deswegen heißt es auch Skalarmultiplikation."
06:41;06:43;"Und K steht hier für einen Körper."
06:43;06:44;"Auch das hatte ich schon erwähnt."
06:44;06:49;"Wie gesagt, ein Körper hat noch viel mehr Eigenschaften als ein Vektorraum."
06:49;06:55;"Die bekanntesten Körper, die wir jetzt hier kennengelernt haben, sind R und C und die werden wir auch nur verwenden."
06:55;06:57;"Aber wir hatten auch gesehen, dass Q ein Körper ist."
06:57;07:01;"Den werden wir aber jetzt nicht weiter verwenden, wenn es um Vektorräume geht."
07:02;07:10;"Was ist noch wichtig, was wir auf jeden Fall wissen, ist, dass jeder K-Vektorraum den Nullvektor enthält."
07:10;07:12;"Ja, den Nullvektor."
07:12;07:15;"Deswegen steht ja hier auch, es gibt einen Nullvektor."
07:15;07:17;"Das heißt natürlich, automatisch er existiert."
07:17;07:20;"Und damit ist also V auch immer nicht leer."
07:20;07:22;"Ja, das wird auch eine wichtige Bedingung sein."
07:22;07:24;"Wir sind nicht an leeren Mengen interessiert."
07:24;07:27;"Völlig egal, welche Struktur da sein soll."
07:27;07:28;"Aber wenn sie leer ist, ist sie eben leer."
07:28;07:32;"Deswegen wissen wir also, ein Vektorraum ist immer nicht leer."
07:32;07:35;"Ja, und nochmal kurz zur Notation."
07:35;07:37;"Hier oben steht ja ein K-Vektorraum."
07:37;07:43;"Und das K ist eben immer nochmal die Verdeutlichung hier vorne bei dem K-Vektorraum,"
07:43;07:45;"dass wir wissen, woher die Skalare kommen."
