Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Herzlich willkommen zum dritten Teil der zehnten Vorlesung im Kurs Analyse 1 und Lineäre Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns jetzt in den letzten beiden Videos mit Vektorräumen und Teilräumen beschäftigt,"
00:13;00:20;"hatten halt gesehen, dass Teilräume sind erstmal Teilmengen von Vektorräumen und sind selbst wieder Vektorräume."
00:20;00:27;"Und in den nächsten beiden Videos, also im dritten und im vierten Video, wollen wir uns dann mit Begriffen beschäftigen,"
00:27;00:32;"Linearkombination, lineare Hülle und erzeugenden System."
00:32;00:39;"Und die Idee, warum wir das tun, ist, dass wir langfristig auch wissen wollen, wie wird dann so ein Vektorraum eigentlich erzeugt."
00:39;00:43;"Das führt uns dann später noch in der elften Vorlesung auf den Begriff der Basis."
00:43;00:47;"Das heißt also, welches Element erzeugt ein Vektorraum."
00:47;00:51;"Und um das geeignet einzuführen, brauchen wir erstmal diese ganzen Begriffe."
00:52;00:58;"Und wir fangen mal an mit der Linearkombination von zwei Vektoren und schauen uns erstmal eine Grafik dazu an."
00:58;01:01;"Also was bedeutet das eigentlich?"
01:01;01:06;"Erstmal grafisch gesehen, wir haben jetzt hier zum Beispiel einen Vektor V1."
01:06;01:10;"Diesen Vektor kann ich mit einem Skalar multiplizieren."
01:10;01:19;"Ich skaliere ihn und je nachdem, ob dieses Skalar Vorzeichen hat, kleiner 1, größer 1 ist, verändert sich halt die Richtung oder eben auch die Länge."
01:19;01:26;"Hier in der Grafik sieht man also, der gesamte Vektor ist jetzt hier Lambda 1 V1."
01:26;01:29;"Das heißt also, hier sieht man also, Lambda 1 ist dann größer 1."
01:30;01:45;"Und das gleiche machen wir mal mit diesem Vektor V2 und skalieren ihn dann, das heißt wir multiplizieren ihn mit einem Skalar Lambda 2 V2, also Lambda 2, sodass wir dann bekommen den neuen Vektor Lambda 2 V2."
01:45;01:50;"Und wenn wir davon die Addition nehmen von diesen neuen Vektoren, dann bekommen wir dieses."
01:51;01:59;"Und das ist sozusagen im Endeffekt eine Linearkombination aus den Vektoren V1 und V2."
01:59;02:08;"Das heißt, wir haben jetzt hier eine Skalarmultiplikation dabei und wir haben hier die Addition aus dem Vektorraum, jetzt hier in diesem Beispiel aus dem R2."
02:08;02:14;"Ja, wie können wir das jetzt formal geeignet einführen, was eine Linearkombination ist?"
02:14;02:16;"Das tun wir hier in der Definition."
02:18;02:24;"Wir haben natürlich erstmal wieder einen Vektorraum V gegeben, also einen K-Vektorraum."
02:24;02:37;"Und dann nennen wir einen Vektor Klein V aus dem Vektorraum Groß V eine Linearkombination der Vektoren V1 bis VK, die ebenfalls aus V sind."
02:37;02:51;"Wenn wir Skalare Lambda 1 bis Lambda K aus dem Grundkörper K finden, sodass wir das V als Linearkombination schreiben können, also sprich in dieser Form."
02:51;02:58;"Das heißt also Lambda 1 V1 plus Lambda 2 V2 und so weiter bis Lambda K VK."
02:59;03:01;"Das ist genau das, was hier oben steht."
03:01;03:05;"Hier sind wir halt im R2 und hier haben wir einfach jetzt K-Vektoren genommen."
03:05;03:14;"Und das als Summe aufgeschrieben hat dann eben die Form J gleich 1 bis K Lambda J VJ."
03:14;03:23;"Und man sagt dann umgangssprachlich, dass sich das V, der Vektor V, lässt sich also aus den Vektoren V1 bis VK linear kombinieren."
03:23;03:30;"Und Lambda 1 bis Lambda K, das nennen wir die Koeffizienten der Linearkombination."
03:30;03:34;"Das ist im Endeffekt schon alles, also kein komplizierter Begriff."
03:34;03:44;"Auch hier kurz ein paar Beispiele dazu, wie man das sieht oder woran man sieht, dass man so eine Linearkombination hat."
03:44;03:52;"Und die Idee von diesem Begriff wird dann sein, dass wir damit dann auch geeignet die lineare Hülle einführen werden."
03:56;04:00;"Bleiben wir mal im R3."
04:00;04:03;"Also gut, die Grafik ist R2."
04:03;04:04;"Wir sind jetzt mal im R3."
04:04;04:09;"Und dann nehme ich mal zwei Vektoren V1."
04:09;04:12;"Da sage ich jetzt mal 1, 0, 1."
04:12;04:17;"Und dann nehme ich einen zweiten Vektor aus dem R3."
04:17;04:21;"Dann nehme ich mal den Vektor 0, 1, 1."
04:22;04:28;"So, und dann wäre meine Frage, wir geben uns mal ein V vor."
04:28;04:36;"Und zwar soll jetzt V der Vektor sein 3, minus 2, 1."
04:36;04:44;"Und die Frage ist jetzt, lässt sich dieses V als Linearkombination von V1 und V2 schreiben?"
04:44;05:02;"Also von V1 und V2 schreiben."
05:06;05:08;"Ja, das muss man vielleicht erst mal aufschreiben."
05:08;05:11;"Ich behaupte jetzt mal, ja, das funktioniert."
05:11;05:14;"Und was müssen wir dafür tun?"
05:14;05:20;"Das heißt also, als Linearkombination, das ist jetzt unser V, das Beispiel von der Folie."
05:20;05:22;"Und wir haben jetzt V1 und V2."
05:22;05:30;"Und wir wollen jetzt also zeigen, dass diese Gleichung gilt für geeignete Koeffizienten Lambda 1 und Lambda 2."
05:30;05:34;"Ja, so, und wie kann man das machen?"
05:34;05:40;"Wenn ich jetzt mal V aufschreibe nochmal, das ist ja 3, minus 2, 1."
05:40;05:50;"Dann möchte ich das schreiben als Lambda 1 mal V1, das ist ja der Vektor 1, 0, 1."
05:51;05:56;"Plus Lambda 2, und das ist der Vektor 0, 1, 1."
05:56;06:08;"So, jetzt sehen wir erst mal, also, diese Komponente, die kann nur, diese 3 kann man nur durch diese 1 bekommen, weil hier steht eine 0."
06:08;06:15;"Das heißt also, man würde jetzt erst mal überlegen, Lambda 1 müsste also 3 sein, damit hier eine 3 steht, damit das schon mal hier stimmt."
06:15;06:21;"Wenn ich aber Lambda 1 gleich 3 wähle, dann steht hier eine 3 und hier steht auch eine 3."
06:21;06:28;"Und die zweite Komponente, da sieht man, hier steht eine 0 und hier steht die 1."
06:28;06:34;"Das heißt also, diese minus 2 bekomme ich nur, wenn Lambda 2 gleich minus 2 ist."
06:34;06:37;"Und wenn das minus 2 ist, steht hier auch minus 2."
06:37;06:40;"Und hier hatten wir ja die 3, minus 2 ist 1."
06:40;06:42;"Und das stimmt."
06:45;06:56;"Das heißt also, hier haben wir Lambda 1 gleich 3 und Lambda 2 ist minus 2."
06:56;06:59;"Das wird jetzt nicht mit jedem Vektor funktionieren."
06:59;07:05;"Das heißt, Sie können nicht beliebig zwei Vektoren aus dem R hoch 3 nehmen und nehmen irgendeinen dritten Vektor."
07:05;07:08;"Da werden wir noch später sehen, wann das funktioniert."
07:09;07:17;"Hier in diesem Beispiel kann ich auf jeden Fall auch ein V finden, wo ich das nicht durch diese beiden als Linearkombinationen schreiben kann."
07:17;07:25;"So, schauen wir uns mal den Raum der Polynome vom Grad kleiner gleich 2 an."
07:27;07:36;"Das heißt also hier, das haben wir ja im letzten Video kennengelernt und ich gebe mir mal Polynome vor."
07:36;07:58;"P1 ist 3 plus i plus 2z minus i z² und P2 2 minus i minus 2iz plus 4z²."
07:58;08:21;"und dann behaupte ich, wenn ich jetzt mal folgendes p habe, und zwar 4 plus 3i plus 4 plus 2iz plus minus 4 minus 2iz²."
08:21;08:39;"z², dann ist das eine Linearkombination von den Polynomen p1 und p2."
08:45;08:47;"Das ist jetzt nicht ganz so einfach."
08:47;08:51;"Das Beispiel hier oben war ja jetzt doch relativ einfach."
08:51;08:53;"Wie sieht man das jetzt hier?"
08:53;09:00;"Naja, wenn ich das p aufschreibe nochmal in dieser Form, kopieren wir das mal schnell."
09:00;09:05;"So, das ist ja das p."
09:06;09:09;"Und dann kann ich das aber auch folgendermaßen aufschreiben."
09:09;09:11;"Und zwar hier mal λ1."
09:11;09:17;"Und dann steht tatsächlich jetzt hier auch das Polynom p1 da."
09:17;09:29;"Und zwar hier minus i z² plus λ2."
09:29;09:33;"Und hier haben wir dann tatsächlich p2 stehen."
