Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der zehnten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:18;"Wir hatten uns jetzt im letzten Video mit den Begriffen Linearkombination und Spann beschäftigt und wollen jetzt den Begriff des Erzeugensystems einführen."
00:18;00:27;"Und das hängt sehr mit dem Begriff der linearen Hülle zusammen und die lineare Hülle basierte ja wiederum auf dem Begriff der Linearkombination."
00:27;00:32;"Und das schauen wir uns mal kurz an, auf der letzten Folie Erzeugensystem."
00:32;00:43;"Und zwar geht es darum, wir haben einen Vektorraum und wir haben einen Teilraum und wir wollen wissen, durch welche Elemente wird denn dieser Teilraum erzeugt."
00:43;00:46;"Und das führt uns auf den Begriff des Erzeugensystems."
00:46;00:48;"Schauen wir uns das mathematisch genau an."
00:48;00:53;"V ist also ein K-Vektorraum und T ist ein Teilraum von V."
00:53;01:00;"Dann nennen wir eine Menge und hier auch mit Mengenklammern geschrieben V1 bis VK."
01:00;01:08;"Das muss in T liegen und das nennen wir ein Erzeugensystem, abgekürzt EZS, können Sie auch verwenden."
01:08;01:13;"Ein Erzeugensystem von T, falls der Spann gleich T ist."
01:14;01:22;"Das heißt also, wenn wir alle Linearkombinationen, alle möglichen von V1 bis VK nehmen, dann soll da die Menge T herauskommen."
01:22;01:26;"Und dann nennen wir diese Menge ein Erzeugensystem."
01:28;01:29;"Das ist im Endeffekt schon alles."
01:29;01:31;"Wir wissen ja, was das bedeutet."
01:31;01:34;"Der Spann steht ja hier oben noch."
01:34;01:37;"Hier sehen Sie ja nochmal die formale Definition."
01:37;01:43;"Also alle möglichen Linearkombinationen von V1 bis VK."
01:43;01:51;"So, und das wird ein zentraler Begriff sein, wenn wir dann in der nächsten Vorlesung die Begriffe Basis und Dimension einführen."
01:51;01:54;"Dafür brauchen wir Erzeugensysteme."
01:54;02:00;"Und im Endeffekt, bei einfachen Beispielen sieht man es schnell."
02:00;02:01;"Ansonsten, ah, nicht Folie 4."
02:01;02:04;"Wir sind bei Folie 7."
02:04;02:09;"Bei schwierigeren Beispielen steckt da meistens dann ein Gleichungssystem dahinter."
02:09;02:16;"Und das werden wir ja auch noch in den nächsten Vorlesungen angehen, wie wir das effizient lösen können."
02:17;02:23;"Nehmen wir mal zum Start das Beispiel, was wir schon hatten."
02:23;02:27;"Und zwar als Vektorraum nehmen wir den R2."
02:27;02:34;"Und als Teilraum nehmen wir mal die Menge T."
02:34;02:40;"Sie erinnern sich, das war also der Vektor 2, 3."
02:41;02:42;"T aus R."
02:42;02:46;"Und wir hatten uns das auch schon mal angeschaut."
02:46;02:49;"Das ist quasi was?"
02:49;02:54;"Das ist ja einfach nur die Gerade durch den Nullvektor und den Vektor 2, 3."
02:54;02:58;"Oder wenn wir das als Punkt mal interpretieren, ja."
02:59;03:00;"Deswegen schreibe ich das mal so."
03:00;03:06;"Gerade durch Null, Null und 2, 3."
03:06;03:18;"Das heißt, wenn wir einfach im Koordinatensystem das als Punkte, als zweidimensionale Punkte einzeichnen, die Gerade, die da durchgeht, die unendliche Gerade, das ist dann genau die Menge T."
03:18;03:21;"Und hier ist die Frage, was ist jetzt ein Erzeugensystem?"
03:21;03:25;"Und das ist relativ einfach, weil es steht irgendwie schon so da als Spann."
03:25;03:32;"Hier steht ja da, das ist sozusagen die Menge aller Linearkombinationen des Vektors 2, 3."
03:32;03:34;"Das kann man also auch mit einem Vektor machen."
03:34;03:41;"Und deswegen wissen wir hier schon mal, dass der Vektor 2, 3, aber das müssen wir jetzt als Menge schreiben."
03:41;03:44;"Das ist ein Erzeugensystem."
03:44;03:59;"Das ist ein Erzeugensystem von T."
03:59;04:03;"Und was heißt das nochmal, wenn wir auf die Definition schauen?"
04:04;04:10;"Das heißt also, T ist gleich der Spann von 2, 3."
04:10;04:24;"Naja, und wenn wir nochmal die Definition von Spann anschauen, das sind dann also alle Linearkombinationen von dem Vektor 2, 3."
04:24;04:29;"Und hier Lambda aus R."
04:29;04:31;"Ich habe einfach mal eine andere Bezeichnung genommen."
04:32;04:36;"Und dann sieht man also, aha, das ist ja exakt die gleiche Definition."
04:36;04:41;"Es ist völlig egal, ob Sie das jetzt hier jeweils T nennen oder Alpha oder Beta oder was auch immer."
04:41;04:43;"Jetzt habe ich hier Lambda gewählt."
04:43;04:48;"Und man sieht also tatsächlich, das ist ein Erzeugensystem."
04:48;04:50;"Es gibt aber nicht immer nur ein Erzeugensystem."
04:50;04:52;"Ich kann auch ein anderes noch angeben."
04:53;04:55;"Und zwar einfach ein Vielfaches von diesem Vektor."
04:55;04:59;"Zum Beispiel 4, 6."
04:59;05:08;"Und das ist auch ein Erzeugensystem."
05:17;05:18;"Das ist dann auch ein Erzeugensystem."
05:18;05:18;"Das ist dann auch ein Erzeugensystem."
05:18;05:19;"Das ist dann auch ein Erzeugensystem."
05:22;05:23;"Und das ist dann auch ein Erzeugensystem."
05:25;05:26;"Das ist dann auch ein Erzeugensystem."
05:58;06:00;"auf der gleichen Geraden 4,6."
06:00;06:04;"Weil ja 4,6 einfach nur 2 mal 2,3 ist."
06:04;06:06;"Und deswegen ist das die gleiche Menge."
06:06;06:10;"Was aber jetzt zum Beispiel kein Erzeugensystem ist, wäre,"
06:10;06:13;"wenn ich jetzt -2,3 wähle."
06:13;06:23;"Das ist dann kein Erzeugensystem von t."
06:23;06:36;"Und warum ist das so?"
06:36;06:39;"Naja, als Begründung könnte man sich ja überlegen,"
06:39;06:42;"die eigentliche Menge ist ja hier gegeben."
06:42;06:46;"Ja, und die Frage ist, kann ich -2,3,"
06:46;06:49;"liegt das überhaupt hier in dieser Menge?"
06:49;06:51;"Ja, und da sieht man, dass das eben nicht so ist."
06:51;06:53;"Das heißt also, hier könnten wir argumentieren,"
06:53;07:14;"denn es gibt, ich sag mal, kein Lambda aus R mit Lambda multipliziert mit -2,3 erzeugt den Vektor 2,3."
07:14;07:18;"Ja, das sieht man relativ einfach."
07:18;07:23;"Damit diese Gleichheit hier unten erfüllt ist, da muss Lambda 1 sein."
07:23;07:26;"Aber wenn Lambda 1 ist, steht hier oben, -2 ist gleich 2."
07:26;07:27;"Das ist offensichtlich falsch."
07:27;07:28;"Das geht also nicht."
07:28;07:32;"Und trotzdem könnten wir jetzt hier von, jetzt habe ich hier 4,6 genommen,"
07:32;07:34;"wir könnten jedes andere Vielfache davon auch nehmen."
07:34;07:37;"Und auch das wäre jetzt hier wieder ein Erzeugensystem."
07:37;07:42;"Das klappt relativ einfach, weil eben diese Menge jetzt hier nur aus einem Vektor besteht."
07:42;07:47;"Wenn wir mehrere haben, dann müssen wir ein bisschen aufpassen, denn es ist nicht mehr so offensichtlich."
07:47;07:51;"Schauen wir uns noch ein paar andere Beispiele an."
07:51;07:52;"Ja."
07:52;08:03;"Und zwar gehen wir mal eins weiter und schauen uns an, wenn wir den R^3 nehmen."
08:03;08:18;"Ja, und dann ist die Behauptung, dass die folgende Menge ein Erzeugensystem ist, und zwar 1,01, 0,11."
08:18;08:33;"Das ist also ein Erzeugensystem."
08:33;08:38;"Das ist R^3."
08:38;08:44;"Das heißt also, hier haben wir das für einen Teilraum genommen."
08:44;08:49;"V ist aber auch wieder ein Teilraum, also können wir das ja auch einfach mal auf V anwenden."
08:49;08:51;"Und warum ist das jetzt so?"
08:51;08:53;"Wie würde man das jetzt überprüfen?"
08:53;08:55;"Das ist tatsächlich nicht so offensichtlich."
08:55;08:57;"Das müssen wir einfach mal nachrechnen."
08:57;08:59;"Das heißt also, was können wir tun?"
08:59;09:09;"Also für jeden Vektor, den wir jetzt aus V wählen können, also ich sag mal für jeden Vektor"
09:09;09:28;"V aus R^3 können wir also eine Linearkombination von diesen drei Vektoren hier bestimmen, die gleich dem Vektor V ist."
09:28;09:43;"Also können wir eine Linearkombination der Vektoren"
09:43;09:55;"Ich schreibe sie nochmal auf."
09:55;09:57;"Bestimmen"
09:57;09:58;"Bestimmen"
09:59;10:04;"Die gleich dem Vektor V ist."
10:04;10:10;"Und deswegen auch der Name ""Erzeugendensystem"", es erzeugt etwas."
10:10;10:11;"Ja."
10:11;10:13;"Und wenn wir das mal aufschreiben."
10:13;10:22;"Das heißt, ich schreibe mal die Linearkombination jetzt hier auf."
10:22;10:35;"Lambda 1, Lambda 2"
10:35;10:43;"Und jetzt hier Lambda 3, dann nehmen wir mal, da steht ja schon der Vektor 001 und das soll jetzt der Vektor V sein."
10:43;10:47;"Und ich möchte jetzt einen beliebigen Vektor aus dem R^3 wählen."
10:47;10:53;"Das heißt also hier nehme ich mal allgemein V1, V2, V3."
10:53;10:56;"Das sind einfach die Komponenten und das ist einfach der Vektor V."
10:56;10:57;"Ein beliebiger."
10:57;11:00;"So. Und wie können wir das jetzt lösen?"
11:00;11:05;"Wir müssen jetzt also diese Koeffizienten hier bestimmen."
11:05;11:09;"Und dahinter steckt ja nichts anderes als ein Gleichungssystem."
11:09;11:12;"Ja. Wenn ich jetzt mal hier die erste Komponente nehme."
11:14;11:16;"Das wäre die erste Komponente."
11:16;11:24;"Das ist also Lambda 1 mal 1 plus Lambda 2 mal 0 plus Lambda 3 mal 0 ist gleich V1."
11:24;11:25;"Ja."
11:25;11:27;"Ich schreibe mir das einmal ordentlich auf."
11:27;11:38;"Plus Lambda 3 gleich mal 0."
11:38;11:40;"Das ist dann einfach V1."
11:40;11:43;"Und dann sieht man natürlich hier schon, aha."
11:43;11:48;"Also wir wollen ja, Ziel ist ja diese Koeffizienten hier zu bestimmen."
11:48;11:53;"Und dann sehen wir hier raus folgt natürlich, dass Lambda 1 V1 ist."
11:53;11:55;"So machen wir das nochmal weiter."
11:55;12:07;"Zweite Zeile wäre also Lambda 1 mal 0 plus Lambda 2 mal 1 plus Lambda 3 mal 0 ist gleich V2."
12:07;12:21;"Dann steht hier Lambda 3 mal 0 und das ist dann V2."
12:21;12:24;"Und auch hier sieht man, aha."
12:24;12:27;"Da steht die 0, das fällt also weg, das fällt weg."
12:27;12:31;"Also bekommen wir für Lambda 2 ist gleich V2."
12:31;12:34;"Also das geht jetzt hier doch ganz einfach."
12:34;12:36;"Schauen wir uns noch die dritte Komponente an."
12:36;12:41;"So, Sie wissen jetzt wie das funktioniert."
12:41;12:51;"Lambda 1 mal 1 plus Lambda 2 mal 1 plus Lambda 3 mal 1 ist dann V3."
12:51;12:58;"Na ja und da sehen wir jetzt natürlich sofort, wir wollen jetzt noch bestimmen Lambda 3."
12:58;13:07;"Also steht hier da Lambda 3 ist gleich V3 minus Lambda 1 minus Lambda 2."
13:07;13:09;"Aber die haben wir ja schon bestimmt."
13:09;13:18;"Und zwar hier und dann können wir einfach einsetzen und bekommen also V3 minus V1 minus V2."
13:18;13:25;"Und damit bekommen wir also dann die Darstellung, das heißt den Vektor V."
13:25;13:28;"Das waren ja die Komponenten V1, V2, V3."
13:28;13:34;"Können wir also tatsächlich als Linearkombination schreiben und zwar in dieser Form hier."
13:34;13:44;"Und zwar Lambda 1 ist V1, Lambda 2 ist V2 und Lambda 3 ist V3 minus V1 minus V2."
13:44;13:45;"V2."
13:45;13:50;"So, das heißt schreiben wir das noch zum Abschluss auf."
13:50;14:01;"Plus V2 0,1,1 und jetzt Lambda 3 ist etwas länger."
14:01;14:08;"Das war V3 minus V1 minus V2 0,0,1."
14:08;14:11;"Ja und damit haben wir das gezeigt."
14:11;14:17;"Das heißt wir können also jeden Vektor darstellen durch diese drei Vektoren hier."
14:17;14:24;"Und deswegen ist also der Spann von M gleich der R hoch 3."
14:24;14:34;"So, und das jetzt hier mit dem Umstellen bei dem Gleichungssystem, das wollen wir später dann auch ein bisschen, wie gesagt, schöner machen, dass wir sowas nicht mehr machen."
14:34;14:37;"Und da werden wir dann den Gauss-Algorithmus kennenlernen."
14:37;14:42;"So, das Ganze allgemeiner aufgeschrieben für den K hoch N."
14:42;14:51;"Da können wir halt einfach die Vektoren angeben mit N Komponenten."
14:51;14:58;"Das heißt immer an der I-ten Komponente ist eine 1, der Rest ist 0."
14:58;15:06;"Das geht dann so weiter, bis bei der letzten Komponente eine 1 ist."
15:06;15:27;"Und das Ganze ist dann ein erzeugendes System von, das können wir hier ganz allgemein formulieren, von K hoch N."
15:27;15:35;"So, wir sind schon ein bisschen drüber über der Zeit mit allen Videos, aber noch ein letztes."
15:35;15:42;"Und zwar, dass wir nochmal die Brücke zu den Polynomen schlagen, weil wir das auch immer wieder benötigen."
15:42;15:48;"Wenn wir jetzt wieder als Vektorraum den Raum der Polynome nehmen,"
15:48;15:53;"das heißt also hier Koeffizienten aus K beliebiger Grad,"
15:53;15:59;"und wir nehmen dann den Teilraum T."
15:59;16:11;"Und zwar nehmen wir jetzt hier einfach wieder die Polynome vom Grad maximal Grad kleiner gleich 2 und Koeffizienten aus K."
16:11;16:15;"Das ist ein Teilraum, ja, das haben wir schon gesehen."
16:19;16:23;"Das ist ein Teilraum, das ist hier oben."
16:23;16:29;"So, und dann ist die Frage, was wäre jetzt hier ein Erzeugensystem?"
16:29;16:34;"Also wenn wir jetzt mal ein Polynom aus T wählen,"
16:34;16:40;"dann wissen wir also, wie sieht das Polynom aus."
16:40;16:44;"Das hat also die Gestalt, hier steht ja da Grad kleiner gleich 2."
16:44;16:54;"Das heißt also, wir können das aufschreiben als A0 plus A1Z plus A2Z²."
16:54;17:00;"und wenn ich das jetzt nochmal hier vorne mit einer 1 versehe, das ist ja das Gleiche,"
17:00;17:14;"plus A2Z, dann sieht man also, ein Erzeugensystem wäre jetzt hier 1Z und Z²."
17:14;17:18;"Weil wenn ich diese drei Polynome nehme, die Linearkombinationen davon,"
17:18;17:22;"alle Linearkombinationen, erzeugen alle Polynome dieser Gestalt."
17:22;17:34;"Das heißt also, hier bekommen wir 1ZZ²."
17:34;17:38;"Deswegen habe ich diese zweite Zeile hier nochmal aufgeschrieben,"
17:38;17:42;"um nochmal diese 1 dazu zu schreiben, damit man das wirklich besser sieht,"
17:42;17:54;"dass wir genau diese 3 hier benötigen."
17:54;18:01;"Das ist also ein Erzeugensystem von T."
18:01;18:07;"Aber wenn wir jetzt zum Beispiel aus dieser Menge mal die 1 wegnehmen"
18:07;18:25;"und nur noch Z und Z² nehmen, dann ist es kein Erzeugensystem mehr von T."
18:25;18:30;"Und warum ist das so?"
18:30;18:37;"Also kein Erzeugensystem von T."
18:37;18:42;"Da kann man einfach mal ein Gegenbeispiel nehmen, da sich zum Beispiel,"
18:42;18:47;"ja welches Polynom aus der Menge T, also aus diesem hier,"
18:47;18:52;"kann ich nicht als Linearkombination von Z und Z² darstellen."
18:52;18:54;"Ja, was fällt uns da als einfachstes ein?"
18:54;18:58;"Dann nehmen wir einfach mal das konstante Polynom 1."
18:58;19:03;"Das heißt, P von Z ist gleich 1."
19:03;19:05;"Das gehört offensichtlich zu T."
19:05;19:12;"Und das lässt sich nicht als Linearkombination von Z und Z² schreiben."
19:12;19:27;"das lässt sich nicht als N."
19:27;19:31;"Und Z² schreiben lässt."
19:31;19:43;"Gut, und allgemein noch den allgemeinen Fall jetzt, wenn wir Polynome vom Grad kleiner gleich N haben."
19:43;19:49;"Das noch zum Abschluss des Videos und der Vorlesung."
19:49;19:51;"Was können wir da tun?"
19:51;20:00;"Das heißt also hier, wenn ich jetzt K von Z kleiner gleich N,"
20:00;20:02;"wie sah das nochmal aus, diese Menge?"
20:02;20:10;"Das waren jetzt alle Polynome vom Grad kleiner gleich 2 mit Koeffizienten aus K."
20:10;20:12;"Das heißt, das sind einfach solche Polynome."
20:12;20:27;"Plus A, N, Z, N und A0, A1 bis A, N sind aus K."
20:27;20:34;"Ja, und das kann ich doch schreiben als was?"
20:34;20:37;"Wenn wir nochmal anschauen, was hier steht."
20:37;20:40;"Und wenn wir auch nochmal auf diese Definition schauen."
20:40;20:48;"Das ist doch nichts anderes als der Spann von, also hier steht wieder gedanklich, steht ja hier wieder A0 mal 1."
20:48;20:50;"Also diese 1 brauchen wir."
20:50;20:53;"Dann Z, Z² und so weiter bis Z hoch N."
20:53;21:06;"Das heißt also hier können wir schreiben 1, Z, Z² bis Z hoch N."
21:06;21:11;"Ja, und das bedeutet dann automatisch, wenn wir nochmal auf die Definition schauen."
21:11;21:16;"Also wir können die Definition ja immer auch für T gleich V anwenden."
