Start Timestamp;End Timestamp;Transcript
00:01;00:07;"Herzlich willkommen zur elften Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:07;00:16;"Wir hatten uns ja in der letzten Vorlesung mit Vektorräumen beschäftigt und hatten auch Teilräume gesehen und hatten am Ende Erzeugensysteme kennengelernt."
00:16;00:25;"Und wir wollen jetzt hier weiter ansetzen und werden in dieser Vorlesung, ja das Ziel ist, den Begriff der Basis unter Dimensionen einzuführen."
00:25;00:34;"Und dafür brauchen wir dann auch die lineare Abhängigkeit bzw. Unabhängigkeit und werden dann auch sehen, wie wir Basen konstruieren können."
00:34;00:40;"Und am Ende werden wir auch den Vorteil einer Basis sehen, indem wir uns den Koordinatenvektor anschauen."
00:40;00:46;"So, wir fangen erstmal an. Wir sehen jetzt schon die erste Folie, aber das ist nicht weiter wichtig."
00:46;00:50;"Vielleicht erstmal kurz auf der E-Kreide. Was ist eigentlich unser Ziel?"
00:52;01:01;"Wir hatten jetzt im letzten Video gesehen, was ein Erzeugensystem ist und haben also gesehen, dass wir damit Teilräume beschreiben können."
01:01;01:09;"Und das Ziel, was wir jetzt haben, ist, dass wir diese Teilräume durch optimale Erzeugensysteme darstellen wollen."
01:13;01:16;"Und dazu schauen wir uns gleich nochmal ein Beispiel an."
01:16;01:25;"Also durch"
01:25;01:31;"optimale"
01:31;01:39;"Erzeugensysteme."
01:41;01:51;"Und da ist ein bisschen die Idee, wenn wir ein Erzeugensystem haben und ich nehme irgendwie etwas aus dieser ganzen Menge heraus und nehme das hinzu zum Erzeugensystem, bleibt das ja immer noch erzeugend."
01:51;01:54;"Und da ist jetzt die Frage, was heißt eigentlich optimal?"
01:54;01:57;"Und da schauen wir uns mal ein Beispiel an."
02:00;02:03;"Und zwar nehmen wir mal ein ganz einfaches Beispiel."
02:03;02:12;"Wir nehmen jetzt mal den Vektorraum V ist der R2 und als Teilraum nehmen wir auch den R2."
02:14;02:22;"So, dann können wir leicht feststellen, dass die Menge der Vektoren 1, 0 und 0, 1,"
02:22;02:33;"das ist ein Erzeugensystem von T."
02:33;02:34;"Warum ist es so?"
02:36;02:38;"Ja, das können wir mal kurz nachprüfen."
02:38;02:46;"Wenn ich jetzt also einen beliebigen Vektor nehme aus dem R2, dann möchte ich diesen als Linearkombination von diesen beiden hier darstellen."
02:46;02:49;"Das war ja die Idee dahinter."
02:49;03:08;"Wenn ich jetzt so ein Vektor nehme, der hat jetzt die Einträge x1, x2, dann sehe ich natürlich, wenn ich hier als Koeffizienten x1 mal 1, 0 nehme, plus x2 mal 0, 1,"
03:08;03:14;"dann bekommen wir tatsächlich eine Darstellung von diesem x."
03:15;03:19;"Und das Schöne hier dran ist, dass die Darstellung eindeutig ist."
03:19;03:34;"Und das wollen wir jetzt mal mit optimal bezeichnen, beziehungsweise meinte ich das hier mit optimal."
03:34;03:43;"So, und jetzt ist natürlich die Frage, das klappt jetzt hier eindeutig."
03:43;03:46;"Nehmen wir mal ein anderes Erzeugensystem, zum Beispiel,"
03:46;03:58;"nehmen wir mal die Menge 1, 0, 0, 1 und dann nehme ich einfach mal noch einen Vektor hinzu und ich sage 1, 1."
03:58;04:03;"Das ist auch ein Erzeugensystem von T."
04:08;04:10;"Auch das können wir nachprüfen."
04:10;04:20;"Nehmen wir wieder einen Vektor x und mit den Einträgen x1, x2."
04:20;04:24;"Wie können wir das jetzt schreiben?"
04:24;04:29;"Naja, wir sehen ja im Vergleich zu diesem hier, haben wir hier also einfach noch einen Vektor hinzugenommen."
04:29;04:33;"Das heißt, wir können die gleiche Darstellung nehmen, plus 0 mal diesen Vektor."
04:33;04:35;"Dann hätten wir eine Darstellung."
04:35;04:49;"Das heißt also, x1, 1, 0, plus x2, 0, 1, plus 0 mal den dritten Vektor."
04:53;04:59;"Ja, aber was wir jetzt hier noch sehen, ist diese Darstellung eindeutig, die wir jetzt hier gewählt haben."
04:59;05:01;"Das sieht eigentlich nicht so aus."
05:01;05:06;"Wir können zum Beispiel auch schreiben, ja was können wir tun?"
05:07;05:14;"Wir können zum Beispiel auch x1 minus x2 mal 1, 0 nehmen."
05:14;05:26;"Plus, dann nehmen wir hier mal 0 mal diesen Vektor und am Ende nehmen wir x2, 1, 1."
05:26;05:29;"So, wir werden das mal kurz überprüfen."
05:29;05:37;"Also, die untere Komponente hier ist sowieso 0, hier ist 1, aber da ist ja 0, deswegen, also unten steht schon mal x2, das passt."
05:37;05:44;"Und oben steht dann x1 minus x2 mal 1 plus x2 mal 1, also x1."
05:44;05:47;"Also tatsächlich haben wir eine weitere Darstellung."
05:47;05:51;"Und das ist ein bisschen das Problem, ja, dass wir jetzt, wenn wir das anschauen,"
05:51;05:54;"die Darstellung ist also nicht eindeutig."
05:59;06:01;"Und das gefällt uns irgendwie nicht."
06:01;06:03;"Das wollen wir eindeutig haben."
06:03;06:09;"Und da spielt der Begriff der linearen Unabhängigkeit eine Rolle."
06:09;06:13;"Und das schauen wir uns jetzt als nächstes auf der Folie an."
