Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der elften Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten uns jetzt im ersten Teil mit dem Begriff der linearen Abhängigkeit bzw. der linearen Unabhängigkeit beschäftigt."
00:15;00:25;"Und da hatte ich ja schon angekündigt, das war noch sozusagen das fehlende Baustein, um jetzt den Begriff der Basis einzuführen."
00:25;00:34;"Und das, was ich am Ende des letzten Videos schon gesagt habe, das bekommen wir jetzt auch und das schauen wir uns zuerst auf der Folie 5 an."
00:34;00:37;"Definition des Begriffes Basis."
00:37;00:45;"Zuerst einmal nehmen wir an, dass wir einen Vektorraum haben, der ungleich dem Vektorraum mit nur der Null ist."
00:45;00:48;"Das heißt also, da sind noch mehr Elemente enthalten."
00:48;00:51;"Wir werden auch gleich sehen, dass wir diesen anderen Fall auch abdecken."
00:51;01:00;"Und dann nennen wir ein endliches linear unabhängiges Erzeugensystem V1 bis Vn von V eine Basis von V."
01:00;01:02;"Das hatte ich am Ende schon gesagt."
01:02;01:06;"Wir hatten schon in der letzten Vorlesung Erzeugensystem kennengelernt."
01:06;01:09;"Und jetzt wissen wir noch, was linear unabhängig bedeutet."
01:09;01:15;"Und das ist sozusagen das, was ich auch am Anfang des ersten Videos meinte mit optimalen Erzeugensystemen."
01:15;01:28;"Wir eliminieren also ein bisschen all die Elemente, die wir gar nicht brauchen, bis wir sozusagen eine Menge haben, die dann auch linear unabhängig ist, aber trotzdem noch den Vektorraum V erzeugt."
01:28;01:31;"Und hier sehen Sie es nochmal ausführlich."
01:31;01:34;"Das heißt also, V1 bis Vn heißt Basis von V."
01:34;01:36;"Das sind immer zwei Sachen."
01:36;01:47;"Wenn die Vektoren V1 bis Vn linear unabhängig sind und wenn die Menge V1 bestehend aus V1 bis Vn ein Erzeugensystem von V ist."
01:47;01:50;"Und das nochmal als Wiederholung von der letzten Vorlesung."
01:50;01:54;"Das hieß einfach, dass die lineare Hülle dieser Vektoren eben gleich V ist."
01:54;02:02;"Das heißt also, jedes Element aus Groß V lässt sich als Linearkombination der V1 bis Vn darstellen."
02:02;02:06;"So, jetzt hatten wir hier oben den Fall, diesen herausgenommen."
02:06;02:11;"Also V sollte jetzt nicht der Vektorraum sein, in dem nur die Null enthalten ist."
02:11;02:17;"Und hier ist es eben so, für den Nullvektorraum definiert man einfach die leere Menge als Basis."
02:17;02:20;"Das müssen Sie sich einfach merken, wenn die Frage mal aufkommt."
02:20;02:27;"Dann wissen Sie also, wenn dieser Vektorraum gemeint ist, der hat auch eine Basis und das ist einfach die leere Menge."
02:27;02:30;"So, eine wichtige Sache noch."
02:30;02:35;"Wir werden uns häufiger noch mit Basen jetzt in dieser Vorlesung beschäftigen."
02:35;02:43;"Und wir werden dann auch in der 16. Vorlesung, da werden wir dann auch Koordinatentransformationen durchführen."
02:43;02:49;"Und da werden wir sehen, dass es wichtig ist, dass wir die Reihenfolge bei Basen, also in der Menge, einhalten."
02:49;02:55;"Deswegen als Bemerkung, ab jetzt sind Basen für uns immer geordnet."
02:55;03:01;"Das heißt also, wenn die Basis so gegeben ist, dann ist das ja hier nichts anderes als eine Menge mit Elementen."
03:02;03:05;"Und ich hatte Ihnen ja in der ersten Vorlesung gesagt, naja, aber Mengen sind nicht geordnet."
03:05;03:07;"Die kann ich ja beliebig umordnen."
03:07;03:08;"Ja, das stimmt."
03:08;03:10;"Bei Basen machen wir das aber nicht."
03:10;03:15;"Das heißt, wann immer Sie das in dieser Reihenfolge gegeben haben, verändern Sie auch die Reihenfolge nicht."
03:15;03:20;"Das heißt also, V1 ist der erste Basisvektor und Vn ist der n-te Basisvektor."
03:20;03:23;"Und die Reihenfolge soll bitte erhalten bleiben."
03:24;03:34;"Gut, dann schauen wir uns mal kurz ein paar Beispiele an, was jetzt eigentlich Basen sind von den Vektorräumen, die wir auch schon kennengelernt haben."
03:34;03:38;"Genau, Folie 5."
03:38;03:46;"Und vielleicht mal am Anfang ein ausführliches Beispiel."
03:46;03:48;"Und dann können wir die restlichen auch angeben."
03:50;03:56;"Wenn wir jetzt zum Beispiel die Menge haben mit den Elementen 1,0 und 0,-1,"
03:56;04:01;"dann ist das eine Basis des R²."
04:13;04:15;"Das müssen wir mal ganz kurz nachprüfen."
04:15;04:18;"Warum ist das so?"
04:18;04:24;"Naja, das erste, was wir zeigen müssen, ist, dass die Vektoren linear unabhängig sind."
04:24;04:26;"Aber das sieht man hier auch sofort."
04:26;04:28;"Schreiben wir es trotzdem mal kurz auf."
04:28;04:33;"Das heißt also für Lambda 1, Lambda 2 aus R."
04:33;04:38;"Mit, ja mit welcher Eigenschaft?"
04:39;04:43;"Wir wollen also eine Linearkombination des Nullvektors."
04:43;04:46;"Schreiben wir das auf."
04:46;04:52;"Plus Lambda 2, 0, 0, minus 1."
04:52;05:00;"Dann sehen wir, hier kommt also zusammengefasst einfach Lambda 1, minus Lambda 2 heraus."
05:00;05:07;"Und dafür gilt immer, dass Lambda 1 gleich Lambda 2 gleich 0."
05:07;05:10;"Und das bedeutet also, es gibt keine weitere Lösung."
05:22;05:26;"Ja, und das bedeutet also, dass die beiden Vektoren linear unabhängig sind."
05:26;05:35;"Das heißt 1, 0 und 0, minus 1."
05:47;05:54;"Gut, und das zweite, was wir zeigen müssen, wir müssen zeigen, dass diese Menge, die hier steht, tatsächlich ein Erzeugensystem ist."
05:54;05:57;"Aber auch das geht relativ einfach."
05:57;06:11;"Das heißt also, hier müssen wir zeigen, dass also diese Menge ein Erzeugensystem ist von R hoch 2."
06:11;06:22;"Das bedeutet was?"
06:22;06:29;"Das bedeutet, wir nehmen uns einen beliebigen Vektor aus dem R hoch 2 und wollen diesen als Linearkombination dieser beiden Vektoren darstellen."
06:30;06:31;"Machen wir das."
06:31;06:37;"Nehmen wir wieder einen Vektor x mit den Einträgen x1, x2."
06:37;06:42;"Dann sieht man natürlich sofort, hier nehme ich einfach als Koeffizient x1."
06:42;06:48;"Und beim zweiten nehme ich minus x2."
06:48;06:54;"Ja, und das war es schon."
06:54;06:57;"Damit haben wir das schon gezeigt."
06:58;07:00;"Jetzt habe ich hier mal ein anderes Beispiel genommen."
07:00;07:03;"Der Klassiker ist eigentlich, dass man hier statt der minus 1 die 1 nimmt."
07:03;07:04;"Das ist auch eine Basis."
07:04;07:06;"Und das kann man noch ein bisschen allgemeiner formulieren."
07:06;07:09;"Und das möchte ich gerne nochmal aufschreiben."
07:09;07:15;"Und das führt uns auf den Begriff der sogenannten Standardbasis des K auch n."
07:15;07:21;"Und zwar definieren wir uns hier Vektoren."
07:24;07:29;"Das heißt also hier I."
07:29;07:49;"Und dann können wir die sogenannte Standardbasis angeben."
07:49;07:55;"Das heißt also hier E1 bis En."
07:55;08:01;"Und das sind dann einfach die Vektoren."
08:01;08:02;"Ja, schreiben wir die mal auf."
08:06;08:07;"Das ist jetzt der erste."
08:07;08:10;"Das ist E1."
08:10;08:11;"Machen wir nochmal E2."
08:11;08:13;"Das heißt an der zweiten Stelle ist die 1."
08:13;08:15;"Der Rest ist 0."
08:19;08:23;"Und das geht dann so weiter bis En."
08:23;08:27;"Und da ist dann die letzte Zeile."
08:27;08:29;"Das heißt die Endezeile."
08:29;08:31;"Eine 1 und der Rest ist 0."
08:31;08:32;"Und das ist eine Basis."
08:39;08:41;"Das ist eine Basis von K hoch n."
08:41;08:52;"Und diesen Ausdruck hier, das Ganze hier, das ist dann also die Standardbasis."
08:52;08:56;"Und diesen Begriff sollten Sie sich merken."
08:56;09:06;"Standardbasis von K hoch n."
09:06;09:14;"Und auch diese Bezeichnung, wann immer Sie diese Vektoren sehen, wissen Sie, das sind sozusagen die Standardbasisvektoren aus dem K hoch n."
09:14;09:16;"Und natürlich der K hoch n kann jetzt irgendwas sein."
09:16;09:18;"R hoch 3, C hoch 4, was auch immer."
09:18;09:21;"Und dann natürlich muss die Anzahl hier angepasst werden."
09:21;09:23;"Gut."
09:23;09:25;"Machen wir noch ein zweites Beispiel."
09:25;09:27;"Vielleicht das, was wir vorhin schon gesehen hatten."
09:29;09:33;"Jetzt wissen wir ja, ob es eine Basis ist oder nicht."
09:33;09:40;"Das heißt also, wir nehmen die Vektoren 1, 0, 0, 1, 1, 1."
09:40;09:48;"Jetzt müssen Sie sich nochmal kurz an die erste Vorlesung, also an das erste Video von der elften Vorlesung ändern."
09:48;09:50;"Das Ganze ist keine Basis."
09:57;10:00;"Warum ist das so?"
10:00;10:05;"Weil hierfür hatten wir gesehen, das ist ein erzeugendes System."
10:05;10:15;"Aber die Vektoren sind nicht linear unabhängig."
10:18;10:33;"sind nicht linear unabhängig."
10:33;10:42;"Und ich schreibe mal dazu, siehe oben."
10:44;10:45;"Ja, das haben wir schon gesehen."
10:45;10:47;"Wir können es kurz mal anschauen."
10:47;10:53;"Gleich am Anfang vom ersten Video, da hatten wir die Menge betrachtet, und zwar hier."
10:53;10:56;"Und hatten natürlich gezeigt, das ist ein Erzeugungssystem von T."
10:56;10:58;"Und ich habe ja hier V gleich T gewählt."
10:58;11:02;"Das heißt, wir hatten sozusagen hier diese Darstellung bekommen."
11:02;11:06;"Wir konnten jeden Vektor darstellen als Linearkombination von diesen drei Vektoren."
11:06;11:09;"Hatten dann aber auch gesehen, aha, es gibt mehrere Möglichkeiten."
11:10;11:12;"Das wollten wir eigentlich nicht haben."
11:12;11:17;"Und das ist auch der Grund, weil nämlich diese Vektoren nicht linear unabhängig sind, sondern linear abhängig sind."
11:17;11:19;"Und das haben wir hier gemacht."
11:19;11:23;"Und hier hätten wir eine Lösung angegeben und hier eine zweite."
11:23;11:24;"Es gibt unendlich viele."
11:24;11:27;"Und deswegen sind die Vektoren auch nicht linear unabhängig."
11:27;11:34;"Und deswegen bildet das hier quasi keine Basis des R²."
11:34;11:45;"Und dann nehmen wir mal den Polynomraum."
11:45;11:47;"Jetzt nehme ich wirklich mal kleiner gleich n."
11:47;11:51;"Also alle Polynome vom Grad kleiner gleich n."
11:51;11:54;"Und das können wir aufschreiben als Spann."
11:56;11:59;"Das hatten wir auch schon gesehen in der letzten, in der zehnten Vorlesung."
11:59;12:05;"Von 1z bis z hoch n."
12:05;12:11;"Und wenn ich das nochmal aufschreibe, das sind ja nichts anderes als alle Polynome."
12:13;12:16;"Bis zum Grad maximal n."
12:16;12:19;"Z hoch k."
12:19;12:21;"Und die Koeffizienten sind jetzt hier."
12:21;12:25;"Aus k."
12:28;12:32;"So, und das, dieser Vektorraum hat dann die Basis."
12:32;12:36;"Ja, was ist jetzt die Basis?"
12:36;12:38;"Ja, das ist schon die Basis hier, was hier steht."
12:38;12:41;"Sorry."
12:41;12:43;"Das ist die Basis."
12:43;12:51;"Also 1z bis z hoch n."
12:52;12:56;"Und da hatten wir gesehen in der letzten Vorlesung, das ist ein Erzeugensystem."
12:56;13:04;"Also nicht das letzte Video, sondern die zehnte Vorlesung."
13:04;13:12;"Und wir hatten aber im letzten Video tatsächlich dann gesehen, dass diese Vektoren, diese Polynome linear unabhängig sind."
13:12;13:20;"Siehe oben."
13:20;13:21;"So, genau."
13:21;13:23;"Gut."
13:23;13:32;"Sie sehen also, Begriff Basis basiert eben auf einem Erzeugensystem und die Menge, die Vektoren müssen linear unabhängig sein."
13:32;13:34;"So, was können wir noch über Basen sagen?"
13:34;13:38;"Eine wichtige Eigenschaft sehen wir im nächsten Satz."
13:38;13:42;"Den werden wir jetzt nicht beweisen, aber einfach, dass wir das wissen."
13:42;13:44;"Eine Basis ist nicht eindeutig bestimmt."
13:45;13:47;"Es gibt immer unendlich viele Basen."
13:47;13:49;"Aber sie haben eine Gemeinsamkeit."
13:49;13:54;"Alle Basen eines Vektorraumes haben die gleiche Anzahl an Elementen."
13:55;14:10;"Deswegen, wenn wir diesen Satz haben, und wir haben jetzt hier schon gezeigt, dass das eine Basis ist vom R hoch 2, dann war natürlich klar, auch wenn wir diesen Satz jetzt natürlich wissen, dass das sowieso keine Basis sein kann."
14:10;14:11;"Die Anzahl der Elemente ist verschieden."
14:11;14:14;"Hier haben wir 3, oben haben wir 2."
14:14;14:14;"Ja."
14:15;14:20;"So, und jetzt sind wir auch so weit, dass wir den Begriff der Dimension einführen können."
14:20;14:23;"Und das ist jetzt relativ einfach."
14:23;14:29;"Die Dimension eines Vektorraumes ist einfach nur die Anzahl der Elemente einer Basis des Vektorraumes."
14:29;14:32;"Das steht quasi jetzt hier, was ich vorgelesen habe."
