Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Herzlich willkommen zum dritten Teil der elften Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:12;"Wir hatten uns jetzt im letzten Video mit dem Begriff Basis beschäftigt."
00:12;00:16;"Was war nochmal eine Basis? Ein linear unabhängiges Erzeugensystem."
00:16;00:21;"Wir hatten also gesehen, wenn ich jetzt überprüfen möchte, dass eine Menge eine Basis ist,"
00:21;00:24;"dann muss ich zeigen, dass es ein Erzeugensystem ist."
00:24;00:31;"Das heißt, wenn ich jetzt Vektoren V1 bis Vk habe, muss ich eben zeigen, dass der Spann davon gleich dem Vektorraum V ist"
00:31;00:37;"und ich muss zeigen, dass die Vektoren V1 bis Vk linear unabhängig sind."
00:37;00:40;"Und dann hatten wir auch noch den Begriff der Dimension gesehen."
00:40;00:48;"Die Dimension ergibt sich einfach aus der Anzahl der Elemente einer Basis eines Vektorraumes und wird mit dem V bezeichnet."
00:48;00:52;"Und wir hatten auch gesehen, dass es unendlich viele Basen geben kann."
00:53;00:58;"Aber die Anzahl der Elemente in einer Basis, die müssen dann immer gleich sein zu einem gegebenen Vektorraum."
00:58;01:03;"So, und jetzt wollen wir uns mal an diesem Teil überlegen, wie wir eigentlich solche Basen finden."
01:03;01:06;"Und jetzt betrachten wir mal nur einen Fall."
01:06;01:12;"Und zwar nehmen wir mal an, dass wir einen Vektorraum gegeben haben, V."
01:12;01:21;"Und wir können V schreiben als Spann von Vektoren V1 bis Vk."
01:22;01:29;"Übersetzt heißt das eigentlich schon, wir nehmen also an, dass diese Menge hier, die hier steht, ein Erzeugensystem ist."
01:29;01:34;"Und wollen jetzt überprüfen, wann ist das eigentlich eine Basis."
01:34;01:44;"Und im ersten Fall, nehmen wir mal an, die Vektoren V1 bis Vk sind linear unabhängig."
01:50;01:51;"Ja, was ist dann?"
01:51;01:56;"Ja, dann sind wir schon fertig."
01:56;01:58;"Ja, dann sind wir fertig."
01:58;02:02;"Dann wissen wir schon, dass das eine Basis ist."
02:11;02:21;"Das ist also bereits eine Basis von V."
02:21;02:32;"Also interessanter ist der zweite Fall, wenn wir mal annehmen, die V1 bis Vk sind nicht linear unabhängig, sondern sind linear abhängig."
02:32;02:51;"So, was bedeutet das, wenn die Vektoren linear abhängig sind?"
02:51;02:53;"Naja, wenn wir uns nochmal kurz anschauen."
02:53;02:56;"Was war nochmal die Definition?"
02:56;02:57;"Das sehen wir nochmal hier."
02:57;03:00;"Das ist jetzt egal, welche Gleichung, ob jetzt diese oder diese."
03:00;03:04;"Diese Gleichung hat also mindestens zwei Lösungen, bedeutet das."
03:04;03:09;"Das heißt, es gibt eine Lösung, wo mindestens ein Lambda J ungleich Null ist."
03:14;03:31;"Also, Lambda J ungleich Null, und zwar so, dass diese Gleichung eben erfüllt ist."
03:31;03:44;"Das heißt also, Lambda 1 V1 plus und dann bis Lambda J Vj plus und so weiter."
03:44;03:47;"Bis Lambda, was haben wir hier?"
03:47;03:48;"K Vk."
03:48;03:53;"So, und jetzt ist die Idee folgendermaßen."
03:54;03:59;"Jetzt kann ich ja diesen Ausdruck mal auf die linke Seite nehmen."
03:59;04:07;"Dann steht auf der linken Seite steht ja dann Minus Lambda J Vj ist gleich und dann steht der Rest ohne diesen Ausdruck."
04:07;04:12;"Und dann teile ich durch Minus Lambda J."
04:12;04:15;"Und dann bekomme ich eine Darstellung für Vj."
04:18;04:22;"Und zwar so, ich habe ja gesagt, ich teile durch Minus Lambda J."
04:22;04:34;"Und dann steht hier Lambda 1 V1 bis Lambda J minus 1 Vj minus 1."
04:34;04:36;"Dann geht es weiter."
04:36;04:48;"Lambda J plus 1 Vj plus 1 plus Lambda K Vk."
04:48;04:52;"Also das hier ist jetzt sozusagen weg auf die andere Seite."
04:52;04:57;"Deswegen haben wir ein Minuszeichen und dann teilen wir durch Lambda J, also Minus Lambda J."
04:57;04:59;"Deswegen bekommen wir diesen Vorfaktor."
05:00;05:13;"Ja und das wiederum bedeutet aber, ich kann also jetzt das Element, den Vektor Vj, als Linearkombination von V1 bis Vj minus 1 und Vj plus 1 bis Vk darstellen."
05:13;05:17;"Und das heißt, ich kann einfach dieses Element aus dem Spann entfernen."
05:17;05:20;"Es wird schon automatisch von den anderen erzeugt."
05:22;05:30;"Das heißt also, wenn ich bei V den Spann habe, V1 bis, ich schreibe das Vj hier nochmal so dazu."
05:30;05:40;"Dann ist das die gleiche Menge, wenn ich das Vj weglasse, weil es eben durch all die anderen erzeugt wird."
05:51;05:52;"Das kann man hier nochmal dazu schreiben."
05:52;06:02;"Das heißt also, Vj kann man hier also weglassen."
06:02;06:09;"Und dann ist die Idee folgendermaßen."
06:09;06:13;"Jetzt beginnen wir nochmal das Verfahren."
06:13;06:17;"Und zwar, hier oben haben wir ja gesagt, wir starten mit diesen."
06:17;06:22;"Jetzt haben wir aber, V ist gleich diesem ohne Vj."
06:22;06:25;"Und jetzt testen wir das gleiche nochmal mit diesen beiden Fällen."
06:25;06:28;"Das heißt also, teste erneut."
06:34;06:36;"Das bedeutet also, was wollen wir machen?"
06:36;06:46;"V1 bis Vj minus 1 und Vj plus 1 bis Vk."
06:46;06:48;"Testen wir also jetzt auf linear."
06:48;06:54;"Oben unabhängig oder abhängig."
06:54;06:56;"So wie wir das hier mit den zwei Fällen gemacht haben."
06:57;07:02;"Und diesen Schritt führen wir so lange durch, bis die Vektoren linear unabhängig sind."
07:22;07:25;"Bis die Vektoren dann linear unabhängig sind."
07:25;07:27;"Und dann haben wir die Basis gefunden."
07:36;07:37;"Gut, und das nochmal als Zusammenfassung."
07:37;07:39;"Schauen wir uns auf der Folie an."
07:39;07:41;"Das ist die Folie 8."
07:41;07:42;"Jetzt muss ich ein bisschen scrollen."
07:42;07:44;"Genau."
07:44;07:44;"Hier."
07:44;07:46;"Konstruktion von Basen."
07:46;07:51;"Das, was wir gerade auf der E-Karbeiter gemacht haben, war im Endeffekt der erste Fall."
07:51;07:57;"Wir hatten ja, der Start war schon, V ist gleich der Spann von diesen Vektoren."
07:57;08:02;"Das heißt ja automatisch, dass diese Menge hier ein Erzeugungssystem ist."
08:02;08:06;"Das heißt also, wenn wir jetzt hier einen K-Vektorraum haben und Vektoren V1 bis Vk."
08:06;08:09;"Dann im ersten Fall."
08:09;08:12;"Wir wissen schon, dass diese Menge ein Erzeugungssystem von V ist."
08:12;08:16;"Aber die Vektoren sind nicht linear unabhängig."
08:16;08:20;"Dann entfernen wir halt Vektoren so lange, bis wir eine Basis bekommen."
08:20;08:21;"Das haben wir auch gesehen."
08:21;08:24;"Wenn der erste Fall hier eintritt, sind wir sowieso fertig."
08:24;08:24;"Alles klar."
08:25;08:33;"Wenn sie abhängig sind, dann eliminieren wir also ein Element und bekommen diese Darstellung und wenden diesen Test nochmal an."
08:33;08:39;"Bis wir automatisch zum ersten Fall kommen, sodass wir wissen, dass diese Elemente linear unabhängig sind."
08:39;08:40;"Und dann haben wir eine Basis."
08:40;08:43;"Das ist sozusagen dieser erste Fall."
08:44;08:48;"Im zweiten Fall nehmen wir mal an, V1 bis Vk sind linear unabhängig."
08:48;08:53;"Aber diese Menge der V1 bis Vk ist kein Erzeugungssystem."
08:53;09:00;"Das heißt, wir können nicht alle Elemente aus dem Vektorraum darstellen als Linearkombinationen von V1 bis Vk."
09:00;09:04;"Und dann ist einfach die Idee, dass wir neue Vektoren hinzufügen zu dieser Menge."
09:05;09:07;"Und das hier bezeichnen mit Vk plus 1."
09:07;09:09;"Die dürfen aber nicht zu diesem Spann gehören."
09:09;09:10;"Das ist klar."
09:10;09:12;"Weil das macht keinen Sinn."
09:12;09:14;"Die sind ja schon da."
09:14;09:16;"Das heißt, wenn ich die hinzufüge, ist es egal."
09:16;09:20;"Das heißt, sie dürfen nicht aus diesem Spann sein."
09:20;09:24;"Und wir fügen sie hinzu und schauen dann, ob es eine Basis ist."
09:24;09:31;"Sprich, ob es dann ein Erzeugungssystem ist und ob alle Elemente als Linearkombination dargestellt werden können."
09:32;09:38;"Gut, vielleicht ein kleines Beispiel dazu noch zum Abschluss des Videos."
09:38;09:43;"Und dann können wir uns zum letzten Teil mit Koordinaten beschäftigen."
09:43;09:51;"So, jetzt muss ich kurz schauen."
09:51;09:52;"Ja, das ist Folie 8."
09:52;09:56;"Und dann nehmen wir schon mal ein bekanntes Beispiel."
09:59;10:02;"Und zwar nehmen wir wieder den Vektorraum R2."
10:02;10:10;"So, und der R2, den schreiben wir mal auf."
10:10;10:19;"Als Spann von 1, 0, 0, 1, 1, 1."
10:19;10:21;"Das Beispiel kommt Ihnen bekannt vor."
10:23;10:26;"So, das ist ein Erzeugungssystem."
10:26;10:29;"Das hatten wir ja schon."
10:29;10:36;"Von R2."
10:36;10:37;"Aber"
10:37;10:42;"die Vektoren sind nicht linear unabhängig."
10:42;10:48;"Auch das hatten wir schon gesehen."
10:48;10:57;"Das heißt, wir sind jetzt auch in diesem Fall."
10:57;10:59;"Und das, was wir eben auch auf der E-Kreide gemacht haben."
10:59;11:09;"Also, wenn die nicht linear unabhängig sind, können wir also zum Beispiel irgendeines von diesen Elementen durch die anderen beiden als Linearkombination darstellen."
11:09;11:14;"Und tatsächlich können wir was tun."
11:14;11:21;"Na ja, wenn wir den Vektor 1, 1 nehmen, den können wir doch darstellen als Linearkombination der anderen beiden."
11:21;11:25;"Das heißt, also diesen können wir darstellen durch eine Linearkombination von diesen beiden."
11:26;11:34;"indem ich hier einfach 1 mal 1, 0 plus 1 mal 0, 1 nehme."
11:34;11:42;"Ja, und das bedeutet wiederum, dass dieser Vektor keinen Mehrgewinn in diesem Spann bringt."
11:42;11:47;"Dadurch, dass ich diesen Vektor schon erzeugen kann durch die anderen beiden, kann ich ihn einfach weglassen hier."
11:47;11:51;"Das heißt, wenn ich ihn hier weglasse, ändert sich die Menge überhaupt nicht."
11:53;12:11;"Das heißt, also hier wissen wir 1, 1, oder ich sag mal daraus folgt, kann im Spann somit ignoriert werden."
12:17;12:30;"Und das heißt dann, wir können den R2 auch schreiben als den Spann von 1, 0, 0, 1."
12:30;12:35;"Das ist das gleiche Prinzip, was wir eben auf der E-Kreide gemacht haben, nur auf diesen Spezialfall."
12:35;12:40;"Und jetzt wissen wir aber, das ist immer noch ein Erzeugensystem, was hier steht, klar."
12:41;12:47;"Aber wir wissen jetzt, dass diese beiden Vektoren linear unabhängig sind, also haben wir genau das hier gemacht, was hier steht."
12:47;12:51;"Wir haben also ein Element eliminiert und bekommen jetzt tatsächlich schon eine Basis."
12:56;12:58;"Das ist also, ich schreibe mal eine Basis."
12:58;12:59;"Wir wissen, es gibt unendlich viele."
12:59;13:11;"Eine Basis von R2, da die beiden Vektoren linear unabhängig sind."
13:14;13:16;"Ich kürze das jetzt hier immer mal ein bisschen ab."
13:16;13:19;"Gut."
13:19;13:22;"Schauen wir mal den zweiten Fall an."
13:22;13:29;"Also hier in diesem ersten Fall haben wir uns ja überlegt, wir haben schon ein Erzeugensystem, aber die Elemente sind nicht linear unabhängig."
13:29;13:34;"Jetzt nehmen wir mal an, wir haben linear unabhängige Elemente, aber es ist noch kein Erzeugensystem."
13:39;13:47;"Das heißt also umgekehrt, nehmen wir mal den Vektor 0,1, das als Menge."
13:47;13:50;"Das ist keine Basis von R2."
13:50;13:55;"Jetzt wollte ich eine schreiben, keine."
13:55;14:03;"Warum nicht?"
14:04;14:09;"Naja, da diese Menge offensichtlich kein Erzeugensystem ist."
14:09;14:15;"Warum nicht?"
14:15;14:23;"Naja, Erzeugensystem bedeutet, aus dem Erzeugensystem diese Elemente, alle Linearkombinationen, alle möglichen davon,"
14:23;14:26;"damit kann ich jedes Element aus dem R2 darstellen."
14:26;14:29;"Aber das klappt ja hier nicht."
14:32;14:34;"Zum Beispiel, was kann man nicht darstellen?"
14:34;14:41;"Zum Beispiel 1,1."
14:41;14:44;"Das kann nicht dargestellt werden."
