Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der elften Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Im letzten Video hatten wir uns mit der Konstruktion von Basen beschäftigt, haben also gesehen,"
00:13;00:17;"unter welchen Voraussetzungen, was wir wie tun müssen, um eine Basis zu bekommen."
00:17;00:24;"Und in diesem letzten Teil wollen wir uns ein bisschen damit beschäftigen, welche tolle Eigenschaften eine Basis hat"
00:24;00:28;"und wollen uns dann auch mit dem sogenannten Koordinatenvektor beschäftigen."
00:28;00:33;"Das ist schon ein bisschen vorbereitend für die Vorlesung 16, also noch ein bisschen hin."
00:33;00:36;"Und dazu schauen wir uns einfach mal direkt einen Satz an."
00:36;00:43;"Das ist der Satz 3 und wir sind jetzt im Teilkapitel 11, drei Koordinaten."
00:43;00:54;"Und ja, was haben wir gegeben? Wir haben erstmal wieder einen Vektorraum, einen K-Vektorraum V und eine Basis B mit den Elementen V1 bis Vn."
00:54;00:59;"Wir wissen, was eine Basis ist. Das ist ein linear unabhängiges Erzeugensystem."
00:59;01:07;"Das heißt also, diese Menge ist ein Erzeugensystem und die einzelnen Vektoren hier, die sind linear unabhängig."
01:08;01:19;"Und das Schöne und Interessante an einer Basis ist, dass sich jeder Vektor V, klein V aus Großv, als Linearkombination dieser Basiselemente schreiben lassen kann."
01:19;01:23;"Und zwar hier mit Koeffizienten Lambda 1 bis Lambda n."
01:23;01:26;"Die sind aus dem Grundkörper K."
01:26;01:31;"Und jetzt kommt das Tolle. Diese Darstellung ist immer eindeutig bestimmt."
01:31;01:36;"Und damit denken wir gleich nochmal an das erste Video zurück."
01:36;01:42;"Da ging es ja darum, dass ich gesagt habe, unser Ziel ist, dass wir irgendwie optimale Erzeugensysteme bekommen wollen."
01:42;01:50;"Und hatten wir dann auch ein Beispiel gesehen, wo wir eine eindeutige Darstellung hatten und ein Beispiel, wo wir keine eindeutige Darstellung hatten."
01:50;02:01;"Und das ist der wesentliche Punkt an einer Basis, dass wir jetzt also immer wissen, dass wir jedes Element aus dem Vektorraum als eindeutig bestimmte Linearkombination von diesen Elementen schreiben lassen können."
02:01;02:09;"Und diese Koeffizienten, die nennen wir ab jetzt auch Koordinaten von V."
02:09;02:17;"Und diese Koordinaten, die kann man in einen Vektor schreiben, also wirklich in einen Vektor, deswegen auch hier mit einem Pfeil geschrieben."
02:17;02:22;"Und zwar in dieser Form. Das heißt, das sind jetzt die Koordinaten Lambda 1 bis Lambda n."
02:22;02:24;"Das ist ein Vektor aus dem K auch n."
02:24;02:28;"Und das ist der sogenannte Koordinatenvektor von V bezüglich der Basis B."
02:28;02:32;"Deswegen steht hier auch, das Element heißt V."
02:32;02:37;"Dann nehmen wir also V, wir bekommen einen Vektor und schreiben als Index einfach dieses B hier dran."
02:37;02:41;"Das B ist die Bezeichnung der Basis."
02:41;02:44;"Und das ist halt die tolle Eigenschaft einer Basis."
02:45;02:51;"Wir wollen diesen Satz auch mal beweisen, weil wir dann auch genau sehen, an welcher Stelle wir eigentlich was benötigen."
02:51;02:57;"Die Basis hat ja eben die zwei Eigenschaften, Erzeugungssystem und die Elemente sind linear unabhängig."
02:57;02:59;"Schauen wir uns das mal an."
03:03;03:04;"Ja, Folie 9."
