Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Herzlich willkommen zur 12. Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:07;00:17;"Wir sind jetzt im Kapitel Matrizen angekommen und das dient dann auch vorbereitend für die weiteren Kapitel mit den linearen Gleichungssystemen."
00:17;00:26;"Das heißt, wir werden hier erstmal die Definition einer Matrix angeben und uns dann anschauen, wie die Matrixmultiplikation funktioniert"
00:26;00:30;"und werden dann noch inverse, transponierte und adjungierte Matrix kennenlernen."
00:30;00:39;"Fangen wir erstmal an mit der Definition oder vielleicht erstmal als Motivation, warum wollen wir eine Matrix definieren?"
00:39;00:44;"Unser Ziel ist ja das Lösen von Gleichungssystemen."
00:44;00:49;"Und gehen wir mal so ein Gleichungssystem an."
00:49;01:03;"Zum Beispiel könnten wir jetzt mal"
01:03;01:08;"minus 2x1 plus"
01:08;01:11;"3x2"
01:11;01:14;"ist gleich 5"
01:14;01:17;"und x1"
01:17;01:20;"minus x2"
01:20;01:22;"ist gleich 1."
01:22;01:25;"So, und jetzt haben wir so ein System"
01:25;01:30;"und die Idee ist dann, dieses System erstmal in eine Matrix-Schreibweise zu bekommen."
01:30;01:33;"Und das wäre jetzt hier"
01:33;01:44;"wir wollen das also durch Matrizen"
01:44;01:48;"formulieren"
01:48;01:52;"und dann wäre das hier in diesem konkreten Fall"
01:52;01:53;"minus 2"
01:53;01:54;"3"
01:54;01:55;"1"
01:55;01:57;"minus 1"
01:57;02:00;"und das denn hier"
02:00;02:01;"x1"
02:01;02:04;"x2"
02:04;02:07;"und die rechte Seite"
02:07;02:08;"5"
02:08;02:09;"und 1"
02:09;02:13;"Ja, ich habe jetzt hier quasi diese Koeffizienten"
02:13;02:13;"minus 2"
02:13;02:14;"3"
02:14;02:15;"hier steht ja eine 1"
02:15;02:16;"und hier steht eine minus 1"
02:16;02:18;"das sind genau diese Koeffizienten"
02:18;02:21;"und die werden dann hier multipliziert mit"
02:21;02:21;"x1"
02:21;02:23;"und x2"
02:23;02:25;"und die rechte Seite ist dann auch wieder ein Vektor"
02:25;02:25;"5"
02:25;02:25;"1"
02:25;02:29;"und das wollen wir jetzt erstmal definieren, was das überhaupt ist"
02:29;02:31;"und wie sowas hier überhaupt funktioniert."
02:31;02:31;"Das ergibt ja dann"
02:31;02:35;"das führt uns dann zur Matrix-Multiplikation im zweiten Video."
02:35;02:41;"Schauen wir uns erstmal formal die Definition an, was wir unter einer Matrix verstehen."
02:41;02:43;"Sie hatten ja schon den Teil der Folie gesehen."
02:43;02:47;"Ja, was ist eine Matrix?"
02:47;02:48;"Wir haben jetzt"
02:48;02:50;"Zahlen gegeben"
02:50;02:51;"A, I, J"
02:51;02:52;"die sind aus K"
02:52;02:54;"also entweder R oder C"
02:54;02:56;"und I ist gleich 1 bis M"
02:56;02:58;"und J ist gleich 1 bis N"
02:58;03:04;"und dann nennen wir dieses Schema, was Sie hier sehen, wir ordnen diese Zahlen also in dieser Form hier an"
03:04;03:07;"ja, das heißt also, wir hatten ja hier A, I, J"
03:07;03:10;"und dann A11, A12"
03:10;03:12;"dann haben wir hier A22"
03:12;03:14;"hier zum Beispiel AM2"
03:14;03:15;"AMN"
03:15;03:21;"und dieses Schema, das nennen wir eine M Kreuz N Matrix mit Einträgen in K"
03:21;03:25;"und wir ordnen diese Zahlen hier so an und schreiben eckige Klammern darum"
03:25;03:27;"und das Ganze bezeichnen wir einfach mit A"
03:27;03:36;"und die Kurzschreibweise von so einer Matrix wäre auch, dass man einfach das so schreibt mit eckigen Klammern und dann A, I, J"
03:36;03:43;"wenn man aber noch genau wissen will, welche Größe die Matrix hat, also wenn man es konkreter haben möchte oder es nicht offensichtlich ist,"
03:43;03:49;"dann schreibt man eben hier noch hinzu I gleich 1 bis M und J gleich 1 bis N"
03:49;03:50;"ja"
03:50;03:51;"und"
03:51;03:56;"ja, das ist im Endeffekt eine Matrix und das passt auch zu dem, was wir jetzt hier gemacht haben"
03:56;03:58;"ja, das ist eben auch eine Matrix"
03:58;04:01;"das wäre jetzt eine 2 Kreuz 2 Matrix"
04:01;04:01;"ja"
04:01;04:02;"und"
04:02;04:05;"das bedeutet jetzt hier"
04:05;04:08;"ja, was bedeutet das jetzt eigentlich mit M Kreuz N"
04:08;04:11;"wir sehen also hier, hier geht das Ganze bis M"
04:11;04:15;"das heißt wir haben 1, 2 und so weiter M Zeilen"
04:15;04:16;"und wir haben"
04:16;04:18;"und so weiter N Spalten"
04:18;04:23;"ja, das heißt sie geben immer als erste Zahl die Zeilenanzahl an"
04:23;04:25;"und das zweite ist immer die Spaltenanzahl"
04:25;04:28;"und hier ist das eben eine quadratische Matrix"
04:28;04:31;"das heißt Zeilenanzahl ist gleich Spaltenanzahl"
04:31;04:33;"und quadratisch hier auch nochmal"
04:33;04:36;"bedeutet also, wenn M gleich N ist"
04:36;04:36;"ja"
04:36;04:37;"und"
04:37;04:41;"die Menge aller M Kreuz N Matrizen mit Einträgen"
04:41;04:43;"ähm, in K"
04:43;04:46;"die bezeichnen wir mit K hoch M, N"
04:46;04:48;"ja, damit ist"
04:48;04:51;"erweitern wir im Endeffekt einfach einen Vektor, den wir bisher schon kennen"
04:51;04:54;"ja, das wäre ja zum Beispiel ein Vektor"
04:54;04:57;"und jetzt haben wir hier noch weitere Vektoren"
04:57;04:58;"und das"
04:58;05:01;"Gesamte bezeichnen wir als Matrix"
05:01;05:03;"gut, schauen wir uns"
05:03;05:05;"ähm, noch ein paar Hinweise an"
05:05;05:08;"bevor wir uns Beispiele anschauen"
05:08;05:13;"ähm, ja, hier ist nochmal die Regel, die ich gerade auch gesagt habe"
05:13;05:17;"also i, j ist sozusagen die Regel Zeile, Spalte"
05:17;05:22;"es kann durchaus sein, wenn Sie in irgendwelche Literatur schauen, in Büchern"
05:22;05:27;"ähm, dass es auch andere Notationen, ältere Sachen gibt, wo zum Beispiel die Spalte Komma, die Zeile steht"
05:27;05:33;"hier in diesem Kurs ist immer die erste Zahl Zeile und die zweite ist die Spalte"
05:33;05:43;"ja, vielleicht noch zur Aussprache, weil das immer wieder falsch gemacht wird, also es heißt ja die Matrix Singular und Plural ist dann die Matrizen, ja"
05:44;05:48;"Und oftmals sagen dann viele die Matrixen, das ist also falsch."
05:48;05:50;"Deswegen gewöhnen sie sich da dran."
