Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der zwölften Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:17;"Wir haben uns jetzt im ersten Video mit Matrizen beschäftigt, haben die Definition gesehen, haben auch gesehen, wie wir Matrizen addieren können."
00:17;00:21;"Wir haben gesehen, die müssen also die gleiche Größe haben, das gleiche Format."
00:21;00:25;"Das heißt also, Zeilenanzahl und Spaltenanzahl müssen gleich sein."
00:25;00:30;"Dann können wir addieren und können dann auch eine Skalarmultiplikation durchführen."
00:30;00:36;"Ich meine, die können wir rein theoretisch immer tun, aber wir wollen ja auch einen Vektorraum haben."
00:36;00:45;"Und wir haben am Ende auch gesehen, dass der Raum der m kreuz n Matrizen dann tatsächlich ein Vektorraum ist, der Dimension m mal n."
00:45;00:51;"Was wir bisher noch nicht gesehen haben, ist den Fakt, wie wir Matrizen multiplizieren können."
00:51;00:52;"Und das ist tatsächlich nicht ganz so leicht."
00:52;00:56;"Das werden wir jetzt in diesem Video mal näher anschauen."
00:56;01:00;"Wir beginnen mal mit der allgemeinen Definition."
01:00;01:02;"Dazu schauen wir uns mal die Folie an."
01:02;01:05;"Ich gebe zu, die sieht etwas schlimm aus."
01:05;01:07;"Man fühlt sich leicht erschlagen davon."
01:07;01:11;"Aber schauen wir uns das erst mal näher an."
01:11;01:14;"Und dann werden wir vielleicht sehen, dass es doch nicht so kompliziert ist."
01:14;01:16;"So, was haben wir gegeben?"
01:16;01:19;"Wir haben erst mal eine Matrix A gegeben."
01:19;01:23;"Und hier sehen Sie m Zeilen n Spalten."
01:23;01:29;"Und eine Matrix B, die hat n Zeilen und m Spalten."
01:29;01:36;"Und das Erste, was wir uns merken, ist, dass das Produkt von zwei Matrizen A mal B,"
01:36;01:44;"das funktioniert nur, wenn die Spaltenanzahl von A gleich der Zeilenanzahl von B ist."
01:44;01:45;"Und das ist hier auch der Fall."
01:45;01:53;"Das heißt also, von der linken Matrix, die Spaltenanzahl muss gleich der Zeilenanzahl von der rechten Matrix sein."
01:54;01:58;"So, jetzt schauen wir uns gleich mal das hier unten an, wie das Ganze funktioniert."
01:58;02:00;"Im Endeffekt ist es gar nicht so kompliziert."
02:00;02:03;"Das hier, was wir hier sehen, das ist ein Element."
02:03;02:07;"Das ist das Element links oben von dem Produkt A mal B."
02:07;02:14;"Und was wir jetzt hier sehen, wir haben jetzt hier die Summe K gleich 1 bis N und hier A 1 K B 1 K."
02:15;02:15;"Was bedeutet das?"
02:15;02:25;"Ja, A 1 bedeutet, wir bleiben erstmal in der ersten Zeile von Groß A und gehen dann alle Elemente durch."
02:25;02:37;"Und bei B K 1 bedeutet das, wir bleiben in der ersten Spalte und gehen alle Elemente von der ersten Spalte durch."
02:37;02:44;"Das heißt also, was hier steht, bedeutet einfach nur, wir multiplizieren die erste Zeile von A mit der ersten Spalte."
02:44;02:45;"von A."
02:45;02:54;"Das ist sozusagen die Idee und deswegen brauchen wir auch, dass diese beiden hier gleich sind, damit wir dieses Produkt bilden können."
02:54;02:59;"Das heißt, wir bilden jeweils das Produkt und addieren alles zusammen und das liefert dieses Element."
02:59;03:14;"Und wenn wir jetzt zum Beispiel hier unten sind, dann heißt das einfach nur, dass wir die M-te Zeile nehmen von Groß A und multiplizieren diese mit der Petenspalte von B."
03:14;03:15;"Groß B."
03:15;03:20;"So, ich gebe zu, es sieht kompliziert aus."
03:20;03:23;"Wir schauen uns das Parallelen auf der E-Kreide an."
03:27;03:32;"So, wir geben uns mal, also vielleicht noch zur Erklärung nochmal, was ich mit den Formaten gesagt habe."
03:32;03:49;"Wenn ich jetzt eine Matrix A, I, J habe, die hat jetzt das Format K, M, N und ich habe eine Matrix B, die hat das Format B, I, J."
03:50;03:53;"Nicht das Format, sondern die Einträge B, I, J."
03:53;03:56;"Und das Format ist N, P."
03:57;04:05;"So, dann muss die Voraussetzung, also wir reden jetzt von dem Produkt, ich möchte jetzt das Produkt A mal B bilden."
04:05;04:14;"Um das Produkt bilden zu können, muss diese Zahl und diese Zahl gleich sein."
04:15;04:21;"Wenn wir jetzt B mal A machen, dann müssen wir das natürlich anders anpassen, aber bei A mal B müssen diese beiden gleich sein."
04:21;04:26;"Das ist also die Voraussetzung für die Existenz."
04:31;04:35;"Und es ist tatsächlich so, dass eben nicht jedes Matrix Produkt definiert ist."
04:35;04:37;"Das muss erfüllt sein."
04:37;04:41;"So, für A mal B."
04:41;04:46;"Und was herauskommt, das können wir auch schon ablesen, das Format."
04:46;04:52;"Und zwar kommt hier dann eine Matrix raus, die hat welches Format?"
04:54;04:56;"Ja, die hat das Format M, P."
04:56;05:03;"Das heißt, die anderen beiden, die übrig bleiben, die geben dann das Format der Matrix an, die bei dem Produkt herauskommt."
05:03;05:13;"Das heißt also, dieses hier, dieses M steht dort und dieses P steht hier."
05:14;05:20;"So, und die Definition ist also A mal B."
05:20;05:26;"Und dann schreiben wir das nochmal kurz auf und dann schauen wir uns konkret ein Beispiel an."
05:26;05:36;"Das heißt also hier A, I, K mal A, B, K, J."
05:37;05:47;"Und das bedeutet nichts anderes, dass also das I, J, Element von A mal B ist die I-Zeile von A multipliziert mit der J-Spalte von B."
05:47;05:49;"Das ist alles, was Sie sich merken müssen."
06:02;06:10;"Von A mal B ist also hier also die I-Zeile."
06:10;06:15;"Die I-Zeile."
06:15;06:19;"Und deswegen auch hier also I-Zeile, J-Spalte."
06:19;06:36;"Das ist die I-Zeile von A multipliziert mit der J-Spalte von B."
06:36;06:44;"So, schauen wir uns das mal konkret an."
06:44;06:53;"So, erstes Beispiel."
06:53;06:55;"Ähm, ja."
06:55;06:58;"Gehen wir uns mal eine Matrix A vor."
06:58;07:02;"Auch hier wieder die, die ich schon im ersten Video verwendet habe."
07:02;07:06;"Eins, zwei, drei, vier, fünf, sechs."
07:09;07:14;"So, das Format ist jetzt hier, das können wir ablesen, zwei Zeilen, drei Spalten."
07:14;07:19;"So, jetzt gebe ich noch eine andere Matrix vor und zwar eine Matrix B."
07:19;07:27;"Das wäre jetzt mal hier 3, 1, minus 1, 2, 0, minus 2."
07:29;07:35;"Und hier sieht man, das Format hat also drei Zeilen und zwei Spalten."
07:35;07:37;"Also auch hier nochmal der Test."
07:37;07:39;"Wir wollen A mal B bestimmen."
07:39;07:42;"Dann sehen wir also, aha, die sind gleich."
07:42;07:46;"Das heißt also, A mal B existiert."
07:50;07:54;"Ja, das sehen wir hier schon mal."
07:54;07:58;"Aber kurioserweise klappt es auch, wenn wir B mal A nehmen."
07:58;08:01;"Wenn wir B mal A nehmen."
08:01;08:02;"Aber das schauen wir uns gleich nochmal an."
08:03;08:06;"Heraus kommt also, was A mal B existiert."
08:06;08:15;"Und wir wissen, A mal B hat das Format, das sind jetzt alles reelle Einträge."
08:15;08:19;"Machen wir hier mal blau, 2, 2."
08:19;08:21;"Und das kommt eben von diesem hier her."
08:21;08:27;"Das ist dieses und das ist dieses."
08:27;08:29;"So, gut."
08:29;08:31;"Rechnen es mir endlich mal aus."
08:32;08:36;"Also A mal B schreiben wir dir nochmal auf."
08:36;08:40;"Also 1, 2, 3, 4, 5, 6."
08:40;08:43;"Das heißt also, wir wissen schon mal, A mal B existiert."
08:43;08:48;"Und jetzt müssen wir nochmal schauen, wie wir das konkret ausrechnen in diesem Beispiel."
08:48;08:51;"Minus 1, minus 2."
08:51;08:55;"So, ich brauche ein bisschen Platz hier."
08:55;08:59;"Also, wir fangen mal an."
08:59;09:02;"Wir bekommen jetzt also, wir wissen schon, wir bekommen eine 2-Kreuzung."
09:02;09:04;"2-Kreuz-2-Matrix heraus bei diesem Produkt."
09:04;09:09;"Was etwas kurios ist, ja, weil das ist irgendwie eine 2-Kreuz-3."
09:09;09:10;"Das ist eine 3-Kreuz-2."
09:10;09:13;"Aber 2-Kreuz-2 ist das Resultat."
09:14;09:25;"Und wenn ich jetzt anfange, links oben das Element, das erste links oben, dann wäre das, ich multipliziere diese Zeile mit dieser Spalte."
09:25;09:32;"Und zwar immer dieses mit diesem plus diesem mal diesem plus dieses mal diesem."
09:33;09:37;"Das ist darunter zu verstehen, wenn ich sage, Zeile mal Spalte werden multipliziert."
09:37;09:39;"Schreiben wir das mal auf."
09:39;09:43;"Das heißt also, 1 mal 3."
09:43;09:46;"1 mal 3."
09:47;09:51;"Als nächstes plus 2 mal 1."
09:51;09:59;"Und als nächstes plus 3 mal minus 1."
10:04;10:07;"So, damit haben wir schon das erste Element."
10:07;10:12;"Das Element unten drunter, das bekommen wir, indem wir was machen?"
10:12;10:16;"Indem wir diese Zeile, die zweite Zeile, mit der ersten Spalte multiplizieren."
10:16;10:19;"Ja, dieses mit diesen."
