Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der zwölften Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Ja, in diesem letzten Teil wollen wir uns noch mit zwei Klassen von Matrizen beschäftigen."
00:14;00:18;"Genauer gesagt wollen wir eigentlich nur die Definition anschauen."
00:18;00:22;"Es geht jetzt hier um die Transponierte und die Adjungierte."
00:22;00:28;"Das sind zwei Klassen von Matrizen, die wir auch häufiger verwenden werden, speziell die Transponierte."
00:29;00:32;"Deswegen schauen wir uns das direkt mal an, die Definition."
00:32;00:36;"Ja, was ist die Transponierte einer Matrix?"
00:36;00:49;"Wir haben jetzt eine Matrix A gegeben in dieser Form, das heißt also mit Einträgen A, I, J und Format M kreuz N, also M Zeilen N spalten."
00:49;01:05;"Und dann ist die Transponierte Matrix Bezeichnung A hoch T definiert durch B, I, J und B, J sehen Sie hier, ist einfach nur erklärt als A, J, I."
01:05;01:15;"Das bedeutet einfach nur, dass also die Zeilen von A sind dann also die Spalten von A transponiert."
01:15;01:19;"Ja, das ist alles, was hier sozusagen getan wird."
01:20;01:26;"Und ja, A transponiert, so sprechen Sie das Ganze aus, wenn Sie A hoch T schreiben."
01:26;01:31;"Und das bedeutet also einfach, wenn Sie eine Matrix haben, nehmen Sie die erste Spalte."
01:31;01:41;"Das ist dann bei der transponierten, wenn Sie bei einer Matrix A nehmen Sie die erste Zeile und die Transponierte davon ist sozusagen von der ersten Zeile, ist das gleichzeitig die erste Spalte."
01:42;01:45;"Und so gehen Sie alle Zeilen durch und füllen dann auch die Spalten auf."
01:45;01:47;"Wir schauen uns das gleich nochmal an."
01:47;01:49;"Rechenregeln dazu."
01:49;01:54;"Ja, vielleicht schauen wir uns das erste Beispiel an, damit die Rechenregeln mehr Sinn ergeben."
01:54;02:02;"Das ist jetzt eigentlich nur eine Definition, dass Sie das mal gehört haben."
02:07;02:20;"Und zwar nehmen wir mal, wenn ich jetzt die Matrix A nehme, ja, der Klassiker, 1, 2, 3, 4, 5, 6, genau."
02:20;02:23;"Wie sieht jetzt die Transponierte aus?"
02:23;02:25;"Also was steht auf der Folie?"
02:25;02:31;"Da steht also, die Zeilen von A werden zu den Spalten von A transponiert."
02:31;02:34;"Ja, das heißt also was?"
02:35;02:40;"Das heißt also, diese Zeile wird einfach diese Spalte."
02:40;02:41;"Schreiben wir das mal auf."
02:41;02:48;"Und völlig analog wird diese Zeile dann einfach die zweite Spalte."
02:48;02:53;"Ja, das heißt also, hier steht 4, 5, 6."
02:53;02:55;"Das war es schon, ja."
02:55;02:56;"Also mehr ist hier nicht dabei."
02:56;02:58;"Wir können das nochmal markieren."
02:58;03:03;"Das heißt also, das liefert dann eben genau diese Spalte."
03:03;03:14;"Und das andere liefert dann eben diese zweite Spalte hier."
03:14;03:17;"Das ist alles, was Sie beachten müssen."
