Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur 13. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns ja im letzten Kapitel mit Matrizen beschäftigt und hatten ja schon angekündigt,"
00:13;00:19;"dass wir jetzt endlich zum ersten großen Ziel dieses Kurses kommen, das Lösen von linearen Gleichungssystemen."
00:19;00:24;"Und dafür haben wir zwei Vorlesungen und wir beginnen in dieser Vorlesung erst mal mit der Definition,"
00:24;00:31;"was ist ein lineares Gleichungssystem und überlegen uns dann, wie wir das geeignet umformen können,"
00:31;00:33;"um die Lösung elegant ablösen zu können."
00:33;00:40;"Und da gibt es dann die sogenannten elementaren Zeilenoperationen und wir bringen die Matrix"
00:40;00:47;"oder eben dann auch das System in Zeilenstufenform bzw. normierte Zeilenstufenform."
00:47;00:53;"Wir schauen uns dann auch einige Beispiele dazu an und werden am Ende auch noch eine interessante Aussage"
00:53;00:55;"über die Struktur der Lösungsmenge bekommen."
00:55;01:01;"Zuallererst müssen wir natürlich die Definition klären und das tun wir direkt auf der ersten"
01:01;01:03;"oder auf der zweiten Folie genauer gesagt."
01:03;01:06;"Was ist eigentlich ein lineares Gleichungssystem?"
01:06;01:13;"Ja, ein lineares Gleichungssystem, ab jetzt immer abgekürzt mit LGS, damit wir uns hier nicht totschreiben,"
01:13;01:18;"ist also ein System mit M-Gleichungen in N-Unbekannten."
01:19;01:22;"Und das sieht dann folgendermaßen aus, das was Sie hier sehen."
01:22;01:29;"Das heißt also, wir haben jetzt hier M-Gleichungen, also 1, 2 und so weiter, M-Gleichungen"
01:29;01:36;"und wir haben N-Variablen oder N-Unbekannte, das ist sozusagen hier X1, X2 und so weiter bis Xn."
01:36;01:38;"Und das sehen wir dann in jeder Zeile."
01:38;01:46;"Ja, und diese X, X, J, das sind also die Unbekannten oder eben auch die Variablen und die suchen wir also."
01:46;01:55;"Und die Zahlen hier davor, zum Beispiel A11 oder hier AM2, das sind die sogenannten Koeffizienten"
01:55;01:59;"und die Koeffizienten A, J sind aus dem Grundkörper K."
01:59;02:07;"Und dann sehen wir noch eine rechte Seite, das sind sozusagen diese Zahlen hier, B1, B2 bis BM."
02:07;02:12;"Das sind auch Elemente aus K und diese sind natürlich auch gegeben."
02:13;02:15;"So, was gibt es dazu noch zu wissen?"
02:15;02:21;"Also Sie kennen sicherlich so ein Gleichungssystem, vielleicht so mit zwei Gleichungen und zwei Unbekannten."
02:21;02:24;"Hier ist aber erstmal keine Vorgabe an M und N."
02:24;02:28;"Ja, M kann größer N sein oder umgekehrt oder auch gleich."
02:28;02:34;"Was wir noch unterscheiden müssen, wir sprechen von einem reellen linearen Gleichungssystem,"
02:34;02:36;"wenn der Grundkörper K gleich R ist."
02:36;02:39;"Das bedeutet dann auch automatisch, weil wir das gesehen haben,"
02:40;02:43;"dass also A, I, J und auch B, I, dass die alle real sind."
02:43;02:49;"Und im anderen Fall nennen wir das Ganze ein komplexes lineares Gleichungssystem,"
02:49;02:52;"wenn der Grundkörper K gleich die komplexen Zahlen sind."
02:52;02:55;"So, das sind erstmal die wichtigsten Begriffe."
02:55;02:57;"Und jetzt noch ein letzter wichtiger Begriff."
02:57;03:01;"Und zwar hängt das hier von dieser rechten Seite ab."
03:01;03:06;"Falls alle diese BIs hier gleich Null sind,"
03:06;03:09;"dann nennen wir das lineare Gleichungssystem homogen."
03:09;03:12;"Andernfalls nennen wir es inhomogen."
03:12;03:17;"Und das bedeutet also, wenn mindestens eins dieser Bi ungleich Null ist,"
03:17;03:22;"dann haben wir automatisch ein inhomogenes lineares Gleichungssystem."
03:23;03:26;"So, jetzt haben wir schon gesehen, und das war ja auch ein bisschen die Idee,"
03:26;03:29;"warum wir in der letzten Folie Matrizen eingeführt haben,"
03:29;03:32;"wir möchten gern dieses System hier umschreiben,"
03:32;03:33;"in Matrix-Schreibweise."
03:33;03:36;"Und das haben wir auch schon kurz gesehen in der letzten Folie."
03:36;03:40;"Und das machen wir mal auf der nächsten Folie."
03:40;03:42;"So, Sie sehen das System oben noch."
03:43;03:49;"Das heißt also, dieses System hier können wir einfach ganz elegant in Matrix-Schreibweise angeben."
03:49;03:53;"Und zwar einfach in dieser Form, was Sie hier sehen."
03:53;03:56;"Ja, und jetzt sehen Sie, hier sind also die Koeffizienten."
03:56;04:00;"Und hier ist der Vektor x1 bis xn."
04:00;04:03;"Und wenn wir nochmal an die Matrix-Multiplikation denken,"
04:03;04:05;"dann war das ja,"
04:05;04:08;"das ist ja im Endeffekt auch einfach eine Matrix."
04:08;04:11;"Das hat also n Zeilen und eine Spalte."
04:11;04:13;"Und dann haben wir uns erinnert,"
04:13;04:18;"diese Zeile multipliziert mit diesem Vektor, mit dieser Spalte,"
04:18;04:20;"ergibt gleich b1."
04:20;04:22;"Und das ist ja genau das, was hier oben steht."
04:22;04:25;"Und so bekommen wir auch jetzt zum Beispiel,"
04:25;04:29;"die zweite Zeile ist also dieses multipliziert mit diesem,"
04:29;04:31;"ergibt b2."
04:31;04:33;"Und das liefert eben genau dieses."
04:33;04:36;"Und diese Multiplikation, wir erinnern uns nochmal,"
04:36;04:41;"dies ja a21 mal x1 plus a22 mal x2 und so weiter,"
04:41;04:44;"bis a2n xn."
04:44;04:46;"Ja, und das ist exakt das, was hier oben steht."
04:46;04:50;"So, und das hier vorne, das nennen wir jetzt einfach mal a."
04:50;04:52;"Das ist also eine Matrix."
04:52;04:54;"Die Matrix, wie wir sehen,"
04:54;04:57;"also wir haben jetzt hier m Zeilen und n Spalten."
04:57;05:01;"Und diesen Vektor hier, den nennen wir einfach mal x"
05:01;05:04;"und diesen nennen wir gleich b."
05:04;05:08;"Ja, das heißt also, wir haben jetzt ein lineares Gleichungssystem"
05:08;05:10;"und das können wir in Matrix-Schreibweise angeben."
05:10;05:14;"Und da steht also nichts anderes da als a x ist gleich b."
05:14;05:18;"Und hier nennen wir a, ja, diese Matrix a,"
05:18;05:22;"das ist die Koeffizienten-Matrix des linearen Gleichungssystems."
05:22;05:25;"Und wie eben schon angedeutet, das Format ist hier zu erkennen,"
05:25;05:28;"m Zeilen und n Spalten."
05:28;05:31;"So, die rechte Seite, der Vektor b,"
05:31;05:33;"das sieht man auch sehr schön,"
05:33;05:34;"1, 2 bis m,"
05:34;05:36;"ist also aus dem k hoch m."
05:37;05:38;"Das nennen wir die rechte Seite"
05:38;05:43;"oder man sagt auch die Inhomogenität des linearen Gleichungssystems."
05:43;05:46;"Ja, und was wir dann suchen, ist also der Vektor x."
05:46;05:48;"Das suchen wir."
05:48;05:50;"Und der liegt natürlich im k hoch n."
05:50;05:52;"Auch das kann man sehr schön ablesen."
05:52;05:56;"Das ist dann die Lösung von dem Gleichungssystem a x gleich b."
05:57;06:00;"Und es kann natürlich mehrere Lösungen geben."
06:00;06:01;"Es kann auch nur eine geben."
06:01;06:03;"Es kann auch vielleicht keine geben."
06:03;06:06;"Das hängt dann natürlich von den gegebenen Daten,"
06:06;06:09;"also den Koeffizienten und der rechten Seite ab."
06:09;06:11;"Ja, und die Lösungsmenge,"
06:11;06:13;"die werden wir jetzt immer mit L angeben"
06:13;06:15;"oder, wenn wir es noch konkreter haben wollen,"
06:15;06:17;"LAB."
06:17;06:19;"Das heißt also, das sind die Daten, die wir eingeben."
06:19;06:22;"Und dann bekommen wir die Lösungen."
06:22;06:25;"Und das ist sozusagen einfach diese Lösungsmenge hier."
06:25;06:28;"alle x aus k hoch n mit der Eigenschaft,"
06:28;06:30;"dass a x gleich b ist."
06:30;06:31;"Und das ist die Lösungsmenge,"
06:31;06:35;"also die Menge aller Lösungen von a x gleich b."
06:35;06:42;"So, damit haben wir jetzt erstmal die wichtigsten Begriffe kennengelernt,"
06:42;06:46;"die wir jetzt bei einem linearen Gleichungssystem beachten müssen."
06:46;06:49;"Und ja, wir wollen ja in diesem ersten Video"
06:49;06:50;"eigentlich nur kurz diese Einführung machen."
06:50;06:53;"Und wir erinnern uns aber nochmal ganz kurz"
06:53;06:56;"an die letzte Vorlesung."
06:56;07:00;"Was hatten wir da gesagt?"
07:00;07:02;"Da hatte ich schon mal einen Fall angegeben,"
07:02;07:06;"wann so ein lineares Gleichungssystem,"
07:06;07:09;"wie wir da die Lösung angeben können."
07:09;07:12;"Und da hatte ich einfach mal angenommen,"
07:12;07:13;"das ging auch darum,"
07:13;07:15;"um den Begriff der Inversen zu motivieren."
07:15;07:17;"Falls also die Matrix A,"
07:17;07:20;"das wäre jetzt hier die Koeffizientenmatrix,"
07:20;07:22;"invertierbar ist,"
07:22;07:23;"wir erinnern uns,"
07:23;07:24;"Invertierbarkeit hieß ja,"
07:24;07:26;"sie muss quadratisch sein,"
07:26;07:28;"deswegen schreibe ich hier gleich n, n."
07:29;07:32;"falls diese also invertierbar ist."
07:32;07:38;"Und da verweise ich nochmal auf die letzte Vorlesung,"
07:38;07:41;"die sich alle schon angeschaut haben."
07:41;07:43;"Dann haben wir was gesehen,"
07:43;07:46;"dann konnten wir die eindeutige Lösung angeben,"
07:46;07:46;"und zwar direkt,"
07:46;07:48;"indem wir gesagt haben,"
07:48;07:49;"Ax ist gleich"
07:49;07:51;"auch minus 1b"
07:51;07:55;"ist die eindeutige Lösung."
07:55;07:59;"Die eindeutige Lösung"
07:59;08:01;"von,"
08:01;08:03;"ja, von was?"
08:03;08:06;"Von Ax gleich b."
08:06;08:06;"Ja,"
08:06;08:08;"und dann kann man also in diesem Fall"
08:08;08:10;"die Lösungsmenge ganz einfach angeben."
08:10;08:15;"Das ist dann einfach nur die"
08:15;08:16;"eine elementige Menge"
08:16;08:18;"mit dem Vektor"
08:18;08:20;"auch minus 1b."
08:20;08:21;"So,"
08:21;08:23;"das ist natürlich ganz schön,"
08:23;08:24;"jetzt wissen wir trotzdem nicht,"
08:24;08:25;"wie wir die Inverse bestimmen sollen,"
08:25;08:26;"aber die Frage,"
08:26;08:27;"die sich uns stellt,"
08:27;08:28;"ist natürlich,"
08:28;08:29;"wie lösen wir jetzt"
08:29;08:30;"so ein Gleichungssystem,"
08:30;08:30;"ja."
08:30;08:34;"Also Frage,"
08:34;08:36;"und natürlich auch"
08:36;08:37;"die Frage,"
08:37;08:39;"dahingehend gerichtet,"
08:39;08:40;"was machen wir eigentlich,"
