Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der 13. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:12;"Wir hatten uns jetzt im ersten Video mit linearen Gleichungssystemen beschäftigt."
00:12;00:19;"Genauer gesagt haben wir erstmal die Definition angeschaut, haben gesehen, wie wir das in Matrix-Schreibweise angeben können."
00:19;00:21;"Und wir erinnern uns nochmal kurz an die E-Kreide."
00:21;00:25;"Da hatte ich auch ein Beispiel gegeben von einem System."
00:25;00:32;"Also hier sieht man das nochmal, wie wir das also ganz einfach lösen durch rückwärts einsetzen."
00:32;00:40;"Und jetzt stellt sich natürlich die Frage, wie können wir das jetzt eigentlich nutzen, um ein lineares Gleichungssystem zu lösen."
00:40;00:43;"Ja und die Idee dahinter ist der sogenannte Gauss-Algorithmus."
00:43;00:46;"Das ist nämlich auch der Titel des zweiten Teils."
00:46;00:51;"Und da geht es jetzt erstmal nur darum, dass wir die Matrix anschauen, nicht unbedingt das Gleichungssystem."
00:51;00:53;"Das machen wir dann im dritten Video."
00:54;01:00;"Und wir können also eine Matrix umformen durch sogenannte elementare Zeilenoperationen."
01:00;01:04;"Und das schauen wir uns als erstes auf der Folie an."
01:04;01:11;"Es gibt immer drei Zeilenoperationen und die müssen Sie sich einfach merken und die dürfen Sie anwenden."
01:11;01:13;"Wir werden dann im dritten Teil auch sehen, warum."
01:14;01:26;"Also vorweggenommen ist es so, wenn wir ein Gleichungssystem lösen und wir wenden diese elementaren Zeilenoperationen ab, dann zeigt sich eben, dass sich die Lösungsmenge nicht verändert, was doch recht kurios ist."
01:26;01:29;"Das ist so ein bisschen unser langfristiges Ziel."
01:29;01:31;"Hinarbeiten auf den dritten Teil."
01:31;01:34;"Aber jetzt erstmal genau das Vorgehen."
01:34;01:36;"So, was sind elementare Zeilenoperationen?"
01:38;01:40;"Wie schon gesagt, es gibt drei Stück."
01:40;01:45;"Sie können zwei Zeilen einfach vertauschen, wenn Sie eine Matrix haben."
01:45;01:46;"Ja."
01:47;01:52;"Sie können eine Zeile mit einer Zahl multiplizieren, die ungleich Null ist."
01:52;01:55;"Es ist sehr wichtig, dass hier ungleich Null steht."
01:55;01:57;"Mit Null zu multiplizieren."
01:57;02:03;"Das wird dann später, wenn wir wirklich die linearen Gleichungssysteme direkt lösen, zu Problemen führen."
02:03;02:05;"Deswegen Lambda ungleich Null."
02:05;02:08;"Ansonsten können Sie beliebig multiplizieren eine Zeile."
02:08;02:14;"Und Sie können das Vielfache einer Zeile zu einer anderen Zeile hinzuaddieren."
02:14;02:15;"Ja."
02:15;02:16;"Genau."
