Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der 13. Vorlesung im Kurs Analysis 1 um lineare Algebra für Ingenieurwissenschaften."
00:08;00:17;"So, wir hatten im letzten Video den Gauss-Algorithmus kennengelernt und haben gesehen, wie wir eine Matrix, eine ergebene Matrix überführen,"
00:17;00:25;"durch elementare Zeilenoperationen in Zeilenstufenform oder auch noch weiter in normierte Zeilenstufenform."
00:25;00:34;"Wir haben auch gesehen, es gibt unendlich viele Zeilenstufenformen einer ergebenden Matrix, aber eine eindeutig bestimmte normierte Zeilenstufenform."
00:34;00:42;"So, und in diesem Video wollen wir uns jetzt damit beschäftigen, wie wir damit jetzt eigentlich lineare Gleichungssysteme lösen können."
00:42;00:47;"Und das schauen wir uns direkt auf einer Folie an. Es gibt nur eine Folie zu diesem Video."
00:48;00:56;"Ja, was haben wir gegeben? Wir haben, das haben wir schon gesehen im ersten Video, ein lineares Gleichungssystem AX gleich B."
00:56;01:06;"Und um das zu lösen, wenden wir den Gauss-Algorithmus, also das, was wir jetzt im zweiten Video gemacht haben, auf die sogenannte erweiterte Koeffizientenmatrix."
01:06;01:10;"Wir hatten ja schon gesehen, A war die Koeffizientenmatrix."
01:10;01:15;"Jetzt haben wir die erweiterte und die erweiterte besteht im Endeffekt aus A und der rechten Seite B."
01:15;01:23;"Und im Endeffekt ist das ja all das, was wir gegeben haben, all die Daten, die wir haben, stecken jetzt hier in dieser erweiterten Koeffizientenmatrix."
01:23;01:29;"Die linke Seite, wie gesagt, eckige Klammern A, dann machen wir einen Strich B, eckige Klammern zu."
01:29;01:37;"Und dieser Strich bedeutet einfach nur, dass es jetzt sozusagen die Grenze, wo das Ist-Gleichzeichen ist, das ist auf der rechten Seite, das ist alles auf der linken Seite."
01:37;01:41;"Und wenn wir das mal ausschreiben, bekommen wir eben genau diese Matrix."
01:41;01:46;"Und die nennen wir jetzt erweiterte Koeffizientenmatrix."
01:46;01:54;"Naja, und wir können jetzt auf diese erweiterte Koeffizientenmatrix die elementaren Zeilenoperationen anwenden."
01:54;02:01;"Und das Schöne ist, dass diese elementaren Zeilenoperationen, das ist der wesentliche Vorteil, die Lösungsmenge nicht verändern."
02:01;02:12;"Das heißt also, die Lösungsmenge von A, x gleich B verändert sich nicht, wenn ich jetzt auf diese Matrix die elementaren Zeilenoperationen anwende."
02:12;02:21;"Und das heißt, wir können das geeignet umformen, um es zum Beispiel jetzt in Zeilenstufenformen zu bekommen und können dann die Lösung sehr einfach ablesen."
02:21;02:27;"Und wir wissen, dass diese Lösung auch die Lösung vom Ausgangsgleichungssystem A, x gleich B ist."
02:27;02:30;"Und ja, das steht hier unten."
02:30;02:34;"Das heißt also entweder Zeilenstufenformen oder auch schon weiter normierte Zeilenstufenformen."
02:34;02:37;"Je nachdem, beides ist möglich."
02:37;02:44;"Und dann kann man eben durch Rückwärtssubstitutionen, Rückwärts einsetzen, hatte ich es im ersten Video genannt, die Lösung bestimmen."
02:44;02:45;"Das war es im Endeffekt schon."
02:45;02:52;"Wichtig ist einfach nur, dass wir wissen, aha, die elementaren Zeilenoperationen verändern die Lösungsmenge nicht."
02:52;02:59;"Und deswegen ist es auch wichtig nochmal bei der Multiplikation mit einer Zahl, die Multiplikation einer Zeile mit einer Zahl,"
02:59;03:05;"Die Zahl darf eben nicht 0 sein, weil sonst würde die Lösungsmenge sich verändern."
03:05;03:08;"Ja, und das wollen wir uns jetzt mal an einigen Beispielen anschauen."
03:08;03:12;"Wie genau das funktioniert, der Gauss-Algorithmus, das haben wir ja schon gesehen."
03:12;03:17;"Jetzt müssen wir es aber trotzdem nochmal praktisch näher anschauen."
03:22;03:25;"So, einige Beispiele."
03:25;03:30;"Wir fangen mal mit folgendem Gleichungssystem an."
03:30;03:34;"Ich schreibe das jetzt im ersten Beispiel nochmal aus."
03:34;03:41;"Ab dem zweiten werde ich dann einfach das immer in Matrix-Schreibweise angeben, damit wir ein bisschen Zeit sparen."
03:45;04:04;"So, x1 plus 3x2 plus x3 gleich 8 und x1 plus 2x2 plus x3 ist gleich 7."
04:04;04:08;"So, und das ist das System, was wir anschauen wollen, das lineare Gleichungssystem."
04:08;04:12;"Und wenn wir das in Matrix-Schreibweise angeben, machen wir das direkt."
04:12;04:14;"Wir lesen die Koeffizienten also ab."
04:14;04:17;"Meinetwegen jetzt hier spaltenweise."
04:17;04:21;"Ja, also jetzt hier nochmal zur Wiederholung."
04:21;04:23;"2, 3, 2 kommen eben von diesen."
04:23;04:27;"Und hier steht ja überall gedanklich eine 1, deswegen haben wir diese Spalte."
04:27;04:30;"Und hier steht minus 1 plus 1 plus 1."
04:30;04:38;"So, das ist sozusagen das System."
04:41;04:44;"Und die rechte Seite einfach ablesen."
04:44;04:46;"3, 8, 7."
04:46;04:57;"So, und das Ziel ist jetzt also, dass wir die erweiterte Koeffizientenmatrix in Zeilenstufenform bringen."
04:58;05:17;"Und das kennen wir ja schon aus dem zweiten Video."
05:17;05:22;"So, was wäre jetzt A, B?"
05:22;05:27;"Wie gesagt, dieser Strich irritiert uns nicht, der ist einfach da."
05:27;05:32;"Wir rechnen aber genauso, als wenn er nicht da wäre."
05:33;05:35;"Das heißt, wir müssen jetzt die Matrix A hinschreiben."
05:35;05:46;"So, das ist jetzt also die Matrix A."
05:46;05:47;"Das muss noch weg."
05:51;05:54;"Und dann kommt jetzt hier also noch hinzu die rechte Seite."
