Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der 13. Vorlesung im Kurs Analysis 1 und lineäre Algebra für Ingenieurwissenschaften."
00:08;00:17;"Wir haben jetzt gesehen, wie wir mit dem Gauss-Algorithmus eine Matrix in Zeilenstufenform bzw. normierte Zeilenstufenform bringen können."
00:17;00:23;"Und wir haben auch gesehen, wie wir das anwenden können, um wirklich ein lineares Gleichungssystem lösen zu können."
00:23;00:24;"Das haben wir im letzten Video getan."
00:25;00:30;"In diesem vierten Teil wollen wir uns die Struktur der Lösungsmenge anschauen."
00:30;00:33;"Und da gibt es einen netten Effekt, den wir gleich sehen werden."
00:33;00:37;"Bevor wir uns das aber auf der Folie anschauen, kurz eine Beobachtung."
00:37;00:43;"Also wir sind jetzt interessiert an der Struktur der Lösungsmenge."
00:45;00:46;"Und zwar"
00:46;00:55;"Das linearen Gleichungssystems"
00:55;00:57;"Ax"
00:57;01:00;"gleich B"
01:00;01:01;"mit"
01:01;01:06;"Koeffizientenmatrix A"
01:06;01:11;"Die hat jetzt M Zeilen und N Spalten"
01:11;01:16;"und B ist dann einfach ein Vektor, ein Gegebener aus dem K hoch M."
01:16;01:20;"So, und vielleicht eine kleine Beobachtung zuerst."
01:20;01:28;"Vielleicht auch nochmal die Brücke zu schlagen"
01:28;01:31;"zu dem Kapitel 10 mit den Vektorräumen."
01:31;01:34;"Schauen wir uns mal den ersten Fall an."
01:34;01:35;"Das ist der homogene Fall."
01:35;01:42;"Was hieß nochmal homogen?"
01:42;01:44;"Das war der Fall, wenn"
01:44;01:49;"die rechte Seite einfach der Nullvektor ist, also alle Einträge Null sind."
01:49;01:51;"In diesem Fall"
01:51;01:56;"wissen wir, dass die Lösungsmenge, die ist ja jetzt hier gegeben mit A, Null,"
01:57;01:59;"ein Teilraum ist das K hoch N."
01:59;02:11;"Ja, ist das soweit klar?"
02:11;02:13;"Wir gehen mal kurz die Eigenschaften durch."
02:13;02:15;"Was müssen wir tun?"
02:15;02:17;"Wir erinnern uns nochmal an das Teilraumkriterium."
02:17;02:19;"Da mussten wir drei Sachen nachweisen."
02:19;02:22;"Fangen wir das, machen wir das einfach mal."
