Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur 14. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten uns ja in der letzten Vorlesung mit linearen Gleichungssystemen beschäftigt und hatten den Gauss-Algorithmus kennengelernt"
00:15;00:20;"und haben auch gesehen, wie wir damit lineare Gleichungssysteme lösen können."
00:20;00:28;"Wir bleiben erstmal bei diesem Thema in dieser 14. Vorlesung und hier möchte ich im ersten Video nochmal was zu der Struktur der Lösungsmenge sagen"
00:28;00:36;"und dann werden wir noch die Begriffe Rang einer Matrix kennenlernen und damit auch dann ein Lösbarkeitskriterium angeben können,"
00:36;00:42;"was wir auch schon im letzten Video ein wenig vermutet hatten, dass es da nur bestimmte Fälle geben kann."
00:42;00:49;"Und wir werden auch sehen, wie wir die Inverse berechnen können und am Ende werden wir noch einen kleinen Vergleich,"
00:49;00:51;"die Unterschiede zwischen Matrizen und Zahlen kennenlernen."
00:51;00:56;"So, im ersten Teil, wie gesagt, Struktur der Lösungsmenge."
00:57;01:06;"Da schauen wir nochmal ganz kurz auf die erste Folie und das ist im Endeffekt das, was wir in der letzten Vorlesung am Ende auch hatten."
01:06;01:08;"Das heißt, die Struktur der Lösungsmenge."
01:08;01:12;"Und da wollte ich nochmal ganz kurz ein kleines Beispiel anschauen dazu."
01:12;01:17;"Wir erinnern uns nochmal, wir haben also ein Gleichungssystem AX gleich B."
01:18;01:27;"A ist eine Matrix mit M Zeilen und N Spalten und eine rechte Seite B mit M Einträgen, das heißt aus dem K hoch M."
01:27;01:33;"Und dann haben wir hier eine spezielle Lösung XP aus dem K hoch N von eben AX gleich B."
01:33;01:40;"Und dann können wir die gesamte Lösungsmenge des inhomogenen Gleichungssystems angeben,"
01:41;01:46;"indem wir einfach die spezielle Lösung addieren mit der Lösung des homogenen Systems."
01:46;01:50;"Und da möchte ich nochmal ganz kurz ein Beispiel dazu anschauen,"
01:50;01:57;"weil das natürlich schon recht wichtig ist, um auch schnell Lösungswege zu finden."
01:59;02:05;"Im Endeffekt benötigen wir also nur eine spezielle Lösung und die Lösung des homogenen Systems."
02:05;02:09;"Natürlich bleibt jetzt immer zu fragen, ist das wirklich schneller?"
