Start Timestamp;End Timestamp;Transcript
00:00;00:09;"Ich begrüße Sie recht herzlich zum zweiten Teil der 14. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:09;00:16;"Wir hatten uns jetzt eben im ersten Teil nochmal mit der Struktur der Lösungsmenge beschäftigt."
00:16;00:25;"Und jetzt in diesem zweiten Teil wollen wir uns überlegen, wie wir ein Lösbarkeitskriterium für lineare Gleichungssysteme herleiten können."
00:25;00:32;"Und ich hatte schon angedeutet, ein wichtiger Begriff, und den wollen wir jetzt hier auch einführen, ist der Rang einer Matrix."
00:32;00:35;"Und als erstes denken wir nochmal an die Beispiele zurück."
00:35;00:39;"Ja, Sie können die ganze Folie schon sehen."
00:39;00:48;"Die Beispiele aus der letzten Vorlesung, als wir lineare Gleichungssysteme gelöst hatten, da haben wir gesehen, es sind eigentlich nur drei verschiedene Fälle aufgetaucht."
00:49;01:00;"Und zwar, entweder hatte das lineare Gleichungssystem keine Lösung, es hatte genau eine Lösung, oder es hatte unendlich viele Lösungen."
01:00;01:04;"Jetzt können Sie natürlich sagen, ja, der Herr Winkert hat eben genau diese drei Beispiele ausgesucht."
01:04;01:07;"Keine Ahnung, war jetzt einfach Zufall."
01:07;01:09;"Und es war eben kein Zufall."
01:09;01:13;"Es zeigt sich eben, dass genau diese Fälle nur auftreten können."
01:13;01:18;"Und das wollen wir jetzt mal ein bisschen herleiten und näher begründen, warum das so ist."
01:18;01:22;"Und der erste wichtige Begriff ist der Rang einer Matrix."
01:22;01:26;"Das sehen Sie in der Definition hier in der Mitte der Folie."
01:26;01:28;"Und das ist relativ einfach."
01:28;01:30;"Wir haben also eine Matrix gegeben."
01:30;01:36;"M Zeilen, N Spalten und Koeffizienten oder die Einträge sind aus dem Körper K."
01:37;01:45;"Und dann ist der Rang der Matrix A die Anzahl der Zeilen ungleich 0 in einer Zeilenstufenform von A."
01:45;01:50;"Und wird dann kurz mit Rang, Klammer auf A, Klammer zu bezeichnet."
01:50;01:53;"Das ist erstmal alles."
01:53;01:54;"Klingt unspektakulär."
01:55;01:57;"Sogar sehr unspektakulär."
01:57;01:59;"Aber tatsächlich ist es ein wichtiger Begriff."
01:59;02:03;"Und hinter dieser Definition steckt eigentlich noch viel mehr."
02:04;02:06;"Also das heißt, wir haben eine Matrix."
02:06;02:11;"Und wenn wir mal kurz das Beispiel von oben nochmal nehmen."
02:11;02:13;"Da haben wir was gemacht."
02:13;02:15;"Ja, wir können ja das gleich nehmen."
02:18;02:19;"Wir betrachten mal nur diese Matrix."
02:19;02:23;"Dann haben wir das in eine Zeilenstufenform umgewandelt."
02:23;02:27;"Das heißt aber, eine nomierte Zeilenstufenform ist ja auch eine Zeilenstufenform."
02:27;02:29;"Das heißt also so etwas hier."
02:29;02:34;"Und dann steht hier, ist die Anzahl der Zeilen ungleich 0."
02:34;02:37;"Okay, also diese ist nicht 0."
02:37;02:38;"Diese ist nicht 0."
02:38;02:39;"Die ist aber 0."
02:39;02:42;"Also wäre jetzt hier der Rang gleich 2."
02:42;02:45;"Okay, müssen wir uns nochmal überlegen, was das genau bedeutet."
02:45;02:47;"Dahinter steckt noch viel mehr."
02:47;02:49;"Und zwar folgendes."
02:49;02:50;"Und das sehen Sie in dieser Bemerkung."
02:50;02:54;"Der Rang einer Matrix gibt eben gleichzeitig an."
02:54;02:58;"Die maximale Anzahl von linear unabhängigen Spalten."
02:58;03:03;"Oder äquivalent dazu die maximale Anzahl von linear unabhängigen Zeilen."
03:03;03:05;"Hier auf der Folie steht es jetzt umgekehrt."
03:05;03:08;"Das heißt also, wenn wir das wissen."
03:08;03:10;"Zum Beispiel hier."
03:10;03:12;"Das sind sozusagen die zwei Zeilen."
03:12;03:13;"Die sind ungleich 0."
03:13;03:14;"Der Rang ist 2."
03:14;03:16;"Das bedeutet dann aber,"
03:16;03:18;"dass von der Ausgangsmatrix"
03:18;03:20;"von den vier Spalten, die wir haben,"
03:20;03:23;"nur maximal 2 linear unabhängig sein können."
03:23;03:25;"Sie sehen also,"
