Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der 14. Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"In diesem dritten Teil wollen wir uns mit der Invertierbarkeit von Matrizen beschäftigen."
00:13;00:18;"Und wir hatten das ja auch schon mal definiert, was wir unter invertierbar verstehen,"
00:18;00:22;"haben aber bisher noch nicht gesehen, wie wir eigentlich so eine Inverse berechnen."
00:22;00:26;"Und das schauen wir uns zuerst mal auf der Folie an, auf der Folie 7."
00:26;00:33;"So, kleine Wiederholung zur Vorlesung 12. Was war eigentlich noch mal invertierbar?"
00:33;00:37;"Als erstes natürlich, wir haben eine quadratische Matrix gegeben."
00:37;00:43;"Das hatte ich damals auch schon angegeben, das heißt also hier N Zeilen und N Spalten."
00:43;00:51;"Und wir hatten diese Matrix A invertierbar genannt, falls wir eine quadratische Matrix B vom gleichen Format finden."
00:51;00:58;"Das heißt auch hier N Zeilen und N Spalten, sodass das Produkt B mal A gleich die Einheitsmatrix ergibt,"
00:58;01:03;"beziehungsweise A mal B die Einheitsmatrix ergibt."
01:03;01:08;"So, und die Matrix B ist dann die eindeutig bestimmte Inverse von A."
01:08;01:12;"Und die hatten wir dann auch im Folgenden mit A hoch minus 1 bezeichnet."
01:12;01:18;"Und ich hatte Ihnen ja gesagt, ein bisschen das Pendant, wenn Sie zu den reellen Zahlen irgendwie die Inverse zahlen wollen,"
01:18;01:24;"wenn Sie zu der Zahl 5 die Inverse wollen, wäre das 1 Fünfte."
01:24;01:27;"Und das zusammen multipliziert ergibt 1."
01:27;01:32;"Und die 1 entspricht ja auch ein wenig dieser Einheitsmatrix."
01:33;01:39;"Und wir wollen jetzt klären, wie wir diese Inverse bestimmen können."
01:39;01:42;"Und wir hatten auch schon gesehen, nicht jede Matrix besitzt eine Inverse."
01:42;01:47;"Das ist sozusagen schon mal der Unterschied zu den reellen Zahlen."
01:47;01:53;"Das heißt also, selbst wenn die Matrix A ungleich 0 ist, heißt es nicht, dass sie invertierbar ist."
01:53;01:59;"Aber das schauen wir uns im letzten Teil noch mal an, wenn wir den Vergleich von Matrizen und Zahlen angehen."
02:00;02:04;"So, wir wissen also, was eine Inverse ist und wie berechnen wir diese."
02:04;02:06;"Und das sehen wir hier unten in dem Algorithmus."
02:06;02:10;"Wir haben also eine quadratische Matrix gegeben."
02:10;02:15;"Und dann schreiben wir einfach mal diese Matrix hier auf."
02:15;02:19;"Das heißt also A' und dann kommt die Einheitsmatrix."
02:19;02:23;"Das N ist dann eben passend zu dem N von der Matrix A."
02:23;02:27;"Und das Ganze ist ja wieder eine Matrix, nur eben, dass hier noch dieser Strich dazwischen ist."
02:27;02:36;"Und diese überführen wir mit elementaren Zeilenoperationen in die normierte Zeilenstufenform, also Matrizen CD."
02:36;02:41;"Und wir erinnern uns noch mal dran, die normierte Zeilenstufenform, die ist immer eindeutig bestimmt."
02:41;02:48;"Und dann überprüfen wir, was wir über den Rang von A sagen können."
02:48;02:49;"Das hatten wir ja im letzten Video."
02:49;02:54;"Der Rang von A hieß ja, überführe die Matrix in eine Zeilenstufenform."
02:54;02:59;"Und C ist jetzt hier die normierte Zeilenstufenform, also insbesondere auch eine Zeilenstufenform."
03:00;03:04;"Das heißt, wir zählen jetzt hier bei der Matrix C die Zeilen, die ungleich N sind."
03:04;03:12;"Und wenn das nicht gleich N ist, sprich, wenn der Rang von A ungleich N ist, dann ist A nicht invertierbar."
03:12;03:14;"Und wir sind fertig und wir brauchen nicht weitermachen."
03:14;03:19;"Wenn der Rang von A gleich N ist, dann können wir die Inverse direkt ablesen."
03:19;03:22;"Das ist dann nämlich einfach die Matrix D."
03:22;03:27;"Und die Matrix C ist dann nichts anderes als die Einheitsmatrix."
03:27;03:30;"Das ist im Endeffekt alles, was wir tun müssen."
03:30;03:37;"Wir werden natürlich auch am Ende der Vorlesung, Kapitel 32, 33, noch andere Kriterien kennenlernen,"
03:37;03:41;"wo wir noch wesentlich schneller bestimmen können, ob eine Matrix invertierbar ist."
03:41;03:44;"Aber für den Moment genügt uns das hier."
03:44;03:51;"Und das heißt, wir müssen nur diesen Algorithmus durchgehen und sehen dann, ob eine Matrix invertierbar ist oder nicht."
03:51;03:54;"So, das schauen wir uns mal an."
03:54;03:58;"Und zwar an ein, zwei Beispielen."
03:58;04:05;"So, das erste."
04:05;04:09;"Nehmen wir mal was Einfaches."
04:13;04:17;"Und zwar gebe ich mal eine 2 Kreuz 2 Matrix an."
04:17;04:21;"Also erste Spalte 3, 5 und die zweite 1, 2."
04:21;04:31;"So, und die Frage ist jetzt, ist A invertierbar?"
04:31;04:34;"So, und wenn ja,"
04:34;04:39;"wie lautet dann die Inverse?"
04:39;04:45;"Das heißt also, A hoch minus 1."
04:45;04:50;"Ja, wir gehen mal den Algorithmus durch, dass wir das einmal sehen, wie das funktioniert."
04:50;04:56;"Und, ja, und dann können wir mal überprüfen, ob sie invertierbar ist."
04:58;05:02;"So, das heißt also, nach Algorithmus schreiben wir also das auf, ja."
05:02;05:04;"Wir starten also hier."
05:04;05:08;"So, das heißt also, hier schreiben wir jetzt die Matrix nochmal auf."
05:08;05:11;"3, 5, 1, 2."
05:11;05:15;"Und dann ein Strich und dann kommt die Einheitsmatrix, I2."
05:15;05:17;"Das heißt also, zwei Zeilen, zwei Spalten."
05:17;05:22;"Die muss also passend zum Format der eigentlichen Matrix sein."
05:22;05:27;"So, und jetzt überführen wir diese Matrix in normierte Zeilenstufenform."
05:27;05:30;"Ja, da ist jetzt die Frage, was machen wir?"
05:30;05:32;"Wir machen das mal ganz klassisch."
05:32;05:34;"Wir würden jetzt also diese 5 hier eliminieren."
05:34;05:37;"Das sieht jetzt zwar nicht schön aus, aber wir probieren das mal."
05:37;05:44;"Das heißt also, von der zweiten Zeile ziehen wir 5 Drittel der ersten ab, ja."
05:48;05:49;"Ich denke, das sehen Sie."
05:49;05:52;"Das heißt, dann bleibt die erste Zeile gleich."
05:52;05:58;"Und das heißt also, wenn ich das jetzt hier mit 5 Drittel multipliziere,"
05:58;06:04;"dann steht hier eben 5 da und dann steht minus 5 da und dann 5 minus 5 ist dann eben 0."
06:04;06:06;"Ja, so."
06:06;06:08;"Was haben wir beim nächsten?"
06:08;06:11;"Ja, das nächste sieht schon ein bisschen komplizierter aus."
06:11;06:16;"Da hätten wir dann also 2 minus 5 Drittel und 2 ist dann was?"
06:16;06:23;"Also 2 kann ich ja einfach schreiben als 2 mal 3 durch 3."
06:23;06:25;"Das wären also 6 Drittel minus 5 Drittel."
06:25;06:29;"Da kommt dann also eben 1 Drittel heraus, ja."
06:29;06:34;"Und hier beim nächsten steht ja dann einfach nur minus 5 Drittel da."
06:34;06:37;"Und beim letzten bleibt die 1 stehen."
06:37;06:38;"So."
06:38;06:42;"Jetzt haben wir tatsächlich schon eine Zeilenstufenform, aber das genügt uns nicht."
06:42;06:43;"Hier müssen wir aufpassen."
06:43;06:45;"Hier brauchen wir eine normierte Zeilenstufenform."
06:46;06:50;"Aber es genügt uns gewisserweise schon, weil jetzt können wir schon den Test machen."
06:50;06:52;"Das heißt, das hier ist etwas lang geraten."
06:52;06:54;"Jetzt können wir schon mal schauen."
06:54;07:02;"Also das hier ist also eine Zeilenstufenform von A."
07:02;07:04;"Und jetzt können wir den Rang ablesen."
07:04;07:07;"Der Rang von A ist was?"
07:07;07:09;"Zeilenstufenform."
07:09;07:12;"Die Anzahl der Zeilen ungleich 0, das sind 2."
07:12;07:17;"Und das bedeutet jetzt schon, das heißt also der Algorithmus ist etwas lang geraten."
07:17;07:20;"Wir müssen gar nicht unbedingt bis zum letzten Schritt gehen."
07:20;07:26;"Wir wissen jetzt schon, dass A invertierbar ist, weil der Rang von A eben gleich 2 ist."
07:26;07:26;"Ja."
07:26;07:28;"Hier in unserem Beispiel ist N gleich 2."
07:29;07:34;"Das heißt also, hier wissen wir schon, A ist invertierbar."
07:38;07:43;"Das heißt, wenn die Frage kommt, ohne dass man die Inverse bestimmen muss, geht das also relativ schnell."
07:43;07:48;"So, jetzt wissen wir also, die weiteren Rechnungen sind auch sinnvoll, weil wir werden ein Ergebnis bekommen."
07:48;07:53;"So, jetzt machen wir mal weiter und überführen das Ganze hier in normierte Zeilenstufenform."
07:55;08:04;"Das heißt jetzt hier also, ich würde die erste Zeile, wir könnten jetzt vielleicht diese Zeile mal mit 3 multiplizieren."
08:04;08:08;"Dann hätten wir hier schon mal an der Stelle ein normiertes Pivot-Element."
08:08;08:11;"Das heißt, wir nehmen mal 3 mal 2."
08:11;08:15;"So, die erste Zeile bleibt gleich."
08:15;08:20;"Bei der zweiten hätte ich jetzt hier die 1, minus 5, 3."
08:20;08:23;"Okay, das sieht ganz gut aus."
08:24;08:29;"So, was wir jetzt noch machen müssen, ist also das zu normieren und das Element muss 0 werden."
08:29;08:32;"Und jetzt bietet es sich an, dass wir erstmal dieses eliminieren."
08:32;08:35;"Bevor wir das jetzt teilen durch 3, dann kommt hier ein Bruch."
08:35;08:37;"Viel zu kompliziert."
08:37;08:40;"Hier sehen wir also, dieses minus diesen ergibt 0."
08:40;08:44;"Also machen wir mal 1, minus 2."
08:44;08:47;"Dann bleibt hier die 3 stehen."
08:47;08:48;"Dann haben wir hier die 0."
08:48;08:50;"Was haben wir hier stehen?"
08:50;08:53;"Hier haben wir die 6 stehen und hier haben wir die minus 3."
08:53;08:59;"Und die zweite Zeile bleibt tatsächlich erhalten."
08:59;09:00;"Ja, so."
09:00;09:04;"Und jetzt müssen wir nichts weiter machen, als dieses Element normieren."
09:04;09:06;"Da muss 1 stehen, also teilen wir die Zeile durch 3."
09:06;09:09;"Und dann sind wir fertig."
09:12;09:21;"Also dann steht hier 1, 0, 2, minus 1, 0, 1, minus 5, 3."
09:21;09:31;"Und das ist jetzt nichts anderes als I2' A hoch minus 1."
09:32;09:35;"Das heißt dann also jetzt hier die Inverse können wir ablesen."
09:35;09:39;"Wir wissen schon, dass der Rang von A gleich 2 ist."
09:39;09:43;"Wir haben das Ganze in die normierte Zeilenstufenform überführt."
09:43;09:47;"Deswegen wissen wir jetzt also das, was hier rechts steht, das ist die Inverse."
09:47;09:49;"Und links steht die Einheitsmatrix."
09:49;09:51;"Und das stimmt also mit dem."
09:51;09:53;"Und hier sehen wir das, die Inverse."
09:53;10:01;"Das heißt also A hoch minus 1 ist jetzt also 2, minus 5, minus 1, 3."
10:01;10:05;"Machen wir mal die Probe."
10:05;10:07;"Das war einfach mal schauen, stimmt dann eigentlich das, was wir gemacht haben."
10:07;10:08;"Das können Sie immer tun."
10:08;10:18;"Machen wir mal A mal A hoch minus 1."
10:18;10:24;"Dann war das ja A war 3, 5, 1, 2."
10:24;10:28;"Und die Inverse haben wir jetzt hier stehen."
10:28;10:31;"2, minus 5, minus 1, 3."
10:31;10:34;"Ja, ein bisschen rechnen müssen wir jetzt schon."
10:34;10:37;"Das heißt also hier steht 6, minus 5."
10:37;10:40;"Hier steht 10, minus 10."
10:40;10:41;"Das sieht schon mal gut aus."
10:41;10:47;"Rechts oben steht dann minus 3, plus 3."
10:47;10:52;"Und rechts unten steht dann minus 5, plus 6."
10:52;10:59;"Ja, wenn wir das ausrechnen, steht da also da 1, 0, 0, 1."
10:59;11:04;"Ja, und das war ja genau die Definition, wie Sie hier sehen, von der Inversen."
11:04;11:08;"Das heißt also, das ist ja, wie man leicht sieht, I2."
11:08;11:11;"Und das andere Produkt geht dann natürlich analog."
11:11;11:17;"Ja, damit haben wir also gesehen, dass diese Matrix invertierbar ist und haben die Inverse auch bestimmt."
11:17;11:21;"So, schauen wir uns ein zweites Beispiel an."
11:23;11:30;"Und zwar nehmen wir jetzt mal die Matrix, die 1-Matrix."
11:30;11:32;"Das heißt, es stehen überall nur Einsen da."
11:34;11:38;"Wir machen das jetzt mal klassisch mit dem Algorithmus, aber einfach nur mal kurz vom Verständnis."
11:38;11:41;"Wenn Sie diese Matrix haben, kann die überhaupt invertierbar sein?"
11:41;11:41;"Ja."
11:43;11:48;"Jetzt überlegen wir noch mal ganz kurz, das ist jetzt vielleicht eine kleine andere Brücke, aber zu dem Rang."
11:48;11:54;"Und da hatte ich gesagt, der Rang einer Matrix ist die maximale Anzahl linear unabhängiger Zeilen"
11:54;11:59;"oder die maximale Anzahl linear unabhängiger Spalten der Matrix."
12:00;12:02;"So, jetzt schauen wir mal die Spalten an."
12:02;12:06;"Ops, die Spalten hier, die sind doch nicht linear unabhängig."
12:06;12:11;"Das heißt, wir sehen hier schon, der Rang der Matrix kann also nicht 2 sein,"
12:11;12:15;"sonst wären diese beiden hier linear unabhängig."
12:15;12:17;"Das heißt, wir wissen, er ist schon mal kleiner 2."
12:17;12:22;"Und das heißt, wenn wir das einfach so sehen, wissen wir schon, aha, sie kann nicht invertierbar sein."
12:22;12:25;"Aber wir schreiben es trotzdem mal kurz auf."
12:25;12:27;"Das war sozusagen mal kurz ein anderer Weg."
12:27;12:30;"So, nochmal die Folie."
12:30;12:32;"Das mit dem Algorithmus."
12:32;12:36;"Das heißt, also hier würden wir schreiben A I 2."
12:36;12:43;"Und das ist dann einfach diese Matrix."
12:43;12:47;"So, und jetzt würden wir was machen?"
12:47;12:50;"Jetzt könnten wir einfach mal sagen 2 minus 1."
12:52;12:54;"Das heißt, wir ziehen die erste Zeile von der zweiten ab."
12:54;12:56;"Dann steht hier 0, 0."
12:56;12:58;"Ja, dann was steht jetzt hier da?"
12:58;12:59;"Minus 1."
12:59;13:00;"Und hier bleibt die 1 stehen."
13:00;13:01;"Ja."
13:01;13:06;"So, und jetzt sieht man es vielleicht noch besser, was ich eben gesagt habe."
13:06;13:09;"Das ist jetzt also eine Zeilenstufenform von A."
13:09;13:11;"Das heißt, wir können den Rang ablesen."
13:11;13:16;"Das heißt, der Rang von A ist 1."
13:16;13:19;"Und das ist also offensichtlich."
13:19;13:22;"Das heißt, wir sind jetzt hier in diesem Fall kleiner 2."
13:22;13:26;"Und das wäre ja dann N, ja, in unserem Fall."
13:26;13:28;"Also gleich Anzahl der Spalten."
13:28;13:36;"Sie müssen das mit den Spalten jetzt hier nicht dazuschreiben."
13:36;13:43;"Und hier kann ich immer sagen, das sind ja auch Anzahl der Variablen."
13:46;13:48;"Es genügt also, wenn man das einfach hinschreibt."
13:48;13:51;"Und das bedeutet also, A ist nicht invertierbar."
13:51;13:59;"Und die Begründung, die ich am Anfang gegeben habe, die läuft ja eigentlich auf das Gleiche hinaus, nur dass man es eben sofort auch sieht."
14:04;14:05;"Gut."
14:08;14:09;"Was haben wir noch?"
14:09;14:14;"Jetzt habe ich noch zwei Beispiele."
14:14;14:19;"Jetzt weiß ich nicht, ob das zu viel ist, aber da Sie mir nicht widersprechen können gerade."
14:20;14:25;"Ein Vorteil von Online-Videos würde ich das Beispiel einfach nochmal kurz angeben."
14:25;14:28;"Und zwar nehmen wir mal ein komplizierteres Beispiel."
14:28;14:30;"Wir werden gleich auf der Folie sehen, wie wir..."
14:31;14:38;"Es gibt noch eine andere Formel, wie wir solche 2x2-Matrizen, die invertierbar sind, wie man das relativ einfach hinbekommt."
14:38;14:43;"Und deswegen mal kurz bei einer 3x3 sieht man das eben alles nicht mehr so einfach."
14:43;14:47;"Und da merkt man eben, dass es doch kompliziert sein kann."
14:53;14:56;"Und zwar geben wir mal diese Matrix vor."
14:56;14:59;"So, vom ersten Gefühl her haben wir keine Ahnung."
14:59;15:01;"Wir sehen das jetzt hier nicht sofort."
15:01;15:06;"Wir sehen jetzt vielleicht auch nicht sofort, ob die Spalten und Zahlen aller linear unabhängig sind."
15:06;15:10;"Wenn die alle linear unabhängig sind, wüssten wir, sie sind invertierbar."
15:10;15:12;"So richtig sieht man das vielleicht nicht."
15:12;15:15;"Das heißt, wir schreiben mal den Algorithmus auf."
15:15;15:21;"So, also 1, minus 6, 0."
15:21;15:23;"Jetzt muss ich ordentlich schreiben."
15:23;15:32;"Dann minus 2, 12, 1, 0, 1, 0."
15:32;15:36;"Und jetzt die Einheitsmatrix I3."
15:36;15:41;"So, ja."
15:41;15:46;"Und jetzt überführen wir das mal in normierte Zeilenstufenform."
15:46;15:49;"Und jetzt würde man was versuchen."
