Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der 14. Vorlesung im Kurs Analysis 1 und Lineäre Algebra für Ingenieurwissenschaften."
00:08;00:18;"So, wir sind jetzt ein bisschen am Ende angekommen von dieser 14. Vorlesung und wir hatten ja jetzt in den letzten Vorlesungen auch mit Kapitel 12 schon mit Matrizen einiges kennengelernt,"
00:18;00:27;"auch lineäre Gleichungssysteme, wie wir diese lösen und den Gauss-Algorithmus und jetzt im letzten Video dann auch den Gauss-Algorithmus angewandt,"
00:27;00:37;"um die Inverse einer Matrix zu bestimmen. Und jetzt in diesem letzten Video möchte ich ganz kurz nochmal die Unterschiede zwischen Matrizen und Zahlen hervorheben,"
00:37;00:43;"weil ich auch oft immer gesagt habe, naja, die Inverse kann man sich ja mal so vorstellen."
00:43;00:51;"Im letzten Video habe ich gesagt, wenn ich die Zahl 5 habe, wäre die Inverse bei den reellen Zahlen 1 Fünftel und so kann man sich das auch bei den Matrizen vorstellen."
00:51;01:00;"Aber es gibt eben nicht zu jeder Matrix eine Inverse. Und deswegen hier mal so wesentliche Unterschiede oder Merkmale eben bei Matrizen,"
01:00;01:13;"die doch sehr überraschend auch waren, die man vielleicht nicht erwartet hätte, als wir das eingeführt haben und die dann doch den wesentlichen Unterschied markieren zu den reellen Zahlen."
01:13;01:25;"Wir nehmen mal hier an, wir haben zwei Matrizen A, B und das Erste, was wir auch schon auf der Folie irgendwann gesehen hatten, ist, dass die Matrix-Multiplikation nicht kommutativ ist,"
01:25;01:28;"selbst wenn beide Produkte definiert sind."
01:29;01:40;"Und ich weiß jetzt nicht mehr genau, welches Beispiel wir da gesehen hatten, aber wir können auch ganz einfach nochmal das Beispiel angeben."
01:42;01:52;"Das heißt also, wenn ich jetzt das Produkt nehme und ich nehme jetzt mal 1, 1, 0, 0 und dann sage ich mal 2, 1, 0, 0."
01:52;01:56;"Das heißt also, das ist jetzt die Matrix A und das ist B."
01:56;02:01;"Dann ist klar, wenn ich das Produkt bilde, dann kommt hier, was kommt hier heraus?"
02:02;02:09;"Ja, also das ist schon mal klar, hier kommt überall 0 heraus und hier kommt auch 0, das heißt also, wir bekommen diese Matrix."
02:09;02:21;"Und wenn wir jetzt einfach mal B mal A rechnen, das heißt wir vertauschen 2, 1, 0, 0 mal 1, 1, 0, 0."
02:21;02:26;"Ja, was sehen wir dann, wenn wir hier mal multiplizieren?"
02:26;02:31;"Dann steht da 2 und steht hier auch 2, hier steht 1 und hier steht 1."
02:31;02:37;"Und man sieht also, aha, das ist tatsächlich ungleich."
02:37;02:39;"Das ist also ein wesentlicher Punkt."
02:39;02:44;"Und hier steht auch nochmal als Hinweis dazu, selbst wenn beide Produkte definiert sind,"
02:44;02:50;"wir hatten ja auch schon gesehen, dass A, B teilweise definiert sein kann, aber eben nicht B, A."
02:51;02:56;"Das bezog sich dann auf nicht quadratische Matrizen, wo wir ja auch Produkte bilden konnten."
02:56;03:01;"Hier also das einfachste Gegenbeispiel, dass diese nicht kommutativ sind."
03:01;03:06;"Was auch recht interessant ist, ist die Tatsache, wenn A nicht die Nullmatrix ist,"
03:06;03:09;"dann folgt daraus nicht automatisch, dass A invertierbar ist."
03:09;03:16;"Und jetzt steht hier da, auch dann nicht, wenn A quadratisch ist."
03:16;03:18;"Klar, das bezog sich ja darauf."
03:18;03:22;"Also wir nehmen mal an, wir haben eine Matrix, eine quadratische Matrix A,"
03:22;03:26;"die nicht die Nullmatrix ist, dann wissen wir ja eben, können wir nicht schlussfolgern,"
03:26;03:27;"dass sie invertierbar ist."
03:27;03:31;"Und das hatten wir ja im letzten Video ein schönes Beispiel gesehen dazu."
03:31;03:39;"Zum Beispiel, was hatten wir da gesehen?"
03:39;03:41;"Da hatten wir die 1-Matrix gesehen."
03:41;03:42;"Moment."
03:42;03:48;"Das macht mal ein schön."
03:48;03:53;"So, also ungleich 0 heißt ja, sie ist nicht die Nullmatrix."
03:53;03:55;"Und die war ja nicht invertierbar."
04:02;04:04;"Was doch schon etwas überraschend ist."
04:04;04:10;"Also siehe Beispiel oben."
04:10;04:14;"Ich kann nochmal nach oben scrollen, wir können uns das nochmal kurz anschauen."
04:14;04:17;"Das hatten wir hier im zweiten Beispiel gesehen."
04:17;04:21;"Da hatten wir diese Matrix hier betrachtet und hatten dann festgestellt,"
04:21;04:23;"aha, sie ist nicht invertierbar."
04:24;04:30;"Das heißt also tatsächlich, das liefert eben keine Implikation, die richtig ist."
04:30;04:31;"Das wissen wir nicht."
04:31;04:34;"Das hängt von der konkreten Matrix ab."
04:34;04:38;"So, was auch noch recht überraschend ist, ist der dritte Punkt."
04:38;04:44;"Und zwar, wenn wir an die reellen Zahlen denken und wir multiplizieren zwei reelle Zahlen"
04:44;04:48;"und das Produkt ist Null, dann wissen wir, eines dieser beiden Zahlen muss Null sein."
04:48;04:51;"Und das ist jetzt hier tatsächlich auch nicht der Fall."
04:51;04:56;"Das heißt also, wenn das Matrixprodukt A mal B gleich Null ist,"
