Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur 15. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Wir hatten uns jetzt in den letzten beiden Vorlesungen mit dem Gauss-Algorithmus und mit linearen Gleichungssystemen beschäftigt"
00:14;00:18;"und sind jetzt im Kapitel 15 angekommen bei den linearen Abbildungen."
00:18;00:24;"Dabei geht es erstmal darum, was ist eine lineare Abbildung, welche Definition steckt dahinter."
00:24;00:29;"Wir wollen uns dann anschauen, was macht Komposition und Umkehr-Abbildung von linearen Abbildungen."
00:30;00:33;"Und dann wollen wir uns den Begriffen Kern und Bild von linearen Abbildungen widmen."
00:33;00:42;"Und am Ende werden wir die sogenannte Dimensionsformel kennenlernen, die relativ wichtig ist, um die Dimension von Bild und Kern zu bestimmen."
00:42;00:49;"Jetzt in diesem ersten Video geht es erstmal nur darum, die Definition kennenzulernen und einige Beispiele zu sehen."
00:49;00:53;"Und die erste Folie sehen Sie ja schon teilweise."
00:53;00:58;"Wir schauen uns gleich direkt mal die Definition einer linearen Abbildung an."
00:58;01:03;"Wir erinnern uns nochmal an das Kapitel 10."
01:03;01:03;"Vektorräume."
01:03;01:07;"Wir haben jetzt hier V und W sind zwei K-Vektorräume."
01:07;01:09;"Wir hatten ja gesehen Vektorraumstruktur."
01:09;01:16;"Und wir nennen dann eine Abbildung F, die von dem Vektorraum V und dem Vektorraum W abbildet, linear."
01:16;01:19;"Wenn zwei Eigenschaften erfüllt sind."
01:19;01:22;"Die erste Eigenschaft nennt man die Additivität."
01:22;01:28;"Das bedeutet hier für V, W aus V haben wir also diese Relation."
01:28;01:37;"Das heißt also, wenn wir V plus W auf F anwenden, dann können wir das aufschlitten in die Summe F von V plus F von W."
01:38;01:41;"Und die zweite wichtige Bedingung ist die Homogenität."
01:41;01:45;"Und hier geht es darum, dass wir ein Skalar herausziehen können."
01:45;01:48;"Deswegen hier Lambda aus K."
01:48;01:53;"Und dann haben wir hier also die Bedingung F von Lambda V."
01:53;01:57;"Kann ich also schreiben als Lambda mal F von V."
01:57;02:01;"Das heißt also, ich ziehe dieses Lambda, dieses Skalar einfach davor."
02:02;02:06;"Diese beiden Eigenschaften, wenn die erfüllt sind, dann nennen wir eine Abbildung linear."
02:06;02:16;"Und die Menge aller dieser linearen Abbildungen von V nach W, die wird mit LVW bezeichnet oder auch HomVW."
02:16;02:19;"Und das Hom kommt von dem Wort Homomorphismus."
02:19;02:23;"Und das ist einfach nur eine andere Bezeichnung für lineare Abbildung."
02:23;02:25;"Das steht hier unten auch nochmal."
02:25;02:29;"Das ist für unseren Kurs aber nicht wirklich relevant, einfach nur als Zusatzinformation."
02:30;02:36;"Wir werden uns nachher auf einer späteren Folie auch nochmal diese Menge hier anschauen."
02:36;02:40;"Und werden auch sehen, dass diese Menge tatsächlich selbst auch wieder ein Vektorraum ist."
02:40;02:42;"Ja, und jetzt steht hier noch die linearen Abbildungen."
02:42;02:45;"Wir erhalten die Struktur eines Vektorraumes."
