Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der 15. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns jetzt im ersten Teil mit der Definition von linearen Abbildungen beschäftigt."
00:13;00:16;"Wir hatten auch Beispiele gesehen, wo das nicht funktioniert."
00:16;00:20;"Und am Ende hatten wir noch gesehen, und das sehen wir jetzt hier noch auf der Folie,"
00:20;00:25;"wenn wir also eine Matrix haben mit M Zeilen und N Spalten,"
00:25;00:30;"dann steckt dahinter auch immer eine lineare Abbildung, die wir also quasi so schreiben können,"
00:30;00:37;"als Abbildung von K hoch N in den K hoch M mit der Vorschrift, dass das X einfach auf A von X abbildet."
00:37;00:41;"Das heißt also, hier steht nichts anderes als F von X ist gleich A von X."
00:41;00:47;"Und das folgte dann sofort aus den Rechenregeln für Matrizen."
00:47;00:52;"Und jetzt wissen wir also, dass eine Matrix eine lineare Abbildung ist."
00:52;00:57;"Und wir wollen natürlich auch gerne, dass, wenn ich so eine Abbildung hier gegeben habe,"
00:57;00:59;"dass dahinter auch eine Matrix-Abbildung steckt."
00:59;01:01;"Und das werden wir auch gleich sehen."
01:01;01:04;"Und als Vorbereitung schauen wir uns kurz mal an,"
01:04;01:08;"nachdem wir jetzt auch das mit der Linearität nochmal geklärt haben,"
01:08;01:16;"was passiert eigentlich, wenn wir eine Matrix A multiplizieren mit einem Vektor."
01:16;01:20;"Wir wissen natürlich schon, was da passiert, und wir können das auch aufschreiben"
01:20;01:23;"und wollen einfach mal schauen, wie hängt das mit der Matrix eigentlich zusammen."
01:23;01:27;"Dazu geben wir uns jetzt hier mal eine Matrix A."
01:27;01:29;"Die Koeffizienten der Matrix sind jetzt A, J."
01:29;01:32;"Und ich nehme jetzt mal einen Vektor."
01:32;01:37;"Und damit das Produkt wohl definiert ist,"
01:37;01:40;"muss das also ein Vektor aus dem K hoch N sein."
01:40;01:45;"Also steht jetzt hier die Komponenten x1 bis xn."
01:48;01:51;"Und jetzt schauen wir uns mal an, was macht jetzt A x."
01:51;01:57;"Wenn wir das jetzt ausrechnen, ist ja klar, ich nehme die erste Zeile von der Matrix,"
01:57;02:01;"multipliziere das mit dieser Spalte, ist der erste Eintrag dieses Vektors."
02:01;02:02;"Dann mache ich das weiter."
02:02;02:06;"Zweite Zeile multipliziere ich mit diesem Vektor und so weiter."
02:06;02:09;"Und so bekomme ich dann einen Vektor aus dem K hoch M."
02:09;02:17;"Und wenn ich das mal aufschreibe, steht hier da A11 x1 plus A12 x2."
02:17;02:20;"Das geht dann so weiter."
02:22;02:45;"Am1 x1 plus A12 x2 und am Ende haben wir dann hier amn xn."
02:50;02:52;"Und jetzt können wir das doch aufsplitten."
02:52;02:54;"Jetzt können wir mal die Linearität nutzen."
02:54;03:07;"Und wissen ja, das können wir auch schreiben als x1 mal A11 bis A m1 plus."
03:07;03:09;"Und das machen wir jetzt mal mit jedem Einzelnen."
03:09;03:11;"Das heißt, wir splitten das hier mal immer auf."
03:11;03:15;"Dieses und dieses und so weiter und am Ende dieses."
03:17;03:28;"So, und dann bekommen wir hier also A12 bis am2 plus."
03:28;03:33;"Und das geht dann so weiter, bis wir am Ende xn haben."
03:33;03:40;"Und hier steht A1n bis amn."
03:41;03:43;"Genau, in dieser Form."
03:43;03:48;"Und jetzt sehen wir natürlich, dass das hier ja nichts anderes als die Spalten sind."
03:48;03:54;"Und die bezeichne ich jetzt hier mal, das sei jetzt mal A1."
03:56;04:08;"Dann bezeichne ich das hier mal mit A2 und am Ende einfach mit An."
04:08;04:11;"Und das sind einfach dann die Spalten von A."
04:17;04:26;"Das heißt, wenn wir das nochmal näher anschauen und mit dieser Abkürzung aufschreiben."
04:26;04:29;"Dann ist ja sozusagen AX."
04:32;04:37;"Ja, A1 kann ich dann schreiben als x1 A1 plus."
04:37;04:41;"Na gut, schreiben wir den zweiten Summanden nochmal auf."
04:41;04:45;"x2 A2 plus und so weiter."
04:45;04:48;"Bis am Ende."
04:48;04:53;"Da steht dann xn A n."
04:54;04:57;"Ja, und das kann ich ja als Summe schreiben."
04:57;05:04;"J gleich 1 bis n von xj AJ."
05:04;05:10;"Naja, und das ist einfach nur eine Linearkombination der Spalten von A."
05:10;05:23;"Ja."
05:23;05:30;"Das heißt also, wenn ich einen Vektor x multipliziere mit A,"
05:30;05:34;"kommt also einfach nur eine Linearkombination der Spalten von A heraus."
05:34;05:37;"Und hier haben wir einfach nur die Linearität genutzt."
05:37;05:40;"Und als Spezialfall, und das werden wir auch noch häufiger verwenden,"
05:40;05:46;"was passiert, wenn ich jetzt für x einfach mal EI einsetze?"
05:46;05:50;"Das heißt also, der I-te Standardbasisvektor,"
05:50;05:54;"der hatte ja quasi an der I-ten Stelle eine 1"
05:54;05:57;"und ansonsten nur Nullen."
05:57;05:59;"Ja."
05:59;06:03;"Was folgt daraus, wenn ich das mal einsetze?"
06:05;06:09;"Na ja, wenn ich jetzt A, I, I betrachte, steht was da?"
06:09;06:14;"Wir sehen ja quasi, all diese Koeffizienten sind 0 bis auf eine Stelle,"
06:14;06:15;"und zwar die I-te Stelle."
06:15;06:16;"Die ist 1."
06:16;06:19;"Das heißt also, wenn man das mal ganz ordentlich aufschreibt,"
06:19;06:24;"steht jetzt hier da 0 mal A1"
