Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der 15. Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten uns jetzt in zwei längeren Videos mit linearen Abbildungen beschäftigt, haben die Definition gesehen, Eigenschaften,"
00:15;00:24;"und wollen uns jetzt in dem dritten Teil mit neuen Begriffen beschäftigen und das sind der Kern und das Bild von linearen Abbildungen."
00:24;00:31;"Im Endeffekt haben wir beides schon mal irgendwo gehört, speziell als wir im Kapitel 5 Abbildung kennengelernt haben"
00:31;00:41;"und wollen uns dann im zweiten Teil dieses Videos dann damit beschäftigen, wie wir eine Basis des Kerns und des Bildes bekommen können."
00:41;00:44;"Und da spielt dann auch wieder der Gauss-Algorithmus eine wesentliche Rolle."
00:44;00:50;"Schauen wir uns an, was diese Begriffe bedeuten. Das sehen wir hier auf der Folie 8."
00:51;00:56;"Wir sind also immer noch im Kapitel Lineare Abbildung, das heißt, alles, was wir jetzt betrachten, soll auch linear sein."
00:56;01:03;"Das heißt also auch hier F linear von V nach W und V und W sind dann halt auch Vektorräume."
01:03;01:08;"Und der Kern von F ist nichts anderes als das Urbild von 0."
01:09;01:14;"Wenn Sie sich noch mal erinnern an das Kapitel 5, als wir Bild und Urbild eingeführt hatten."
01:14;01:19;"Und das hieß also, der Kern von F ist das Urbild von 0."
01:19;01:24;"Das heißt also, das Urbild von der Menge, wo nur die 0 enthalten ist."
01:24;01:28;"Und wenn wir das mal ordentlich aufschreiben, bedeutet das also nichts anderes."
01:28;01:35;"Wir suchen alle Elemente aus dem Definitionsbereich, die durch das F auf 0 abbilden."
01:35;01:37;"Das heißt einfach nur der Kern."
01:37;01:44;"Und anhand der Definition sieht man schon, dass also wir alle Klein-V aus Groß-V suchen."
01:44;01:49;"Das heißt also schon mal, der Kern von F ist enthalten in V."
01:49;01:51;"Und es gilt sogar noch mehr."
01:51;01:53;"Wir wissen ja, V ist ein Vektorraum."
01:53;01:57;"Und tatsächlich, das habe ich jetzt hier in der Definition mitverarbeitet,"
01:57;02:01;"der Kern von F ist also auch ein Teilraum von V."
02:01;02:02;"Das merken wir uns."
02:02;02:09;"Das heißt also, Kern bedeutet einfach nur alle Elemente, die durch die Abbildung auf 0 abbilden."
02:09;02:12;"Kann man sich also eigentlich leicht auch merken."
02:12;02:17;"Und der zweite Begriff, das Bild, das kennen wir schon."
02:17;02:19;"Das haben wir nämlich allgemein für Abbildung eingeführt."
02:19;02:25;"Das heißt, das Bild von F ist dann also nichts anderes als F von Groß-V."
02:25;02:29;"Und das sind im Endeffekt alle Elemente, so wie ich das damals schon erklärt habe,"
02:29;02:32;"die im Wertebereich durch das F getroffen werden."
02:32;02:38;"Und auch hier gilt, und auch das eben alles nur, weil das F linear ist,"
02:38;02:44;"dass das Bild von F ein Teilraum vom Wertebereich W ist."
02:44;02:47;"Und an den Grafiken hier unten sehen Sie das nochmal sehr schön."
02:47;02:51;"Das hier ist der Definitionsbereich, das ist V."
02:51;02:54;"Und auf dem V ist das F erklärt."
02:54;02:59;"Und dann haben wir eine Teilmenge von V, das ist der Kern von F."
03:00;03:04;"Und der Kern von F bildet nach Definition, das sehen Sie hier nochmal,"
03:04;03:08;"alle Elemente auf das Null-Element ab."
03:08;03:14;"Das heißt, alle Elemente, die hier drin liegen, bilden also auf das Null-Element von W ab."
03:14;03:16;"Dem Vektorraum W."
03:16;03:20;"Und wir wissen, das ist ein Vektorraum, also existiert auch das Null-Element."
03:20;03:25;"Und alles andere, was hier außen ist, das bildet auf das Bild ab."
03:25;03:26;"Ja."
03:26;03:35;"Und natürlich liegt die Null auch im Bild von F, weil natürlich Bild von F ein Teilraum ist von W"
03:35;03:40;"und demzufolge selbst ein Vektorraum, also muss es auch das Null-Element enthalten."
03:41;03:45;"Das sind im Endeffekt die zentralen Begriffe bei linearen Abbildungen, Kern und Bild."
03:45;03:52;"Und wie gesagt, Sie merken sich einfach, Kern bildet einfach alles auf das Null-Element ab."
03:52;03:54;"Und das Bild ist das, was wir schon kennengelernt haben."
03:54;04:00;"Das sind sozusagen alle Elemente im Wertebereich, die durch die Abbildung getroffen werden."
04:00;04:05;"Und Kern und Bild sind jeweils Teilräume, also insbesondere auch Vektorräume."
04:05;04:10;"Und bevor wir weitermachen damit, wir wollen ja dann versuchen,"
04:10;04:16;"dadurch, dass das also jetzt Vektorräume sind, ist die Idee, im nächsten Schritt Basen zu finden."
04:16;04:17;"Ja."
04:17;04:21;"Und dann aber eher speziell für Matrizen."
04:21;04:23;"Wir wissen ja, die sind auch linear."
04:23;04:26;"Und da werden wir dann den Gauss-Algorithmus verwenden."
04:26;04:30;"Vielleicht mal ein kleines Beispiel dazu, wie Sie Kern und Bild bestimmen können."
04:30;04:36;"Das ist also Folie 8."
04:36;04:40;"Kleines Beispiel."
04:40;04:52;"Dann nehmen wir mal eine Abbildung vom R2 in den Polynomraum."
04:54;04:58;"Jetzt nehme ich hier mal alle Polynome vom Grad kleiner gleich 2."
04:58;05:08;"Und die Vorschrift AB, das ist der Vektor aus dem R2, bildet ab auf A minus B z²."
05:09;05:13;"Und diese Abbildung ist linear."
05:13;05:16;"Und das überprüfen Sie mal als Übungsaufgabe."
05:16;05:20;"So, jetzt ist die Frage, wie können wir den Kern bestimmen?"
05:20;05:24;"Wir schreiben mal die Definition formal einfach ab."
05:24;05:30;"Kern von F ist das sind alle Elemente aus dem Definitionsbereich."
05:30;05:32;"Das ist bei uns der R2."
05:32;05:35;"Also alle V aus dem R2."
05:35;05:41;"Mit der Eigenschaft, dass F von V gleich 0 ist."
05:41;05:43;"Schreiben wir mal genau so auf."
05:46;05:49;"So, jetzt setzen wir mal ein."
05:49;05:53;"Das heißt also, das sind nach wie vor alle V aus R2."
05:53;05:55;"Und was ist F von V?"
05:55;05:58;"Naja, F von V, jetzt setze ich mal ein."
05:58;05:59;"Das wären also..."
06:00;06:02;"Ja, wir schreiben es mal anders auf."
06:02;06:03;"Das gefällt mir gerade nicht."
06:03;06:13;"Wir sagen mal, das sind alle AB aus dem R2."
06:13;06:20;"Mit F von AB ist gleich 0."
06:20;06:25;"Das wäre ja dann das Null-Element aus diesem Raum, also das Null-Polynom."
06:25;06:29;"So, und wir machen das mal ganz ausführlich."
06:29;06:34;"Das sind also wieder alle Elemente AB aus dem R2."
06:34;06:37;"Und jetzt setzen wir mal ein."
06:37;06:39;"Was ist denn die Vorschrift davon?"
06:39;06:43;"F von AB ist also A minus BZ²."
06:43;06:50;"Und das soll 0 sein."
06:50;06:52;"Und jetzt erinnern Sie sich nochmal zurück."
06:52;06:56;"Das ist ein Polynom."
06:56;06:57;"Das ist das Null-Polynom."
06:57;06:58;"Die vergleichen wir."
06:58;06:59;"Was tun wir da?"
06:59;07:01;"Da machen wir einen Koeffizientenvergleich."
07:01;07:08;"Und das geht jetzt so einfach."
07:08;07:10;"Das müssen wir nicht extra aufschreiben."
07:10;07:13;"Das heißt also, wann gilt hier Gleichheit?"
07:13;07:16;"Das heißt, wenn der Koeffizient auf der rechten Seite vor Z²..."
07:16;07:22;"... und das ist ja einfach nur der Koeffizient ist 0, muss gleich A minus B sein."
07:22;07:27;"Das bedeutet also hier A gleich B."
07:27;07:29;"Ja, nur dann ist das erfüllt."
07:29;07:31;"So, dann setze ich schon mal ein für das B."
07:31;07:33;"Da setze ich auch mal A ein."
07:36;07:42;"Und jetzt hier kann ich sagen, das ist der Vektor AA mit der Eigenschaft."
07:42;07:45;"Und jetzt kommt einfach nur A ist aus R."
07:47;07:50;"Ja, weil diese Bedingung ist ja dann automatisch erfüllt, wenn A gleich B ist."
07:50;07:53;"Naja, und wenn wir das haben, was ist das?"
07:53;07:59;"Wenn Sie uns nochmal an die Vektorräume erinnern, das können wir doch als lineare Hülle schreiben."
07:59;07:59;"Das ist was?"
08:01;08:05;"Das ist der Spann von dem Vektor 1,1 zum Beispiel."
08:05;08:13;"Ja, also hier vorne hätte man jetzt geschrieben A mal den Vektor 1,1."
08:13;08:14;"Das ist das Gleiche."
