Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der 15. Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten ja im letzten Video uns mit Bild und Kern beschäftigt und hatten da auch gesehen,"
00:13;00:19;"wie wir speziell bei Matrizen dann eine Basis finden vom Kern und auch vom Bild."
00:19;00:24;"Und ja, was wir da gesehen haben, da steckt auch etwas dahinter."
00:24;00:36;"Wir haben ja auch gesehen, wenn wir nochmal die Formeln anschauen, das heißt hier die Dimension Kern von A ist gleich N minus Rang von A und Dimension Bild von A ist gleich Rang von A."
00:36;00:39;"Und das schauen wir uns nochmal kurz auf der Folie an als Beobachtung."
00:39;00:49;"Und das sehen wir also hier, wenn wir mal beides einsetzen, das heißt also wir haben eine Matrix mit M Zeilen und N Spalten"
00:49;00:59;"und Dimension Kern von A plus Dimension Bild von A war dann einfach Dimension Kern von A war dieser Ausdruck und Dimension Bild von A war dieser Ausdruck."
00:59;01:05;"Und wenn wir das zusammenfassen, kommt hier einfach N heraus und das ist die Dimension von K hoch N."
01:05;01:14;"Und jetzt sehen wir natürlich hier dahinter, hinter diesem A steckt ja eigentlich eine Abbildung von wo."
01:14;01:26;"Also nochmal an die Eselsbrücke denken, das heißt also hier K hoch N nach K hoch M und X bildet ab auf AX."
01:26;01:34;"Das steckt ja im Endeffekt dahinter, hinter dieser Matrix, das ist die lineare Abbildung dahinter."
01:34;01:46;"Und jetzt sehen wir also, wenn wir die Dimension von Kern und Bild zusammen addieren, dann kommt die Dimension von K hoch N heraus, also die Dimension vom Definitionsbereich."
01:46;01:51;"Und das ist kein Zufall, da steckt tatsächlich die Dimensionsformel dahinter."
01:51;01:56;"Und die gilt natürlich für Matrizen, aber die gilt auch allgemein für lineare Abbildung."
01:56;02:00;"Und das sehen wir hier im zweiten Block."
