Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur 16. Vorlesung im Kurs Analysis 1 und Lineäre Algebra für Ingenieurwissenschaften."
00:08;00:16;"Wir hatten uns ja in der letzten Vorlesung mit linearen Abbildungen beschäftigt und wir haben ja auch gesehen, wie man das nachweist."
00:16;00:23;"Und wir hatten auch gesehen, dass lineare Abbildung vom K hoch N in den K hoch M, dass da eigentlich immer eine Matrix dahinter steckt."
00:25;00:32;"Natürlich ist es nicht so, dass jede lineare Abbildung eine Matrixabbildung ist, aber, und das wollen wir in dieser Vorlesung tun,"
00:32;00:40;"wir können zeigen, dass zu jeder linearen Abbildung eine Matrix existiert, die die gleichen Eigenschaften hat wie die lineare Abbildung."
00:40;00:44;"Und das führt uns zu dem Begriff der Matrixdarstellung."
00:44;00:51;"Und da werden wir jetzt in dieser Vorlesung am Anfang zuerst die Koordinatenabbildung kennenlernen."
00:51;00:56;"Das haben wir schon ein bisschen gesehen in der Vorlesung 11, als es um den Koordinatenvektor ging."
00:56;01:02;"Und werden uns dann anschauen, wie wir die Matrixdarstellung von einer beliebigen linearen Abbildung bekommen."
01:02;01:07;"Und werden dann auch noch sehen, was passiert, wenn wir die Basen wechseln."
01:07;01:11;"So, im ersten Teil, wie gesagt, Koordinatenabbildung."
01:11;01:17;"Und da schauen wir uns nochmal eine Folie an, die wir schon in der 11. Vorlesung hatten."
01:17;01:20;"Dort war das die Folie 9, und zwar Satz 3."
01:20;01:23;"Und was hatten wir da gesehen?"
01:23;01:30;"Da hatten wir einen K-Vektorraum V und eine Basis V1 bis Vn."
01:30;01:39;"Dort hatten wir gesehen, dass sich jedes Element des Vektorraums eindeutig als Linearkombination dieser Basiselemente schreiben lässt."
01:39;01:46;"Und diese Koeffizienten Lambda 1 bis Lambda n, die hatten wir als Koordinaten von V bezeichnet."
01:46;01:54;"Und der Vektor mit eben diesen Koordinaten, also dieser hier, den hatten wir mit Vb bezeichnet."
01:54;01:56;"Also Vektor V bezüglich der Basis B."
01:56;01:59;"Und das war der Koordinatenvektor von V bezüglich B."
02:00;02:07;"So, das heißt also, wir wissen schon mal, wenn wir so ein Vektor, ein Element aus dem Vektorraum haben, dann können wir dieses eindeutig darstellen."
02:07;02:13;"Und die Koeffizienten, die wir dafür benötigen, die schreiben wir in einen Vektor und den nennen wir den Koordinatenvektor."
02:13;02:16;"Und jetzt machen wir einfach eine Abbildung daraus."
02:16;02:18;"Und das schauen wir uns auf der nächsten Folie an."
02:18;02:21;"Und zwar die sogenannte Koordinatenabbildung."
02:21;02:24;"Und im Endeffekt wissen wir jetzt schon, wie das funktioniert."
02:24;02:26;"Also auch hier gleiche Voraussetzung."
02:26;02:30;"V ist ein K-Vektorraum, Basis B1 bis Bn."
02:30;02:36;"Und dann ist die Koordinatenabbildung, das ist eine Abbildung von V in den K hoch n."
02:36;02:41;"Die Dimension von V, das steht ja hier schon drin, ist natürlich n."
02:41;02:45;"Und die Bezeichnung der Koordinatenabbildung ist Kb."
02:45;02:48;"Und das B ist einfach der Index für die Basis."
02:48;02:51;"Und ja, die Vorschrift ist ganz einfach."
02:51;02:58;"Wir nehmen ein V aus dem Vektorraum und bilden dieses V auf den zugehörigen Koordinatenvektor ab."
02:58;03:01;"Das heißt sozusagen das, was wir hier auch schon stehen haben."
03:01;03:03;"Und das ist ja auch das Gleiche, was hier steht."
03:03;03:07;"Das ist im Endeffekt alles, was wir machen müssen."
03:07;03:09;"Das heißt, dahinter steckt eine Abbildung."
03:09;03:14;"Jedem Element werden die eindeutig bestimmten Koeffizienten zugeordnet,"
03:14;03:19;"um dieses Element als Linearkombination der Basis darzustellen."
03:19;03:21;"Klingt jetzt ein bisschen kompliziert, ist es aber."
03:21;03:22;"Eigentlich gar nicht."
03:22;03:28;"Und wir schauen uns mal ein Beispiel dazu an, wie wir das ausrechnen."
03:30;03:36;"Und dann nehmen wir auch gleich mal einen Vektorraum, der jetzt nicht unbedingt irgendwie R2 oder R3 ist."
03:36;03:41;"Und da eignet sich jetzt hier natürlich ein Polynomraum."
03:43;03:47;"Das heißt, hier nehmen wir mal alle Polynome vom Grad maximal 1."
03:47;03:52;"Und dann geben wir uns mal zwei Basen vor."
03:54;04:07;"B1 ist jetzt die Basis."
04:07;04:09;"Nehmen wir mal zwei, nämlich einfach das Polynom Z."
04:09;04:13;"Und als Basis B2."
04:13;04:17;"Also vielleicht noch mal zur Erinnerung."
04:17;04:21;"Wir wissen ja, die Dimension von diesem Raum, die ist 2."
04:21;04:27;"Ich habe ja als Eselsbrücke gesagt, die Zahl, die Sie hier sehen, müssen Sie nochmal plus 1 addieren, deswegen 2."
04:27;04:35;"Und jetzt hier nehmen wir mal als zweite Basis C1 Z plus 4."
04:35;04:41;"Und C2 können wir mal Z plus 3 nehmen."
04:43;04:47;"Das sind jetzt also zwei Basen von V."
04:47;04:53;"Sie können ja nochmal als kleine Übungsaufgabe überlegen, wie man das jetzt nachweist."
04:53;04:57;"Wir können hier natürlich wieder voraussetzen, wir wissen, kennen schon die Dimension."
04:57;05:02;"Also genügt es, wenn Sie einfach nur zeigen, dass diese beiden linear unabhängig sind und auch diese."
05:02;05:07;"So, was wir jetzt aber suchen, ist jetzt die Koordinatenabbildung."
05:07;05:09;"Genauer gesagt, die Koordinatenabbildungen."
05:09;05:11;"Und zwar bezüglich B1 und B2."
05:11;05:22;"Das heißt also KB1 und KB2."
05:22;05:26;"So, schauen wir mal an, wie wir das bilden."
05:26;05:27;"Hier ist ja schon die Vorschrift."
05:27;05:29;"Wir fangen mal an mit KB1."
05:29;05:32;"Also bildet ab von V nach."
05:32;05:34;"Dann steht jetzt hier dieses N."
05:34;05:38;"Dieses N ist halt nicht willkürlich, dass es dann tatsächlich die Dimension des Vektorraumes ist,"
05:38;05:39;"weil wir hier eine Basis haben."
05:40;05:42;"Deswegen schreibe ich das einmal so auf."
05:42;05:45;"Das kann ich auch interpretieren als R hoch."
05:45;05:48;"Und dann kommt die Dimension von V."
05:48;05:50;"Und die kennen wir hier."
05:50;05:53;"Die Dimension von V ist 2."
05:53;05:56;"So, und die Vorschrift wäre jetzt wie?"
05:56;06:01;"Ja, die Vorschrift ist, ich nehme ein Polynom."
06:02;06:04;"Das hat ja die Gestalt az plus b."
06:04;06:11;"Und das bildet jetzt ab auf den Vektor lambda1, lambda2."
06:11;06:16;"Und zwar sind das jetzt die Koeffizienten, die eindeutig bestimmten, die ich benötige,"
06:16;06:21;"um das Element, das Polynom az plus b bezüglich der Basis darzustellen."
06:21;06:22;"Basis haben wir jetzt."
06:22;06:25;"Also hier im ersten Fall bei b1 sind das die Basiselemente."
06:25;06:28;"Das heißt, also hier steht lambda1."
06:28;06:37;"Genau, erstes Basiselement, das ist 1 plus lambda2 mal zweites Basiselement."
06:38;06:41;"Also diese 1 ist diese 1 und das z ist dieses z hier."
06:41;06:47;"So, und das ist dann, soll ja gleich az plus b sein."
06:47;06:50;"Und hier sieht man das natürlich durch Koeffizientenvergleich relativ schön."
06:50;06:54;"Das heißt, also lambda1 ist gleich b."
06:54;06:58;"Ja, und lambda2 ist dann einfach gleich a."
06:58;07:01;"Das heißt, hier kann man das relativ einfach ablesen."
07:01;07:04;"Das heißt, also lambda1 ist b."
07:05;07:08;"Und lambda2 ist jetzt hier a."
07:08;07:13;"Aha, das ist ja jetzt einfach gewesen."
07:13;07:17;"Das heißt also, das sind die Koeffizienten, die ich benötige,"
07:17;07:23;"wenn ich so ein Polynom habe, um dieses Polynom als Linearkombination der Basiselemente darzustellen."
07:23;07:27;"Machen wir das mal mit k2, mit b2 auch."
07:27;07:33;"Das heißt also, kb2, der Vektorraum ist der gleiche."
07:33;07:36;"Das heißt also, auch hier, ich schreibe es noch einmal ausführlich hin."
07:36;07:39;"Ist also das gleiche erstmal."
07:39;07:41;"Und dann ist die Vorschrift wie folgt."
07:41;07:45;"az plus b bildet also jetzt ab."
07:45;07:51;"Ich bezeichne die Koeffizienten mal, damit wir sehen, dass es auch eine andere Abbildung ist mit Beta1 und Beta2."
07:52;07:55;"So, mit welcher Eigenschaft?"
07:55;08:00;"Und zwar, also hier nochmal kurz, das sind die Basiselemente."
08:00;08:09;"Das heißt also, Beta1 mal diesem Element plus Beta2 mal diesem Element soll dann eben gleich az plus b sein."
08:10;08:13;"Gut, hier sieht man das vielleicht nicht so schnell."
08:13;08:21;"Und dann haben wir hier z plus 3."
08:21;08:25;"Und das soll dann az plus b sein."
08:25;08:28;"So, jetzt wissen wir das, wenn wir den Koeffizientenvergleich machen."
08:28;08:29;"Hier sieht man es nicht direkt."
08:29;08:31;"Fassen wir mal alle Ausdrücke zusammen."
08:31;08:35;"Also alle Koeffizienten vor dem z-Term."
08:35;08:41;"Das heißt also, hier habe ich stehen Beta1 plus Beta2 mal z."
08:42;08:44;"und dann bleibt noch was übrig."
08:44;08:50;"4 Beta1 plus 3 Beta2."
08:50;08:54;"Und das ist dann einfach az plus b."
08:54;08:58;"So, jetzt machen wir auch hier den Koeffizientenvergleich."
08:58;09:00;"Das sollten wir vielleicht doch nochmal aufschreiben."
09:00;09:05;"Weil hier sieht man die Lösung nicht sofort."
09:05;09:08;"Aber was können wir natürlich tun?"
09:08;09:13;"Wir sehen also, Koeffizientenvergleich ist also dieser Ausdruck stimmt überein mit a"
09:13;09:17;"und dieser komplette Ausdruck stimmt mit b überein."
09:17;09:20;"Schreiben wir das einfach nochmal kurz auf."
09:20;09:24;"Das heißt also, hier steht Koeffizienten vor z1."
09:24;09:26;"Das habe ich jetzt hier schon markiert."
09:26;09:34;"Das ist also Beta1 plus Beta2 ist gleich a und vor z hoch 0."
09:34;09:36;"z hoch 0 ist nichts anderes als 1."
09:36;09:39;"Das heißt also, all die, die hier noch übrig geblieben sind."
09:39;09:41;"Was steht da?"
09:41;09:49;"Da haben wir hier auf der linken Seite 4 Beta1 plus 3 Beta2 ist gleich b."
09:49;09:53;"So, wir wollen jetzt Beta1 und Beta2 bestimmen."
09:53;09:55;"Jetzt kann man das nicht so einfach ablesen,"
09:55;09:59;"aber wir können ja gleich unser Wissen noch aus der 13. und 14. Vorlesung anwenden."
