Start Timestamp;End Timestamp;Transcript
00:01;00:09;"Herzlich willkommen zum zweiten Teil der 16. Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:09;00:17;"Wir hatten uns jetzt im ersten Video mit Koordinatenabbildungen beschäftigt und haben also gesehen, eine Koordinatenabbildung macht was?"
00:17;00:23;"Es nimmt ein Element des Vektorraums und bildet es auf den Koordinatenvektor ab."
00:23;00:32;"Und dieser Vektor beinhaltet die Koeffizienten, die ich benötige, um das Element als Linearkombination der Basis darzustellen."
00:32;00:42;"So, und jetzt im zweiten Teil wollen wir uns überlegen, wie können wir eine lineare Abbildung zwischen zwei Vektorräumen allgemein durch eine Matrixabbildung beschreiben."
00:42;00:46;"Das dürfen wir nicht verwechseln damit, dass das eine Matrixabbildung ist."
00:46;00:53;"Das wird im Allgemeinen nicht der Fall sein, aber wir wollen es durch eine Matrixdarstellung beschreiben."
00:53;00:56;"Und das schauen wir uns die Idee erstmal auf der Folie an."
00:56;01:00;"Das hilft am besten, um das besser zu verstehen."
01:00;01:05;"Also konkret haben wir jetzt hier eine Abbildung F von V nach W."
01:05;01:07;"Die soll jetzt linear sein."
01:07;01:11;"Und V und W sind dann jetzt jeweils Vektorräume."
01:11;01:14;"Genauer gesagt, wie es jetzt hier auch steht, endlich dimensional."
01:15;01:18;"Und V starten wir mit der Basis B aus."
01:18;01:20;"Das heißt also B1 bis BN."
01:20;01:23;"Und W hat die Basis C."
01:23;01:27;"Und hier nehmen wir einfach Elemente C1 bis CM."
01:28;01:33;"Und die Idee dahinter ist immer, dass man sich das erstmal als Diagramm aufschreibt, was wir eigentlich haben."
01:33;01:36;"Und das schauen wir uns mal auf dem linken Diagramm an."
01:36;01:39;"Und zwar haben wir jetzt hier erstmal die Abbildung F."
01:39;01:40;"Ja."
01:40;01:43;"Wir starten bei V und landen wieder bei W."
01:43;01:46;"Das ist einfach die lineare Abbildung F."
01:47;01:47;"So."
01:47;01:49;"Was wir im letzten Video gesehen haben."
01:49;01:54;"Wir haben also gesehen, dass wir in Vektorräumen eine Koordinatenabbildung angeben können."
01:54;01:59;"Und das Schöne ist, Sie sehen das jetzt hier auch nochmal ganz kurz hier oben."
01:59;02:00;"So."
02:00;02:05;"Das heißt also, in V haben wir die Basis B und können dann hier nach unten gehen."
02:05;02:07;"Durch die Koordinatenabbildung KB."
02:07;02:10;"Und zwar in den K hoch N."
02:10;02:11;"Ja."
02:11;02:15;"Das N kommt wieder daher, dass die Dimension von V gleich N ist."
02:15;02:18;"Und das sehen wir, dass wir hier in dieser Basis N Elemente haben."
02:18;02:20;"Das gleiche machen wir mit W."
02:20;02:23;"Hier haben wir die Basis C gegeben."
02:23;02:26;"Also mit den Elementen C1 bis Cm."
02:26;02:28;"Das sind also M Elemente."
02:28;02:30;"Also ist die Dimension von W M."
02:30;02:35;"Und deswegen gehen wir hier nach unten durch die Koordinatenabbildung KC."
02:35;02:38;"Und das bildet dann in den K hoch M ab."
02:38;02:38;"Ja."
02:38;02:41;"Weil M eben die Dimension von W ist."
02:41;02:45;"Und was wir jetzt suchen, ist jetzt diese Abbildung hier."
02:46;02:49;"Das heißt also von dem K hoch N in den K hoch M."
02:49;02:58;"Da wissen wir schon, aha, bei solchen Abbildungen, wenn das Definitionsbereich und das der Bild- oder Wertebereich ist, dann wissen wir schon, das ist eine Matrix-Abbildung."
02:58;03:04;"Und die bezeichnen wir jetzt hier mit F und dann Index und dann kommen die zwei Basen B und C."
03:04;03:07;"Das heißt also diese Basis und diese Basis hier."
03:08;03:12;"So und um diese Abbildung hier zu bestimmen, ja was können wir tun?"
03:12;03:21;"Wir haben jetzt nicht so viele Informationen, aber wir können uns das in diesem Diagramm immer so vorstellen, in die Pfeilrichtung und die können wir immer gehen."
03:21;03:21;"Ja."
03:21;03:24;"Also hier ist der Pfeil in die Richtung, in diese, in diese."
03:24;03:25;"So."
03:25;03:28;"Das heißt, wir können hier lang gehen, wir können hier lang gehen."
03:28;03:32;"Und was wir jetzt noch sehen, wir müssen also irgendwie hier wieder zurückgehen."
03:32;03:32;"Ja."
03:32;03:42;"Wenn wir diesen Pfeil hätten, dann können wir einfach diesen Weg gehen und bekommen dann die Matrix F, B, C."
03:42;03:47;"Und das sehen Sie jetzt hier nochmal auf dem rechten Diagramm."
03:47;03:54;"Da habe ich jetzt einfach diesen Pfeil vertauscht und der Pfeil vertauschen bedeutet automatisch, aha, das ist dann die Umkehrabbildung."
03:54;03:57;"Deswegen ist das hier K, B hoch minus 1."
03:57;03:59;"Und deswegen gehen wir einfach diesen Weg."
03:59;04:00;"Ja."
04:00;04:04;"Und wir kennen das, wir kennen das und wir kennen das."
04:04;04:07;"Dann können wir auch diesen Weg beschreiben."
04:07;04:09;"Und das sehen wir jetzt hier sehr schön."
04:09;04:12;"Also F, B, C können wir in dieser Form beschreiben."
04:12;04:12;"Okay."
04:12;04:17;"Das heißt, diese Nacheinanderausführung, Sie erinnern sich, wir lesen das immer von rechts nach links."
04:17;04:20;"Das heißt also, das rechts kommt als erstes."
04:20;04:21;"Und das sieht man auch."
04:21;04:24;"Wir gehen hier K, B hoch minus 1."
04:24;04:24;"Okay."
04:24;04:26;"Dann gehen wir weiter mit dem F."
04:26;04:28;"Das steht hier."
04:28;04:31;"Und am Ende wenden wir noch K, C an."
04:31;04:32;"Das steht hier."
04:32;04:33;"Ja."
04:33;04:37;"Das heißt also, hier bekommen wir sehr leicht die Vorschrift für diese Matrix."
04:37;04:41;"Das ist einfach K, C nach F nach K, B hoch minus 1."
04:42;04:42;"Na ja."
04:42;04:44;"Und wenn wir uns nochmal erinnern, das ist eine Matrix."
04:44;04:46;"Und das hatten wir uns auch schon mal angeschaut."
04:46;04:50;"Wie bekommen wir denn jetzt eigentlich die Spalten von so einer Matrix?"
04:50;04:54;"Und da war ja die Idee, dass wir die Standardbasisvektoren einsetzen."
04:54;04:57;"Und ja."
04:57;04:58;"Das können wir hier einfach mal tun."
04:58;05:01;"Das heißt also, hier setzen wir E, I ein."
05:01;05:03;"Und wenn wir das mal einsetzen hier, ja."
05:03;05:10;"Dann ist klar, dass das hier immer das erste Basis- oder das I-te Basiselement B, I ist."
05:10;05:14;"Und das heißt also, wir müssen nur dieses hier ausrechnen, ja."
05:14;05:17;"Und bekommen dann die I-te Spalte von F, B, C."
05:17;05:23;"Und E, I ist jetzt hier der I-te Standardbasisvektor aus dem K hoch N."
05:23;05:24;"Ja."
05:24;05:27;"Das ist im Endeffekt alles, was wir tun müssen."
05:27;05:29;"Klingt ein bisschen aufwendig."
05:29;05:29;"Und es stimmt auch."
05:29;05:33;"Wir brauchen natürlich hier als Vorbereitung zwei Koordinatenabbildungen."
05:33;05:35;"Dann brauchen wir noch die Inverse."
05:35;05:38;"Da haben wir im letzten Video aber gesehen, das geht recht einfach."
05:38;05:43;"Und dann müssen wir im Endeffekt nur die Spalten durchgehen und bekommen dann die Matrix."
05:43;05:44;"So."
05:44;05:48;"Und das, was dahinter steht, das können wir uns nochmal formal als Definition anschauen."
05:48;05:50;"Das sehen wir also jetzt hier."
05:50;05:53;"Das nennen wir dann einfach die darstellende Matrix."
05:53;05:55;"Das heißt also F, B, C."
05:55;06:01;"Und die Spalten, das haben wir uns ja hier oben schon überlegt, das ist die erste Spalte, zweite und so weiter."
06:01;06:03;"Bis zur Endenspalte."
06:03;06:10;"Und das Ganze, diese Matrix nennen wir die darstellende Matrix von F bezüglich B und C."
06:10;06:14;"Oder man sagt eben auch Matrix Darstellung von F bezüglich B, C."
06:14;06:18;"Das können Sie sich aussuchen, je nachdem wie das gerade passt."
06:18;06:23;"Können Sie also darstellende Matrix sagen oder Matrix Darstellung."
06:23;06:23;"Ja."
06:23;06:25;"So."
06:25;06:27;"Das ist im Endeffekt die Grundidee dahinter."
06:27;06:31;"Und wir werden das im letzten Video dann nochmal näher anschauen, warum wir das eigentlich machen."
06:31;06:34;"Wir können nämlich sehr viele Eigenschaften ablesen."
06:34;06:39;"Das heißt auch, wenn wir mal an Invertierbarkeit denken und Injektiv, Subjektiv, all die Sachen."
06:39;06:41;"Die können wir also ablesen aus dieser Matrix."
06:41;06:47;"Und da haben wir ja schon gesehen, das geht ja wesentlich leichter, als wenn ich irgendeine komplizierte lineare Abbildung habe."
06:47;06:50;"Das heißt also, das werden wir uns, wie gesagt, am Ende noch anschauen."
06:50;06:57;"Wenn ich jetzt zum Beispiel weiß, dass diese Matrix, die hier rauskommt, invertierbar ist, dann kann ich also auch sagen, aha, das F ist schon invertierbar."
06:58;07:08;"Obwohl das vielleicht auf irgendwelchen abstrakten Vektorräumen agiert, wo wir sozusagen nicht so schnell überprüfen können, ob die Abbildung jetzt zum Beispiel injektiv und subjektiv ist."
07:08;07:09;"So."
07:09;07:13;"Und als Satz zusammenfassend nochmal das, was wir uns jetzt gerade überlegt haben."
07:14;07:20;"Im Endeffekt, das, was hier oben auch schon steht, ja, das sozusagen, das war ja ein bisschen die Herleitung und das zusammengefasst."
07:20;07:35;"Wenn wir also eine lineare Abbildung V nach W haben, V, W sind endlich dimensionale Vektorräume mit Basen B und C, dann können wir also jeden Vektor V aus Großv, bekommen wir quasi diese Gleichung hier."
07:35;07:40;"Ja, und da steckt jetzt nichts Schlimmes dahinter."
07:41;07:50;"Wir sehen also, was steht hier da, das ist ja im Endeffekt eine Matrix, das ist ja ein Vektor, Matrixvektor, aha, ergibt dann wieder einen Vektor."
07:50;07:59;"Und hier landen wir in einem Vektorraum und zwar in W und bilden dann die Koordinatenvektoren von jedem einzelnen Element."
07:59;08:04;"Das heißt, auch hier landen wir wieder, bekommen wir wieder einen Vektor."
08:04;08:10;"Und das passt dann auch, das ist dann sozusagen konform mit dem, was hier oben steht."
08:10;08:16;"Und wenn wir das dann nochmal umschreiben, das heißt also, das, was hier steht, ist ja genau das hier, angewandt auf ein Element."
08:16;08:26;"Und dann können wir natürlich einfach diese Gleichung von rechts mit KB hoch minus 1, Moment, ja, mit KB hoch minus 1 multiplizieren."
08:26;08:30;"Dann geht das hier also rüber und zwar nach rechts."
08:30;08:34;"Und dann haben wir genau das, was wir uns oben schon überlegt haben."
