Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Herzlich willkommen zum dritten Teil der 16. Empforsitzung im Kurs Analysis 1 und Lineare"
00:06;00:12;"Algebra für Ingenieurwissenschaften. Wir haben jetzt in den letzten beiden Videos zum einen die"
00:12;00:16;"Koordinatenabbildung kennengelernt und zum anderen die Matrixdarstellung. Das heißt,"
00:16;00:22;"wir haben zu einer linearen Abbildung gesehen, wie wir also eine Matrixdarstellung gewinnen"
00:22;00:27;"können. Und jetzt im dritten Teil wollen wir uns überlegen, was passiert eigentlich, wenn wir"
00:27;00:33;"einen Vektorraum haben und eine Basis und wir kennen auch die Koordinatenabbildung. Und angenommen,"
00:33;00:38;"ich habe eine zweite Basis, wie kann ich dann geeignet von dieser einen Darstellung zur anderen"
00:38;00:45;"Koordinatenabbildung kommen? Das ist sozusagen der erste Teil. Und im vierten Teil werden wir weiter"
00:45;00:50;"bei dem Basiswechsel bleiben und wollen uns dann überlegen, was machen wir, wenn wir also eine"
00:50;00:56;"darstellende Matrix haben. Und dann wechseln wir die Basen, wie kommen wir auf die andere darstellende"
00:56;01:01;"Matrix. Wir haben ja gesehen, die darstellende Matrix hängt natürlich maßgeblich von den gegebenen"
01:01;01:07;"Basen ab. Also heißt es auch, sobald ich die Basen ändere, ändert sich auch die darstellende Matrix."
01:07;01:13;"So, wie gesagt, jetzt sind wir erstmal bei den Koordinatenabbildungen nochmal. Also nochmal ein"
01:13;01:20;"bisschen in Relation zum ersten Teil. So, wir nehmen mal an, wir haben einen K-Vektorraum V,"
01:20;01:28;"Dimension ist n und wir haben jetzt zwei Basen. Einmal B1 und einmal B2. So, und die Frage, die sich jetzt"
01:28;01:34;"uns stellt, ist, wie kann ich jetzt die Darstellung, also die Koordinaten für die verschiedenen Basen"
01:34;01:41;"umrechnen, sprich von der einen bezüglich der einen Basis, wie komme ich dann auf die Darstellung der"
01:41;01:47;"Koordinaten oder auf die Koordinaten der anderen Basis. Schauen wir uns das mal ein Diagramm an. Wir"
01:47;01:55;"hatten ja sowas schon im letzten Teil gesehen. Wir starten also, hier ist unser Vektorraum. Ja,"
01:55;02:00;"jetzt haben wir eine Basis B1 und können die Koordinatenabbildung angeben. Das haben wir schon"
02:00;02:06;"getan. Wir wissen, wie das funktioniert. Dann gehen wir hier also nach unten, landen in dem K hoch N und"
02:06;02:13;"die N, das N gibt hier die Dimension des Vektorraumes an und das ist KB1. So, dann habe ich jetzt aber"
02:13;02:19;"hier eine zweite Basis, B2 und für die kann ich das ja exakt genauso machen. Das heißt also, hier gehe ich"
02:19;02:27;"lang und bestimme KB2 und das bildet dann natürlich offensichtlich auch in den K hoch N ab. Ja, ist ja der"
02:27;02:34;"gleiche Vektorraum. So, und die Frage, die sich jetzt uns stellt, wie bekommen wir denn diese Matrix hier? Das"
02:34;02:41;"heißt also, ich habe jetzt das bestimmt und frage mich dann, wie komme ich dann jetzt am schnellsten"
02:41;02:47;"dorthin, um das sozusagen direkt zu bestimmen, die Darstellung eines Elementes dann bezüglich der Basis B2."
02:47;02:55;"Das heißt also, wie kann ich sozusagen direkt von dort nach dort kommen? Und es ist klar, dass das eine"
02:55;03:00;"Matrixabbildung ist. Wir bilden hier vom K hoch N in den K hoch N ab. Das heißt, das ist also eine"
03:00;03:07;"quadratische Matrix Format N kreuz N. Und die Idee ist ähnlich, wie wir das schon bei der darstellten"
03:07;03:12;"Matrix gemacht haben. Wir müssen irgendwie die Pfeilrichtung ändern und anders lang laufen. So lang"
03:12;03:16;"laufen können wir nicht. Wir haben irgendwie keine richtigen Informationen. Was wir aber machen können,"
03:16;03:24;"wir können so lang laufen. Und dann sieht man also, die Pfeilrichtung ist korrekt, aber der Pfeil zeigt noch in"
03:24;03:29;"die falsche Richtung. Das heißt, wir müssen diesen Weg gehen. Und das sieht man jetzt hier auf der rechten,"
03:29;03:33;"auf dem rechten Diagramm sehr schön. Wenn wir also nach oben gehen, hier zeigt der Pfeil in die richtige"
03:33;03:41;"Richtung, dann ist das wieder die inverse Koordinatenabbildung Kb1 hoch minus 1."
03:42;03:47;"Und dann können wir einfach diesen Weg gehen. Und wenn wir das jetzt mal wieder aufschreiben als"
03:47;03:54;"Nacheinanderausführung, dann sehen wir also, wir starten hier, wenden zuerst Kb1 hoch minus 1 an."
03:54;04:00;"Wie üblich, Nacheinanderausführung von rechts nach links lesen. Wir beginnen hier und dann gehen wir von"
04:00;04:08;"V weiter nach Kb2. Das heißt, wir wenden dann Kb2 an. Das ist im Endeffekt die einzige Idee dahinter,"
04:08;04:11;"um sozusagen von der einen Darstellung zur anderen zu kommen."
04:13;04:21;"So, und das führt uns dann auf die sogenannte Transformationsmatrix. Das steht jetzt hier erstmal in dem Satz."
04:21;04:26;"Aber zur Bestimmung nochmal kurz. Im Endeffekt wissen wir ja schon, wie das funktioniert."
04:26;04:34;"Auch hier nehmen wir halt einfach den Iden-Standard-Basisvektor des K auch N, um die Iden-Zeile zu bekommen."
04:34;04:38;"Das haben wir jetzt schon im letzten Video auch gesehen. Das klappt hier natürlich völlig analog."
04:39;04:45;"Das heißt, wir setzen das einfach ein und das haben wir eingesetzt. Das ist ja im Endeffekt genau das, was hier steht."
04:45;04:53;"Und dann wissen wir wieder, aha, das, was hier steht, ist einfach nur das Iden-Basis-Element B, I und zwar von der ersten Basis."
04:53;05:07;"Weil hier steht ja Kb1 hoch minus 1. Also, um das zu bestimmen, müssen wir einfach nur Kb2 anwenden auf das Iden-Basis-Element der ersten Basis."
05:07;05:12;"Klingt jetzt schlimmer, als es ist. Werden wir gleich sehen. Geht genauso einfach wie im zweiten Video."
05:12;05:18;"So, und das Ganze nennt man dann eben den Basiswechsel bei Koordinatenvektoren."
05:18;05:27;"Und das sehen wir hier nochmal als Satz. Das heißt also auch hier, V ist ein endlich-dimensionaler Vektorraum mit zwei Basen, B1 und B2."
05:27;05:34;"Und dann ist jetzt ja die Idee, warum wir das tun. Wir haben jetzt diese Matrix hier, ja, die haben wir jetzt bestimmt."
05:34;05:41;"Und wenn ich dann den Koordinatenvektor von V nehme bezüglich B1 und diesen mit dieser Matrix multipliziere,"
05:41;05:45;"dann komme ich direkt zu dem Koordinatenvektor von V bezüglich B2."
05:46;05:49;"Das ist hier oben genau das, was wir verdeutlichen wollen, ja."
05:49;05:59;"Wenn ich diese Matrix jetzt mit diesem Vektor V, B1 multipliziere, dann lande ich eben direkt dort auf dem Koordinatenvektor von V bezüglich B2."
06:00;06:05;"Deswegen sozusagen von der einen Darstellung kommen wir direkt zur anderen und brauchen dafür diese Matrix."
06:05;06:11;"Ja, und diese Matrix hat jetzt verschiedene Namen, bezeichnet immer alles das Gleiche."
06:11;06:20;"Sie sehen jetzt hier, was auf der Folie steht. Einmal können Sie es Basiswechselmatrix nennen, Basisübergangsmatrix oder Transformationsmatrix."
06:20;06:25;"Im Skript taucht, glaube ich, oft der Name Basiswechselmatrix auf."
06:25;06:28;"Ich persönlich finde Transformationsmatrix eigentlich sehr passend."
06:29;06:31;"Sie können sich aber aussuchen, wie Sie es nennen wollen."
06:31;06:33;"Ist im Endeffekt immer das Gleiche."
06:33;06:36;"Und wir wissen jetzt auch, was damit gemeint ist."
06:36;06:41;"So, und das können wir uns jetzt hier mal auf unsere Beispiele, die wir in den letzten beiden Videos angeschaut haben,"
06:41;06:44;"mit dem Polynom mal anschauen, wie wir so eine Matrix bestimmen."
06:44;06:48;"Und dann versteht man das Vorgehen wahrscheinlich auch besser."
06:48;06:52;"Also Folien 6 und 7."
06:52;06:56;"Ja, ich schreibe nochmal auf, was wir hatten."
06:58;07:06;"Also unser Vektorraum V war ja der Polynomraum aller Polynome vom Grad maximal 2."
07:06;07:10;"Und wir hatten Basen angegeben."
07:10;07:12;"Und die werden wir jetzt auch nochmal verwenden."
07:12;07:19;"Das heißt also B1, B1 ist klein, B1 ist 1 und B2 ist Z."
07:19;07:33;"Und B2, C1 war Z plus 4 und C2 hatten wir Z plus 3 genommen."
07:34;07:40;"Ja, und das waren zwei Basen von V."
07:40;07:44;"Gut, und was wir jetzt suchen,"
07:44;07:51;"gesucht ist jetzt also die Transformationsmatrix."
07:52;08:00;"und zwar, also ID ist sozusagen diese Notation und dann schreibt man den Index B1, B2."
08:00;08:03;"Und das ist jetzt wichtig, die Reihenfolge."
08:03;08:07;"Das heißt, wir wollen von der Darstellung von B1 zu der nach B2 kommen."
08:08;08:14;"Und das ist jetzt hier natürlich in diesem konkreten Beispiel auch wieder eine 2x2-Matrix."
08:14;08:19;"Und wir schreiben das Diagramm hier oben, das schreiben wir nochmal auf, konkret jetzt hier."
08:19;08:24;"Auch wenn es sehr ähnlich aussieht, aber einfach, dass wir das nochmal verstehen."
08:24;08:31;"Wir sind jetzt im Vektorraum V, haben jetzt hier die Koordinatenabbildung KB1."
08:32;08:38;"Und machen das genauso und haben jetzt hier noch die Koordinatenabbildung KB2."
08:38;08:40;"Beides bildet in den R2 ab."
08:40;08:47;"Und jetzt ist eben gesucht diese Richtung."
08:47;08:51;"Und das ist jetzt die Transformationsmatrix von B1."
08:51;08:54;"Jetzt muss ich das ordentlich aufschreiben."
08:54;08:57;"B1, B2."
08:58;09:02;"Und jetzt sehen wir also, hier ist der Pfeil noch nicht richtig."
09:02;09:04;"Also gehen wir wieder zurück."
09:04;09:06;"Und machen das mal so."
09:06;09:11;"Und das ist jetzt einfach KB1 hoch minus 1."
09:11;09:16;"Und dann können wir halt einfach diesen Weg hier, ich zeichne das mal so, eingehen."
09:16;09:18;"Und das bedeutet dann,"
09:18;09:23;"ja was gilt jetzt für die Transformationsmatrix?"
09:23;09:26;"Im Endeffekt auch das, was Sie schon auf der Folie sehen."
09:26;09:29;"Aber dass wir das nochmal zusammen entwickeln."
09:29;09:33;"Und dass man sich diese Formeln gar nicht merken braucht,"
09:33;09:35;"weil man es einfach direkt hinschreiben kann."
09:35;09:37;"Und dann einfach ablesen kann."
09:37;09:42;"Also KB2 nach KB1 hoch minus 1."
09:42;09:46;"So, und jetzt sehen wir, was wir brauchen."
09:46;09:50;"Also hier sehen wir nochmal die Spalte, die wir jetzt bestimmen wollen."
09:50;09:52;"Und was wir jetzt hier in diesem Fall brauchen,"
09:52;09:55;"also die Inverse brauchen wir also nicht wirklich,"
09:55;09:56;"weil wir haben ja schon gesehen,"
09:56;09:59;"da kann man immer das I-te Basis-Element einsetzen."
09:59;10:01;"Was wir aber brauchen ist KB2."
10:01;10:03;"Das schreibe ich nochmal auf."
10:03;10:05;"Das hatten wir schon im ersten Video bestimmt."
10:08;10:12;"Also Erinnerung, wie sah das nochmal aus?"
10:12;10:15;"Das war ein bisschen schwieriger zu bestimmen als KB1."
10:15;10:17;"Da hatten wir den Gauss-Algorithmus angewandt."
10:17;10:19;"Das heißt,"
10:19;10:22;"az plus b bildete ab auf"
10:22;10:26;"minus 3 a plus b"
10:26;10:30;"und hier 4 a minus b."
10:30;10:34;"Das ist sozusagen hier die Idee dahinter,"
10:34;10:36;"dass wir das jetzt verwenden"
10:36;10:39;"und dann bestimmen wir einfach mal die erste Spalte."
10:39;10:41;"Wir machen das genauso,"
10:41;10:42;"wie wir das im zweiten Video gemacht haben."
10:42;10:46;"Dann haben wir jetzt hier keine lineare Abbildung im Spiel."
10:46;10:48;"Hier geht es jetzt also nur um den Vektorraum"
10:48;10:50;"und zwei Basen."
10:50;10:53;"So,"
10:53;10:54;"wir machen das genauso,"
10:54;10:55;"wie es dort steht."
10:55;10:57;"Das heißt also,"
10:57;10:58;"die erste Spalte bekommen wir,"
10:58;11:03;"indem wir den ersten Standard-Basis-Vektor anwenden."
11:03;11:05;"Das wäre jetzt hier E1,"
11:05;11:06;"also der Vektor 1,0."
11:06;11:08;"So, jetzt setzen wir ein."
11:08;11:11;"Hier oben sehen Sie ja nochmal das,"
11:11;11:13;"was wir auch verwenden wollen."
11:13;11:15;"Das ist KB2,"
11:15;11:20;"KB1 hoch minus 1 E1."
11:20;11:23;"Ich mache das immer sehr ausführlich,"
