Start Timestamp;End Timestamp;Transcript
00:01;00:09;"Herzlich willkommen zum vierten Teil der 16. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:09;00:12;"Wir haben jetzt schon viel gesehen in dieser Vorlesung."
00:12;00:19;"Koordinatenabbildung, Matrixdarstellung und jetzt im letzten Teil Basiswechsel bei Koordinatenvektoren."
00:19;00:26;"Das heißt also, wie komme ich von dem einen Koordinatenvektor zu einem anderen, wenn ich die Basis wechsle."
00:26;00:34;"So, und jetzt in diesem vierten Teil, wie angekündigt, wollen wir gerne die Diagramme, die wir bisher gesehen haben, ein wenig kombinieren."
00:34;00:41;"Das heißt, grob ist die Idee wie folgt. Wir haben schon eine darstellende Matrix und wollen dann eine andere gewinnen,"
00:41;00:46;"indem wir das Resultat oder die Darstellung der schon berechneten darstellenden Matrix verwenden."
00:46;00:50;"Das heißt sozusagen ein anderes Vorgehen als das, was wir im zweiten Teil gemacht haben."
00:50;00:54;"Das ist jetzt in Worten etwas schwierig zu erklären."
00:55;01:00;"Erstmal das Hauptresultat dazu und wir werden uns gleich anschauen, warum das so ist."
01:00;01:04;"Und zwar, folgendes ist gegeben."
01:04;01:08;"Wir haben also wieder eine lineare Abbildung F von V nach W."
01:08;01:11;"V und W sind endlich dimensionale Vektorräume."
01:11;01:19;"Und wir haben dann zwei Basen B1, B2 von V und zwei Basen C1, C2 von W."
01:19;01:24;"Und dann wollen wir gerne die darstellende Matrix bestimmen, B2, C2."
01:25;01:38;"Diese hier. Und das können wir jetzt tun, indem wir einfach die Transformationsmatrizen verwenden und die darstellende Matrix B1, C1."
01:39;01:47;"Und das ist ja die Transformationsmatrix C1 nach C2 und das ist die Transformationsmatrix B2 nach B1."
01:47;01:57;"Und das ist ja, wenn wir uns nochmal an den Hinweis im letzten Teil erinnern, ja nichts anderes als die Inverse der Transformationsmatrix B1, B2."
01:57;02:09;"Und das ist sozusagen ein bisschen die Idee, wie wir das jetzt hinbekommen, dass wir also, wir haben das meinetwegen schon gegeben und brauchen dann noch diese Transformationsmatrizen,"
02:09;02:14;"dass wir dann sofort auch die darstellende Matrix bezüglich B2, C2 bekommen."
02:14;02:18;"So, und das schauen wir uns mal an einem großen Diagramm an."
02:19;02:26;"Und zwar sehen Sie jetzt ein Diagramm und hier haben wir die Diagramme vom zweiten Video und vom dritten Video kombiniert."
02:26;02:33;"So, wir überlegen nochmal, wir haben jetzt hier in der Mitte die Abbildung F von V nach W und die ist linear."
02:33;02:37;"Dann hatten wir im zweiten Video gesehen, wie wir die darstellende Matrix bestimmen."
02:37;02:43;"Wir gehen hier also, das ist sozusagen die Koordinatenabbildung, die jeweiligen und wir wollten diese Abbildung hier bestimmen."
02:44;02:48;"Und da hatten wir irgendwie gesehen, aha, um das zu machen, können wir ja einfach diesen Weg gehen."
02:48;02:55;"So, jetzt haben wir aber noch jeweils zwei weitere Basen, also nicht jeweils, sondern in jedem Raum noch eine weitere Basis."
02:55;03:00;"Und das machen wir, erweitern wir einfach mal und dann gehen wir hier oben quasi hin."
03:00;03:07;"Ja, und wenn ich jetzt diesen Weg gehe, wäre das KB2 und das ist ja einfach KC2."
03:07;03:13;"Und dann bekomme ich hier also die darstellende Matrix FB2C2."
03:13;03:15;"Ja, das sind einfach so."
03:15;03:18;"Im Endeffekt ist es einfach nur nach oben geschrieben, das Diagramm."
03:18;03:23;"Das ist das gleiche, die gleiche Idee, die hier unten steht, ist jetzt hier einfach nach oben aufgeschrieben."
03:23;03:28;"So, das heißt, wir haben jetzt also zweimal das Diagramm genommen aus dem Teil 2."
03:28;03:35;"Und im letzten Teil hatten wir ja das Diagramm für die Basistransformation oder die Transformationsmatrix genommen."
03:35;03:42;"Und da sehen wir also hier, jetzt gehe ich hier nach, ja, wie kann man es am besten erklären?"
03:42;03:43;"Vielleicht auf der rechten Seite."
03:43;03:48;"Also sozusagen die beiden hier außen, ja, die Sie hier sehen, das kommt jetzt aus dem dritten Teil."
03:48;03:52;"Fangen wir mal mit der rechten Seite an, das kann man vielleicht besser erklären."
03:52;03:58;"Und zwar haben wir jetzt hier, das ist KC1 und das ist KC2."
03:58;04:07;"Und dann haben wir ja gesehen, hier ist jetzt KC1 und wenn wir von hier nach dort gehen, dann ist das die Transformationsmatrix KC1, KC2."
04:07;04:19;"Und wir hatten das auch gesehen, wenn ich jetzt hier aus diesem Raum so einen Koordinatenvektor nehme bezüglich eines Elementes und das ist der Koordinatenvektor bezüglich KC1 und diesen mit dieser Matrix multipliziere, lande ich hier."
04:19;04:25;"Und das liefert automatisch den Koordinatenvektor dieses Elementes bezüglich der Basis KC2."
04:26;04:30;"Das gleiche auf der linken Seite, da sind die Pfeile jetzt ein bisschen anders."
04:30;04:39;"Da hätte man also hier, das ist KB1 und dann sieht man natürlich, das habe ich ja eben schon gesagt, wäre ja eigentlich KB2."
04:39;04:47;"Und dann, wenn ich von dort nach dort gehe, ist das also die Transformationsmatrix B2, B1."
04:48;04:57;"So, das war jetzt also grob die Idee, wie wir die Diagramme, also aus dem Video 2 und Video 3 jeweils zweimal genommen haben und zusammengefügt haben."
04:57;05:06;"So, und um diese darstellende Matrix hier zu bestimmen, B2, C2, würden wir also, wenn wir das nach dem zweiten Teil machen, klassisch diesen Weg gehen."
05:06;05:09;"Ja, das können wir alles machen."
