Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Herzlich willkommen zum zweiten Teil der 17. Vorlesung im Kurs ""Analysis 1 und lineare"
00:06;00:13;"Algebra für Ingenieurwissenschaften"". So, wir hatten uns jetzt im ersten Teil mit Zahlenfolgen"
00:13;00:16;"beschäftigt. Wir wissen jetzt, was eine Zahlenfolge ist, hatten auch die Begriffe"
00:16;00:21;"Beschränktheit und Monotonie kennengelernt. Und jetzt kommen wir zum entscheidenden Begriff,"
00:21;00:26;"und das ist einer der wichtigsten Begriffe auch in diesem ganzen Kurs. Alles, was noch kommt,"
00:26;00:31;"basiert im Endeffekt darauf, und zwar die Konvergenz einer Zahlenfolge. Und das schauen"
00:31;00:38;"wir uns direkt als Definition auf der Folie an. Und die Folie ist jetzt etwas voll geraten."
00:38;00:43;"Hier sind sehr viele Informationen drauf. Und wir wollen jetzt klären, wann konvergiert eine"
00:43;00:50;"Zahlenfolge? Welche Bedingung muss erfüllt sein? Und ja, was bedeutet das überhaupt? So, was"
00:50;00:57;"haben wir erstmal gegeben? Wir haben also eine Folge reeller Zahlen gegeben, wieder mit a n bezeichnet,"
00:57;01:05;"Index n aus den natürlichen Zahlen. Und dann nennen wir die Folge konvergent gegen eine reelle Zahl a,"
01:05;01:14;"falls folgendes gilt. Und zwar ist die Aussage wie folgt: Für alle Epsilon größer 0 finden wir eine Zahl"
01:14;01:20;"n Epsilon aus den natürlichen Zahlen, sodass wir diese Ungleichung hier haben. Das heißt also:"
01:20;01:30;"a n minus a im Betrag ist kleiner Epsilon und das gilt für alle n größer gleich n von Epsilon."
01:30;01:39;"So, das ist jetzt erstmal schwer zu verstehen, dieser Begriff der Konvergenz, weil man erstmal gar nicht so"
01:39;01:45;"richtig weiß, was das bedeutet. Wir schauen uns gleich ein paar Interpretationen dazu an. Ein paar"
01:45;01:52;"Bemerkungen dazu. Die Zahl a, die wir hier haben, die nennen wir einfach dann Grenzwert oder Limes dieser"
01:52;02:00;"Folge. Und dieser Index hier an diesem Groß N, da steht ja Groß N Index Epsilon, das habe ich ganz"
02:00;02:06;"unten geschrieben. Das soll einfach nur verdeutlichen, dass diese Zahl von Epsilon abhängt. Das heißt also,"
02:06;02:13;"hier steht ja für alle Epsilon, das heißt, sie wählen sich ein beliebiges Epsilon und finden dann so"
02:13;02:19;"eine Zahl N Epsilon. Das heißt, die hängt aber eben davon ab, wie groß oder wie klein das Epsilon ist."
02:19;02:26;"So, für die Konvergenz die üblichen Schreibweisen. Wir können einmal schreiben Limes N gegen unendlich,"
02:26;02:35;"a n ist gleich a. Oder wir schreiben das etwas anders auf, indem wir einfach sagen a n Pfeil nach a für n gegen"
02:35;02:42;"unendlich. Oder wenn aus dem Kontext klar ist, was wir eigentlich tun, schreibt man oftmals auch einfach nur kurz a n gegen a."
02:42;02:52;"und dann weiß man schon, damit ist gemeint für n gegen unendlich. Genau. Ja, im Endeffekt wissen wir hier also"
02:52;02:58;"vielleicht noch zusammenfassend Konvergent und Divergent, wenn wir die Begriffe haben. Das heißt, die Folge a n heißt"
02:58;03:08;"Konvergent, falls a n einen Grenzwert hat. Ja, und völlig analog nennen wir die Folge a n Divergent, falls sie nicht"
03:08;03:18;"konvergent ist. Ja, ja, und eine wichtige Klasse von Folgen, die konvergieren, sind die Nullfolgen. Das heißt also Folgen, die gegen null"
03:18;03:28;"konvergieren. Die nennt man einfach kurz Nullfolge. Ja, das ist erstmal so grob die Definition und jetzt müssen wir erstmal"
03:28;03:38;"versuchen zu verstehen, was dort eigentlich steht. Und die erste Interpretation schauen wir uns auch noch mal auf der nächsten"
03:38;03:44;"Und das heißt, hier oben, dass wir sozusagen diese Ungleichung haben und das gilt dann für alle n größer gleich n Epsilon."
03:44;03:51;"Das heißt im Umkehrschluss, also sie wählen sich ein beliebiges Epsilon und egal wie klein das auch ist,"
03:52;04:01;"In dieser Umgebung, ja, liegen also unendlich viele Folgenglieder. Das heißt also, unendlich viele Folgenglieder erfüllen diese Ungleichung."
04:01;04:08;"Das steht jetzt hier nochmal in dieser Bemerkung, ja, also konvergiert genau dann gegen eine reelle Zahl a."
04:08;04:14;"Also falls für jede Toleranz Epsilon größer Null und die ist in der Regel sehr, sehr klein, ja."
04:15;04:21;"Hier oben steht ja auch für alle Epsilon. Wir sind natürlich daran interessiert, was passiert, wenn es hinreichend klein ist."
04:21;04:30;"Dann wissen wir eben, dass alle Folgenglieder, also nicht alle, aber bis auf endlich viele Folgenglieder liegen dann in diesem Intervall."
04:30;04:35;"Das ist sozusagen die Interpretation von dem, was hier steht, ja."
04:35;04:41;"Und es liegen im Allgemeinen nur die nicht in diesem Intervall für n kleiner n Epsilon."
04:41;04:44;"Das sind aber dann nur endlich viele, ja."
04:44;04:48;"Deswegen hat das sozusagen keinen Einfluss auf die Konvergenz."
04:48;04:53;"Und wenn wir das mal auf der Zahlengerade anschauen, hier sieht man das sehr schön."
04:53;04:59;"Wir haben jetzt hier eine Zahlenfolge a n und, ja, die konvergiert jetzt irgendwie gegen ein a."
04:59;05:06;"Und dann nehmen wir uns mal ein Epsilon und a plus Epsilon ist dann sozusagen hier und a minus Epsilon ist hier."
05:06;05:11;"Und dann liegen also in diesem roten Bereich fast alle Folgenglieder, ja."
05:11;05:13;"Nur endlich viele liegen außerhalb."
05:13;05:16;"Also hier sieht man ja a 0, a 1, a 2."
05:16;05:19;"Und irgendwann kommt das hier eben rein, ja."
05:19;05:26;"Und je größer oder je kleiner Epsilon ist, umso mehr verändert sich dann auch das Groß-N Epsilon, ja."
05:27;05:31;"Deswegen auch der Index, dass wir wissen, es hängt von der Wahl des Epsilons ab."
05:31;05:33;"Das ist eine Interpretation."
05:33;05:37;"Eine andere, die ich auch sehr schön finde, ist über den sogenannten Epsilon-Schlauch."
05:37;05:39;"Und zwar schauen wir uns das auch nochmal an."
05:39;05:41;"Hier sieht man das auch sehr, sehr schön."
05:42;05:47;"Wir haben hier also n und hier tragen wir die Folge ab, ja."
