Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Herzlich willkommen zum dritten Teil der 17. Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Ich hoffe, Sie haben sich ein bisschen erholt von dem letzten Video. Das war ja doch relativ viel, was wir da gesehen haben."
00:14;00:23;"Die Konvergenz von Zahlenfolgen ist sehr essentiell und darauf baut vieles auf, was wir in den nächsten Vorlesungen auch sehen werden."
00:23;00:33;"Wir wollen uns jetzt im dritten Teil nochmal damit beschäftigen, ein paar Bemerkungen zu der Konvergenz von Zahlenfolgen und auch ein paar Folgerungen anschauen."
00:33;00:42;"Wir bleiben erstmal bei den Folien und zwar das erste, es gibt immer diesen schönen Ausspruch, Ende gut, alles gut."
00:42;00:47;"Und das passt hier sehr gut bei der Konvergenz der Zahlenfolgen."
00:47;00:59;"Also nochmal als Hinweis, das was wir jetzt auch gesehen haben, das Verhalten der Konvergenz einer Zahlenfolge hängt also nicht von dem Beginn oder von den ersten M-Folgengliedern ab."
00:59;01:04;"Das haben wir jetzt gesehen. Das heißt also, die Definition sagt eben, was passiert im Unendlichen."
01:05;01:16;"Das heißt also im Endeffekt, sie können auch eine beliebige Zahlenfolge kreieren und ab einem bestimmten Punkt, weiß ich nicht, verhält sie sich wie 1 durch n, dann konvergiert sie natürlich gegen 0."
01:16;01:23;"Auch wenn die ersten, meinetwegen, 10-Folgeglieder irgendwas komisches machen, das ist für die Konvergenz nicht wichtig."
01:23;01:40;"Und deswegen sehen wir hier auch nochmal auf der Folie, wir können also sagen, dass a n mit n größer gleich 0 genau dann konvergent ist, wenn die Folge a n konvergent ist für n größer gleich n 0 mit einem bestimmten n 0."
01:40;01:43;"Das ist sozusagen der entscheidende Punkt."
01:43;01:50;"Das heißt also, was endlich viele Folgen wieder am Anfang machen, ist irrelevant für die Konvergenz und das merken wir uns auch."
01:50;01:52;"Entscheidend ist dann, was im Unendlichen passiert."
01:52;02:04;"So, ein wichtiger Punkt noch, wir hatten jetzt die Konvergenz für reelle Zahlenfolgen eingeführt, aber damit wir das Ganze vollständig haben, wir können das auch völlig analog für komplexe Zahlen einführen."
02:04;02:11;"Das heißt also, wir haben jetzt einfach eine komplexe Zahlenfolge, das hatten wir im ersten Video schon erwähnt, können wir einführen."
02:11;02:16;"Das ist einfach eine Abbildung dann von n nach c anstatt n nach r."
02:16;02:19;"Ja, und die Konvergenz ist dann relativ ähnlich."
02:19;02:25;"Wir sagen dann, an ist genau dann konvergent gegen ein a aus c."
02:25;02:40;"Wenn, und jetzt hier wichtiger Punkt, wenn zu jedem y größer 0 ein n y aus n existiert, sodass a n minus a Betrag kleiner y ist für alle n größer gleich n y."
02:40;02:44;"Sie sehen also, das ist komplett identisch und woran liegt das?"
02:44;02:48;"Naja, das y größer 0 ist natürlich auch eine reelle Zahl."
02:48;02:56;"Hier werden wir keine komplexe Zahl fordern, weil es geht auch nicht, wir haben keine Ordnung, wir haben keine Ungleichung bei den komplexen Zahlen."
02:56;03:03;"Und hier betrachten wir ja nur die Beträge und da hatten wir ja gesehen, die Beträge von komplexen Zahlen, die landen ja wieder in r."
03:03;03:13;"Das heißt, der einzige Unterschied zur Definition, die wir im letzten Video gesehen haben, ist also an hat jetzt komplexwertige Folgenglieder und der Grenzwert ist komplexwertig."
03:13;03:21;"Aber wir betrachten hier wieder den Betrag dann im komplexen und der ist reellwertig und deswegen ist auch y reellwertig."
