Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur zweiten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:11;"Wir sind jetzt im zweiten Kapitel angelangt, das Kapitel Zahlen."
00:11;00:18;"Und hier werden wir uns im ersten Teil ausführlich mit Zahlen und Zahlendarstellungen beschäftigen."
00:18;00:27;"Das heißt, wir werden nochmal die Zahlenbereiche, natürliche Zahlen, ganze Zahlen, rationale Zahlen, reelle Zahlen und auch kurz komplexe Zahlen anschauen."
00:27;00:32;"Im zweiten Teil geht es dann um Ungleichungen und was sind Ungleichungen?"
00:32;00:36;"Wie ist überhaupt die Ordnungsrelation auf den reellen Zahlen definiert?"
00:36;00:47;"Dann geht es auch um reelle Wurzeln und im dritten Teil werden wir dann Ungleichungen lösen und dazu auch davor erst noch den Absolutbetrag näher kennenlernen."
00:47;00:55;"Und im letzten Teil werden wir uns dann mit dem Summenzeichen und dem Produktzeichen beschäftigen und einige Beispiele anschauen."
00:56;01:00;"Gut, fangen wir im ersten Teil an mit Zahlen und Zahlendarstellungen."
01:00;01:06;"Ich habe wie üblich einiges auf den Folien vorbereitet, deswegen steigen wir hier gleich mal ein."
01:06;01:12;"Wir haben in der letzten Vorlesung, Sie erinnern sich, die natürlichen Zahlen kennengelernt."
01:12;01:14;"Die sehen Sie jetzt nochmal hier."
01:15;01:20;"Das hatten wir als Beispiel von Mengen eingeführt, geschweifte Klammern."
01:20;01:27;"Und wir beginnen hier in diesem Kurs bei den natürlichen Zahlen bei 0 und dann 1, 2, 3, 4 und so weiter."
01:27;01:30;"Das ist also eine Menge mit unendlich vielen Elementen."
01:31;01:38;"Und ich hatte es auch schon gesagt, in manchen Lehrbüchern werden Sie die Definition auch so sehen, dass die 0 nicht dazu gehört."
01:38;01:40;"Hier in diesem Kurs gehört sie aber immer dazu."
01:40;01:42;"So schön die natürlichen Zahlen auch sind."
01:42;01:50;"Sie haben ein paar, ja wie soll ich sagen, ein paar Nachteile."
01:50;01:58;"Wir können natürlich beliebig oft natürliche Zahlen addieren, aber was ist, wenn wir eigentlich natürliche Zahlen subtrahieren?"
01:58;02:00;"Wir würden ja gerne in dieser Menge bleiben."
02:00;02:07;"Und da fängt das Problem schon an, wenn Sie zum Beispiel x minus y nehmen und x und y sind natürliche Zahlen,"
02:07;02:09;"dann ist dieser Ausdruck nicht immer definiert."
02:09;02:13;"Das heißt also, dass das Ergebnis nicht zu den natürlichen Zahlen gehören muss."
02:13;02:17;"Und hier als kleines Beispiel nehmen Sie einfach 2 minus 7."
02:17;02:20;"Das ist offensichtlich keine Zahl aus den natürlichen Zahlen."
02:20;02:25;"Und die Idee, um das Problem zu beheben, ist einfach die Definition der ganzen Zahlen."
02:25;02:28;"Ganze Zahlen hier mit diesem z."
02:28;02:33;"Das heißt also, wenn wir das mal schreiben, machen Sie einfach ein z und hier so einen Strich dran."
02:33;02:37;"Und z, die ganzen Zahlen, sind folgendermaßen definiert."
02:37;02:42;"Wir haben jetzt hier einfach die natürlichen Zahlen vereinigt mit dieser Menge."
02:42;02:49;"Und jetzt sehen Sie einfach, diese Menge besteht aus allen Zahlen minus n, wobei n eine natürliche Zahl ist."
02:49;02:55;"Das heißt einfach, wir nehmen noch die negativen Zahlen hinzu, vereinigen beide Mengen."
02:55;03:00;"Wir sehen natürlich auch, dass hier die 0 enthalten ist, aber auch hier ist die 0 enthalten."
03:00;03:05;"Aber wir wissen, wenn zwei Elemente doppelt vorkommen in einer Menge, tut das nichts."
03:05;03:07;"Wir zählen das Ganze immer nur einfach."
03:07;03:10;"Und am Ende bekommen wir eben genau diese Menge."
03:10;03:14;"Das heißt also, hier stehen unendlich viele Elemente."
03:14;03:21;"Und dann 0 und das gleiche mit den positiven Zahlen."
03:21;03:31;"Und wenn wir das jetzt haben, dann ist tatsächlich x minus y für alle x, y aus den ganzen Zahlen definiert und landet immer wieder in dieser Menge."
03:32;03:34;"Gut, das klingt erstmal schön."
03:34;03:38;"Jetzt haben wir aber noch andere Operationen, die wir tätigen wollen."
03:38;03:41;"Wir wollen ja nicht nur die Addition und die Subtraktion verwenden."
03:41;03:47;"Das nächste Problem, was auftritt, wenn wir die ganzen Zahlen haben, das ist jetzt eine Erweiterung der natürlichen Zahlen,"
03:47;03:53;"ist die Frage, was machen wir mit Ausdrücken x durch y."
03:54;03:55;"Das heißt, wir wollen dividieren."
03:55;04:01;"Und hier sieht man schon, x durch y ist im Allgemeinen keine ganze Zahl."
04:01;04:04;"Auch hier ein kleines Beispiel."
04:04;04:08;"2 durch 7 ist offensichtlich nicht Element von z."
04:09;04:16;"Und die Idee, um das Problem zu beheben, ist jetzt einfach, die rationalen Zahlen einzuführen."
04:16;04:23;"Und die rationalen Zahlen, hier mit q bezeichnet, wenn Sie das aufschreiben, machen Sie einfach ein q und hier einen Strich,"
04:24;04:34;"ist die Menge aller Brüche a durch b, wobei a und b ganze Zahlen sind, also aus z hier definiert."
04:34;04:39;"Und b ist größer 0 und wir nehmen an, a und b sind teilerfremd."
04:39;04:49;"Das heißt also, wir wollen den Bruch so weit kürzen, wie es geht, sodass wir dann also annehmen können, dass a und b teilerfremd sind."
04:49;04:53;"Und diese Menge ist die Menge der rationalen Zahlen."
04:54;04:59;"Und jetzt werden Sie als erstes natürlich feststellen, ist das nicht eine Einschränkung, wenn wir b größer 0 annehmen?"
04:59;05:07;"Nein, ist es nicht, weil wann immer wir unten, also quasi im Nenner, also ist der Nenner, das ist der Zähler,"
05:07;05:12;"wenn wir hier jetzt eine negative Zahl haben, können wir dieses Minuszeichen ja immer nach oben nehmen."
05:12;05:20;"Und als Beispiele sehen Sie jetzt hier 14 Achtel und da sehen Sie schon, aha, da sind aber a und b nicht teilerfremd."
05:20;05:28;"Wir können also nochmal kürzen, deswegen hier einfach durch 2 geteilt ist 7 Viertel und das ist dann ein Element aus Q."
05:28;05:37;"Und hier auch nochmal ein Beispiel, was ich eben schon erzählt habe, mit dem, was ist, wenn b negativ ist."
05:37;05:41;"Das heißt, wir können trotzdem Ausdrücke 2 durch minus 7 angeben."
05:41;05:51;"Wir nehmen die minus 2 einfach in den Zähler und können das ja auch schreiben als minus 2 Siebtel und das ist dann natürlich ein Element aus den rationalen Zahlen."
05:52;06:06;"So, und mit dieser Menge können wir jetzt also auch sehr schön dividieren, das heißt also Ausdrücke A durch B, wobei A und B aus Q sind, mit B ungleich 0 sind jetzt also definiert."
06:06;06:09;"Gut, es geht natürlich noch weiter."
06:09;06:21;"Jetzt haben wir also ausgehend von den natürlichen Zahlen die ganzen Zahlen erklärt, haben gesehen, die Division klappt dort noch nicht und haben deswegen die rationalen Zahlen erklärt."
06:21;06:30;"Und jetzt kommt natürlich der Klassiker, wie können wir das jetzt noch erweitern oder die Frage ist, warum wollen wir das überhaupt erweitern?"
06:30;06:32;"Das schauen wir uns auf der nächsten Folie an."
06:33;06:45;"Und das Problem ist in Q und das kennen Sie sicherlich aus Schulzeiten, wenn Sie eine Gleichung x² gleich 2 lösen wollen, dann können wir das in Q nicht lösen."
06:45;06:53;"Das führt ja dann auf die Quadratwurzel und da hatten wir ja schon im letzten Video gezeigt, dass Wurzel 2 nicht zu Q gehört."
06:53;06:57;"Das heißt also, Wurzel 2 lässt sich hier nicht als so ein Bruch darstellen."
06:57;07:05;"Und um das Problem zu beheben, erweitern wir die Menge, indem wir die reellen Zahlen einführen."
07:05;07:09;"Und das sehen Sie hier mit diesem R-Schreibweise auch."
07:09;07:11;"Sie machen einfach ein R und hier ein Strich."
07:12;07:17;"Und das ist die Menge aller x, sodass x eine Dezimalzahl ist."
07:17;07:20;"Das ist jetzt erstmal etwas schwierig zu verstehen."
07:20;07:22;"Das werden wir uns auf der dritten Folie nochmal näher anschauen."
07:22;07:27;"Wir werden sehen, dass es drei Möglichkeiten gibt, eine Dezimalzahl anzugeben."
07:27;07:36;"Einmal als abrechende Dezimalzahl, einmal als periodische Dezimalzahl und einmal als nicht-abbrechende, nicht-periodische Dezimalzahl."
07:36;07:38;"Wir nehmen das erstmal so hin."
07:38;07:46;"Wir haben jetzt also die reellen Zahlen als Menge definiert, sodass x eine Dezimalzahl ist."
07:46;07:48;"Das heißt, die Menge aller Dezimalzahlen."
07:48;07:52;"Und das nächste Problem, und das kennen Sie sicherlich auch,"
07:52;07:57;"Was machen wir, wenn wir Gleichungen der Form x² gleich minus 1 lösen wollen?"
07:57;08:00;"In R wissen wir, finden wir keine Lösung."
08:00;08:06;"Und das heißt, wir erweitern R durch die sogenannten komplexen Zahlen."
08:06;08:10;"Für die komplexen Zahlen werden wir noch die dritte und die siebte Vorlesung reservieren."
08:10;08:12;"Deswegen werde ich das jetzt hier nur kurz anmerken."
08:12;08:17;"Wir haben dann sozusagen noch zwei ganze Vorlesungen dafür, um das im Detail zu betrachten."
08:17;08:20;"Die komplexen Zahlen werden mit c bezeichnet."
08:20;08:23;"Auch hier die Schreibweise einfach ein c und hier ein Strich dran machen."
08:23;08:29;"Und das ist definiert als alle Zahlen a plus bi."
08:29;08:32;"Und a und b sind reelle Zahl."
08:32;08:38;"Und i² wird erklärt als, ist gleich minus 1."
08:38;08:41;"Wie gesagt, das werden wir noch näher anschauen."
08:41;08:43;"Und das wird dann auch alles klappen."
08:43;08:45;"Die ganzen Grundrechenarten."
08:46;08:51;"In dieser Form haben wir jetzt also die natürlichen Zahlen erweitert."
08:51;08:53;"Und wir haben dann folgende Inklusion."
08:53;08:54;"Das sehen Sie hier."
08:54;08:58;"Das heißt, die natürlichen Zahlen sind enthalten in den ganzen Zahlen."
08:58;09:01;"Die ganzen Zahlen in den rationalen."
09:01;09:04;"Die rationalen sind in den reellen Zahlen enthalten."
09:04;09:08;"Und die reellen Zahlen sind in den komplexen Zahlen enthalten."
09:08;09:15;"Und damit haben wir jetzt erstmal die wichtigsten Zahlenmengen kennengelernt, die wir auch benötigen in diesem Kurs."
09:15;09:18;"Und vielleicht noch ein Zusatzbegriff."
09:18;09:27;"In der Tat ist es so, dass die rationalen, die reellen und die komplexen Zahlen, diese Mengen bilden sogar einen Körper."
09:27;09:29;"Das ist ein Begriff, den brauchen wir in diesem Kurs nicht."
09:29;09:33;"Das ist sozusagen viel stärker als die anderen Mengen."
09:33;09:36;"Und dort sind alle Grundrechenarten durchführbar."
09:36;09:40;"Wie gesagt, Definition Körper ist relativ lang."
09:40;09:41;"Gibt es Körperaxiome?"
09:41;09:43;"Brauchen wir jetzt nicht."
09:43;09:48;"Und ich möchte Sie auch nicht nerven mit unzähligen Axiomen, die wir dann in dem Kurs auch nicht verwenden."
09:48;09:53;"Einfach nur, dass Sie diesen Begriff mal gehört haben, dass diese drei Mengen Körper sind."
09:53;09:59;"So, wie gesagt, die komplexen Zahlen, die schauen wir uns in der dritten Vorlesung näher an."
09:59;10:03;"Jetzt möchte ich vielleicht nochmal kurz was zu den reellen Zahlen sagen."
10:03;10:07;"Jetzt habe ich hier so schnell gesagt, x ist eine Dezimalzahl."
10:07;10:11;"Und deswegen schauen wir uns nochmal die Darstellung als Dezimalzahl an."
10:11;10:17;"Was ist jetzt eigentlich der Unterschied zu den reellen Zahlen?"
10:17;10:19;"Und der Unterschied ist recht einfach."
10:19;10:27;"Jede rationale Zahl q kann man als abbrechende oder periodische Dezimalzahl schreiben."
10:27;10:29;"Was bedeutet abbrechend?"
10:29;10:31;"Wir nehmen mal hier ein Halb."
10:31;10:34;"Dann sehen Sie, das ist natürlich nichts anderes als 0,5."
10:34;10:37;"Und hinter der 5 dahinter kommt nichts mehr."
10:37;10:38;"Deswegen abbrechend."
10:38;10:42;"Das ist sozusagen eine abbrechende Dezimalzahl."
10:42;10:48;"Und völlig analog, eine periodische Dezimalzahl können wir hier als Beispiel ein Drittel nehmen."
10:48;10:52;"Ein Drittel können wir schreiben als 0,3."
10:52;10:56;"Und dann machen Sie diesen Strich für die Periode, weil die 3 immer wieder hier auftaucht."
10:56;10:57;"Unendlich oft."
10:57;10:59;"Und deswegen periodisch."
10:59;11:03;"Und deswegen ist das eine periodische Dezimalzahl."
11:03;11:06;"Wir können auch noch ein komplizierteres Beispiel nehmen."
11:06;11:08;"Schauen wir uns mal 22 Siebte an."
11:08;11:15;"Tatsächlich ist das dann die Dezimalzahlform in dieser hier gegeben auf der Folie."
11:15;11:17;"Das heißt, 3 Punkt."
11:17;11:20;"Und dann kommen diese 6 Zahlen."
11:20;11:22;"1, 4, 2, 8, 5, 7."
11:22;11:27;"Und der Strich besagt, dass diese Zahlen immer wiederholend hintereinander geschrieben werden."
