Start Timestamp;End Timestamp;Transcript
00:01;00:10;"Herzlich willkommen zum zweiten Teil der zweiten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:10;00:15;"Wir hatten uns jetzt im ersten Teil mit den Zahlenbereichen beschäftigt und hatten dann auch gesehen,"
00:15;00:20;"wie wir aus den rationalen Zahlen die reellen Zahlen bekommen."
00:20;00:26;"Ich hatte auch angemerkt, dass die nichtabrechnenden, nichtperiodischen Dezimalzahlen,"
00:26;00:33;"die nennt man auch die irrationalen Zahlen, das heißt also die rationalen und die irrationalen vereinigt ergeben die reellen Zahlen."
00:33;00:41;"Nun ist es so, jetzt haben wir natürlich Gleichung, die können wir berechnen oder die können wir sozusagen versuchen,"
00:41;00:44;"irgendwelche Variablen auszurechnen, das können wir alles in R machen,"
00:44;00:49;"sofern wir jetzt nicht Gleichung dieser Form jetzt hier bekommen."
00:49;00:56;"Aber wir haben natürlich auch Ungleichungen und auf den reellen Zahlen, das schauen wir uns erstmal auf der Folie an,"
00:56;00:59;"das kennen Sie natürlich auch, aber da steckt natürlich auch ein Konzept dahinter."
00:59;01:06;"Auf R gibt es eine sogenannte Ordnungsrelation, das heißt also, wir müssen erstmal erklären,"
01:06;01:13;"was bedeutet eigentlich x kleiner y, das ist im Endeffekt das, was Sie kennen, x kleiner y."
01:15;01:23;"Und wenn wir sagen, x ist kleiner gleich y, dann natürlich völlig analog werden wir das sprechen als x kleiner gleich y."
01:23;01:28;"Das gleiche, wenn Sie das umgekehrte Relationszeichen haben, aber was heißt es mathematisch?"
01:28;01:37;"Mathematisch definieren wir also diesen Ausdruck, x kleiner gleich y ist per Definition genau dann,"
01:37;01:43;"wenn der Fall, wenn x kleiner y oder x gleich y."
01:43;01:48;"Das ist Ihnen jetzt sicherlich klar und Sie werden sich jetzt auch fragen, warum erklärt er das überhaupt?"
01:48;01:55;"Das ist aber sozusagen das mathematische Vorgehen, wie ist diese Ordnungsrelation erklärt?"
01:55;02:06;"Und auch hier, wenn wir sagen, x ist größer y, dann ist das per Definition genau dann der Fall, wenn y kleiner x ist."
02:08;02:18;"Und diese Relation, die erfüllt natürlich einige Axiome, beziehungsweise bestimmte Eigenschaften sind erfüllt."
02:18;02:22;"Und das sehen Sie hier in den Grundregeln, sagt man manchmal eben auch Axiome dazu."
02:22;02:29;"Wir haben jetzt hier x, y und z sind reelle Zahlen und a, b sind auch reelle Zahlen."
02:29;02:31;"Und hierfür gelten folgende Eigenschaften."
02:31;02:36;"Das erste Interessante ist, es gibt genau, wenn Sie zwei Zahlen x und y haben,"
02:36;02:47;"einer der drei Fälle ist immer erfüllt, das heißt x kleiner y, x gleich y oder x ist größer y."
02:47;02:49;"Wann immer Sie das tun."
02:49;02:54;"Wir werden sehen, bei den komplexen Zahlen wird das nicht möglich sein, da gibt es keine Ordnungsrelation."
02:54;02:58;"Deswegen ist das in der Tat eine sehr schöne Aussage."
02:58;03:09;"Die zweite Eigenschaft, da sehen Sie, wenn x kleiner y und y kleiner z, dann wissen wir natürlich automatisch, dass auch x kleiner z ist."
03:09;03:17;"Völlig analog, wenn wir jetzt hier x kleiner y nehmen und wir sagen jetzt hier a kleiner gleich b,"
03:17;03:24;"dann folgt aber trotzdem, dass x plus a echt kleiner y plus b ist."
03:24;03:31;"Das sind Rechenregeln, die kennen Sie sicherlich und wir führen das jetzt hier auch ein, weil wir Ungleichungen lösen wollen,"
03:31;03:33;"auch durchaus kompliziertere."
03:33;03:44;"Die vierte Regel, da sehen Sie einfach, wenn Sie eine Ungleichung x kleiner y mit einer Zahl, mit einer positiven Zahl multiplizieren,"
03:44;03:47;"dann verändert sich das Relationszeichen nicht."
03:47;03:50;"Wir haben einfach ax kleiner a y."
03:50;04:03;"Und diese Axiome 2 bis 4, die sind natürlich auch gültig, wenn man überall das echte Zeichen, die echte Relation durch kleiner gleich ersetzt."
04:05;04:12;"So, das ist erstmal so die Grundidee, warum wir überhaupt Ungleichungen haben."
04:12;04:15;"Und welche Rechenregeln gelten denn jetzt hier?"
04:15;04:19;"Wir haben jetzt hier so die Grundregeln, die Axiome kennengelernt."
04:19;04:27;"Und das schauen wir uns hier mal auf der zweiten Folie an, oder auf der sechsten Folie genauer gesagt."
04:27;04:31;"Was wir schon gesehen hatten, wir haben jetzt hier also gesehen,"
04:31;04:38;"wenn ich x kleiner y habe und ich multipliziere mit einer positiven Zahl,"
04:38;04:40;"dann verändert sich das Relationszeichen nicht."
04:40;04:49;"Jetzt ist natürlich hier, x kleiner 0 bedeutet natürlich automatisch, dass minus x größer 0 ist."
04:49;04:54;"Und für x größer 0 ist dann natürlich minus x kleiner 0."
04:54;04:59;"Das bekommen Sie im Endeffekt, indem Sie zum Beispiel durchmultiplizieren."
04:59;05:01;"Und das sehen Sie jetzt hier nochmal im zweiten Punkt."
05:01;05:06;"Die Multiplikation mit einer negativen Zahl ändert die Richtung einer Ungleichung."
05:06;05:09;"Das heißt, kehrt das Relationszeichen um."
05:09;05:12;"Und deswegen sehen Sie, hier oben hatten wir diesen Fall."
05:12;05:16;"Und jetzt sehen wir, wenn x kleiner y und a kleiner 0,"
05:16;05:22;"dann ist Ax größer ay im Vergleich zu diesem Relationszeichen."
05:22;05:25;"So, auch das sollte klar sein."
05:25;05:27;"Das müssen Sie natürlich wissen."
05:27;05:33;"Und das werden wir natürlich jetzt auch, wenn wir gleich Ungleichungen lösen, natürlich verwenden."
05:33;05:35;"Was wissen wir noch?"
05:35;05:39;"Wenn wir Quadrate anschauen."
05:39;05:43;"Das heißt also, wenn wir x² anschauen und x ist ungleich 0,"
05:43;05:46;"dann ist x² natürlich immer größer 0."
05:46;05:52;"Und wir können allgemein sagen, dass die Quadrate von reellen Zahlen nicht negativ sind."
05:52;05:55;"Und jetzt steht hier nicht negativ."
05:55;05:59;"Nicht negativ bedeutet einfach größer gleich 0."
05:59;06:02;"Weil für x gleich 0 wäre es ja gleich 0."
06:02;06:08;"Und sobald wir 0 herausnehmen, haben wir eben genau diesen Fall."
06:08;06:11;"Und dann können wir auch sagen, dass x² positiv ist."
06:11;06:12;"Das ist also nochmal der Unterschied."
06:12;06:15;"Positiv bedeutet dann eben größer 0."
06:15;06:19;"Und nicht negativ bedeutet dann eben größer gleich 0."
06:19;06:22;"Nur damit Sie die Sprechweise verstehen."
06:23;06:25;"Allgemeiner können wir das wie folgt formulieren."
06:25;06:30;"Wenn wir jetzt Potenzen mit beliebigen n anschauen, dann ist natürlich klar,"
06:30;06:35;"wenn x größer 0 ist, dann ist auch automatisch x hoch n größer 0."
06:35;06:40;"Und das gilt dann auch für alle kleinen n aus den natürlichen Zahlen."
06:40;06:43;"Wenn das x negativ ist, müssen wir ein wenig aufpassen."
06:43;06:49;"Wenn x kleiner 0 ist, dann ist x hoch n größer 0."
06:49;06:56;"Wenn das n gerade ist, ja, gerade n, was hieß das nochmal?"
06:56;07:00;"Das waren also die Zahlen, die wir schreiben können als 2 mal k."
07:00;07:02;"Und k ist eine natürliche Zahl."
07:02;07:03;"Das sind die Geraden."
