Start Timestamp;End Timestamp;Transcript
00:00;00:04;"Herzlich willkommen zum dritten Teil der zweiten Vorlesung im Kurs"
00:04;00:08;"Analysis 1 und lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns im zweiten Teil mit der Ordnungsrelation auf den reellen Zahlen beschäftigt."
00:13;00:19;"Das heißt also, wir haben Ungleichungen erklärt, Rechenregeln angeschaut"
00:19;00:23;"und in diesem Video wollen wir einfach mal schauen, wie können wir eigentlich Ungleichungen auflösen."
00:23;00:29;"Und bevor wir das tun, werden wir eine der wichtigsten Funktionen in diesem Kurs überhaupt einführen,"
00:29;00:35;"den sogenannten Absolutbetrag und das schauen wir uns zuerst auf der Folie an."
00:35;00:41;"Ja, der Absolutbetrag, Sie kennen das auch einfach nur als Betrag einer reellen Zahl,"
00:41;00:45;"ist in diesem Sinne hier definiert. Schauen wir uns das mal näher an."
00:45;00:48;"Notation klar, x und Sie machen diese Striche drum."
00:48;00:57;"Und was bedeutet das formal? Das bedeutet, x-Betrag ist einfach x, wenn x größer gleich 0 ist."
00:58;01:07;"Und wenn das x negativ ist, das heißt also, x-Betrag ist gleich minus x, wenn x kleiner 0 ist."
01:07;01:13;"Ja, und daran sehen wir schon, dass der Betrag von x immer größer gleich 0 ist,"
01:13;01:17;"und zwar für alle x aus den reellen Zahlen."
01:17;01:24;"Und man kann das einfach so verstehen, dass der Betrag einfach negative Vorzeichen entfernt."
01:24;01:29;"So, und diese Definition, die werden wir dann beim Lösen von Ungleichungen auch verwenden."
01:29;01:32;"Das heißt also, wir werden da viele Fallunterscheidungen durchführen,"
01:32;01:39;"je nachdem, ob das, was im Betrag ist, positiv oder beziehungsweise nicht negativ oder eben negativ ist."
01:39;01:44;"So, und als Interpretation, bevor wir uns noch ein paar Eigenschaften dazu anschauen,"
01:44;01:52;"also Interpretation, was sagt eigentlich dieser Betrag aus?"
01:53;01:56;"Wenn wir mal auf die Zahlengerade schauen,"
01:56;01:59;"dann ist natürlich klar,"
01:59;02:04;"dass der Betrag von x nichts anderes ist,"
02:04;02:09;"als der Abstand der reellen Zahl x zum Ursprung der Zahlengerade,"
02:09;02:12;"und der Ursprung damit ist einfach der Nullpunkt gemeint."
02:14;02:27;"Das heißt also, x-Betrag ist der Abstand von x zum Ursprung."
02:27;02:31;"Das ist auch so ein Wort, das verwenden die Mathematikerinnen und Mathematiker immer."
02:31;02:34;"Ursprung, damit ist einfach nur der Nullpunkt gemeint."
