Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Herzlich willkommen zum vierten Teil der zweiten Vorlesung im Kurs ""Analysis 1 und lineare Algebra"
00:07;00:14;"für Ingenieurwissenschaften"". Ja, wir hatten uns eben im letzten, im dritten Teil mit dem"
00:14;00:18;"Lösen von Ungleichungen beschäftigt und jetzt gehen wir mal zu einem anderen Thema und zwar"
00:18;00:24;"sogenannte Summen und Produktzeichen. Das ist sozusagen auch eine Abkürzung, die wir häufig"
00:24;00:33;"verwenden werden. Wir beginnen mal mit dem Summenzeichen und das schauen wir uns als Definition auf der Folie 10 an."
00:33;00:42;"Was verstehen wir unter einem Summenzeichen? Wir geben uns erstmal zwei natürliche Zahlen m und n vor und n plus 1"
00:42;00:52;"reelle Zahlen x0, x1 bis xn und dann können wir die Summe wie folge definieren. Wir nehmen an, dass m kleiner"
00:52;01:01;"gleich n ist und dann ist die Summe k gleich m bis n von xk einfach definiert als die Elemente"
01:01;01:13;"xm plus xm plus 1 plus und so weiter bis plus xn. Ja, und wir sehen also, wir starten bei k gleich m, das ist"
01:13;01:22;"sozusagen der Laufindex, wir setzen m ein, das ergibt xm, erhöhen um 1, das heißt wir schreiben jetzt hier"
01:22;01:32;"statt xk, xk plus 1 und für das k setzen wir m ein, also steht dann hier da xm plus 1 und so weiter und das machen wir bis das"
01:32;01:41;"xk, n erreicht hat und das letzte ist dann einfach xm. Und hier auch nochmal die Sprechweise, Summe der xk über"
01:41;01:49;"xk von m bis n. Ja, und es ist natürlich wichtig, dass wir hier vorausgesetzt haben, dass m kleiner gleich n ist, weil sonst"
01:49;02:03;"können wir hier nicht erhöhen und das liefert uns dann gleich schon den zweiten Fall. Was passiert, wenn m größer n ist? Dann, das bedeutet also hier nochmal die obere Grenze ist also, diese obere ist also kleiner als die"
02:03;02:23;"die untere Grenze und dann ist diese Summe hier einfach 0 und das ist sozusagen per Definition gleich 0, wenn also m größer n ist und das Ganze nennen wir dann die leere Summe. Gut, das ist jetzt nicht so kompliziert, wir werden das aber oft verwenden. Vielleicht ein kleines Beispiel dazu."
02:25;02:55;"Wir geben uns mal eine Summe vor oder mittels Summenzeichen zum Beispiel k gleich 4 bis 8 von 2k minus 1 durch k. Ja, so was kommt da heraus? Ja, wir setzen jetzt einfach ein. Im ersten Schritt setzen wir für k 4 ein, das heißt,"
02:55;03:25;"also 2 mal 4 minus 1 geteilt durch 4. Ja, also wir starten bei 4 und setzen hier 4 ein. Das haben wir auch gemacht. Dann im nächsten Schritt erhöhen wir um 1. 2 mal, also k gleich 5. Das ist 2 mal 5 minus 1 geteilt durch 5 plus. Und das machen wir jetzt bis wir bei 8 angelangt sind. Das heißt, jetzt kommen noch ein paar Ausdrücke. 2 mal 6 minus 1."
03:25;03:32;"minus 1 durch 6 plus wieder das k um 1 erhöhen. Jetzt sind wir bei 7 angekommen."
03:32;03:47;"Und im letzten Schritt, wenn das k gleich 8 ist, dann sind wir am Ende. Dann kommt der letzte Summand und das ist dann eben 2 mal 8 minus 1 durch 8."
03:48;03:49;"So, fassen wir das mal zusammen."
