Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Ich begrüße Sie recht herzlich zur dritten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:07;00:13;"Ich hätte das schon in der letzten Vorlesung angekündigt. Wir wollen uns jetzt mit den komplexen Zahlen beschäftigen."
00:13;00:21;"Und wie Sie schon am Namen des Kapitels lesen, komplexe Zahlen 1, wird es noch ein weiteres Kapitel geben, allerdings erst in Kapitel 7."
00:21;00:27;"In dieser Vorlesung wollen wir die komplexen Zahlen in ihren kathesischen Darstellungen kennenlernen."
00:27;00:34;"Wir wollen die Grundrechenarten durchgehen von Addition, Multiplikation, Division."
00:34;00:41;"Wir wollen auch die Gausche Zahlenebene kennenlernen. Das heißt, wie können wir uns geometrisch komplexe Zahlen vorstellen."
00:41;00:49;"Dazu werden wir den Absolutbetrag und auch die komplex konjugierte Zahl einführen und Eigenschaften nachweisen."
00:49;00:54;"Und am Ende werden wir dann sehen, dass wir jede quadratische Gleichung lösen können."
00:54;00:59;"Jetzt in diesem ersten Teil geht es erstmal nur um die Grundrechenarten und die Gausche Zahlenebene."
01:00;01:04;"Und wir fangen gleich nochmal an mit der letzten Vorlesung."
01:04;01:08;"Da erinnern Sie sich vielleicht noch an das Problem 4."
01:08;01:14;"Da ging es darum, wie können wir Gleichungen x² gleich minus 1 lösen."
01:14;01:17;"Und es ist klar, dass wir in R keine Lösung finden."
01:18;01:21;"Das heißt, wir können jetzt hier nicht die Wurzel ziehen aus minus 1."
01:21;01:28;"Und um dieses Problem zu beheben, da hatte ich ja schon auf der einen Folie angedeutet,"
01:28;01:33;"führen wir die komplexen Zahlen ein, komplexen Zahlen c."
01:33;01:36;"Also schreibweise einfach diesen Strich so machen."
01:36;01:40;"Und die Idee ist, das Ganze über die imaginäre Einheit zu definieren."
01:40;01:48;"Die imaginäre Einheit, die Zahl i, ist einfach definiert im Sinne von i² ist gleich minus 1."
01:48;01:52;"Das heißt also i nennen wir imaginäre Einheit."
01:52;01:59;"Und die einzige Eigenschaft, die wir erstmal kennen, ist einfach die Aussage i² ist gleich minus 1."
01:59;02:03;"Und tatsächlich werden wir sehen, dass damit alles sehr gut funktioniert."
02:03;02:11;"Und die komplexen Zahlen c sind dann definiert in der Form, das ist die Menge aller x plus i y,"
02:11;02:17;"wobei i die imaginäre Einheit ist und x y sind reelle Zahlen."
02:17;02:21;"Und die Gesamtmenge aller dieser Zahlen nennen wir die komplexen Zahlen."
02:21;02:26;"Und natürlich stellt sich die erste Frage, wenn wir Zahlen haben, wir kennen die reellen Zahlen,"
02:26;02:29;"wir wissen, wie wir reelle Zahlen addieren."
02:29;02:34;"Wie können wir das uns jetzt hier vorstellen bei den komplexen Zahlen?"
02:34;02:38;"Dazu nehmen wir einfach mal zwei komplexe Zahlen."
02:38;02:42;"Einmal a plus ib und einmal c plus id."
02:42;02:46;"Und a, b, c, d sind reelle Zahlen."
02:46;02:49;"Und dann können wir die Addition ganz einfach definieren."
02:49;02:51;"Wir wollen die beiden Zahlen also addieren."
02:51;02:54;"a plus ib plus c plus id."
02:54;02:58;"Und dann addieren wir hier einfach a plus c."
02:58;03:01;"Das heißt jeweils die ersten Teile zusammengefasst."
03:01;03:06;"Und dann jeweils die zweiten Terme der Zahl zusammengefasst."
03:06;03:08;"Das heißt ib und id."
03:08;03:10;"Und das i können wir hier ausklammern."
03:10;03:14;"Das heißt, da steht einfach da i mal b plus d."
03:14;03:21;"Ja, die Multiplikation ist ein bisschen komplizierter, aber auch nicht wirklich schwierig."
03:21;03:24;"Wichtig ist, dass wir uns immer an diese Rechenregel erinnern."
03:24;03:26;"I² ist gleich minus 1."
03:26;03:36;"Wenn wir also beide Zahlen multiplizieren, dann haben wir erstmal in den Klammerausdrücken jeweils zwei Terme und multiplizieren erstmal alle aus."
03:36;03:38;"Das heißt, wir bekommen am Ende vier Terme."
03:38;03:43;"Das heißt also ac plus i ad plus i b c."
03:43;03:49;"Und am Ende, wenn wir diese beiden hier multiplizieren, bekommen wir i² b d."
03:50;03:52;"Und jetzt können wir eben diese Eigenschaft nutzen."
03:52;03:54;"i² ist gleich minus 1."
03:54;03:55;"Hier steht das auch nochmal dazu."
03:55;04:02;"Und dann steht hier also nichts anderes als für diesen Ausdruck i mal b d."
04:02;04:05;"Und dann sehen wir, haben wir zwei Summanden ohne i."
04:05;04:07;"Das ist der erste und dann der letzte."
04:07;04:10;"Und zwei Summanden mit einem i."
04:10;04:12;"Und jetzt fassen wir das einfach zusammen."
04:12;04:17;"Das heißt also ac minus b d ist der erste Teil."
04:17;04:23;"Plus und dann fassen wir diese beiden hier zusammen und klammern gleich noch das i aus."
04:23;04:25;"Da steht dann ad plus b c."
04:26;04:33;"Ja, und jetzt können wir natürlich die Gleichung x² gleich minus 1 in c lösen."
04:33;04:34;"Ja, und was ist das?"
04:34;04:38;"Naja, wenn wir einfach mal einsetzen."
04:38;04:39;"Wenn wir nochmal kurz schauen."
04:39;04:41;"Wir haben diese Eigenschaft."
04:41;04:44;"Das heißt, wir bekommen hier zwei Lösungen."
04:44;04:45;"Eine quadratische Gleichung."
04:45;04:46;"x1 ist gleich i."
04:46;04:50;"Wenn wir i einsetzen, steht i² gleich minus 1."
04:50;04:52;"Das ist exakt, was hier steht."
04:52;04:55;"Und natürlich können wir auch minus i einsetzen."
04:56;04:59;"Und dann bekommen wir natürlich auch wieder minus i²."
04:59;05:00;"Das ist ja i²."
05:00;05:03;"Und das ist dann wieder minus 1."
05:03;05:09;"Ja, Sie sehen also, Addition, Multiplikation funktionieren erst mal ähnlich."
05:09;05:14;"Vielleicht noch ein paar Bemerkungen, bevor wir uns Beispiele dazu anschauen."
05:14;05:20;"Also der erste Satz, der hier steht, ist im Endeffekt genau das, was ich gesagt habe."
05:20;05:25;"Wir können völlig analog rechnen wie in den reellen Zahlen."
05:25;05:28;"Wir müssen einfach nur beachten, dass i² gleich minus 1 ist."
05:28;05:30;"Und wenn wir das tun, dann klappt alles."
05:30;05:32;"Addition, Multiplikation."
05:32;05:37;"Wir werden uns auf jeden Fall nochmal überlegen, was die Division ist und wie man die erklären kann."
05:37;05:39;"Das machen wir aber gleich auf der E-Kreide."
05:39;05:42;"Bevor wir das tun, noch ein paar Schreibweisen."
05:43;05:49;"Das erste ist, es ist völlig egal, ob Sie x plus i y oder x plus yi schreiben."
05:49;05:51;"Das heißt, Sie können diese beiden hier auch vertauschen."
05:51;05:55;"i y ist das gleiche wie yi."
05:55;06:03;"Wenn der Faktor vor dem i, also die Zahl vor dem i, 0 ist, wie hier, dann bekommen wir einfach eine reelle Zahl."
06:03;06:04;"Das ist dann einfach nur x."
06:04;06:09;"Und wenn aber der erste Summand 0 ist, das heißt, wir haben die 0 hier und haben hier y,"
06:10;06:15;"dann nennen wir das eine rein imaginäre Zahl, dass Sie das einfach mal gehört haben."
06:15;06:21;"Analog die Regeln, die Sie auch von den reellen Zahlen kennen."
06:21;06:26;"Wenn wir jetzt eine Multiplikation mit 1 haben, dann lassen wir natürlich die 1 hier einfach weg."
06:26;06:29;"Und das ist nichts anderes als 2 plus i."
06:29;06:33;"Genauso mit Klammern, um das Minuszeichen zu verdeutlichen."
06:33;06:35;"Auch hier gelten die üblichen Regeln."
06:35;06:43;"Das heißt, 3 plus in Klammern minus 2 mal i können Sie einfach kurz schreiben als 3 minus 2i."
06:43;06:47;"Sie können auch den Punkt zwischen 2i, können Sie sowieso immer weglassen."
06:48;06:55;"Das heißt also, alles funktioniert analog wie in den reellen Zahlen, nur eben, dass Sie i² gleich minus 1 beachten."
06:55;06:57;"So, und wie ist jetzt der Zusammenhang?"
06:57;07:03;"In der letzten Vorlesung hatte ich ja gesagt, die reellen Zahlen sind eine Teilmenge von den Komplexen."
07:03;07:04;"Das heißt, sie sind enthalten."
07:04;07:08;"Und in der Tat ist das natürlich der Fall, wir hatten es im Endeffekt hier auch schon stehen."
07:08;07:14;"Das heißt, wenn ich die Zahl z gleich x plus i 0 nehme, das ist nichts anderes als x."
07:15;07:18;"Und das ist eine komplexe Zahl und die liegt natürlich hier in den Reellen."
07:18;07:22;"Das heißt also, die Reellen sind tatsächlich in den Komplexen enthalten."
07:22;07:27;"Und wir können also die komplexe Zahl als eine Erweiterung der reellen Zahlen verstehen."
07:27;07:33;"Und was wir auch noch sehen werden am Ende, und das werden Sie vielleicht auch schon wissen,"
07:33;07:34;"wenn Sie die komplexen Zahlen bereits kennen,"
07:34;07:40;"Wir können alle quadratischen Gleichungen lösen, also nicht nur das Beispiel von der zweiten Folie,"
07:40;07:46;"sondern eben alle quadratischen Gleichungen können wir in c lösen."
07:46;07:49;"Und nochmal zusammenfassend von der letzten Vorlesung,"
07:49;07:53;"jetzt haben wir ja grob eine Einführung von den komplexen Zahlen,"
07:53;07:58;"nochmal die Inklusionen als Wiederholung."
07:58;08:01;"Die natürlichen Zahlen sind enthalten in den ganzen Zahlen,"
08:01;08:04;"die ganzen Zahlen enthalten in den rationalen,"
08:04;08:10;"die rationalen enthalten in den reellen und die reellen enthalten in den komplexen Zahlen."
08:10;08:15;"Gut, schauen wir uns dazu ein paar Beispiele an"
08:15;08:19;"und überlegen uns auch, wie wir eine vernünftige Division formulieren können,"
08:19;08:22;"weil das brauchen wir ja auch noch, wenn wir damit rechnen wollen."
08:22;08:25;"Also Folien 2, 3."
08:25;08:34;"Beispiele."
08:34;08:36;"Erstmal ganz einfache."
08:36;08:43;"Also wenn wir jetzt einfach addieren mit konkreten Werten,"
08:43;08:45;"ja, dass wir das einmal gemacht haben."
08:46;08:51;"Also 3 plus 5i und das Ganze addiert zu 2 minus 4i."
08:51;08:55;"Das sind natürlich jeweils komplexe Zahlen"
08:55;08:57;"und dann haben wir jetzt gesehen auf der Folie,"
08:57;08:58;"hier steht es ja auch nochmal,"
08:58;09:01;"dass wir eben 3 plus 5 rechnen"
09:01;09:03;"und dann 5 minus 4"
09:03;09:08;"und dann bekommen wir eben 5 plus i."
09:08;09:10;"Das ist dann einfach die Addition."
09:10;09:16;"Machen wir gleich auch noch die Subtraktion."
09:16;09:18;"Das geht natürlich genauso,"
09:18;09:20;"auch wenn das jetzt hier auf der Folie nicht erklärt ist."
09:20;09:23;"Das Minuszeichen spielt jetzt keine Rolle."
09:23;09:26;"Wir können das auch in die zweite komplexe Zahl mit hineinziehen."
09:26;09:29;"Wir können aber auch einfach es direkt ausrechnen."
09:29;09:33;"Hier steht also 3 minus 2 und 5 plus 4."
09:33;09:37;"Das heißt, hier bekommen wir 1 plus 9i."
09:44;09:47;"Gut, Sie sehen, das ist recht einfach."
09:47;09:54;"Schauen wir uns jetzt mal nochmal ein konkretes Beispiel für die Multiplikationen an."
09:54;09:57;"Das heißt, also 3 plus 4i."
09:57;10:02;"Nehmen wir mal als erste komplexe Zahl und dann 2 minus 2i."
10:03;10:05;"So, jetzt müssen wir alles ausmultiplizieren."
10:05;10:06;"Also jedes mit jedem."
10:06;10:08;"Das heißt, wir bekommen hier 4 Summanden."
10:08;10:19;"Das heißt, hier haben wir 6 minus 6i plus 8i minus 8i²."
10:20;10:22;"Und jetzt erinnern wir uns an die Rechenregel."
10:22;10:25;"Das ist nichts anderes als minus 1."
10:25;10:32;"Und wenn wir das jetzt zusammenfassen, ist es also 6 und dann haben wir da plus 8."
10:34;10:37;"Hier haben wir schon ein minus, da haben wir ein minus, also ein plus."
10:37;10:43;"Und dann haben wir hier noch stehen 8 minus 6i."
10:43;10:46;"Das kommt dann eben von diesem und diesem Ausdruck."
10:46;10:53;"Naja, und wenn wir das jetzt noch zusammenfassen, dann steht da 14 plus 2i."
10:53;11:01;"Und damit bekommen wir tatsächlich wieder eine komplexe Zahl und haben also ein leichtes Beispiel für eine Multiplikation gesehen."
11:01;11:07;"So, vielleicht nochmal etwas Allgemeineres."
11:07;11:14;"Und zwar, wenn wir das Produkt von zwei speziellen komplexen Zahlen tätigen."
11:14;11:17;"Das wird uns später noch helfen."
11:17;11:22;"Und zwar sage ich jetzt mal x, y beliebige reelle Zahlen."
11:22;11:36;"Und jetzt nehmen wir mal die Zahl x plus iy, multipliziert mit x minus iy."
11:36;11:40;"So, wir wissen jetzt, wie die Multiplikation funktioniert."
11:40;11:42;"Schreiben wir das nochmal auf."
11:42;11:50;"Hier bekommen wir also x² minus xyi plus xyi."
11:51;12:02;"Und am Ende haben wir minus, ja wie gesagt, es ist egal, wie rum Sie es schreiben, ob Sie i², y² oder y², i² schreiben."
12:02;12:06;"Auch hier sehen wir schon mal, die beiden Ausdrücke heben sich auf."
12:06;12:10;"Und hier haben wir wieder unsere Rechenregel."
12:10;12:11;"Das ist minus 1."
12:11;12:12;"Also, das ist minus 1."
12:12;12:23;"Also, kommt am Ende x² und minus minus ist plus plus y²."
12:23;12:32;"Und das ist recht interessant, weil jetzt haben wir ein Produkt von zwei sehr speziellen Zahlen, die sich kaum unterscheiden, bis auf das Vorzeichen hier."
12:33;12:38;"Und am Ende kommt bei dem Produkt tatsächlich eine reelle Zahl heraus."
12:38;12:45;"Das behalten wir mal im Hinterkopf und werden das später nochmal näher anschauen und werden dann auch sehen, welche Bedeutung dieses Produkt hat."
12:45;12:51;"Und speziell auch, welche Bedeutung diese Zahl in Relation zu dieser Zahl hat."
12:51;12:55;"So, was aber noch offen ist, ist die Division."
12:56;12:58;"Das müssen wir uns noch anschauen."
12:58;13:13;"Das heißt also, wir wollen eine Division erklären, die am Ende, wenn ich zwei komplexe Zahlen dividiere, auch wirklich dann wieder eine komplexe Zahl in dieser Form jetzt hier auf der Folie ergibt."
13:13;13:18;"So, wir nehmen uns dazu mal zwei beliebige Zahlen."
13:18;13:25;"Wir haben jetzt allgemein gehalten A plus BI und C plus DI."
13:25;13:28;"Die sollen jetzt aus C sein."
13:28;13:32;"Und wir würden gern A plus BI teilen durch C plus DI."
13:32;13:42;"Jetzt dürfen wir nicht durch 0 teilen, also nehmen wir mal an mit C ungleich 0 oder D."
13:42;13:46;"Ja, wenn beides 0 ist, das wäre etwas ungünstig."
13:47;13:49;"So, und dann starten wir mal."
13:49;13:55;"A plus BI geteilt durch C plus DI."
13:55;14:01;"So, und die Idee jetzt hier, ich schreibe das mal daneben."
14:01;14:03;"Die Idee ist folgende."
14:03;14:11;"Wir erweitern jetzt diesen Ausdruck hier mit dem Ausdruck C minus DI durch C minus DI."
14:12;14:17;"Das heißt also, wir nehmen diese Zahl hier und ändern aber hier das Vorzeichen."
14:17;14:19;"Jetzt schauen Sie nochmal auf den dritten Punkt."
14:19;14:20;"Aha."
14:20;14:27;"Das heißt also, wenn ich jetzt hier multipliziere und schreibe dort C minus DI durch C minus DI,"
14:27;14:33;"dann weiß ich, dass das Produkt unten ja real wird, weil das haben wir hier schon gesehen im dritten Punkt."
14:34;14:38;"Ich schreibe das erstmal auf und dann machen wir das Ganze in Ruhe."
14:39;14:54;"Also, Idee erweitere mit C minus DI durch C minus DI."
14:54;14:59;"Und nochmal als Hinweis gebe ich dazu, vergleichen Sie den dritten Punkt."
14:59;15:02;"So, ist gleich."
15:02;15:04;"Also, ich fange jetzt hier mal an."
15:04;15:06;"Ich schreibe diesen Ausdruck nochmal auf."
15:10;15:17;"Und dann steht hier da C minus DI durch C minus DI."
15:17;15:21;"Es ist natürlich klar, dass das jetzt hier 1 ergibt und dass wir das erstmal so aufschreiben können."
15:21;15:24;"Jetzt würden wir einfach mal ausmultiplizieren."
15:24;15:26;"Was kommt heraus?"
15:26;15:27;"AC."
15:28;15:34;"Dann haben wir minus DI plus BCI."
15:34;15:39;"Und am Ende müssen wir noch diesen Ausdruck mit diesem multiplizieren."
15:39;15:40;"Das Minuszeichen nicht vergessen."
15:40;15:43;"BDI²."
15:43;15:49;"Ja, und was kommt hier unten heraus, wenn wir das multiplizieren?"
15:49;15:51;"Ja, wie gesagt, das haben wir schon gemacht."
15:51;15:55;"Ja, das haben wir hier schon im dritten Punkt gemacht."
15:56;15:58;"Hier hatten wir jetzt X und Y stehen."
15:58;16:01;"Jetzt haben wir hier C und D."
16:01;16:05;"Das heißt also, wenn Sie auf das Ergebnis schauen, C² plus D²."
16:05;16:15;"So, das ist wieder minus 1."
16:15;16:20;"Und das schreibe ich mal dazu schon in 3 gezeigt."
16:20;16:30;"So, und jetzt sieht das doch ganz gut aus."
16:30;16:34;"Jetzt haben wir nämlich im Nenner dieses I eliminiert."
16:34;16:36;"Wir hatten am Anfang dieses I."
16:36;16:37;"Das bereitet irgendwie Probleme."
16:37;16:41;"Jetzt schauen wir, jetzt haben wir hier eine reelle Zahl und kein I mehr."
16:41;16:45;"Das heißt also, jetzt können wir das doch einfach mal zusammenfassen."
16:45;16:46;"Und zwar wie folgt."
16:46;16:51;"Und jetzt fassen wir mal im ersten Summanden alles zusammen, wo kein I auftaucht."
16:51;16:56;"Das wäre jetzt also hier AI und hier am Ende plus BD."
16:59;17:07;"Und das geteilt durch C² plus D² plus, und jetzt kommen die restlichen Terme."
17:07;17:10;"Das ist einmal BC minus AD."
17:10;17:16;"Und hier auch C² plus D²."
17:16;17:18;"Und am Ende das I nicht vergessen."
17:18;17:20;"Ja, das sieht sehr gut aus."
17:20;17:22;"Damit haben wir eine vernünftige Division erklärt."
