Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der dritten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:17;"Wir hätten jetzt im ersten Teil die komplexen Zahlen eingeführt, Grundrechenarten angeschaut und auch die Gausche Zahlenebene betrachtet."
00:17;00:25;"Jetzt im zweiten Teil wollen wir uns weiteren Begriffen widmen, dem sogenannten Absolutbetrag und der Konjugation."
00:26;00:32;"Wir schauen uns dazu gleich die ersten Definitionen an auf der Folie 5."
00:32;00:39;"Da werden wir jetzt ein paar weitere Begriffe kennenlernen, die wir immer wieder verwenden werden."
00:39;00:49;"Wir haben jetzt hier gegeben eine komplexe Zahl z gleich x plus i y und x und y wie üblich aus r."
00:49;00:53;"Damit haben wir eben eine Zahl z aus den komplexen Zahlen c."
00:54;01:04;"Und wenn wir diese Gestalt haben, dann haben wir schon im ersten Video bemerkt, dass es irgendwie immer geteilt ist in einen ersten Summanden und einen zweiten, die wir irgendwie nicht zusammenfassen können."
01:04;01:09;"Und der erste Teil dieses x hier, das nennen wir Realteil von z."
01:09;01:14;"Das sehen Sie hier als Abkürzung einfach re von z."
01:14;01:19;"Also z ist die Zahl und heraus kommt dann dieser Ausdruck x."
01:19;01:22;"Und Realteil bedeutet hier, spielt das i keine Rolle."
01:22;01:27;"Das ist sozusagen eine rein reelle Zahl x."
01:27;01:31;"Völlig analog können wir den Imaginärteil definieren."
01:31;01:36;"Der wiederum ist aber auch aus r, weil wir das i nicht dazu nehmen."
01:36;01:41;"Das heißt also, der Imaginärteil ist einfach nur das y im z."
01:41;01:44;"Und das y ist aus r."
01:44;01:47;"Und das nennen wir dann den Imaginärteil von z."
01:47;01:55;"Das heißt, wir haben also eine komplexe Zahl eingeteilt in Realteil plus Imaginärteil mal i."
01:56;02:06;"Das heißt also im Endeffekt, wenn wir diese Gestalt haben und x, y sind aus r, bedeutet x ist der Realteil von z und y ist der Imaginärteil von z."
02:06;02:11;"So, das war jetzt die ersten zwei wichtigen Definitionen."
02:11;02:14;"Jetzt kommen wir zu der komplex Konjugierten."
02:14;02:19;"Und das ist die Zahl, die ich schon mal verwendet habe im ersten Teil."
02:19;02:30;"Und da hatten wir schon bemerkt, wenn wir das Produkt einer Zahl mit sich selbst nehmen und das Vorzeichen vor dem i ändern, dann kommt da etwas Reelles heraus."
02:30;02:35;"Und diese Zahl hat einen Namen und zwar die komplex konjugierte Zahl zu z."
02:35;02:44;"Das heißt also, wir haben die komplexe Zahl z gegeben und dann haben wir hier z quer ist einfach x minus i y."
02:44;02:48;"Das heißt, hier ist jetzt ein Minus statt hier ein Plus."
02:48;02:53;"Und das ist die komplex konjugierte Zahl zu z."
02:53;03:01;"Deswegen hier auch nochmal, entweder Sie sagen z quer, das ist die schnellste Form, oder Sie sagen z komplex konjugiert."
03:01;03:08;"Und damit ist immer automatisch, versteht man automatisch, dass wir das Vorzeichen vor dem Imaginärteil ändern."
03:08;03:17;"Das heißt also, gedanklich ersetzen wir das y durch i y und dann können wir das natürlich immer schreiben als Minus i y."
03:17;03:24;"So, und der Absolutbetrag, den hatten wir ja auch schon bei den reellen Zahlen kennengelernt."
03:24;03:29;"Der ist jetzt hier definiert auch wieder z Betrag."
03:29;03:34;"Und hier nehmen wir einfach x² plus y² und davon die Wurzel."
03:34;03:38;"Es ist natürlich klar, dass das hier immer größer gleich 0 ist."
03:38;03:41;"Also können wir die Wurzel ziehen und das ergibt dann wieder eine reelle Zahl."
03:41;03:47;"Und das nennen wir den Absolutbetrag oder eben kurz Betrag von z."
03:47;03:51;"So, das sind jetzt die wichtigen Definitionen auf dieser Folie."
03:51;04:00;"Schauen wir uns kurz einfache Beispiele an und überlegen uns auch, wie wir geometrisch die Konjugation interpretieren können."
04:05;04:08;"Wir nehmen mal eine spezielle komplexe Zahl."
04:08;04:14;"z gleich 3 plus 2i."
04:14;04:23;"Und wenn wir das jetzt mal kurz an diesem Beispiel, an diesem speziellen Zahl festlegen, was ist der Realteil?"
04:23;04:28;"Der Realteil ist also diese 3 und der Imaginärteil ist dann die 2."
04:30;04:32;"Das i zählt also nicht dazu."
04:32;04:36;"So, irgendwas klappt mit dem Pointer nicht."
04:36;04:36;"Kurzer Test."
04:36;04:52;"Das heißt also, hier haben wir Realteil von z ist gleich 3 und der Imaginärteil von z ist gleich 2."
04:52;04:56;"Das heißt also, diese 3 ist diese 3 und diese 2 ist diese 2."
04:58;05:01;"So, was ist jetzt die komplex konjugierte Zahl?"
05:01;05:03;"Also z quer."
05:03;05:07;"Ja, da vertauschen wir einfach nur das Vorzeichen hier."
05:07;05:12;"Im Endeffekt steht ja hier beim Imaginärteil plus 2 und daraus machen wir minus 2."
05:12;05:19;"Das heißt, da steht dann einfach da 3 minus 2i."
05:20;05:23;"Dann können wir auch nochmal den Betrag bestimmen."
05:23;05:26;"Was ist der Betrag?"
05:26;05:28;"Sehen wir nochmal hier."
05:28;05:30;"x² plus y²."
05:30;05:34;"Das ist unser x."
05:34;05:35;"Das ist unser y."
05:35;05:36;"Das zum Quadrat."
05:36;05:40;"Das heißt, hier steht 3² plus 2²."
05:40;05:43;"und davon die Wurzel."
05:43;05:46;"Und das ist 9 plus 4."
05:46;05:50;"Und das heißt, hier kommt Wurzel 13 heraus."
05:50;05:55;"Ohne dass wir jetzt genau wissen, was das jetzt eigentlich, welcher exakte Wert das ist."
05:56;05:58;"So, und vielleicht noch als Zusatz."
