Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der dritten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Wir hatten uns in den ersten beiden Teilen zur dritten Vorlesung ausführlich mit komplexen Zahlen beschäftigt."
00:14;00:23;"Und um nochmal zur Motivation zurückzukommen, es ging darum, wie wir Quadratische Gleichungen lösen können, die keine Lösungen R haben."
00:23;00:30;"Und das wollen wir in diesem letzten Teil nochmal behandeln, wie wir eigentlich vorgehen, um solche Gleichungen zu lösen."
00:30;00:32;"Das werden wir nur auf der E-Kreide tun."
00:32;00:37;"Wir werden uns erstmal kurz überlegen, wie das Konzept ist."
00:37;00:41;"Und dazu geben wir uns zuerst eine quadratische Gleichung vor."
00:41;00:49;"Und hier für p und q aus den reellen Zahlen."
00:49;00:54;"Das heißt, z² plus pz plus q ist gleich 0."
00:54;00:55;"Das wollen wir lösen."
00:55;00:58;"Und dann kennen Sie natürlich die pq-Formel."
00:58;01:07;"Und diese liefert die folgenden Lösungen."
01:12;01:14;"Das heißt also hier z²."
01:14;01:16;"Ja, wie war das?"
01:16;01:18;"Minus p halbe."
01:18;01:20;"Also von diesem p hier."
01:20;01:23;"Dann plus minus."
01:23;01:26;"Und dann haben wir p² viertel."
01:26;01:29;"Minus q."
01:29;01:30;"Und daraus die Wurzel."
01:30;01:35;"So, und jetzt können hier drei verschiedene Fälle auftreten."
01:37;01:39;"Und die betrachten wir mal ganz kurz."
01:39;01:45;"So, was ist der erste Fall?"
01:45;01:47;"Ja, der erste Fall."
01:47;01:58;"Das ist einfach der Fall, wenn wir wissen, dass p² viertel minus q, wenn das positiv ist."
01:58;02:06;"Ja, so, das heißt also hier p² viertel minus q ist größer 0."
02:06;02:14;"Und dann wissen wir, es gibt zwei reelle Lösungen."
02:20;02:21;"z²."
02:21;02:24;"Gut, dafür haben wir das Ganze nicht gemacht."
02:24;02:25;"Das hätten wir auch so lösen können."
02:25;02:29;"Das sind ja Lösungen aus den reellen Zahlen."
02:29;02:30;"So, der zweite Fall."
02:30;02:42;"Das wäre der zweite Fall, wenn dieser Ausdruck p² viertel minus q gleich 0 ist."
02:42;02:46;"Und dann bekommen wir im Endeffekt eine doppelte reelle Lösung."
02:46;02:47;"Ja."
02:47;03:02;"Das heißt also z1 ist gleich z2."
03:02;03:04;"Und hier kann man sie auch explizit ablesen."
03:04;03:07;"Wenn das 0 ist, dann verschwindet das alles hier."
03:07;03:10;"Und wir haben nur noch minus p² stehen."
03:14;03:21;"So, und der interessante Fall, und deswegen machen wir das Ganze hier, ist also, wenn dieser Ausdruck negativ ist."
03:21;03:29;"Das heißt also, p² viertel minus q ist kleiner 0."
03:29;03:33;"Und dann wissen wir, dass wir keine reelle Lösung finden."
03:33;03:37;"Aber, und das wissen wir jetzt, wir finden zwei komplexe Lösungen."
03:37;03:53;"So, und das überlegen wir uns jetzt mal."
03:53;04:01;"So, jetzt schauen wir nochmal auf diesen Fall."
04:02;04:05;"Ja, warum, wie kommen wir jetzt auf diese Lösung?"
04:05;04:13;"Also, wir wissen erstmal, also wir haben jetzt gesagt, p² viertel minus q."
04:13;04:15;"Dieser Ausdruck ist negativ."
04:15;04:18;"Wenn ich jetzt hier aber ein Minuszeichen davor schreibe,"
04:18;04:29;"das ist ein bisschen eng, dann ist das Ganze größer 0."
04:29;04:31;"Und was kommt hier heraus?"
04:31;04:34;"Hier kommt einfach nur, wenn ich mal das Minuszeichen in die Klammer nehme,"
04:34;04:38;"q minus p² viertel."
04:38;04:42;"Und das heißt, wir können die Lösung direkt angeben."
04:42;04:46;"So, was heißt das?"
04:46;04:54;"z1, z1, z1,2 ist jetzt also minus p halbe."
