Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Ich begrüße Sie recht herzlich zur vierten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:12;"Das Thema der Vorlesung lautet vollständige Induktion."
00:12;00:19;"Das bedeutet auch, wir werden uns mit diesem Beweisverfahren in dieser Vorlesung ausführlich beschäftigen."
00:19;00:26;"Die Idee ist folgendermaßen. Im ersten Video werden wir erstmal das Vorgehen näher anschauen, einige Beispiele besprechen"
00:26;00:33;"und werden dann das Verfahren nutzen, um in den weiteren Videos den binomischen Leersatz zu beweisen."
00:33;00:39;"Und auf dem Weg dorthin werden wir dann noch Begriffe wie Binominalkoeffizient oder auch das Pascal'sche Dreieck kennenlernen."
00:39;00:45;"Bleiben wir aber erstmal jetzt hier im ersten Teil vollständig Induktion."
00:45;00:50;"Wir schauen mal noch nicht auf die Folien. Die kann ich jetzt hier gerade nicht verdecken, die erste Folie."
00:50;00:52;"Was ist jetzt eigentlich unser Ziel?"
00:53;01:04;"Ja, das Ziel ist also ein Beweisverfahren herzuleiten für Aussagen a, n über alle natürlichen Zahlen."
01:04;01:13;"Und das ist tatsächlich ein sehr wichtiges Verfahren, was wir oft anwenden und was allgemein in der Mathematik oft Anwendung findet."
01:13;01:17;"Ich gehe davon aus, dass viele von Ihnen dieses Verfahren schon kennen."
01:17;01:21;"Wenn nicht, ist das aber kein Problem. Wir besprechen das jetzt hier ausführlich."
01:21;01:27;"Das heißt, unser Ziel ist also ein Beweisprinzip für eine Aussage a, n"
01:27;01:34;"ja, worüber, über alle natürlichen Zahlen."
01:43;01:55;"Und wir werden später an konkreten Beispielen auch sehen, dass wir nicht unbedingt immer über alle natürlichen Zahlen, manchmal hat man auch einen Startwert und es fängt dann eben bei, meinetwegen, n gleich 4, also ab n gleich 4 und so weiter."
01:55;01:57;"Das tut aber nichts zur Sache."
01:57;02:02;"Und bevor wir uns das Verfahren auf der Folien näher anschauen, ein kleines einführendes Beispiel."
02:05;02:08;"Da gibt es auch eine nette Anekdote dazu."
02:08;02:09;"Und zwar ist die Idee folgende."
02:09;02:16;"Wir berechnen, oder wir wollen die Summe der ersten n natürlichen Zahlen berechnen."
02:24;02:39;"Jetzt ist es so, die 0 haben wir in diesem Kurs dazu genommen, die nehme ich jetzt aber mal raus bei der Summe, weil es nicht wichtig ist."
02:39;02:46;"Das heißt also, K gleich 0, na, nicht 0, sondern ich habe es gerade schon gesagt, die 0 lassen wir mal weg."
02:46;02:49;"Das spielt jetzt hier sowieso keine Rolle."
02:49;02:54;"Und zwar 1 plus 2 plus und so weiter plus n."
03:01;03:02;"0 lassen wir weg."
03:02;03:07;"Und jetzt ist die Frage, wie können wir diese Summe berechnen?"
03:07;03:10;"Und da gibt es eine nette Geschichte von dem Mathematiker Karl Friedrich Gauss."
03:10;03:12;"Der war schon als Kind ein Genie."
03:12;03:15;"Er war, weiß ich nicht, 8, 9 Jahre alt."
03:15;03:20;"Und der Mathematiklehrer hat die Aufgabe aufgegeben an die Schülerinnen und Schüler,"
03:20;03:24;"dass sie die ersten 100 natürlichen Zahlen addieren sollten."
03:24;03:28;"Und Sie können sich vorstellen, wenn Sie das jetzt mit einem Papier und einem Stift machen"
03:28;03:32;"und das dann alles untereinander addieren, das dauert relativ lang."
03:32;03:36;"Und das Schöne war, dass Gauss nach wenigen Minuten fertig war."
03:36;03:42;"Und er hatte halt eine, ja, sich überlegt, wie kann man diese Summe,"
03:42;03:45;"also wie kann man diese Summe elegant berechnen."
03:45;03:49;"Und dieses Vorgehen, diese Idee möchte ich kurz präsentieren."
03:49;03:57;"Ich schreibe dazu, also Gauss, ich weiß nicht, ob 9 Jahre oder 8."
03:58;03:59;"Ist aber eigentlich auch egal."
03:59;04:09;"Erdiere die ersten 100 natürlichen Zahlen."
04:09;04:14;"Ja, und die Idee ist wie folgt."
04:20;04:24;"Wir überlegen uns, dass wir einfach mal die ersten n natürlichen Zahlen,"
04:24;04:28;"also das Konzept von Gauss schreibe ich jetzt mal für die ersten n natürlichen Zahlen,"
04:28;04:31;"die schreibe ich einfach mal so nebeneinander."
04:35;04:41;"So, jetzt habe ich die ersten n natürlichen Zahlen und jetzt schreibe ich das Ganze nochmal rückwärts, direkt darunter."
04:41;04:47;"Das heißt, hier starte ich bei n, n minus 1, 2 und 1."
04:47;04:54;"Und wenn wir jetzt diese, ja, das sind jetzt hier Spalten, wenn Sie diese Spalten mal anschauen, was fällt Ihnen auf?"
04:55;05:00;"Ja, wenn wir die zusammen addieren, fällt auf, dass bei jeder Spalte der gleiche Wert herauskommt."
05:00;05:03;"Und das ist schon eigentlich die Idee dahinter."
05:04;05:15;"Das heißt, wenn ich jetzt hier mal die Summe bilde, kommt jetzt hier n plus 1 heraus, n plus 1, n plus 1 und n plus 1."
05:15;05:22;"Das heißt also, wir wissen jetzt schon mal, dass bei jeder Spalte n plus 1 herauskommt als Summenwert."
05:22;05:24;"Und wie viele Spalten haben wir?"
05:24;05:28;"Naja, wenn wir schauen, 1 bis n, wir haben also n Spalten."
05:28;05:37;"Das heißt, um die Gesamtheit dieser Summe hier zu bestimmen, müssen wir einfach Anzahl der Spalten mal n plus 1 multiplizieren."
05:37;05:47;"Und natürlich werden Sie jetzt anmerken, Moment, wenn wir aber die Gesamtheit von diesen Zahlen haben,"
05:47;05:51;"dann haben wir zweimal die ersten n natürlichen Zahlen addiert."
05:51;05:58;"Das ist richtig, deswegen müssten wir das jetzt hier formal noch durchzweiteilen, wenn wir zur eigentlichen Aussage wollen."
05:58;06:00;"Wir schreiben das mal als Vermutung auf."
06:07;06:10;"Das heißt hier k gleich 1 bis n."
06:10;06:21;"Von k haben wir jetzt also n mal n plus 1, aber da wir das zweimal haben, müssen wir das also hier noch durch 2 dividieren."
06:27;06:34;"Und das gilt dann für alle natürlichen Zahlen n aus n."
06:34;06:37;"Und die 0, wie gesagt, nehmen wir einfach mal raus."
06:37;06:45;"Aber Sie sehen schon, auch wenn ich jetzt hier n gleich 0 einsetze, dann ist 0 kleiner als 1."
06:45;06:47;"Das war nichts anderes als die leere Summe."
06:47;06:48;"Da kommt 0 heraus."
06:48;06:51;"Und wenn ich hier n gleich 0 einsetze, kommt auch 0 heraus."
06:51;06:59;"Also es stimmt natürlich auch, wenn n gleich 0 ist, aber irgendwie ist es auch uninteressant, ob ich da jetzt eine 0 dazu addiere oder nicht."
06:59;07:03;"So, und im Endeffekt war das schon fast so ein kleiner Beweis dafür."
07:03;07:04;"Das ist eigentlich schon ein Beweis."
07:04;07:09;"Aber wir wollen uns das jetzt überlegen, wie können wir das systematisch nachweisen."
07:09;07:15;"Und dazu schauen wir uns auf der Folie das Konzept der vollständigen Induktion an."
07:15;07:18;"So, was haben wir?"
07:18;07:22;"Wir wollen also eine Aussage a n beweisen."
07:22;07:28;"Und zwar für alle natürlichen Zahlen n mit n größer gleich n 0."
07:28;07:32;"Es kann also, wie vorhin schon erwähnt, eben einen Startwert n 0 geben."
07:32;07:35;"Und das heißt, die Aussage gilt meinetwegen für alle n ab."
07:36;07:40;"n größer gleich 4, dann ist n 0 eben 4."
07:40;07:42;"Und das Vorgehen ist wie folgt."
07:42;07:46;"Wir haben am Anfang einen Induktionsanfang."
07:46;07:51;"Das heißt also, wenn wir die Aussage zeigen wollen, für alle n größer gleich n 0,"
07:51;07:56;"dann überprüfen wir erstmal, ob a von n 0 wahr ist."
07:56;08:03;"Das heißt also hier, wir überprüfen, ob a n 0, weil das ja eine Aussage ist, dass das wahr ist."
08:04;08:09;"So, das ist der sogenannte Induktionsanfang, Abkürzung i a, können Sie auch gern verwenden."
08:09;08:12;"Dann kommen wir zum Induktionsschritt."
08:12;08:15;"Grob sagt er einfach aus."
08:15;08:22;"Wir wollen dann zeigen, dass aus a n folgt a n plus 1."
08:23;08:27;"Das ist jetzt hier ein bisschen, ja, sehr allgemein formuliert."
08:27;08:33;"Das heißt also, wenn a n wahr ist, dann muss auch a n plus 1 wahr sein."
08:33;08:40;"Und dann können wir Schlussfolgern, dass die Aussage für alle n größer gleich n 0 gezeigt ist oder gilt."
08:42;08:43;"Das unterteilen wir jetzt aber nochmal."
08:43;08:46;"Das gefällt mir nämlich noch nicht ganz, was hier steht."
08:46;08:48;"Die Frage ist ja auch, was ist dieses n?"
08:48;08:55;"Deswegen unterteilen wir diesen Induktionsschritt präziser, so wie ich das jetzt hier aufgeschrieben habe."
08:55;09:00;"Und zwar, wir haben am Anfang den Induktionsanfang."
09:00;09:02;"Dann kommen wir zum Induktionsschritt."
09:02;09:07;"Und dann fangen wir einfach an, in diesem Induktionsschritt zuerst die Induktionsvoraussetzung aufzuschreiben."
09:07;09:13;"Und die Idee ist hier, dass wir sagen, die Aussage gilt für ein beliebig festes n."
09:13;09:15;"Wir nehmen uns irgendein beliebig festes n."
09:15;09:18;"Das soll größer gleich n 0 sein."
09:18;09:21;"Und sagen, dafür gilt die Aussage."
09:21;09:23;"Das ist die Voraussetzung."
09:23;09:25;"Dann die Induktionsbehauptung."
09:25;09:27;"Das ist das, was wir zeigen wollen."
09:27;09:30;"Dann wollen wir zeigen, dass auch a n plus 1 gilt."
09:30;09:37;"Das heißt, gilt es für a n, dann muss es in dem Sinne für die Nachfolgeaussage gelten, a n plus 1."
09:37;09:40;"Und das ist sozusagen das, was wir zeigen wollen."
09:40;09:42;"Und das zeigt man im Allgemeinen."
09:42;09:48;"Das heißt, wir zeigen die Induktionsbehauptung unter Verwendung der Induktionsvoraussetzung."
09:48;09:50;"Das ist grob das Vorgehen."
09:50;09:53;"Und jetzt ist natürlich erst mal schwierig, warum klappt das überhaupt?"
09:53;10:02;"Und deswegen, bevor wir das Beispiel jetzt hier nochmal näher angehen, kurz eine Interpretation von diesem Vorgehen."
10:02;10:06;"Und zwar kann man das immer schön mit dem sogenannten Domino-Effekt machen."
10:10;10:14;"Was also eigentlich die vollständige Induktion tut."
10:14;10:17;"Wir nehmen mal an, wir haben irgendwelche Dominosteine."
10:28;10:31;"Ja, wir können jetzt, ja, ich schreibe es mal so auf."
