Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der vierten Vorlesung im Kurs Analyse 1 und lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Wir hatten uns jetzt im ersten Teil mit der vollständigen Induktion beschäftigt und ich hatte schon angekündigt,"
00:14;00:21;"wir werden dieses Beweisprinzip jetzt auch verwenden, um den binomischen Leersatz herzuleiten bzw. zu beweisen."
00:23;00:34;"Grob wird der binomische Leersatz einfach nur die erste binomische Formel, die Sie kennen, erweitern für beliebige Potenzen, beliebige natürliche Zahlen als Potenzen."
00:34;00:41;"Und Sie wissen ja, a plus b zum Quadrat, das ist die erste binomische Formel und wir wollen jetzt eine Formel herleiten,"
00:41;00:48;"um auch Ausdrücke a plus b in Klammern hoch n für alle natürlichen Zahlen herzuleiten."
00:48;00:57;"Als erstes brauchen wir den Begriff des Binominalkoeffizienten und das schauen wir uns als Definition auf der Folie an."
00:57;01:01;"Was bedeutet jetzt Binominalkoeffizient?"
01:01;01:10;"Wir geben uns erstmal natürliche Zahlen n und k vor und das n soll immer größer gleich k sein"
01:10;01:15;"und natürlich, wenn ich nk aus n schreibe, ist klar, dass k größer gleich 0 ist."
01:15;01:21;"Ich habe es hier aber einfach nochmal dazu geschrieben, das heißt k gleich 0 ist eben auch erlaubt."
01:21;01:34;"Und der Binominalkoeffizient, das ist dieser Ausdruck n über k, ist definiert als n Fakultät geteilt durch k Fakultät mal n minus k Fakultät."
01:35;01:44;"Und wie ich es gerade schon gesagt habe, die Sprechweise, also das ist jetzt hier kein Bruch oder so, das ist einfach nur n über k und dann machen sie so eine große Klammer darum."
01:44;01:49;"Deswegen hier auch nochmal n über k soll man lesen als n über k."
01:50;01:53;"So, wir werden jetzt gleich klären, was das eigentlich bedeutet."
01:53;02:00;"Zuerst mal mathematisch haben wir jetzt also diese Definition und man kann das tatsächlich auch umschreiben."
02:00;02:03;"Und das sehen Sie in dieser anderen Schreibweise."
02:03;02:07;"Hier müssen wir allerdings fordern, dass das k tatsächlich größer 0 ist."
02:07;02:09;"K gleich 0 ist nicht erlaubt."
02:09;02:15;"Und das sehen Sie hier, n über k können wir also schreiben, indem wir hier oben diese Produkte haben."
02:15;02:19;"Und wir teilen das Ganze durch 1 mal 2 mal k."
02:19;02:21;"Das ist also nichts anderes als k Fakultät."
02:21;02:27;"Und es ist natürlich klar, k gleich 0 würde jetzt hier nicht gehen, sonst würden wir durch 0 dividieren."
02:27;02:30;"Deswegen ist es hier im Vergleich zu diesem rausgenommen."
02:30;02:40;"Und das können wir eben schreiben als Produkt j gleich 1 bis k von n minus j plus 1 und das Ganze geteilt durch j."
02:40;02:48;"So, bevor wir jetzt uns überlegen, was eigentlich dieser Ausdruck aussagt, möchte ich kurz nochmal diese Schreibweise überlegen."
02:48;02:49;"Wie kommt man eigentlich jetzt da drauf?"
02:49;02:52;"Wir haben jetzt erstmal die Definition."
02:52;02:59;"Und diese andere Schreibweise kann man einfach durch die Definition angeben."
02:59;03:03;"Also wir haben jetzt n über k."
03:03;03:08;"Und das war jetzt per Definition, was Sie jetzt hier sehen."
03:08;03:15;"Nichts anderes als n Fakultät geteilt durch k Fakultät."
03:15;03:20;"n minus k Fakultät."
03:20;03:24;"So, jetzt schreiben wir das mal ausführlicher auf."
03:25;03:33;"Das n Fakultät kann ich ja schreiben, das ist n mal n minus 1 mal n minus 2."
03:33;03:49;"Dann irgendwann dazwischen habe ich Ausdrücke n minus k plus 1 mal n minus k mal n minus k minus 1."
03:49;03:53;"Und das geht dann so weiter, bis ich am Ende bei 2 mal 1 bin."
