Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Herzlich willkommen zum dritten Teil der vierten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten uns jetzt im letzten Teil mit dem Begriff des Binominalkoeffizienten beschäftigt und hatten auch gesehen,"
00:15;00:20;"dass wir die Binominalkoeffizienten durch das paskalische Dreieck ausrechnen können."
00:20;00:24;"Und im ersten Teil hatten wir die vollständige Induktion kennengelernt."
00:24;00:30;"Und jetzt in diesem dritten Video wollen wir den binomischen Leersatz angeben und beweisen."
00:30;00:39;"Und da spielt eben sowohl die Induktion beim Beweis als auch in der Darstellung der Binominalkoeffizienten eine wichtige Rolle."
00:39;00:41;"Und das schauen wir uns direkt auf der Folie an."
00:41;00:44;"Kurz und knapp formuliert."
00:44;00:46;"Binomischer Leersatz."
00:46;00:48;"Ja, was sagt der aus?"
00:48;00:53;"Ich hatte schon angekündigt, wir wollen im Endeffekt die erste binomische Formel verallgemeinern."
00:54;00:56;"Das tut genau dieser Satz."
00:56;01:03;"Wir haben jetzt hier n irgendeine beliebige natürliche Zahl und a und b entweder reell oder komplex."
01:03;01:05;"Und dann haben wir diese schöne Darstellung."
01:05;01:12;"Das heißt also a plus b, in Klammern hoch n, können wir immer als diese Summe darstellen."
01:13;01:21;"Von diesen Produkten a und b mit Potenzen n minus k und k und mit den Faktoren n über k."
01:21;01:29;"Das heißt also, hier sieht man nochmal sehr schön, dass diese Binominalkoeffizienten eben genau eine Rolle spielen,"
01:29;01:36;"wenn wir Potenzen oder Ausdrücke a plus b hoch n ausrechnen wollen."
01:36;01:45;"Und wenn Sie n gleich 2 nehmen, dann haben wir eben genau die binomische Formel und die Koeffizienten davon bekommen Sie dann eben durch n über k."
01:45;01:49;"Aber dazu sage ich später etwas nach dem Beweis."
01:49;01:51;"Ich würde diesen Satz nämlich gerne auch beweisen."
01:51;01:59;"Auch hier können wir nochmal sehr schön die Induktion anwenden und brauchen auch jetzt hier noch die Rekursionsformel."
02:00;02:02;"Und dann ist das alles abgeschlossen."
02:02;02:08;"Also Beweis des binomischen Leersatzes."
02:08;02:20;"Auch hier vielleicht noch der Hinweis."
02:20;02:23;"In einer Präsenzfolie würde ich diesen Beweis jetzt nicht führen."
02:23;02:28;"Dadurch, dass ich jetzt hier die Videos habe, können Sie sich das aber dann nochmal anschauen."
02:28;02:32;"Wenn Sie das nicht wollen, dann spulen Sie einfach weiter bis zum Ende des Beweises."
02:32;02:38;"Danach, die letzte Folie ist auf jeden Fall nochmal wichtig, dass man versteht, was sagt dieser Satz eigentlich aus"
02:38;02:40;"und wie bekommen wir denn diese Darstellung."
02:40;02:43;"Wenn wir uns das jetzt so anschauen, sieht das trotzdem sehr kompliziert aus."
02:43;02:46;"Aber wir werden sehen, es ist gar nicht kompliziert."
02:46;02:48;"So, Beweis durch Induktion."
02:48;02:53;"Das heißt also hier für alle natürlichen Zahlen."
02:53;02:57;"Also nehmen wir als Startwert n0 gleich 0."
02:57;03:01;"Das schreibe ich jetzt hier kurz auf, indem ich sage, für n gleich 0."
03:01;03:03;"Ja, gilt was?"
03:03;03:06;"Ja, schauen wir uns das mal an."
03:06;03:09;"Also k gleich 0 bis 0."
03:09;03:11;"0 über k."
03:11;03:16;"Dann a hoch 0 minus k."
03:16;03:20;"Also wie gesagt, ich setze jetzt hier überall für das n0 ein."
03:20;03:21;"Das sehen wir folgen können."
