Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Ich begrüße Sie recht herzlich zur fünften Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir werden uns jetzt in dieser fünften Vorlesung ausführlich mit Abbildungen bzw. Funktionen beschäftigen."
00:15;00:18;"Da geht es jetzt erstmal darum, was ist das überhaupt?"
00:18;00:23;"Dann werden wir Begriffe wie Definitionsbereich, Wertebereich klären, Bild und Urbild."
00:23;00:28;"Dann geht es auch um die Nacheinanderausführung, die Komposition von Abbildungen."
00:28;00:32;"Dann wollen wir auch klären, wann eine Abbildung umkehrbar ist."
00:32;00:35;"Das führt uns dann auch auf die Begriffe Injektiv, Subjektiv, Bijektiv."
00:35;00:41;"Und im letzten Teil wollen wir uns dann auch mit Eigenschaften reeller Funktionen beschäftigen."
00:41;00:45;"Da geht es darum, was wir unter gerade, ungeraden Funktionen verstehen."
00:45;00:49;"Und wir wollen die Begriffe Monotonie und Beschränktheit näher analysieren."
00:49;00:54;"Jetzt im ersten Teil geht es erstmal darum, zu klären, was ist eine Abbildung?"
00:54;00:58;"Und ja, was können wir für Aussagen erstmal treffen?"
00:58;01:03;"Da geht es dann auch um das dritte Folie um das Bild und das Urbild."
01:03;01:06;"Schauen wir uns aber erstmal die Definition an."
01:06;01:09;"Und das sehen Sie hier auf der ersten Folie."
01:09;01:12;"Da geht es jetzt erstmal darum, was ist eine Abbildung?"
01:13;01:17;"Ganz allgemein gehalten haben wir zwei Mengen A und B."
01:17;01:24;"Dann nennen wir eine Abbildung f von A nach B."
01:24;01:37;"Das ist einfach eine Vorschrift, die jedem Element x aus A genau ein Element y aus B bzw. y ist gleich f von x aus B zuordnet."
01:38;01:40;"Das ist also einfach eine Abbildung."
01:40;01:43;"Jetzt steht hier da auch noch Funktionen."
01:43;01:46;"Tatsächlich können Sie das eigentlich für beides verwenden."
01:46;01:49;"Funktionen nimmt man aber meistens, wenn die Werte Zahlen sind."
01:49;01:56;"Das heißt also, wenn wir irgendwie nach n, nach z, q, r oder c abbilden."
01:56;02:02;"Und wenn das einfach beliebige Mengen sind, wie hier einfach nur B, dann sagen wir eben Abbildung."
02:02;02:06;"Aber prinzipiell ist es auch okay, wenn Sie Funktionen sagen."
02:06;02:08;"Jeder weiß, was damit gemeint ist."
02:09;02:11;"So, jetzt schauen wir uns aber nochmal an, was hier steht."
02:11;02:22;"Das heißt also, hier gibt es also diese Bedingung, die jedem Element x aus A genau ein Element y gleich f von x aus B zuordnet."
02:22;02:24;"Das ist also der entscheidende Punkt."
02:24;02:31;"Und hier nennen wir A den Definitionsbereich von f und B ist der Wertebereich."
02:31;02:33;"Das müssen Sie sich einfach nur merken."
02:33;02:43;"Wir haben also eine Abbildung und das heißt also, jedem Element aus dem Definitionsbereich wird genau ein Element aus dem Wertebereich zugeordnet."
02:43;02:44;"Das ist also eine Abbildung."
02:44;02:54;"Zu den Schreibweisen sehen Sie hier, wir geben am Anfang immer an, von wo nach wo abgebildet wird."
02:54;03:01;"Das heißt also Definitionsbereich, Pfeil, Wertebereich und dann die Vorschrift x bildet ab auf y."
03:01;03:05;"Das ist jetzt einfach erstmal so allgemein aufgeschrieben."
03:05;03:14;"Oder Sie können es, die Schreibweise, die Sie vielleicht schon aus Schulzeiten kennen, dass Sie halt sagen, f von A nach B mit f von x ist gleich y."
03:14;03:16;"Und hier unten sehen Sie meine Grafik."
03:16;03:20;"Das heißt also, hier haben wir jetzt den Definitionsbereich."
03:20;03:21;"Das ist A."
03:21;03:23;"Das ist der Wertebereich B."
03:23;03:33;"Und dann haben wir hier die Abbildung f und dann sehen Sie also, die 1 bildet ab auf a, die 3 bildet auch ab auf a und die 2 bildet ab auf b."
03:33;03:35;"Das ist eine Abbildung."
03:35;03:40;"Wenn ich diesen Fall jetzt hier mal wegmache von 3 nach a, dann wäre das nämlich keine Abbildung mehr,"
03:40;03:46;"weil hier oben steht ja, jedem Element x aus a ein Element y aus b zuordnet."
03:46;03:49;"Dann hätten wir aber für die 3 keine Zuordnung."
03:49;03:52;"Deswegen, auf sowas sollten Sie achten."
03:52;03:57;"Wir schauen uns nochmal kurz einfache weitere Beispiele an, die Sie wahrscheinlich auch schon kennen."
04:01;04:07;"Und der Begriff Abbildung, der wird uns jetzt auch das ganze Semester verfolgen."
04:07;04:10;"Ja, Beispiele."
04:10;04:18;"Machen wir nochmal so ein einfaches Beispiel mit endlichen Mengen."
04:18;04:32;"Wenn ich jetzt zum Beispiel sage, a besteht aus a, b, c und b besteht jetzt hier aus 1, 2, 3, 4."
04:32;04:36;"Na ja, dann könnten wir uns das erstmal grafisch überlegen."
04:36;04:38;"Jetzt habe ich hier meinetwegen."
04:40;04:42;"Das bezeichne ich mal mit a."
04:42;04:44;"Dann ist jetzt hier irgendwo klein a."
04:44;04:46;"Hier ist irgendwo b."
04:46;04:47;"Da ist c."
04:47;04:52;"Und dann habe ich hier eine andere Menge."
04:52;04:53;"Das ist jetzt b."
