Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der fünften Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns im ersten Teil mit der Definition von Abbildung beschäftigt,"
00:13;00:18;"hatten die Begriffe Definitionsbereich, Wertebereich und Bild und Urbild kennengelernt"
00:18;00:20;"und das sehen Sie jetzt hier noch auf den Folien."
00:20;00:25;"In diesem zweiten Teil wollen wir uns mit der Komposition von Abbildung beschäftigen."
00:25;00:30;"Das heißt, wir wollen uns die Frage stellen, wann können wir zwei Abbildungen nacheinander ausführen"
00:30;00:35;"und das schauen wir uns zuerst einmal in der Definition auf der Folie 4 an."
00:35;00:38;"Ja, was haben wir gegeben?"
00:38;00:46;"Wir haben zwei Abbildungen, f und f hat den Definitionsbereich a und den Wertebereich b"
00:46;00:53;"und eine zweite Abbildung g und g hat den Definitionsbereich b und den Wertebereich c."
00:53;01:03;"Und dann nennen wir die Nacheinanderausführung g nach f und die bildet ab von a nach c mit der Vorschrift,"
01:03;01:06;"das x bildet ab auf g von f von x."
01:06;01:11;"Dies nennen wir die Komposition oder auch Verkettung von f und g."
01:11;01:16;"Manchmal sagt man auch Nacheinanderausführung, auch dieser Begriff ist zulässig."
01:16;01:19;"Jetzt müssen wir nochmal genau schauen, was das eigentlich bedeutet."
01:19;01:24;"Sprachlich, ich werde immer g nach f sagen."
01:24;01:29;"Manchmal sagt man auch g Kringel f, finde ich immer etwas unschön,"
01:29;01:33;"aber das Kringel soll eben genau dieser Kreis hier bedeuten."
01:33;01:38;"Und ja, was heißt das überhaupt, was hier steht, Nacheinanderausführen?"
01:38;01:41;"Das sehen Sie hier sehr schön an dieser Grafik hier unten."
01:42;01:47;"Das heißt also, wir haben zum einen eine Abbildung f, die bildet ab von a nach b."
01:47;01:48;"Das steht hier."
01:48;01:52;"Und dann haben wir nochmal eine Abbildung g von b nach c."
01:52;01:56;"Und das heißt, die bildet dann eben von diesem b hier ab zu diesem c."
01:56;01:59;"Das ist dann eben die Abbildung g."
01:59;02:04;"Und g nach f geht dann einfach diesen Weg von a nach c."
02:05;02:07;"Und wie kann man sich das vorstellen?"
02:07;02:16;"Wir sehen also, wenn wir das haben, also diese Definition hier, wir lösen das von innen nach außen auf."
02:16;02:18;"Das heißt, wir bestimmen erst mal f von x."
02:18;02:20;"Da kommt irgendetwas heraus."
02:20;02:22;"f von x landet wieder in b."
02:22;02:25;"Aber das passt mit dem Definitionsbereich von g."
02:25;02:32;"Das heißt, wir können, was da herauskommt, auf das g anwenden und lösen dann das Ganze auf und landen dann in c."
02:32;02:37;"Deswegen ist jetzt hier auch der Definitionsbereich a und der Wertebereich c."
02:37;02:42;"Das heißt also, wir gehen diesen direkten Weg nach c."
02:42;02:45;"Und das ist dann einfach g nach f."
02:45;02:47;"Gut."
02:48;02:51;"Schauen wir uns zwei Beispiele dazu an."
02:51;02:55;"Und schauen auch nochmal, auf was wir hier genau achten müssen."
02:55;03:11;"Bei dem ersten Beispiel, da nehme ich einfach schon mal als Definitions- und Wertebereich bei allen,"
03:11;03:14;"bei beiden Abbildungen, bei beiden Funktionen einfach r."
