Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Herzlich willkommen zum dritten Teil der fünften Vorlesung im Kurs ""Analysis 1 und lineare Algebra"""
00:06;00:13;"für Ingenieurwissenschaften. Im letzten Video hatten wir uns mit der Komposition von Abbildung"
00:13;00:18;"beschäftigt und jetzt geht es um die Umkehrbarkeit von Abbildung und da werden wir dieses Konzept"
00:18;00:24;"natürlich benötigen. Bevor wir erst mal klären, was umkehrbar bedeutet, brauchen wir drei wichtige"
00:24;00:31;"Begriffe in diesem Kontext und das sind die Begriffe injektiv, subjektiv und bijektiv. Und das schauen"
00:31;00:38;"wir uns zuerst auf der Folie an, das ist die Folie 5. Ja, was bedeutet injektiv, subjektiv und bijektiv?"
00:38;00:48;"Gegeben ist erst mal wie üblich eine Abbildung f von a nach b, a und b sind Mengen und dann nennen wir"
00:48;00:57;"eine Abbildung f oder die Abbildung f injektiv, falls für alle x1, x2 aus dem Definitionsbereich a folgendes gilt:"
00:57;01:07;"Und zwar, wenn die Funktionswerte f von x1 gleich f von x2 sind, dann folgt daraus, dass x1 schon x2 sein muss."
01:07;01:14;"Äquivalent dazu, und da erinnern Sie sich nochmal an die Kontraposition, wenn das jetzt hier meinetwegen"
01:14;01:22;"irgendwie die erste Aussage ist, a und das ist eine Aussage b, dann war die Kontraposition, um diese Implikation zu zeigen,"
01:22;01:31;"dass wir zeigen, aus nicht b folgt nicht a, das also negieren und auf die linke Seite und das negieren auf die rechte Seite."
01:31;01:41;"Deswegen, äquivalent dazu können Sie auch zeigen, wenn x1 ungleich x2 ist, dann folgt daraus, dass f von x1 ungleich f von x2 ist."
01:41;01:50;"Ja, und was bedeutet das jetzt nochmal in Worten? Das bedeutet also, f ist injektiv und das heißt dann, jedes Element aus b,"
01:50;01:58;"ja, aus b, aus dem Wertebereich, wird von höchstens einem Punkt aus erreicht."
01:58;02:00;"Das bedeutet injektiv."
02:00;02:05;"Wir schauen uns das an einfachen Grafiken gleich nochmal an."
02:05;02:09;"Subjektiv ist immer etwas einfacher zu verstehen."
02:09;02:13;"Also f heißt subjektiv, wenn was gilt?"
02:13;02:15;"Wenn f von a gleich b ist."
02:15;02:22;"Das heißt also, dass wenn wir die komplette Menge hier einsetzen, dann kommt auch die komplette Menge b heraus."
02:22;02:32;"Das heißt also, zu jedem y aus b finden wir ein x aus a, sodass eben f von x gleich y ist."
02:32;02:41;"Ja, und umgangssprachlich sagt man dann eben, f ist subjektiv, wenn jeder Punkt y aus b erreicht wird durch diese Abbildung."
02:41;02:51;"Und zusammenfassend, wenn beide Eigenschaften erfüllt sind, das heißt, wenn f injektiv und subjektiv ist, dann nennen wir f bijektiv."
02:51;02:55;"So, schauen wir uns das nochmal ganz konkret an."
02:55;02:58;"Die Definitionen sind vielleicht nicht ganz einfach zu verstehen."
02:58;03:07;"Wir schauen uns mal vier verschiedene Fälle an und versuchen mal alle Konstellationen abzudecken."
03:07;03:15;"So, ich nehme jetzt hier mal eine Menge und hier eine andere Menge."
03:15;03:24;"Und jetzt sage ich mal hier, da ist zum Beispiel a und da ist b und hier habe ich jetzt irgendwie 1, 2 und 3."
03:24;03:32;"So, und jetzt mache ich die Vorschrift a bildet ab auf 1 und b bildet ab auf 3."
03:32;03:38;"Und nun wäre die Frage an Sie: ist diese Abbildung injektiv und oder subjektiv?"
03:38;03:40;"Schauen wir nochmal ganz kurz."
03:40;03:54;"Injektiv hieß also: jedes Element aus b, also b wäre jetzt hier diese Menge, also die Menge 1, also 1, 2, 3, bestehend aus 1, 2, 3."
03:54;04:00;"Jedes Element aus b wird von höchstens einem Punkt aus erreicht."
04:00;04:06;"Und tatsächlich, die 1 wird nur von a erreicht, die 3 von b und die 2 von keinem."
04:06;04:09;"Und hier steht da höchstens, ja, nicht genau."
04:09;04:16;"Das heißt also, hier wissen wir, dass also jedes Element des Wertebereichs hat höchstens ein Urbild."
04:16;04:23;"Um mal die Begriffe aus dem ersten Video mit einfließen zu lassen."
04:23;04:34;"Jedes Element des Wertebereichs hat also höchstens ein Urbild."
04:34;04:43;"Das heißt also:"
04:43;04:48;"f ist injektiv"
04:48;04:53;"und ist jetzt f auch subjektiv?"
04:53;04:55;"Auch nochmal kurz schauen."
04:55;04:57;"Vielleicht auch auf das Umgangssprachliche."
04:57;05:02;"Jeder Punkt y aus b wird erreicht durch das f."
05:02;05:04;"Das stimmt nicht ganz."
05:04;05:08;"Die 2, die wird nicht erreicht durch die Abbildung, ja."
05:08;05:12;"Achso, jetzt muss ich hier noch dazu schreiben, dass das die Abbildung ist."
05:12;05:16;"f ist immer eine Abbildung f haben."
05:16;05:21;"Das heißt also, die 2 wird nicht erreicht durch diese Abbildung, also ist f nicht subjektiv."
05:21;05:35;"Okay, schauen wir uns eine andere Konstellation an."
05:35;05:50;"Hier haben wir A, B, C und hier haben wir 1 und 2."
05:50;05:58;"Und jetzt sagen wir mal, A bildet ab auf 1 und B bildet auf 2."
05:58;06:02;"Wenn ich jetzt aufhöre, erinnern Sie sich nochmal, dann wäre das keine Abbildung, ja."
06:02;06:08;"Jedem Element aus dem Definitionsbereich muss ein Element aus dem Wertebereich zugeordnet werden."
06:08;06:12;"Und jetzt sage ich einfach mal, C bildet auch auf 2 ab."
06:12;06:14;"nochmal die gleiche Frage."
06:14;06:18;"Ist f injektiv und oder subjektiv?"
06:18;06:27;"Und jetzt hier nochmal, jedes Element, wenn wir bei injektiv schauen, aus B, wird von höchstens einem Punkt aus erreicht."
06:27;06:30;"Und hier sehen wir die 2, ja."
06:30;06:34;"Die 2 wird erreicht von B und von C."
06:34;06:44;"Das heißt also, die Abbildung ist nicht injektiv und wird jeder Punkt aus dem Wertebereich erreicht durch die Abbildung, ja."
06:44;06:49;"Die 1 wird durch A erreicht und die 2 wird sogar durch 2 Punkte erreicht durch B und C."
06:49;06:53;"Das heißt, die Abbildung ist subjektiv, aber nicht injektiv."
07:00;07:14;"Das heißt also, jedes Element des Wertebereichs wird erreicht."
07:14;07:17;"Ja, ich sage mal, manchmal sagt man auch einfach getroffen."
07:17;07:23;"Natürlich durch das f."
07:23;07:27;"Und das bedeutet, f ist subjektiv."
07:27;07:34;"aber nicht injektiv."
07:34;07:46;"Und das können wir auch kurz mathematisch uns überlegen."
07:46;07:49;"Also das ist wieder das f."
07:51;07:52;"Injektiv."
07:52;07:53;"Schauen wir nochmal ganz kurz."
07:53;07:58;"Das heißt also, wenn wir mal diese Implikation schauen."
07:58;08:01;"Was hätte ich jetzt hier in diesem konkreten Fall?"
08:01;08:04;"Also erstmal sehe ich f von B."
08:04;08:08;"Stimmt überein mit f von C."
08:08;08:13;"Ja, beide bilden auf 2 ab."
08:13;08:15;"Aber B ist ungleich C."
08:15;08:23;"Ja, das wäre jetzt sozusagen die mathematische Begründung."
08:23;08:26;"So."
08:29;08:32;"Ich habe ja gesagt, ich möchte alle 4 Fälle mal durchsprechen."
08:32;08:33;"So."
08:33;08:41;"Wenn ich jetzt hier mal A, B, C und auch hier 1, 2, 3 nehme."
08:41;08:46;"Ja, dann sage ich mal A bildet ab auf die 2."
08:46;08:48;"B bildet ab auf die 3."
08:48;08:51;"Und C bildet ab auf die 1."
08:51;08:52;"Die 1."
08:52;08:55;"Auch hier die Frage injektiv und oder subjektiv."
08:55;09:02;"Jetzt sieht man also, jedes Element aus B wird nur höchstens aus einem Punkt erreicht."
09:02;09:04;"Ja."
09:04;09:09;"Die 1 durch C, die 2 durch A, die 3 durch B."
09:09;09:13;"Und jedes Element wird auch getroffen aus dem Wertebereich durch das F."
09:14;09:18;"Das heißt, hier haben wir den Fall, dass F injektiv und subjektiv ist."
09:18;09:38;"Und das heißt dann auch, um mal den dritten Begriff nochmal zu verwenden, also ist F bijektiv."
09:39;09:47;"Also F ist bijektiv, das kann eben nur auftreten, wenn F injektiv und subjektiv ist."
09:47;09:48;"So."
09:48;09:49;"Und jetzt noch der dritte Fall."
09:49;09:52;"Jetzt hatten wir einmal ein Beispiel injektiv, nicht subjektiv."
09:52;09:54;"Dann ein Beispiel subjektiv, nicht injektiv."
09:54;09:57;"Ein Beispiel F ist injektiv und subjektiv."
09:57;10:01;"Und jetzt können Sie schon erraten, was jetzt kommt."
10:02;10:13;"Jetzt bringen wir mal ein Beispiel, wo wir eine Abbildung haben, die weder injektiv noch subjektiv ist."
10:13;10:15;"A, B, C."
10:15;10:18;"1, 2, 3."
10:18;10:20;"Ja."
10:21;10:22;"Das können wir tun."
10:22;10:25;"Was müssen wir dann beachten?"
10:25;10:34;"Ja, wir könnten auch aus der dritten Abbildung ganz schnell eine Abbildung machen, die weder injektiv noch subjektiv ist."
10:34;10:41;"Wir lassen mal die ersten beiden, das heißt also A bildet auf 2 ab, B auf 3."
10:42;10:46;"Jetzt lassen wir aber C nicht auf 1 gehen, sondern zum Beispiel auf 3."
10:46;10:49;"Wir hätten auch 2 wählen können, das ist egal."
10:49;10:56;"Dann sieht man also, nicht alle Elemente werden durch die Abbildung erreicht, nämlich die 1 wird nicht erreicht, also ist sie nicht subjektiv."
10:56;11:02;"Und es gibt Elemente, die durch mehr als ein Element getroffen werden."
11:02;11:05;"Die 3 wird nämlich durch B und C getroffen."
