Start Timestamp;End Timestamp;Transcript
00:01;00:08;"Herzlich willkommen zum dritten Teil der sechsten Vorlesung im Kurs Analyse 1 und Lineäre Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns im zweiten Teil mit den Funktionen Sinus und Cosinus beschäftigt."
00:13;00:19;"Und die werden wir jetzt verwenden, um die Tangensfunktion einzuführen."
00:19;00:21;"Und das machen wir erstmal auf der E-Kreide."
00:21;00:22;"Und zwar wie folgt."
00:22;00:29;"Ich denke, dass den meisten der Tangens auch bekannt ist."
00:29;00:34;"Ja, und wie definiert man den Tangens?"
00:34;00:39;"Indem wir einfach sagen, Tangens x ist einfach Sinus x durch Cosinus x."
00:39;00:50;"Und da sehen wir schon den ersten Unterschied zur Sinus- und Cosinus-Funktion."
00:50;00:54;"Dass der Tangens also nicht überall definiert ist."
00:54;00:58;"Hier müssen wir natürlich fordern, dass wir nicht durch Null dividieren."
00:59;01:04;"Das heißt also für Cosinus von x ungleich Null."
01:04;01:07;"Ja, was heißt das jetzt für den Definitionsbereich?"
01:07;01:12;"Hier sehen wir nochmal die Graphen vom Sinus und vom Cosinus."
01:12;01:20;"Das heißt also, die Nullstellen vom Cosinus, diese hier und diese, die gehören also nicht zum Definitionsbereich dazu."
01:20;01:23;"Also Tangens abgekürzt TAN."
01:23;01:25;"Welchen Definitionsbereich haben wir?"
01:25;01:29;"Erstmal die reellen Zahlen und jetzt ziehen wir einfach die Nullstellen ab."
01:31;01:34;"Und jetzt sehen wir nochmal auf der Folie oben."
01:34;01:37;"Die Nullstellen vom Cosinus sehen Sie also hier."
01:37;01:44;"Und man sieht also, wenn ich jetzt bei Pi halbe starte, plus Pi, bin ich hier wieder plus Pi."
01:44;01:50;"Und genauso gut in den negativen Bereich, wenn ich da einfach Pi abziehe, habe ich minus Pi halbe."
01:50;01:53;"Und das sind genau die Nullstellen, die wir hier schon auf der Folie angegeben haben."
01:53;01:55;"Und die müssen wir also abziehen."
01:55;02:02;"Das bedeutet also Pi halbe plus und jetzt ganzzahlige Vielfachen von Pi."
02:05;02:07;"Und K ist dann aus Z."
02:07;02:12;"Das bildet nach R ab."
02:12;02:19;"Und hier halt die Vorschrift X bildet ab auf Tangens von X."
02:19;02:26;"So, das heißt also an diesen Stellen, in diesen Bereichen hier, ist der Tangens also nicht definiert."
02:26;02:29;"Schauen wir uns das mal als Funktion an."
02:35;02:39;"Jetzt nehmen wir hier meinetwegen mal Pi halbe."
02:39;02:47;"Dann haben wir hier Pi und hier noch 3 halbe Pi."
02:47;02:49;"Und das gleiche auf der linken Seite."
02:49;02:52;"Minus Pi halbe."
02:52;02:55;"Minus Pi."
02:55;03:00;"Und hier minus 3 halbe Pi."
03:00;03:03;"Und das heißt, wir sind immer in so einem Bereich."
03:05;03:07;"In dieser Form."
03:07;03:08;"So."
03:08;03:10;"Und hier ist er nicht definiert."
03:10;03:12;"Minus Pi halbe Pi halbe."
03:12;03:15;"Und auf den anderen Bereichen sieht er dann genauso aus."
03:15;03:16;"Das heißt also hier."
03:16;03:29;"In dieser Form."
03:29;03:31;"Und das gleiche machen wir nochmal hier."
03:31;03:31;"Hier."
03:34;03:35;"Ja."
03:35;03:39;"So können Sie sich das vorstellen."
03:39;03:44;"Und dann sieht man natürlich auch, wenn wir mal einen Funktionswert bestimmen."
03:44;03:46;"Zum Beispiel."
03:47;03:52;"Wenn ich jetzt mal Tangens Pi Viertel haben möchte."
03:52;03:53;"Dann weiß ich ja nach Definition."
03:53;03:59;"Das ist einfach Sinus Pi Viertel durch Cosinus Pi Viertel."
04:01;04:02;"Ja."
04:02;04:03;"Und das hatten wir doch schon gesehen."
04:03;04:04;"Ja."
04:04;04:04;"Ja."
04:04;04:05;"Und das hatten wir doch schon gesehen."
04:05;04:05;"Ja."
04:05;04:06;"Ja."
04:06;04:06;"Auch hier nochmal."
04:06;04:07;"Ja."
04:07;04:08;"Pi Viertel ist hier."
04:08;04:09;"Und hier sehen wir."
04:09;04:09;"Und hier sehen wir also."
04:09;04:10;"Aha."
04:10;04:10;"Aha."
04:10;04:10;"Aha."
04:10;04:11;"Die Bilder."
04:11;04:14;"Die Werte davon sind also identisch."
04:14;04:16;"Das heißt also hier steht einfach nur da."
04:17;04:23;"Wurzel 2 durch 2 durch 2 durch 2 durch 2 durch 2 durch 2."
04:23;04:25;"Und das kürzt sich natürlich weg."
04:25;04:26;"Also kommt da 1 heraus."
04:26;04:29;"Und das kann man sich dann hier so vorstellen."
04:29;04:33;"Wenn jetzt hier Pi Viertel ist, dann ist also hier."
04:33;04:36;"Das ist dann einfach die 1."
04:36;04:36;"Ja."
04:36;04:41;"Und so kann man natürlich völlig analog auch Funktionswerte bestimmen."
04:41;04:48;"Man muss natürlich die Funktionswerte vom Sinus und vom Cosinus kennen."
04:48;04:51;"Den Graphen nochmal in schön sehen Sie hier."
04:51;04:54;"Das ist immer so ein bisschen mein Backup auf den Folien."
04:54;04:55;"Wenn es auf der E-Kreide nicht klappt."
04:55;04:58;"Das ist wenigstens nochmal richtig schön sehen."
04:58;05:00;"Und hier kann man es auch nochmal sehr schön erkennen."
05:00;05:03;"Dass eben an diesen Stellen hier."
05:03;05:06;"Da ist eben der Tangens nicht definiert."
05:06;05:10;"Und ansonsten hat er eben genau diese Beschreibung."
05:10;05:16;"Vielleicht ein kleines Resultat dazu."
05:16;05:19;"Es gibt natürlich auch ein Additionstheorem für den Tangens."
05:19;05:25;"Wir hatten jetzt schon hier oben im zweiten Video die Additionstheorem für Sinus und Cosinus"
05:25;05:25;"kennengelernt."
05:25;05:27;"Haben die aber noch nicht bewiesen."
05:27;05:31;"Wir können aber auch ein Additionstheorem für den Tangens angeben."
05:31;05:32;"Und das wollen wir mal tun."
05:32;05:35;"Und das können wir dann tatsächlich auch beweisen."
05:35;05:36;"Und das machen wir mal."
05:36;05:38;"Und dann haben wir erstmal genug zum Tangens gesagt."
05:38;05:42;"Wir werden uns dann auch in der nächsten Folie noch mal näher damit beschäftigen."
05:44;05:46;"Auch die Frage, die sich uns natürlich stellt."
05:46;05:49;"Hat denn der Tangens eine Umkehrfunktion?"
05:49;05:53;"Und wenn ja, auf welchem Bereich?"
05:53;05:57;"So wie es momentan aussieht, können Sie sich ja nochmal überlegen."
05:58;06:02;"Also wenn ich das habe und das, dann kann ja schon mal der Tangens auf seinem Definitionsbereich"
06:02;06:03;"nicht injektiv sein."
06:03;06:05;"Aber vielleicht können wir ihn einfach einschränken."
06:05;06:10;"Aber das, wie gesagt, schauen wir uns dann in der siebten Vorlesung an."
06:11;06:14;"Erst das wichtigste Additionstheorem zum Tangens."
06:26;06:28;"Und zwar wie folgt."
06:28;06:32;"Tangens x plus y"
06:32;06:38;"ist Tangens x plus Tangens y"
06:38;06:42;"geteilt durch"
06:42;06:44;"und jetzt haben wir hier 1 minus"
06:44;06:50;"Tangens x mal Tangens y."
06:50;06:52;"Ja und das wollen wir uns mal kurz anschauen."
06:52;06:53;"Warum ist denn das so?"
06:54;07:00;"Das geht relativ einfach, weil wir einfach die Additionstheoreme für Sinus und Cosinus verwenden können."
07:00;07:04;"Also wenn wir mal mit der linken Seite starten."
07:04;07:06;"Tangens x plus y"
07:06;07:07;"dann wissen wir nach Definition"
07:07;07:09;"also hier oben"
07:09;07:11;"nochmal kurz anschauen."
07:11;07:12;"Wiederholung"
07:12;07:14;"Sinus durch Cosinus."
07:14;07:16;"Wir setzen das Argument dann ein."
07:16;07:18;"Das heißt also hier bekommen wir"
07:18;07:20;"Sinus"
07:20;07:22;"x plus y"
07:22;07:23;"geteilt durch"
07:23;07:27;"Cosinus x plus y"
07:27;07:31;"So und jetzt verwenden wir Satz 4"
07:31;07:36;"Das zeige ich Ihnen nochmal."
07:36;07:41;"Wir verwenden jetzt beide Formeln, jeweils für Sinus und Cosinus."
07:41;07:44;"Dann bekommen wir also beim Sinus"
07:44;07:48;"Das ist also Sinus x"
07:48;07:51;"mal Cosinus y"
07:51;07:56;"plus Cosinus von x"
07:56;08:01;"mal Sinus y"
08:01;08:03;"und das Ganze geteilt durch"
08:03;08:06;"Cosinus x"
08:06;08:07;"mal"
08:07;08:09;"Cosinus y"
08:09;08:11;"jetzt hier das Minus"
