Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der sechsten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Jetzt im letzten Teil wollen wir uns mit sogenannten Sinusschwingungen beschäftigen und wollen uns auch anschauen,"
00:14;00:19;"was passiert mit Schwingungen gleicher Frequenz, das nennt man harmonische Schwingungen,"
00:19;00:27;"und wollen dann am Ende ein Beispiel mal anschauen, wie wir sozusagen aus einer Überlagerung von Schwingungen,"
00:27;00:34;"die dann sozusagen in Form von Cosinus und Sinusschwingungen, wie man die dann als reine Cosinus bzw. reine Sinusschwingungen schreiben kann."
00:34;00:40;"Wir starten erstmal bei den Folien und wollen uns Sinusschwingungen anschauen."
00:40;00:47;"Ich hatte das jetzt in den letzten Videos kurz erwähnt, wir wollen irgendwelche Parameter verändern."
00:47;00:49;"Was ist jetzt eigentlich eine Sinusschwingung?"
00:49;00:59;"Eine Sinusschwingung, verstehen wir einfach eine Funktion f von r nach r, die gegeben ist, dass es x abbildet auf diesen Ausdruck,"
00:59;01:02;"das heißt a sin omega x minus phi."
01:02;01:07;"Und Sie sehen, wir haben jetzt hier also drei Parameter, die wir nochmal näher bestimmen wollen."
01:08;01:14;"Hier ist es so, dass a, dieser Vorfaktor, das ist die Amplitude dieser Sinusschwingung,"
01:14;01:21;"dann hat man das omega, deswegen auch schon so gewählt, das ist die Frequenz dieser Sinusschwingung,"
01:21;01:24;"und phi nennt man die Phasenverschiebung."
01:24;01:30;"Und wir wollen uns einfach mal anschauen, was passiert eigentlich mit der Sinusfunktion,"
01:30;01:35;"wenn wir jetzt hier verschiedene Werte für a, Omega und oder phi einsetzen."
01:35;01:40;"Wir fangen mal an mit, ja, wir fangen von links an, wir haben jetzt hier a stehen."
01:40;01:45;"Wir schauen uns mal an, was passiert, wenn wir verschiedene Amplituden einsetzen."
01:45;01:49;"Und wie es der Name schon sagt, Amplitude bedeutet also hier,"
01:49;01:56;"a sin x ist entweder eine Streckung oder eine Stauchung von sin x in y-Richtung."
01:57;01:58;"Und das sehen Sie hier sehr schön."
01:58;02:03;"Das hellblaue ist die klassische Sinusfunktion."
02:03;02:09;"Wenn wir jetzt einfach mal einen Vorfaktor schreiben, zum Beispiel 2,"
02:09;02:12;"dann sieht man also, das Ganze ist jetzt hier zweimal,"
02:12;02:19;"und deswegen geht das so nach oben und hier unten natürlich auch quasi doppelt so hoch,"
02:19;02:21;"beziehungsweise so niedrig."
02:21;02:26;"Und daran erkennt man schon analog, wenn ich den Faktor kleiner 1 wähle,"
02:27;02:33;"dann stauche ich das Ganze und dann bekomme ich eben diese rote Sinuskurve"
02:33;02:40;"und hier habe ich eben nur die Hälfte von diesen und hier zu diesem natürlich völlig analog."
02:40;02:45;"Und dann geht es natürlich wieder weiter, weil es natürlich trotzdem 2pi-periodisch ist."
02:45;02:52;"Das heißt also, die Amplitude der Vorfaktor erzeugt eine Streckung oder Stauchung des Sinus in y-Richtung."
02:54;02:57;"Schauen wir uns mal an, was passiert, wenn wir verschiedene Frequenzen nehmen."
02:57;03:02;"Das heißt, die Frequenz Omega, das war ja quasi die als Vorfaktor vor dem x."
03:02;03:07;"Und das ist dann einfach eine Streckung oder Stauchung des Sinus in x-Richtung."
03:07;03:09;"Und auch das sieht man hier sehr schön."
03:09;03:14;"Das ist hellblauer wie üblich unsere Sinusfunktion."
03:14;03:22;"Wenn wir jetzt einfach mal Sinus 2x nehmen, dann sieht man also, habe ich hier also eine Stauchung in dieser Form."
03:22;03:25;"Sie können ja einfach mal einsetzen."
03:25;03:35;"Wenn Sie jetzt hier pi halber einsetzen, dann kommt, also wenn Sie für das x pi halber einsetzen, kommt also pi heraus."
03:36;03:38;"Und das war ja wieder eine Nullstelle, das passt also."
03:38;03:46;"Und wenn Sie zum Beispiel hier Sinus 1 halb x nehmen, dann bekommen Sie diese Streckung hier, die Sie hier sehen."
03:48;03:55;"Das heißt also, wir sehen, Amplitude, Vorfaktor, verändert das also, Streckung oder Stauchung in y-Richtung."
03:55;04:04;"Dann haben wir die Frequenz, das erzeugt eine Streckung oder Stauchung in x-Richtung."
04:04;04:05;"So, was haben wir noch?"
04:05;04:07;"Dann haben wir noch die Phasenverschiebung."
04:07;04:14;"Und da erkennt man ja eigentlich schon, ja was heißt das überhaupt, wenn ich jetzt hier irgendwie minus phi habe?"
04:14;04:18;"Das ist einfach nur eine Verschiebung des Graphens entlang der x-Achse."
04:18;04:23;"Und dann sieht man natürlich auch sehr schön, also wie üblich hellblau ist unser Sinus x."
04:23;04:33;"Wenn ich jetzt Sinus x minus phi halber habe, dann ist es so zu verstehen, dass es sozusagen verschoben ist um phi halbe nach rechts."
04:33;04:35;"Je nachdem, wie man das jetzt argumentieren will."
04:35;04:40;"Wir wissen ja, dass der Sinus 2pi periodisch ist."
04:40;04:51;"Das heißt also jetzt hier, wenn wir einfach mal, wir sehen jetzt hier also von der orangenen Kurve ist also an der Stelle pi,"
04:51;04:54;"bekommen wir eben dann die 1."
04:54;04:57;"Und das passt natürlich auch, wenn wir einfach einsetzen."
04:57;05:02;"Und hier sieht man eben sehr schön, wenn ich dann einfach, jetzt habe ich hier mal plus phi Viertel genommen,"
05:02;05:09;"ja plus phi Viertel, dann sieht man eben, bin ich also links von dem hellblauen."
