Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der siebten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten jetzt im ersten Teil gesehen oder eine Herleitung gesehen, wie wir R und Phi bestimmen."
00:15;00:19;"Das heißt also, noch mal kurz, das was wir eben schon auch gesehen hatten,"
00:19;00:26;"wenn wir eine komplexe Zahl in kathesischer Darstellung haben, das heißt wir haben X und Y gegeben,"
00:26;00:32;"dann bekommen wir jetzt eine Darstellung in Polarkoordinaten, R und Phi müssen wir dafür bestimmen"
00:32;00:38;"und das R haben wir gesehen, bestimmen wir in dieser Form und das Phi bestimmen wir in dieser Form."
00:38;00:43;"Hier müssen wir ein paar Unterscheidungen treffen, je nachdem in welchen Quadranten wir sind."
00:43;00:50;"Wir wollen uns jetzt erstmal ein paar Beispiele dazu anschauen, damit wir auch wirklich wissen, wie wir das praktisch ausrechnen"
00:50;00:53;"und werden genau das auf der Folie verwenden, was dort steht."
00:55;01:06;"Fangen wir mal an mit einer Zahl Z1 und das ist einfach 1 plus I."
01:06;01:11;"Schauen wir uns kurz mal an, wie das ausschaut."
01:13;01:23;"nochmal die Quadranten, 1, 2, 3, 4 und 1 plus I, ja extra schön einfach gewählt, da sind wir irgendwo,"
01:23;01:35;"also angenommen hier ist die 1 und da, dann ist das also hier."
01:35;01:46;"das ist also unser Z1 und der Winkel Phi ist also hier und die Länge von diesem hier, das ist das R."
01:48;01:51;"das heißt also, wir bestimmen erstmal das R."
01:51;02:00;"R ist also jetzt hier der Betrag der Zahl, das heißt 1 Quadrat plus 1 Quadrat und davon die Wurzel,"
02:00;02:03;"ist dann wohl offensichtlich Wurzel 2."
02:03;02:06;"So, wie bestimmen wir jetzt den Winkel?"
02:06;02:14;"Naja, wir schauen nochmal, das x ist größer 0 und je nach der Formel ist das also einfach Arcus Tangens y durch x."
02:14;02:16;"Wir sind also in diesem Fall."
02:16;02:19;"So, aber wie war nochmal die Formel?"
02:19;02:27;"Das heißt, der Tangens von Phi ist dann einfach y durch x gewesen."
02:27;02:31;"Das heißt also hier 1 durch 1, das ist 1."
02:31;02:41;"Und das bedeutet, wenn wir jetzt mal das Argument bestimmen wollen, Phi ist gleich das Argument von z1."
02:41;02:51;"Und das Argument von z1 ist jetzt, wenn wir die Formel einfach anwenden, der Arcus Tangens von 1."
02:53;02:56;"Also hier steht jetzt ja einfach nur y durch x."
02:56;03:01;"x ist 1 und hier steht ja i, das heißt, da steht 1 mal i."
03:01;03:03;"Also haben wir genau dieses."
