Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der siebten Vorlesung im Kurs Analysis 1 und lineare Algebra für Ingenieurwissenschaften."
00:08;00:13;"Wir hatten uns jetzt in den letzten beiden Teilen ausführlich mit Polardarstellung beschäftigt,"
00:13;00:19;"hatten am Ende jetzt auch noch die Multiplikation mit Polar oder in Polardarstellung gesehen"
00:19;00:24;"und wollen uns jetzt in diesem Teil mit komplexen Wurzeln beschäftigen."
00:24;00:28;"Da werde ich jetzt größtenteils auf der E-Kreide sein."
00:28;00:35;"Also was wollen wir? Was heißt komplexe Wurzeln?"
00:35;00:41;"Wenn wir jetzt mal im Reellen sind und wir hatten irgendwie x hoch 4 ist gleich 5,"
00:41;00:47;"dann wollten wir da Lösung bekommen und konnten ja auch im Reellen Wurzeln ziehen."
00:47;00:50;"Und jetzt ist natürlich die Frage, was machen wir denn im Komplexen?"
00:50;00:57;"Und das heißt allgemein formuliert heißt das, wir wollen alle Lösungen der Gleichung z hoch n gleich a,"
00:58;01:04;"wobei a eine komplexe Zahl ist und n eine natürliche mit n größer gleich 1."
01:09;01:18;"Also alle Lösungen der Gleichung z hoch n gleich a."
01:18;01:31;"Und a ist jetzt hier eine komplexe Zahl und n ist natürlich aber eben größer gleich 1."
01:33;01:38;"So und da gibt es erstmal folgenden Ansatz, wie wir das machen."
01:38;01:48;"Also erstmal wissen wir, dass wir, also wir suchen also jetzt z, sodass diese Gleichung erfüllt ist."
01:48;01:53;"Und so eine Zahl z oder eine Lösung ist natürlich komplex."
01:54;02:00;"Das heißt, wir können das z erstmal aufschreiben durch die Euler-Darstellung."
02:00;02:01;"Die sehen wir nochmal hier."
02:01;02:04;"Das heißt also in dieser allgemeinen Form."
02:04;02:10;"Nehmen wir gleich mal die Bezeichnung r mal e hoch i phi."
02:11;02:16;"Und die rechte Seite, dieses a, ist ja auch eine komplexe Zahl, die hat auch so eine Darstellung."
02:16;02:25;"Und hier sage ich mal, das ist s mal e hoch i Alpha."
02:29;02:30;"Und was wissen wir jetzt hier?"
02:30;02:38;"Wir wissen also, s ist einfach der Betrag von a, der ist größer gleich 0."
02:38;02:43;"Und Alpha ist jetzt hier das Argument von a."
02:43;02:55;"So und jetzt schauen wir uns mal an, was passiert, wenn wir jetzt die Gleichung z hoch n gleich a betrachten."
02:55;03:01;"Und da nutzen wir gleich das Resultat aus der letzten Vorlesung, aus dem letzten Video meine ich."
03:01;03:03;"z hoch n ist jetzt was?"
03:03;03:10;"Naja, wenn ich das jetzt hier hoch n schreibe, dann hatten wir ja schon gesehen, was passiert jetzt hier."
03:10;03:15;"Ja, und das hat man ja auch hier gesehen."
03:15;03:24;"Das heißt, das können wir schreiben als, durch die Multiplikation von komplexen Zahlen in Polardarstellung."
03:24;03:30;"Das ist also r hoch n mal e hoch i n Phi."
03:30;03:32;"Ja, die Winkel addieren sich."
03:32;03:37;"Winkel addieren sich und die Beträge multiplizieren sich."
03:37;03:40;"Und jetzt haben wir das Ganze eben hoch n, also n mal."
03:40;03:43;"Und deswegen kommt genau diese Darstellung heraus."
03:43;03:54;"Und das ist dann, also hier noch Satzfolie Nummer 6."
03:54;03:57;"Gut."
03:57;04:00;"Und das ist jetzt also z hoch n."
04:00;04:03;"Und jetzt setzen wir einfach mal die rechte Seite ein."
04:03;04:05;"Für das a haben wir diese Darstellung."
04:05;04:09;"Das heißt also, hier steht da s e hoch i Alpha."
04:09;04:11;"Und das ist ja dann unser a."
04:11;04:15;"Ja, und jetzt vergleichen wir mal die beiden Seiten."
04:20;04:30;"Also als erstes sehen wir hier, also r hoch n muss also übereinstimmen mit s."
04:30;04:32;"Ja, das ist das erste."
04:37;04:42;"Und das bedeutet dann einfach r ist dann die Ente-Wurzel aus s."
04:42;04:46;"Das ist also jetzt aus dem Grünen entstanden."
04:47;04:50;"Und der Betrag ist natürlich eindeutig bestimmt."
04:50;04:52;"Das können wir nochmal kurz hier festhalten."
04:52;05:04;"Okay, also das ist auch wieder recht einfach."
05:04;05:08;"Schauen wir uns jetzt an, was wir über die Winkel sagen können."
