Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Ich begrüße Sie recht herzlich zur achten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:07;00:13;"Thema der achten Vorlesung lautet Polynome. Da geht es erstmal darum, was ist ein Polynom."
00:13;00:20;"Dann werden wir den Grad von Polynomen bestimmen. Wir werden auch die Gradformel kennenlernen."
00:20;00:25;"Das heißt eine Formel, wie wir den Grad von der Multiplikation von zwei Polynomen bestimmen können."
00:25;00:30;"Dann geht es natürlich darum, wie wir die Division von Polynomen erklären können."
00:30;00:35;"Das führt uns auf die Polynom-Division. Division mit Rest, das kennen Sie vielleicht schon."
00:35;00:42;"Dann wollen wir natürlich versuchen, Nullstellen zu bestimmen und diese durch eine Polynom-Division von einem Polynom abzuspalten."
00:42;00:51;"Dann werden wir auch den Fundamentalsatz der Algebra kennenlernen und uns am Ende auch noch mit reellen Polynomen beschäftigen."
00:51;00:53;"Und uns da eine reelle Zerlegung überlegen."
00:53;01:00;"Und dann werden wir eine schöne Eigenschaft von komplexen Nullstellen von reellen Polynomen kennenlernen."
01:00;01:07;"Jetzt im ersten Teil geht es erstmal nur darum, zu klären, was ist ein Polynom und wie rechnen wir mit Polynomen."
01:07;01:11;"Dazu schauen wir uns zuerst die Folie 2 an."
01:11;01:14;"Die ist jetzt relativ voll, ist aber nicht so kompliziert."
01:15;01:17;"Die Frage ist jetzt, was ist ein Polynom?"
01:17;01:23;"Also ein Polynom P, das hängt dann also ab von Z."
01:23;01:26;"Z ist das, was wir reintun, also aus dem Definitionsbereich."
01:26;01:29;"P von Z hat also diese Gestalt."
01:29;01:37;"Das heißt, man sieht also hier A0 plus A1Z plus A2Z² und so weiter bis ANZ hoch N."
01:37;01:43;"Das heißt, man hat Koeffizienten vor Potenzen Z hoch 1, Z hoch 2 bis Z hoch N."
01:43;01:47;"Das in Summenschreibweise bekommen wir diese Darstellung."
01:48;01:58;"Und die A0 bis AN, das sind im Allgemeinen komplexe Zahlen und N ist natürliche Zahl."
01:58;02:02;"Und die AKs, die nennen wir einfach die Koeffizienten des Polynoms."
02:02;02:06;"Und hier nehmen wir also an, dass die Koeffizienten des Polynoms komplex sind."
02:06;02:14;"Und wenn wir das nochmal ordentlich als Funktion aufschreiben, so wie wir das kennengelernt haben mit Definitionsbereich und Wertebereich,"
02:14;02:22;"dann sehen wir also P bildet ab von C nach C und das Z bildet ab auf P von Z eben genau durch diese Vorschrift."
02:22;02:32;"Und wenn jetzt alle Koeffizienten, also diese A0 bis AN, wenn die alle reell sind, dann nennen wir P ein reelles Polynom."
02:32;02:41;"Und dann können wir P natürlich zum einen als Funktion von C nach C auffassen oder aber eben auch von R nach R."
02:43;02:45;"So, das sind erstmal die wichtigsten Begriffe."
02:45;02:49;"Polynom, Koeffizienten, reelles Polynom."
02:49;02:55;"Was noch wichtig ist bei Polynomen ist, oftmals den Grad zu bestimmen eines Polynoms."
02:55;03:00;"Und der Grad ist der höchste Koeffizient, der ungleich 0 ist."
03:00;03:04;"Deswegen hier geschrieben, der höchste Koeffizient AN ungleich 0."
03:05;03:12;"Und wenn das der höchste Koeffizient ist, das heißt, wenn AN ungleich 0 ist und alle anderen AN plus 1 und so weiter sind 0,"
03:12;03:16;"dann ist n der Grad des Polynoms von P."
03:16;03:24;"Und als Kurzschreibweise schreibt man einfach hier, n ist gleich Dec P von Degree, deswegen Grad von P."
03:25;03:30;"So, und als Spezialfall noch das Nullpolynom."
03:30;03:36;"Das heißt, wenn alle Koeffizienten 0 sind, das heißt, P ist einfach 0, das bezeichnen wir als Nullpolynom,"
03:36;03:41;"so setzt man einfach den Grad von P gleich minus unendlich."
03:43;03:48;"Gut, schauen wir uns ein paar Rechenoperationen an und vielleicht auch ein paar Beispiele dazu."
03:48;03:53;"Also das erste, vielleicht noch zu den Polynomen."
03:53;03:58;"Wie kann man das noch, ja, vielleicht in Worte beschreiben."
03:58;04:02;"Also ein Polynome kann man einfach so verstehen,"
04:02;04:04;"dass es einfach eine Zusammensetzung von Potenzen,"
04:04;04:08;"z hoch 0, z hoch 1, z hoch 2 und so weiter."
04:08;04:19;"Also Potenzen von z."
04:19;04:26;"Also z hoch 0 ist ja immer 1,"
04:26;04:31;"deswegen z, z Quadrat und so weiter."
04:31;04:36;"Gut, schauen wir uns Beispiele dazu an."
04:36;04:57;"Zum Beispiel P von z ist jetzt meinetwegen 2 minus 3z plus i minus 1z Quadrat."
04:57;04:59;"Das ist offensichtlich ein Polynom."
04:59;05:02;"Und jetzt stellt sich die erste Frage,"
05:04;05:06;"welchen Grad hat dieses Polynom?"
05:06;05:09;"Da schauen wir nochmal kurz auf die Definition."
05:09;05:12;"Das heißt also, der höchste Koeffizient, der ungleich 0 ist,"
05:12;05:19;"das heißt also gedanklich steht ja hier sowas noch wie 0 mal z hoch 3 und so weiter."
05:19;05:21;"Da sind alle Koeffizienten 0."
05:21;05:25;"Das heißt also, der höchste Koeffizient wäre jetzt hier i minus 1,"
05:25;05:28;"ja, weil z Quadrat ist die höchste Potenz."
05:28;05:33;"Von der höchste Potenz, deren Koeffizient ungleich 0 ist."
05:33;05:34;"Das ist dann also der Grad."
05:34;05:38;"Das heißt also, da das ungleich 0 ist, ist der Grad von P 2."
05:41;05:53;"Das bedeutet hier mit Grad von P ist gleich 2, da i minus 1 ungleich 0 ist."
05:53;05:57;"Das heißt also, wegen diesem Ausdruck hier."
05:57;06:03;"Gut, das war jetzt ein einfaches Beispiel."
06:04;06:07;"Schauen wir uns mal ein anderes Beispiel an."
06:07;06:19;"Nehmen wir mal P von z ist gleich minus 1 plus 2z minus 6z Quadrat plus 7z hoch."
06:19;06:22;"Und jetzt nehmen wir mal zum Beispiel 19."
06:22;06:26;"So, das sehen wir zum ersten, wenn wir die Koeffizienten anschauen,"
06:26;06:30;"die sind alle reell und deswegen ist das Ganze ein reelles Polynom."
06:34;06:38;"Sie können ja schon mal überlegen, welchen Grad hat dieses Polynom."
06:38;06:45;"Das heißt, der Grad von P ist jetzt was?"
06:45;06:50;"Naja, die höchste Potenz, die auftritt, ist z hoch 19"
06:50;06:53;"und der Koeffizient davor, der ist also ungleich 0."
06:53;06:57;"Das bedeutet also hier, der Grad von P ist 19,"
06:57;07:02;"da 7 offensichtlich ungleich 0 ist."
07:03;07:07;"Gut, schauen wir uns nochmal einen Spezialfall an."
07:07;07:11;"Wir können natürlich auch einfach P von z gleich 2 setzen."
07:11;07:14;"Das ist dann einfach ein konstantes Polynom."
07:23;07:26;"Und hier ist die Frage, welchen Grad hat dieses Polynom P?"
07:29;07:34;"Abgedanklich steht ja jetzt hier, also hier steht ja 2 mal z hoch 0."
07:34;07:38;"Ja, das ist sozusagen die höchste auftretende Potenz."
07:38;07:44;"Das heißt also hier wissen wir also, 2 ist ungleich 0 und das steht vor z hoch 0."
07:44;07:48;"Also ist der Grad von P gleich 0."
07:49;07:54;"So, und zu guter Letzt noch das Beispiel mit dem Nullpolynom."
07:54;07:57;"Das heißt, das Nullpolynom sieht einfach so aus."
07:57;07:59;"P von z ist gleich 0 für alle z."
07:59;08:04;"Aus dem Definitionsbereich, also jetzt hier meinetwegen die komplexen Zahlen."
08:04;08:06;"Und da haben wir schon gesehen,"
08:08;08:14;"auf der Folie, dass der Grad hier"
08:14;08:21;"ja im Endeffekt per Definition auf Minus unendlich gesetzt wird."
