Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Herzlich willkommen zum zweiten Teil der achten Vorlesung im Kurs Analyse 1 und lineare Algebra für Ingenieurwissenschaften."
00:07;00:14;"Wir hatten uns jetzt im ersten Teil mit Polynomen beschäftigt, haben gesehen, wie wir diese addieren und auch multiplizieren."
00:14;00:21;"Und am Ende haben wir festgestellt, ja die Division wird im Allgemeinen kein Polynom liefern, sondern eine rationale Funktion."
00:21;00:26;"Und damit beschäftigen wir uns dann erst in der neunten Vorlesung."
00:26;00:32;"Aber was wir tun können, wäre eine Division mit Rest und das möchte ich jetzt gerne nochmal aufgreifen."
00:32;00:38;"Division mit Rest, das sehen Sie hier, Satz 2 auf der Folie 4. Was bedeutet das?"
00:38;00:47;"Naja, wir haben gegeben zwei Polynome P und Q und wir nehmen mal an Q ist ungleich 0."
00:47;01:03;"Dann wiederum finden wir Polynome R und S mit der Eigenschaft, dass wir das Polynom schreiben können als Produkt von Polynom S mit Polynom Q addiert mit Polynom von R."
01:03;01:09;"Und das Entscheidende dabei hier ist, dass der Grad von R kleiner dem Grad von Q ist."
01:09;01:19;"Und dahinter steckt nichts anderes als eine Polynom Division und hier bezeichnen wir R als den Divisionsrest oder manchmal auch einfach nur den Rest."
01:19;01:25;"Wenn Sie eine Polynom Division kennen, das werden wir uns gleich anschauen, dann wissen Sie ja, am Ende kommt ein Rest heraus."
01:25;01:29;"Schön ist es, wenn 0 herauskommt. Das wird aber nicht immer der Fall sein."
01:29;01:31;"Den Fall betrachten wir aber gleich."
01:31;01:36;"Im Allgemeinen kommt irgendein Rest ungleich 0 heraus und das ist eben dann dieses R."
01:36;01:49;"Und hier ist aber auch noch der Kommentar, wenn der Rest eben gleich 0 ist, das heißt also R ist 0, das bedeutet P durch Q ist gleich S, ist dann wieder ein Polynom."
01:49;01:54;"Dann sagt man auch, dass die Division aufgeht oder eben Q teilt P."
01:55;01:58;"Das ist im Endeffekt alles, was wir wissen müssen."
01:58;02:05;"Und die Idee dahinter ist einfach nur die Polynom Division, die Sie vermutlich schon kennen."
