Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der achten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Wir hatten uns im letzten Video mit Nullstellen beschäftigt und hatten am Ende auch den Begriff der Vielfachheit geklärt"
00:15;00:27;"und hatten ja gesehen, dass wir das also durch Division ohne Rest bekommen, wenn wir eben solche Linearfaktoren, wie sie hier auftauchen, abspalten können."
00:27;00:33;"Und die Frage, die sich uns natürlich stellt, wie viele Nullstellen hat dann eigentlich so ein Polynom?"
00:33;00:41;"Und bekomme ich jetzt so eine Darstellung jetzt hier möglicherweise mit solchen Faktoren für das ganze Polynom, für alle Nullstellen?"
00:41;00:51;"Ja, in der Tat ist es so und das führt uns auf den wichtigen Fundamentalsatz der Algebra und den schauen wir uns zuerst auf der Folie an."
00:52;00:56;"Ja, die Aussage ist knapp formuliert."
00:56;00:59;"Wir haben also ein Polynom gegeben in dieser Form."
00:59;01:02;"Grad ist größer gleich 1."
01:02;01:09;"Und dann wissen wir, dass wir das Polynom in Linearfaktoren aufschreiben können und zwar in dieser Form."
01:11;01:21;"Das heißt also an ist also erstmal der höchste Koeffizient und dann z minus z1, z minus z2 und so weiter bis z minus zn."
01:21;01:24;"Das heißt, wir bekommen also eine Darstellung in dieser Form."
01:24;01:31;"Und diese zis, also z1 bis zn sind dann also Nullstellen von dem Polynom p."
01:32;01:38;"Das ist klar, wenn Sie hier z1 einsetzen, wird dieser Ausdruck 0, also der gesamte Ausdruck, und völlig analog bei den anderen."
01:38;01:44;"Und das wiederum bedeutet also, dass das Polynom p genau N Nullstellen hat."
01:44;01:49;"Und das ist sozusagen die Aussage des Fundamentalsatzes."
01:49;01:57;"Das heißt also ein Polynom N-Grades, wobei N größer gleich 1 ist, besitzt N Nullstellen."
01:57;02:02;"Und hier muss man allerdings noch beachten, dass die Nullstellen nicht verschieden sein müssen."
02:02;02:09;"Wir hatten ja am Ende des letzten Videos gesehen, dass eine Nullstelle auch mehrfach auftauchen kann."
02:09;02:12;"Deswegen zeige ich nochmal diesen Term hier."
02:12;02:18;"Das heißt, es kann durchaus sein, dass jetzt sozusagen die ersten zwei zum Beispiel zusammengefasst sind."
02:18;02:21;"Und dann gibt es natürlich nicht N verschiedene."
02:21;02:25;"Aber wenn man die Vielfachheiten von jeder einzelnen Nullstelle mitzieht,"
02:25;02:30;"die Gesamtheit davon, von allen Vielfachheiten, die ergibt dann eben wieder N."
02:30;02:33;"Und das ist die Aussage des Fundamentalsatzes der Algebra."
02:33;02:37;"Das sagt jetzt noch nichts aus, wie wir diese Nullstellen finden."
02:37;02:42;"Und da werden wir am Ende im letzten Teil noch die letzte Folie anschauen."
02:42;02:44;"Da werden wir sehen, das ist leider auch gar nicht so einfach."
02:44;02:52;"Aber wir wissen, dass so ein Polynom also N Nullstellen hat, wie gesagt, mit den Vielfachheiten gezählt."
02:52;02:57;"Und diese Linearfaktor zur Legung bekommen wir eben, wenn wir diese Nullstellen haben."
02:57;03:00;"Schauen wir uns dazu ein kleines Beispiel an."
03:07;03:18;"Das heißt, wir schauen uns mal das Polynom B von Z ist gleich 2Z hoch 3 minus 16 an."
03:18;03:24;"Dann ist klar, dass wir eine Nullstelle automatisch finden."
03:24;03:26;"Und das ist natürlich Z1 gleich 2."
03:26;03:41;"Und wenn wir diese haben, dann können wir das, was wir im zweiten Video gesehen haben,"
03:41;03:47;"die Division ohne Rest, das heißt, das, was wir hier in diesem Satz stehen haben,"
03:47;03:53;"können wir hier anwenden und bekommen dann natürlich einfach die Darstellung,"
03:53;03:55;"indem wir, ja, was machen wir?"
03:55;03:59;"Wir spalten, weil wir wissen, dass Z1 gleich 2 eine Nullstelle ist."
