Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum vierten Teil der achten Vorlesung im Kurs Analysis 1 und lineare Algebra für Ingenieurwissenschaften."
00:08;00:16;"Wir wollen uns jetzt in diesem Video mit reellen Polynomen beschäftigen und uns überlegen, wie wir,"
00:16;00:23;"wenn wir nochmal an den Fundamentalsatz der Algebra denken, auch eine reelle Zerlegung solch eines Polynoms bekommen."
00:23;00:30;"Und als erstes wollen wir einem kleinen Phänomen auf die Spur gehen und zwar erinnern Sie sich noch an das Beispiel,"
00:30;00:35;"jetzt muss ich nochmal kurz schauen, wo das war, und zwar diese Beobachtung hier,"
00:35;00:47;"dass wir also gesehen haben, dass die komplexe Nullstelle Z2 das gleiche ist wie die komplex konjugierte Nullstelle Z3."
00:47;00:54;"Und diesen gleichen Effekt hatten wir schon gesehen in Vorlesung 3 als letztes Beispiel."
00:54;00:58;"Und das hat tatsächlich etwas mit reellen Polynomen zu tun."
00:58;01:02;"Das wollen wir uns zuerst mal auf den Folien anschauen."
01:02;01:06;"Und zwar sehen wir den wichtigen Satz 7."
01:06;01:08;"Und das klappt tatsächlich auch nur bei reellen Polynomen."
01:08;01:11;"Und zwar haben wir folgende Aussage."
01:11;01:15;"Wenn P ein reelles Polynomen ist mit Grad größer gleich 1,"
01:15;01:23;"dann treten die nicht reellen Nullstellen von P in komplex konjugierten Paaren auf."
01:23;01:29;"Das bedeutet also, wenn wir eine Nullstelle Z0 aus C ohne R haben,"
01:30;01:32;"das heißt also P von Z ist gleich 0,"
01:32;01:42;"dann folgt automatisch, dass die komplex konjugierte Zahl Z0 quer ebenfalls eine Nullstelle des Polynoms P ist."
01:42;01:44;"Und das ist also sehr interessant."
01:44;01:49;"Und das war genau der Fall bei dem vorherigen Video und dem Beispiel und auch in der Vorlesung 3."
01:49;01:53;"Dort haben wir nämlich ausschließlich reelle Polynome betrachtet."
01:54;01:57;"Und wir wollen uns mal kurz überlegen, warum ist das eigentlich so?"
01:57;02:02;"Was hat das irgendwie mit reellen Polynomen zu tun?"
02:02;02:09;"Deswegen mal kurz ein paar Überlegungen, wie man sich diesen Satz 7 vorstellen kann."
02:15;02:22;"Und diese Aussage werden wir dann nutzen, um ein reelles Polynom,"
02:22;02:27;"was möglicherweise komplexe Nullstellen hat, trotzdem zu zerlegen,"
02:27;02:31;"nicht nur in Linearfaktoren, aber eben auch in quadratische Terme."
02:31;02:36;"Und da können wir eben die Aussage von Satz 7 verwenden."
02:36;02:39;"Wir nehmen uns mal ein beliebiges Polynom."
02:40;02:45;"Also das heißt, P von Z hat ja jetzt diese Gestalt."
02:45;02:47;"K gleich 0 bis N."
02:47;02:51;"AK Z hoch K."
02:51;02:55;"Und wir betrachten jetzt hier reelle Polynome."
02:55;03:01;"Also sind A0, A1 bis A N aus den reellen Zahlen."
03:01;03:04;"So, also hier auch nochmal dazu."
03:04;03:06;"Das ist ein reelles Polynom."
03:07;03:09;"Das hatten wir im ersten Video schon erklärt."
03:09;03:12;"Wenn alle Koeffizienten reelle Zahlen sind,"
03:12;03:16;"dann nennen wir das Ganze ein reelles Polynom."
03:16;03:19;"Und dann betrachten wir mal eine Nullstelle."
03:19;03:23;"P von, also quasi Z0 ist eine Nullstelle."
03:23;03:32;"Das bedeutet, P von Z0 ist gleich 0 mit Z0 aus C ohne R."
03:33;03:35;"Das heißt also eine nichtreelle Nullstelle."
03:35;03:37;"Und jetzt wollen wir mal schauen,"
03:37;03:42;"warum ist dann jetzt die komplex konjugierte Zahl von Z0 auch eine Nullstelle."
03:42;03:46;"Naja, woraus folgt das?"
03:46;03:49;"Betrachten wir mal P von Z0 quer."
03:50;03:52;"Wenn wir das erstmal per Definition hinschreiben,"
03:52;03:54;"hier haben wir ja P von Z angegeben,"
03:54;03:56;"dann steht erstmal da"
03:56;04:00;"K gleich 0 bis N,"
04:00;04:02;"AK,"
04:02;04:06;"Z0 quer und das Ganze hoch K."
04:06;04:07;"So,"
04:07;04:09;"was wir jetzt aber auch wissen,"
04:09;04:13;"und jetzt kommt genau der Punkt zum Tragen,"
04:13;04:15;"dass wir hier ein reelles Polynom haben."
04:15;04:19;"Was wissen wir bei reellen Polynomen,"
04:19;04:20;"beziehungsweise was wissen wir"
04:20;04:25;"über die komplex konjugierte Zahl einer reellen Zahl?"
04:25;04:27;"Da wissen wir doch,"
04:27;04:28;"dass AK"
04:28;04:32;"gleich AK quer ist."
04:32;04:35;"Komplex konjugiert hieß ja nochmal,"
04:35;04:38;"dass wir das Vorzeichen vom Imaginärteil ändern."
04:39;04:41;"Der Imaginärteil ist jetzt hier aber 0,"
04:41;04:43;"deswegen ist AK gleich AK quer."
04:43;04:45;"Und wenn wir das ausnutzen,"
04:45;04:46;"können wir also hier,"
04:46;04:50;"auf der linken Seite steht ja AK,"
04:50;04:54;"und das können wir jetzt auch einfach schreiben als AK quer."
04:54;04:57;"Und hier schreibe ich das mal so."
04:57;04:58;"Aha."
04:58;05:01;"Und jetzt ist die Frage,"
05:01;05:02;"was können wir noch tun?"
05:02;05:05;"Jetzt erinnern wir uns nochmal an die dritte Vorlesung."
05:05;05:07;"Da hatten wir einige Rechenregeln"
05:07;05:11;"für die Bildung der komplex konjugierten Zahl gesehen."
05:11;05:12;"Zum Beispiel"
05:12;05:15;"Z1 plus Z2 quer"
05:15;05:17;"war nichts anderes als"
05:17;05:18;"Z1 quer"
05:18;05:20;"plus Z2 quer."
05:20;05:22;"Und das können wir jetzt hier"
05:22;05:24;"n mal oder n plus 1 mal anwenden,"
05:24;05:25;"diese Regel."
05:25;05:27;"Oder besser gesagt mehrmals."
05:27;05:29;"Das ist sozusagen"
05:29;05:31;"nicht nur eine,"
05:31;05:32;"sondern was sehen wir jetzt hier noch?"
05:33;05:35;"Das können wir also rausziehen"
05:35;05:37;"und dann bekommen wir hier"
05:37;05:41;"K gleich 0 bis N,"
05:41;05:41;"AK,"
05:41;05:45;"Z0 hoch K"
05:45;05:47;"und einfach oben quer."
05:47;05:49;"Das haben wir jetzt hier getan."
05:52;05:54;"Wir haben natürlich jetzt hier auch noch mehr getan."
05:54;05:55;"Wir haben natürlich auch"
05:55;05:57;"das hier verbunden."
05:57;05:58;"Das heißt,"
05:58;05:59;"hier ist noch eine andere Regel dabei."
05:59;06:00;"Aber das nur,"
06:00;06:01;"dass wir noch mal kurz nachschauen,"
06:01;06:02;"wenn Ihnen unklar ist,"
06:02;06:03;"was ich hier tue."
06:03;06:05;"Und wenn wir das jetzt haben,"
06:05;06:06;"dann sehen wir doch,"
06:06;06:07;"hier steht doch nichts anderes"
06:07;06:10;"als P von Z0."
06:13;06:13;"Das heißt,"
06:13;06:15;"P von Z0 quer."
06:15;06:15;"Ja,"
06:15;06:17;"aber P von Z0,"
06:17;06:18;"das war ja 0."
06:18;06:19;"Also,"
06:19;06:21;"0 quer"
06:21;06:23;"und 0 ist eine reelle Zahl."
06:23;06:25;"Also kommt hier 0 heraus."
06:25;06:25;"Ja,"
06:25;06:26;"und damit"
06:26;06:28;"haben wir diesen Satz"
06:28;06:29;"sogar direkt bewiesen."
06:29;06:30;"Nicht nur die Idee."
06:30;06:32;"Und die Folgerung,"
06:32;06:33;"die Sie hier unten sehen,"
06:33;06:35;"die ist dann relativ klar."
06:35;06:36;"Ja,"
06:36;06:38;"wenn Sie ein reelles Polynom"
06:38;06:39;"mit umgeraden Grad haben,"
06:39;06:39;"dann"
06:39;06:41;"hat dieses Polynom"
06:41;06:43;"mindestens eine reelle Nullstelle."
06:43;06:44;"Das ist klar."
06:44;06:45;"Nehmen Sie an,"
06:45;06:46;"Sie haben ein Polynom dritten Grades."
06:46;06:47;"Und"
06:47;06:49;"wenn Sie dann"
06:49;06:51;"drei komplexe Nullstellen hätten,"
06:51;06:52;"ja,"
06:52;06:54;"dann können zwei Paare,"
06:54;06:55;"zwei Nullstellen können immer"
06:55;06:56;"als Paar auftreten."
06:56;06:57;"Aber die dritte"
06:57;06:58;"Nullstelle,"
06:58;06:59;"da fehlt die"
06:59;07:00;"komplex konjugierte"
07:00;07:01;"Nullstelle."
07:01;07:02;"Deswegen kann das nicht sein."
07:02;07:04;"Deswegen bekommen wir"
07:04;07:05;"bei ungeraden Grad"
07:05;07:07;"von einem reellen Polynom"
07:07;07:07;"immer mindestens"
07:07;07:09;"eine reelle Nullstelle."
07:09;07:11;"Das folgt also sofort"
07:11;07:12;"aus diesem Satz 7."
07:12;07:15;"Ein Hinweis noch dazu."
07:15;07:20;"Jetzt klappt das hier aber wirklich"
07:20;07:22;"nur bei reellen Polynomen."
07:22;07:23;"Das heißt also,"
07:23;07:25;"bei Komplexen"
07:25;07:27;"funktioniert das nicht mehr."
07:34;07:36;"jetzt schreiben wir das mal anders."
07:36;07:40;"Also Satz 7"
07:40;07:44;"gilt dann also nicht"
07:44;07:53;"für Polynome mit komplexen"
07:53;07:54;"Koeffizienten."
08:02;08:04;"Das ist also wichtig,"
08:04;08:05;"dass Sie das wissen."
08:05;08:07;"Und schauen wir uns dazu"
08:07;08:08;"mal ein Gegenbeispiel an."
08:08;08:16;"Da können wir ein ganz"
08:16;08:17;"einfaches angeben."
08:17;08:19;"Und zwar schauen wir uns mal"
08:19;08:20;"das Polynom P"
08:20;08:22;"von Z gleich Z"
08:22;08:24;"minus"
08:24;08:26;"I plus 1 an."
08:26;08:28;"Dann sehen wir natürlich sofort,"
08:28;08:29;"dass wir eine Nullstelle"
08:29;08:30;"ablesen können."
08:30;08:31;"Das ist I plus 1."
08:31;08:33;"Das heißt also"
08:33;08:34;"P von I plus 1"
08:34;08:35;"ist gleich 0."
08:35;08:37;"Das heißt also hier"
08:37;08:40;"I plus 1"
08:40;08:45;"ist eine Nullstelle"
08:45;08:49;"von P."
08:50;08:50;"So,"
08:50;08:51;"und jetzt schauen wir uns mal"
08:51;08:53;"die komplex"
08:53;08:54;"konjugierte Zahl"
08:54;08:55;"von I plus 1"
08:55;08:55;"an"
08:55;08:57;"und setzen die mal"
08:57;08:57;"in P ein."
08:57;08:59;"Das heißt also hier"
08:59;09:02;"I plus 1"
09:02;09:05;"komplex konjugiert."
09:05;09:07;"Das komplex konjugierte,"
09:07;09:08;"hatte ich ja schon gesagt,"
09:08;09:09;"vertauscht das Vorzeichen"
09:09;09:11;"des Imaginärteils."
09:11;09:12;"Das heißt,"
09:12;09:12;"hier bekommen wir"
09:12;09:13;"P"
09:13;09:14;"minus I"
09:14;09:15;"plus 1."
09:17;09:17;"Naja,"
09:17;09:18;"und wenn wir das jetzt"
09:18;09:19;"hier oben mal einsetzen,"
