Start Timestamp;End Timestamp;Transcript
00:00;00:07;"Ich begrüße Sie recht herzlich zur neunten Vorlesung im Kurs Analyse 1 und Lineare Algebra für Ingenieurwissenschaften."
00:07;00:13;"Ja, wir sind jetzt im neunten Kapitel angelangt und da geht es um rationale Funktionen."
00:13;00:20;"Den Begriff hatten wir auch schon in der letzten Vorlesung kennengelernt, als ich gemeint habe, was ist die Division von zwei Polynomen."
00:20;00:24;"Da hatten wir eigentlich schon mehr oder weniger die Definitionen kennengelernt."
00:24;00:33;"Und hier wollen wir uns im ersten Teil erstmal damit beschäftigen, was sind rationale Funktionen und wie kann man Pole von rationalen Funktionen bestimmen."
00:33;00:38;"Und dann im zweiten Teil werden wir uns mit der komplexen Partialbruchzerlegung beschäftigen."
00:38;00:41;"Da geht es dann darum, wie wir diese Brüche vereinfachen können."
00:41;00:50;"Und ein bisschen analog zu der reellen Zerlegung bei den Polynomen wollen wir auch hier eine reelle Partialbruchzerlegung im dritten Teil kennenlernen."
00:50;00:54;"Und da werden wir auch das Wissen aus der achten Vorlesung verwenden."
00:54;01:08;"So, im ersten Teil schauen wir uns einfach erstmal an, was ist eine rationale Funktion, wie sind die definiert und was verstehen wir unter Polen bzw. Polstellen und welche Ordnung kann so ein Pol haben."
01:08;01:11;"Das schauen wir uns auf der Folie an."
01:11;01:17;"Ja, ich hatte es schon gesagt, rationale Funktionen sind nichts anderes als Brüche von Polynomen."
01:17;01:20;"Das heißt also Ausdrücke dieser Formen."
01:20;01:23;"P und Q sind jetzt einfach gegebene Polynome."
01:23;01:26;"Und P, Z durch Q, Z."
01:26;01:29;"Das ist dann unsere neue Funktion F von Z."
01:30;01:34;"Und ja, die Funktion an sich wird natürlich mit F bezeichnet."
01:34;01:46;"Und je nachdem, ob jetzt P und Q real sind oder auch nicht, haben wir hier zum einen erstmal eine Funktion, die von den komplexen Zahlen in die komplexen Zahlen abbildet."
01:46;01:47;"Aber hier muss man etwas aufpassen."
01:47;01:55;"Wir müssen natürlich, damit das Ganze hier wohl definiert ist, die Nullstellen bei dem Definitionsbereich D noch abziehen von Q."
01:55;01:58;"Deswegen hier ohne den Nullstellen von Q."
01:58;02:04;"Und analog, wenn wir reelle Polynome haben, dann das Ganze eben auf R ohne die Nullstellen."
02:04;02:07;"Und das bildet dann auch wieder nach R ab."
02:07;02:10;"So, das ist erstmal nicht weiter kompliziert."
02:11;02:22;"Die Frage ist jetzt hier, wenn wir Nullstellen von Q betrachten, ja, das heißt also Q ist ja hier, dann ist klar, dass dieser Ausdruck hier erstmal nicht definiert ist."
02:22;02:25;"Und deswegen haben wir das ja hier auch aus den Definitionsbereichen herausgenommen."
02:25;02:30;"Wir nehmen mal an, wir haben so eine Stelle Z0, eine Nullstelle von Q."
02:30;02:32;"Das heißt Q von Z0 ist gleich 0."
02:32;02:35;"Dann gibt es zwei Fälle, die wir unterscheiden müssen."
02:35;02:39;"Der erste Fall ist, wir setzen mal das Z0 in P ein."
02:39;02:48;"Und wenn P von Z0 ungleich 0 ist, dann nennen wir Z0 ein Pol oder auch eine Polstelle von F."
02:48;02:58;"Und wir sagen dann auch, Z0 ist ein Pol der Ordnung K von F, wenn Z0 eine Nullstelle von K der Vielfachheit K ist."
02:58;03:02;"Das hatten wir in der letzten Vorlesung schon gesehen, was wir unter Vielfachheit verstehen."
03:02;03:13;"Und ja, hier der Spezialfall, ein Pol der Ordnung 1 heißt dann einfach nur einfacher Pol und ein Pol höherer Ordnung, das heißt also K größer gleich 2."
03:13;03:16;"Den nennen wir mehrfachen Pol."
03:17;03:21;"Ja, und was passiert jetzt, wenn P von Z0 gleich 0 ist?"
03:21;03:27;"Ja, dann stellen wir fest, aha, Q von Z0 ist gleich 0 und P von Z0 ist gleich 0."
03:27;03:34;"Dann ist natürlich klar, dann kürzen wir einfach Z minus Z0 so oft wie möglich in Zähler und Nenner."
03:34;03:41;"Und dann schauen wir nochmal weiter, bis wir eine Aussage treffen können, sodass wir P von Z0 ungleich 0 haben."
03:42;03:48;"Schauen wir uns dazu einfache Beispiele an, so als kleine Einführung in dieses Kapitel."
03:57;04:04;"So, als erstes schauen wir uns mal folgendes Beispiel an."
04:04;04:17;"Also F von Z ist gleich Z hoch 4 minus Z hoch 3 plus 1, das Ganze geteilt durch Z Quadrat minus 1."
04:18;04:28;"So, und jetzt hier behaupte ich, also wie viele Pole hat diese Funktion, ich behaupte jetzt mal, dieses F hat zwei einfache Pole."
04:28;04:43;"Und zwar hier, wir sind ja nur an den Nullstellen interessiert, den Nullstellen von Q, also vom Nennerpolynom."
04:44;04:51;"Naja, und das wäre jetzt hier einfach plus minus 1."
04:51;04:52;"Und warum ist das so?"
04:52;04:57;"Naja, wir bestimmen zuerst die Nullstellen von Q, das sind dann die potenziellen Pole."
04:57;05:03;"Dann müssen wir aber noch überprüfen, dass Q von Z an diesen Stellen eben,"
05:04;05:06;"P von Z an diesen Stellen ungleich 0 ist."
05:06;05:11;"Also erst nochmal kurz, Q von Z ist ja Z Quadrat minus 1."
05:11;05:18;"Das ist dann einfach Z plus 1 mal Z minus 1."
05:18;05:26;"Und hier natürlich, klar, hier schreibe ich nochmal dran, deswegen hier erste Ordnung, ja, wegen diesen Zahlen."
05:26;05:33;"Und dann sehen wir natürlich noch, was passiert, wenn wir diese Nullstellen von Q in P einsetzen."
05:33;05:39;"Da muss jetzt nach der Definition auf der Folie ein Wert ungleich 0 herauskommen."
05:39;05:40;"Ansonsten müssten wir das nochmal kürzen."
05:41;05:50;"Na ja, aber P von 1 sehen wir als ungleich 0 und P von minus 1 ist ebenfalls ungleich 0."
05:50;06:03;"Und somit sozusagen das F bildet dann also ab von R ohne die Nullstellen von Q nach R."
06:03;06:07;"Beziehungsweise wir können das Ganze auch für C aufschreiben."
06:07;06:17;"C ohne die Nullstellen nach C."
06:17;06:22;"Gut, das war jetzt einfach."
06:22;06:25;"Schauen wir uns noch ein anderes Beispiel an."
06:25;06:34;"Wenn wir mal die Funktion f von Z betrachten, 1 durch Z minus 3 hoch 5,"
06:34;06:42;"dann sehen wir, dass Q, also sprich das Nennerpolynom,"
06:42;06:47;"hat jetzt hier die Nullstelle Z gleich 3 und anhand der 5 sehen wir schon,"
06:47;06:50;"das ist also dann ein Pol fünfter Ordnung."
07:03;07:05;"Gut, auch das war jetzt nicht kompliziert."
07:05;07:09;"Schauen wir uns nochmal ein anderes Beispiel an."
07:09;07:18;"Und zwar, wenn wir jetzt mal f von Z gleich Z Quadrat minus 1,"
07:18;07:29;"das Ganze geteilt durch Z minus 1 mal Z minus 2 zum Quadrat nehmen."
07:29;07:32;"Dann ist jetzt natürlich die Frage,"
07:32;07:35;"die Nullstellen vom Nennerpolynom Q,"
07:35;07:39;"das wäre jetzt hier zum einen Z gleich 1"
07:39;07:44;"und zum anderen Z gleich 2 und das scheint jetzt hier doppelt zu sein."
07:44;07:48;"So, das stimmt erstmal für das Polynom Q."
07:48;07:51;"Jetzt wollen wir aber die Pole von f bestimmen"
07:51;07:54;"und da sieht man natürlich, das können wir noch vereinfachen,"
07:54;07:56;"weil den Zähler können wir natürlich schreiben als"
07:56;08:02;"Z plus 1 mal Z minus 1 geteilt durch"
08:02;08:05;"und hier bleibt erstmal alles gleich."
08:05;08:08;"Z minus 2 Quadrat."
08:08;08:10;"Aber jetzt sehen wir natürlich,"
08:10;08:14;"wir können also diese Ausdrücke hier eliminieren"
08:14;08:16;"und am Ende kommt eben raus"
08:16;08:18;"Z plus 1 durch"
08:18;08:20;"Z minus 2"
08:20;08:22;"zum Quadrat"
08:22;08:24;"und das bedeutet dann also"
08:24;08:26;"Z gleich 1,"
08:26;08:29;"Z1 gleich 2 ist also ein Pol"
08:29;08:32;"zweiter Ordnung."
08:32;08:38;"Ja, wegen dieser 2 hier."
08:38;08:41;"Und natürlich, wenn wir oben einsetzen,"
08:41;08:42;"wenn ich hier oben zwei einsetze,"
08:42;08:44;"kommt etwas heraus, ungleich 0."
08:44;08:46;"aber was interessant ist,"
08:46;08:49;"Z2 gleich 1 ist kein Pol."
08:49;08:54;"Obwohl wir das vielleicht am Anfang dachten,"
08:54;08:55;"weil wir gesehen haben,"
08:55;08:57;"hier, das ist doch eine Nullstelle,"
08:57;09:01;"aber wir konnten das eben mit Termen von hier oben wegkürzen"
09:01;09:03;"und so bekommen wir eben,"
09:03;09:06;"dass Z2 gleich 1 kein Pol ist."
09:06;09:10;"So, machen wir noch ein letztes Beispiel"
09:10;09:12;"in diesem kurzen Einführungsvideo"
09:12;09:15;"und dann fangen wir im nächsten Video"
09:15;09:17;"mit der Partialbruch zur Legung an."
09:17;09:19;"Schauen wir uns mal an,"
09:19;09:20;"was macht die Funktion"
09:20;09:22;"Z2 minus 1"
09:22;09:23;"geteilt durch"
09:23;09:25;"Z hoch 3"
09:25;09:26;"plus"
09:26;09:29;"3 Z2"
09:29;09:33;"plus 3 Z plus 1."
09:34;09:36;"So, jetzt kramen wir nochmal"
09:36;09:37;"in unserem Wissen"
09:37;09:38;"aus diesem Kurs,"
09:38;09:39;"was wir bisher schon gesehen haben,"
09:39;09:40;"was würden sie tun?"
09:40;09:43;"Und jetzt müssen wir hier die Nullstellen"
09:43;09:44;"bestimmen,"
09:44;09:45;"das sieht nicht schön aus."
09:45;09:47;"Wir haben ja schon festgestellt,"
09:47;09:47;"bei"
09:47;09:49;"Polynomen dritter Ordnung,"
09:49;09:51;"ja, da ist die Idee,"
09:51;09:53;"man rät eine Nullstelle,"
09:53;09:54;"spaltet sie dann mit der"
09:54;09:55;"Polynomendivision ab,"
09:55;09:56;"um dann die quadratische"
09:56;09:57;"Restgleichung zu lösen,"
09:57;09:58;"dann bekommt man die Nullstellen,"
09:58;10:00;"aber wir erinnern uns nochmal,"
10:00;10:02;"es gab doch diesen schönen"
10:02;10:03;"binomischen Leersatz"
10:03;10:04;"und"
10:04;10:07;"das ist auch eine binomische"
10:07;10:07;"Formel,"
10:07;10:09;"das können wir also schreiben"
10:09;10:10;"als Z plus 1"
10:10;10:14;"mal Z minus 1"
10:14;10:15;"und im Nenner"
10:15;10:17;"bekommen wir,"
10:17;10:18;"ja, wenn Sie nochmal"
10:18;10:20;"an das Pascal'sche Dreieck denken,"
10:20;10:21;"ja, die Koeffizienten"
10:21;10:22;"1, 3, 3, 1,"
10:22;10:24;"das ist also nichts anderes"
10:24;10:27;"als Z plus 1"
10:27;10:29;"hoch 3."
10:29;10:39;"Und das ist jetzt hier einfach"
10:39;10:40;"der binomische"
10:40;10:42;"Leersatz."
10:42;10:45;"das hatten wir"
10:45;10:46;"in Vorlesung,"
10:46;10:48;"ja, ich glaube 4."
10:48;10:51;"Gut, und wenn wir das"
10:51;10:51;"jetzt anschauen,"
10:51;10:53;"dann können wir also"
10:53;10:55;"diesen Ausdruck kürzen"
10:55;10:56;"und können hier"
10:56;10:56;"statt der 3"
10:56;10:57;"die 2 schreiben."
10:57;10:59;"Und dann bekommen wir"
10:59;10:59;"am Ende"
10:59;11:01;"Z minus 1"
11:01;11:02;"geteilt durch"
11:02;11:05;"Z plus 1"
11:05;11:06;"Quadrat"
11:06;11:08;"und das heißt dann also"
11:08;11:12;"Z gleich minus 1"
11:12;11:13;"also die Nullstelle"
11:13;11:14;"von diesem hier"
11:14;11:15;"von Q,"
11:15;11:16;"das ist eine doppelte"
11:16;11:17;"Nullstelle"
11:17;11:17;"und dadurch,"
11:17;11:18;"dass ich,"
11:18;11:19;"wenn ich das Ganze"
11:19;11:20;"hier oben einsetze,"
11:20;11:21;"etwas ungleich Null"
11:21;11:22;"herauskommt,"
11:22;11:23;"wissen wir also,"
11:23;11:25;"dass Z gleich minus 1"
11:25;11:27;"ein Puls"
11:27;11:28;"weiter Ordnung ist."
11:36;11:38;"gut, wie gesagt,"
11:38;11:39;"das sollte ein kurzes"
11:39;11:41;"Einführungsvideo werden,"
11:41;11:42;"das ist es jetzt auch"
11:42;11:42;"geworden."
11:42;11:43;"Wir wissen jetzt also,"
11:43;11:44;"was eine rationale"
11:44;11:45;"Funktion ist."
11:45;11:46;"Wir haben gesehen,"
11:46;11:47;"bei den Polen ein wenig"
11:47;11:48;"aufpassen,"
11:48;11:49;"nicht überstürzt,"
11:49;11:51;"eine Aussage treffen,"
11:51;11:52;"erstmal schauen,"
11:52;11:53;"hier was man vereinfachen"
11:53;11:54;"kann und genauso"
11:54;11:55;"natürlich hier und"
11:55;11:57;"den binomischen Leersatz,"
11:57;11:58;"den haben Sie natürlich"
11:58;11:58;"immer im Kopf."
11:58;12:00;"Deswegen haben Sie das"
12:00;12:01;"natürlich alle auch"
12:01;12:02;"sofort hier gesehen."
12:02;12:03;"Gut,"
12:03;12:04;"im zweiten Teil geht es"
12:04;12:05;"dann weiter mit der"
12:05;12:08;"komplexen Partialbruchzerlegung"
12:08;12:09;"und da wird es dann"
12:09;12:10;"etwas komplizierter."
12:10;12:11;"Vielen Dank."
