Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum zweiten Teil der neunten Vorlesung im Kurs Analyse 1 und lineare Algebra für Ingenieurwissenschaften."
00:08;00:14;"Wir hatten jetzt eben in dem kurzen Einführungsvideo gesehen, was wir unter rationalen Funktionen verstehen."
00:14;00:20;"Und jetzt in diesem Video wollen wir uns mit der komplexen Partialbruchzerlegung beschäftigen."
00:20;00:25;"Und da wollen wir erstmal schauen, wozu machen wir das überhaupt und was bedeutet das überhaupt."
00:25;00:28;"Und die Grundidee dahinter ist folgende."
00:29;00:33;"Wir haben eine rationale Funktion in dieser Form gegeben."
00:33;00:36;"Wir erinnern uns nochmal daran, P und Q waren einfach Polynome."
00:36;00:42;"Im Allgemeinen ist die Division nicht erklärt von Polynomen in dieser Form."
00:42;00:54;"Aber wir versuchen jetzt diesen Ausdruck zu vereinfachen und zwar zu zerlegen in die Summe eines Polynoms und einfacher rationaler Funktionen."
00:54;00:58;"Und so eine einfache rationale Funktion könnte zum Beispiel diese Gestalt haben."
00:58;01:03;"Oder eben auch diese, wo man jetzt hier noch diese Potenz K hat."
01:04;01:08;"Und das ist tatsächlich nicht ganz so trivial."
01:08;01:11;"Und es ist aber relativ wichtig."
01:11;01:20;"Und diese Zerlegung jetzt hier in diese Bausteine, das nennt man die Partialbruchzerlegung der rationalen Funktion."
01:20;01:22;"Die Abkürzung hier können Sie auch verwenden."
01:23;01:32;"Und in diesem Kurs werden wir das speziell dann auch nutzen in Vorlesung 31, wenn es darum geht, solche rationalen Funktionen zu integrieren."
01:32;01:38;"Und da haben Sie selbst schon so ein Gefühl, wenn ich hier eine Funktion habe und hier, Integration kann durchaus kompliziert sein."
01:39;01:41;"Solche Terme können wir ganz einfach integrieren."
01:41;01:44;"Das ist also erstmal die Motivation in unserem Kurs."
01:44;01:53;"Aber vorbereitend auf weitere Kurse, speziell auch wenn es um die Laplace-Transformation geht, werden Sie das auch häufiger noch verwenden."
01:53;01:57;"Das heißt in den Kursen Differenzialgleichung und ITPTG."
01:59;02:02;"Gut, wir fangen einfach mal an mit dem Resultat."
02:02;02:10;"Und es ist so, wenn Sie einmal verstanden haben, wie es funktioniert, das kann man natürlich immer sagen, aber dann haben Sie es auch verstanden, dann ist es da."
02:10;02:13;"Es gibt jetzt viele Fälle, die wir unterscheiden müssen."
02:13;02:15;"Und mein Vorgehen ist jetzt folgendes."
02:15;02:26;"Ich werde erstmal einige Folien durchgehen und danach ein Beispiel anhand der einzelnen Folien sozusagen entwickeln und versuche dann die einzelnen Fälle zu erklären."
02:27;02:31;"So, das Erste, wir geben mal das Hauptresultat an."
02:31;02:36;"Und im Endeffekt auch keine so große Überraschung, was wir jetzt bekommen."
02:36;02:48;"Im Endeffekt ist es so, wir haben jetzt hier eine rationale Funktion gegeben und dann ist das Vorgehen eben, dass wir die Nullstellen von Q bestimmen."
02:48;02:51;"Da erinnern wir uns nochmal an den Fundamentalsatz der Algebra."
02:51;02:56;"Also das Q hat N Nullstellen, Z1 bis Zn."
02:56;03:00;"Und das kann man dann einfach so in dieser Form aufschreiben."
03:00;03:02;"Das war ja die Linearfaktorzerlegung."
03:02;03:09;"Und wenn das der Fall ist, dann besitzt die Funktion, die rationale Funktion F, die folgende Partialbruchzerlegung."
03:09;03:12;"Und zwar sieht man das so."
03:14;03:20;"Wir hatten ja hier oben gesagt, wir wollen das als Summe eines Polynoms und einfacher rationalen Funktionen haben."
03:20;03:24;"Und in der Tat bekommen wir hier erstmal ein Polynom, das Polynom S."
03:24;03:36;"Und dann bekommen wir hier Ausdrücke Summe K gleich 1 bis N von eben genau diesen einfachen rationalen Funktionen."
03:36;03:37;"Und das sieht man jetzt hier."
03:37;03:42;"Und das kann man dann also als Ganzes so hier aufschreiben."
03:42;03:51;"Und Q, jetzt habe ich das vielleicht eben nicht erwähnt, man muss dazu sagen, Q hat die einfachen Nullstellen Z1 bis Zn."
03:51;03:58;"Das bedeutet also, jede Nullstelle taucht nur einmal auf als Nullstelle."
03:59;04:07;"So, und hier wissen wir auch, dass diese Koeffizienten und das Polynom, also dass diese eindeutig bestimmt sind."
04:07;04:10;"Das heißt also, das Ziel ist jetzt, diesen Ausdruck zu gewinnen."
04:10;04:14;"Zum einen das Polynom und zum anderen diese N-Koeffizienten."
04:14;04:22;"Und jetzt kann es natürlich passieren, dass das Q auch durchaus mehrfache Nullstellen hat."
04:22;04:26;"Oder eine Nullstelle, die mehrfach auftritt oder eine mehrfache Vielfachheit hat."
04:26;04:35;"Dann ist es einfach so, dass wenn wir zum Beispiel annehmen, ZK, die Nullstelle ZK, ist eine M-K-Fache Nullstelle von Q."
04:35;04:42;"Dann tauschen wir diesen Summanden, der ja hier irgendwo auftaucht, einfach durch M-K-Summanden aus."
04:42;04:43;"Und zwar in dieser Form."
04:43;04:54;"So, jetzt sehen Sie schon, aha, Z-ZK, Z-ZK² bis zur Vielfachheit Z-ZK hoch M-K."
04:54;05:02;"Und dadurch bekommen wir natürlich jetzt statt einen Koeffizienten dann nochmal M-K neue Koeffizienten, die wir bestimmen müssen."
05:02;05:13;"Das heißt, wir sehen also, dass wir dann bei doppelten oder mehrfachen Nullstellen eben auch mehrfache zugehörige Koeffizienten bekommen."
05:13;05:17;"Und die sind natürlich hier auch eindeutig bestimmt."
05:17;05:20;"Gut, das ist die Aussage."
05:21;05:29;"Wir beweisen diesen Satz jetzt nicht klassisch, sondern wir wollen einfach mal überlegen, wie gehen wir vor, um das überhaupt zu entwickeln."
05:29;05:33;"Und das machen wir mal auf der nächsten Folie."
05:35;05:37;"Wie berechnet man jetzt die Partialbruchzerlegung?"
05:37;05:41;"So, der erste Schritt geht folgendermaßen."
05:41;05:44;"Wir überprüfen erstmal, wie der Grad von P und Q ist."
05:44;05:51;"Also wir haben jetzt diesen Ausdruck, diese Funktion immer im Kopf, beziehungsweise PZ durch QZ."
05:51;05:59;"Und dann im ersten Fall, wenn der Grad von P größer gleich der Grad von Q ist, also von diesen beiden hier,"
05:59;06:04;"dann machen wir erstmal eine Polynomendivision von P durch Q."
06:04;06:06;"Und dann erinnern Sie sich an die achte Folie."
