Start Timestamp;End Timestamp;Transcript
00:00;00:08;"Herzlich willkommen zum dritten Teil der neunten Vorlesung im Kurs Analysis 1 und Lineare Algebra für Ingenieurwissenschaften."
00:08;00:15;"Ich hoffe, Sie haben sich etwas erholt vom zweiten Teil, als wir die komplexe Partialbruchverlegung durchgegangen sind."
00:15;00:19;"Wir wollen uns jetzt im dritten Teil noch mit der reellen Partialbruchverlegung beschäftigen."
00:19;00:24;"Und da geht es jetzt erstmal darum, was bedeutet das überhaupt?"
00:24;00:27;"Das schauen wir uns zuerst mal auf der Folie an, auf der nächsten."
00:27;00:35;"Wir haben jetzt also eine rationale Funktion gegeben, f von x gleich p von x durch q von x."
00:35;00:42;"Und die Polynome p und q haben reelle Koeffizienten, sind also reelle Polynome."
00:42;00:45;"Und dann gibt es zwei Fälle, die wir unterscheiden müssen."
00:45;00:48;"Und der erste Fall ist ganz einfach."
00:48;00:56;"Wenn f als rationale Funktion nur reelle Pole hat, dann klappt alles so, wie wir das eben auch gesehen haben."
00:56;01:02;"Das heißt, die Partialbruchverlegung funktioniert wie im Komplexen und die Koeffizienten sind dann auch alle reell."
01:02;01:09;"Und deswegen beim letzten Beispiel hatte ich ja geschrieben, hier stimmt die komplexe und die reelle Partialbruchverlegung überein."
01:09;01:11;"Das, was hier steht."
01:11;01:16;"Und da sieht man nochmal an dem Beispiel, wenn wir nach oben gehen."
01:17;01:25;"Ja, das war das Beispiel und wir hatten gesehen, die Funktionen, das sind erstmal reelle Polynome."
01:25;01:28;"Ja, alles reelle Koeffizienten."
01:28;01:33;"Und hier steht ja, f hat nur reelle Pole."
01:33;01:36;"In der Tat, f hat nur reelle Pole."
01:36;01:39;"Deswegen stimmt das hier überein und funktioniert völlig analog."
01:39;01:44;"Die Frage ist dann natürlich, was machen wir, wenn f komplexe Pole hat."
01:44;01:53;"Das heißt also, die Partialbruchverlegung klappt dann natürlich wie im komplexen Fall."
01:53;01:55;"Aber die Koeffizienten sind dann auch komplex."
01:55;02:02;"Und wie es der Name schon sagt, würden wir gerne bei einer reellen Partialbruchverlegung eben auch nur reelle Koeffizienten haben."
02:02;02:05;"Und da erinnern wir uns nochmal an die Vorlesung 8."
02:05;02:09;"Da ging es ja darum, wie wir eine reelle Zerlegung eines Polynoms bekommen."
02:09;02:11;"Und das ist ein bisschen die Idee hier dahinter."
02:12;02:14;"Das heißt also, was machen wir?"
02:14;02:23;"Betrachten wir erstmal den einfachen Fall, ungünstiges Wort, den Fall, dass wir einfache komplexe Pole haben."
02:23;02:31;"Das heißt also, wir bestimmen ja die Nullstellen von Q und das heißt dann, wir haben eine komplexe Nullstelle dabei."
